Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis tensa,Thyrsocyrtis hirsuta,Theocotyle venezuelensis,Podocyrtis sinuosa,Podocyrtis diamesa,Lithocyclia ocellus,Lithochytris vespertilio,Dictyoprora mongolfieri,Thyrsocyrtis robusta,Thyrsocyrtis rhizodon,Spongatractus pachystylus,Thyrsocyrtis triacantha,Eusyringium lagena,Eusyringium fistuligerum,Podocyrtis  ampla,Podocyrtis trachodes,Podocyrtis mitra,Phormocyrtis striata striata,Sethochytris triconiscus,Podocyrtis helenae,Podocyrtis fasciolata,Podocyrtis chalara,Calocyclas turris,Calocyclas bandyca,Thyrsocyrtis  tetracantha,Tristylospyris triceros,Theocyrtis tuberosa,Lychnodictyum audax,Centrobotrys petrushevskayae,Lithocyclia angusta,Artophormis gracilis,Didymocyrtis prismatica,Stichocorys delmontensis,Lychnocanoma elongata,Dorcadospyris ateuchus,Centrobotrys thermophila,Calocycletta virginis,Liriospyris mutuaria,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  5,H, 1,  90.00,     39.1000,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,+                      ,+                  ,+                  ,+                           ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  5,H,CC,  19.00,     48.0900,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,+                      ,                   ,+                  ,+                           ,+                  ,+                   ,+                      ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  6,H,CC,   0.00,     57.3400,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,+                        ,                       ,+                  ,+                  ,+                           ,+                  ,+                   ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  7,H,CC,  18.00,     67.3400,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,+                      ,+                  ,+                  ,+                           ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  8,H,CC,  21.00,     76.7900,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,+                      ,+                  ,+                  ,+                           ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,RP20              ,              ,143, 869,A,  9,H, 1, 100.00,     77.2000,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,+                      ,+                  ,+                  ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,T. bromia         ,              ,143, 869,A,  9,H,CC,  22.00,     86.1800,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,+                       ,                       ,                    ,                     ,                         ,+                      ,                  ,+                       ,                 ,                    ,                ,                            ,                        ,                  ,                     ,+                 ,+                ,+                 ,+                        ,+                      ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,T. bromia         ,              ,143, 869,A, 10,X, 1,  55.00,     86.2500,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,+                      ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,+                ,+                 ,+                        ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,T. bromia         ,              ,143, 869,A, 10,X, 1, 100.00,     86.7000,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,                  ,+                       ,                 ,+                   ,+               ,                            ,                        ,+                 ,+                    ,+                 ,+                ,+                 ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P. mitra          ,              ,143, 869,A, 11,X, 1, 100.00,     96.5000,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,+                  ,                        ,+                      ,                    ,                     ,                         ,+                      ,                  ,+                       ,                 ,+                   ,+               ,                            ,+                       ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P. mitra          ,              ,143, 869,A, 11,X,CC,  11.00,    102.6200,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,+                        ,                       ,                  ,+                       ,                 ,+                   ,+               ,                            ,+                       ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P. mitra          ,              ,143, 869,A, 12,X,CC,  14.00,    112.8100,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,+                  ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,                  ,+                       ,                 ,+                   ,+               ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P. mitra          ,              ,143, 869,A, 13,X, 4,  73.00,    120.7300,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,+                  ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,+                 ,                        ,                 ,+                   ,+               ,+                           ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P. ampla          ,              ,143, 869,A, 13,X,CC,  23.00,    121.8500,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,+                  ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,+                 ,                        ,+                ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X, 1, 112.00,    126.6200,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,+                  ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,                  ,+                       ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X, 2,  95.00,    127.9500,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,                   ,+                       ,+                      ,                    ,                     ,                         ,+                      ,+                 ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X, 3, 148.00,    129.9800,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,+                  ,+                       ,+                      ,                    ,+                    ,+                        ,+                      ,+                 ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X, 4, 129.00,    131.2900,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,                   ,                        ,+                      ,                    ,+                    ,                         ,+                      ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X, 5,  69.00,    132.1900,Aitchison,Radiolarians                                 ,               ,                  ,                  ,+                   ,                        ,+                 ,                  ,                   ,                        ,+                      ,                    ,                     ,                         ,+                      ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,T. triacantha     ,              ,143, 869,A, 14,X,CC,  14.00,    133.2200,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,+                 ,                  ,                   ,+                       ,+                      ,                    ,+                    ,                         ,+                      ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. amphora        ,              ,143, 869,A, 15,X, 2, 114.00,    138.1400,Aitchison,Radiolarians                                 ,               ,                  ,                  ,+                   ,+                       ,+                 ,                  ,+                  ,+                       ,+                      ,+                   ,+                    ,+                        ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. amphora        ,              ,143, 869,A, 15,X, 3,  82.00,    139.3200,Aitchison,Radiolarians                                 ,               ,                  ,+                 ,+                   ,                        ,+                 ,                  ,+                  ,+                       ,+                      ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. amphora        ,              ,143, 869,A, 15,X,CC,  15.00,    143.8600,Aitchison,Radiolarians                                 ,               ,                  ,+                 ,+                   ,+                       ,+                 ,+                 ,+                  ,+                       ,+                      ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,                        ,                     ,                      ,                        ,                     ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
