Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marginotruncana pseudolinneiana	Globigerinelloides prairiehillensis	Archaeoglobigerina sp.	Hedbergella sp. cf. H. planispira	Globigerinelloides sp.	Archaeoglobigerina cretacea	Archaeoglobigerina blowi	Heterohelix sp.	Globigerinelloides subcarinatus	Heterohelix globulosa	Globigerinelloides alvarezi	Gansserina wiedenmayeri	Comment
  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  7	R	 2	   0.00	    109.1000	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  8	R	 1	  54.00	    117.8400	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	                           	                        	               	                               	1                    	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  8	R	 2	   0.00	    118.8000	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  8	R	 2	  20.00	    119.0000	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	                           	                        	1              	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  9	R	 1	  78.00	    127.6800	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	1                          	1                       	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  9	R	 1	 119.00	    128.0900	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	                           	                        	               	1                              	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  9	R	 1	 142.00	    128.3200	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	VR                    	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  9	R	 2	   0.00	    128.4000	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	2              	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	 10	R	 1	  46.00	    137.0600	Erba     	Planktonic Foraminifers                      	               	                  	1                              	                                   	                      	                                 	1                     	1                          	1                       	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	 10	R	 1	 116.00	    137.7600	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	1                                	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	 11	R	 2	   0.00	    147.6600	Erba     	Planktonic Foraminifers                      	               	                  	1                              	1                                  	1                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

