Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Spongurus pylomaticus	Saturnalis circularis	Lamprocyrtis heteroporos	Lamprocyclas hannai	Axoprunum angelinum	Actinomma leptodermum	Phormostichoartus fistula	Phormostichoartus corbula	Eucyrtidium calvertense	Theocorythium trachelium trachelium	Pterocanium trilobum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora cornutoides	Eucyrtidium teuscheri teuscheri	Eucyrtidium acuminatum	Lamprocyrtis neoheteroporos	Stichocorys delmontensis	Amphirhopalum ypsilon	Cycladophora pliocenica	Pterocanium praetextum eucolpum	Didymocyrtis avita	Cycladophora sakaii	Cycladophora davisiana	Eucyrtidium anomalum	Lamprocyrtis nigriniae	Acanthodesmia viniculata	Spongaster tetras tetras	Comment
  IR	                 	                 	                  	              	175	1084	A	  7	H	CC	  47.00	     60.6500	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	                        	+                  	                   	                     	                         	                         	+                      	                                   	+                   	+                                       	1                       	+                              	+                     	                           	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	  8	H	CC	  14.00	     70.0200	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	                        	+                  	                   	                     	                         	                         	                       	                                   	+                   	+                                       	+                       	+                              	+                     	                           	                        	                     	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	Pleistocene      	A. ypsilon        	A. angelinum  	175	1084	A	  9	H	CC	  15.00	     79.5500	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	1                  	1                  	                     	                         	                         	                       	+                                  	+                   	1                                       	1                       	+                              	+                     	                           	                        	                     	                       	1                              	                  	                   	+                     	                    	1                     	                        	1                       	       

  IR	                 	                 	                  	              	175	1084	A	 10	H	CC	  16.00	     89.0300	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	                        	+                  	+                  	                     	                         	                         	+                      	+                                  	                    	                                        	+                       	+                              	+                     	                           	                        	1                    	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 11	H	CC	  15.00	     98.6900	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	                        	                   	+                  	                     	                         	                         	1                      	+                                  	1                   	                                        	                        	                               	+                     	                           	                        	                     	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 12	H	CC	  22.00	    108.3500	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	                        	1                  	+                  	                     	                         	+                        	+                      	+                                  	+                   	1                                       	                        	1                              	+                     	                           	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 13	H	CC	  32.00	    117.7200	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	                        	+                  	+                  	                     	                         	1                        	1                      	                                   	+                   	                                        	+                       	+                              	+                     	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 14	H	CC	  14.00	    127.0400	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	                        	+                  	+                  	                     	                         	                         	+                      	1                                  	1                   	                                        	                        	+                              	1                     	                           	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 15	H	CC	  18.00	    136.6300	Motoyama 	Radiolarians                                 	C              	G                 	                     	+                    	                     	1                       	1                  	+                  	                     	                         	                         	1                      	                                   	+                   	                                        	                        	                               	+                     	1                          	                        	                     	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 16	H	CC	  28.00	    143.1200	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	                        	+                  	1                  	                     	                         	                         	1                      	+                                  	+                   	                                        	1                       	+                              	+                     	                           	                        	1                    	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 17	H	CC	  15.00	    149.8300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	1                  	                     	                         	+                        	+                      	                                   	+                   	+                                       	+                       	                               	+                     	                           	                        	+                    	                       	+                              	                  	                   	+                     	                    	                      	1                       	                        	       

  IR	                 	                 	                  	              	175	1084	A	 19	X	CC	  18.00	    158.4600	Motoyama 	Radiolarians                                 	R              	G                 	                     	                     	                     	                        	+                  	1                  	                     	                         	                         	                       	                                   	1                   	                                        	+                       	1                              	+                     	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 20	X	CC	  24.00	    167.8300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	+                  	                     	                         	                         	1                      	+                                  	+                   	+                                       	                        	+                              	+                     	                           	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 21	X	CC	  10.00	    180.3300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	+                  	                     	                         	                         	+                      	+                                  	+                   	+                                       	                        	+                              	                      	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 22	X	CC	  14.00	    182.7700	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	+                  	                     	                         	                         	+                      	1                                  	+                   	1                                       	                        	+                              	                      	+                          	                        	                     	                       	                               	                  	                   	+                     	                    	1                     	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 23	X	CC	  15.00	    195.4600	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	1                    	+                       	+                  	+                  	                     	                         	1                        	                       	                                   	1                   	                                        	+                       	+                              	+                     	                           	                        	1                    	                       	                               	                  	                   	+                     	1                   	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 24	X	CC	  19.00	    206.9800	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	+                  	                     	                         	                         	+                      	1                                  	+                   	+                                       	1                       	+                              	1                     	                           	                        	1                    	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 25	X	CC	   0.00	    219.6500	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	+                    	                        	+                  	+                  	                     	                         	                         	1                      	+                                  	1                   	+                                       	1                       	1                              	+                     	                           	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 26	X	CC	  23.00	    222.6100	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	+                       	+                  	+                  	                     	                         	                         	1                      	+                                  	+                   	+                                       	+                       	+                              	+                     	                           	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 27	X	CC	  36.00	    235.7900	Motoyama 	Radiolarians                                 	R              	G                 	                     	+                    	                     	                        	+                  	1                  	                     	                         	                         	                       	                                   	+                   	1                                       	+                       	                               	+                     	                           	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 28	X	CC	   9.00	    248.6200	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	1                    	                        	+                  	1                  	                     	                         	                         	                       	1                                  	1                   	+                                       	+                       	+                              	+                     	1                          	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 29	X	CC	  14.00	    254.4700	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	1                    	1                       	+                  	+                  	                     	                         	                         	+                      	1                                  	+                   	                                        	1                       	+                              	                      	                           	                        	                     	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 30	X	CC	  22.00	    265.8900	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	1                       	+                  	+                  	                     	                         	                         	+                      	                                   	+                   	                                        	+                       	+                              	+                     	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 31	X	CC	  25.00	    271.7400	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	1                       	+                  	+                  	                     	                         	+                        	+                      	1                                  	+                   	1                                       	                        	+                              	+                     	1                          	                        	                     	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 32	X	CC	  23.00	    283.1800	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	+                       	+                  	+                  	                     	                         	                         	1                      	1                                  	1                   	                                        	                        	1                              	1                     	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 33	X	CC	  29.00	    294.6900	Motoyama 	Radiolarians                                 	C              	G                 	                     	1                    	1                    	1                       	1                  	+                  	                     	                         	                         	+                      	                                   	                    	                                        	                        	1                              	+                     	                           	                        	+                    	1                      	                               	+                 	                   	+                     	                    	                      	                        	                        	       

  IR	                 	Late Pliocene    	                  	              	175	1084	A	 34	X	CC	  33.00	    304.3700	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                    	1                    	                        	+                  	+                  	                     	                         	                         	+                      	                                   	+                   	1                                       	+                       	+                              	+                     	1                          	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 35	X	CC	  26.00	    313.1900	Motoyama 	Radiolarians                                 	C              	G                 	                     	+                    	                     	                        	+                  	1                  	                     	                         	1                        	                       	                                   	1                   	                                        	                        	+                              	+                     	                           	                        	                     	+                      	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 36	X	CC	  47.00	    322.6200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	+                  	                     	                         	+                        	+                      	                                   	1                   	1                                       	1                       	+                              	+                     	1                          	                        	1                    	+                      	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 37	X	CC	  34.00	    335.5300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	1                    	                        	                   	                   	                     	                         	                         	                       	                                   	                    	                                        	                        	+                              	                      	                           	                        	                     	+                      	                               	1                 	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 38	X	CC	  28.00	    344.7900	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	+                       	+                  	1                  	                     	                         	                         	+                      	+                                  	+                   	                                        	+                       	+                              	+                     	                           	                        	+                    	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 39	X	CC	  16.00	    354.3000	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	1                       	+                  	                   	                     	                         	                         	+                      	                                   	                    	                                        	1                       	+                              	                      	                           	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 40	X	CC	  24.00	    364.3100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	+                  	+                  	                     	                         	+                        	+                      	                                   	+                   	+                                       	+                       	+                              	+                     	+                          	                        	+                    	                       	+                              	                  	                   	1                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 41	X	CC	  35.00	    373.9500	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	+                  	+                  	                     	                         	                         	1                      	                                   	                    	                                        	                        	+                              	                      	                           	                        	                     	1                      	                               	                  	                   	1                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 42	X	CC	   0.00	    382.4400	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	1                       	+                  	+                  	                     	                         	                         	+                      	                                   	+                   	1                                       	+                       	+                              	                      	                           	                        	+                    	1                      	                               	                  	                   	1                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 43	X	CC	  39.00	    393.5700	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	1                       	+                  	1                  	                     	                         	                         	1                      	                                   	                    	+                                       	+                       	+                              	1                     	                           	                        	                     	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 44	X	CC	  38.00	    403.1900	Motoyama 	Radiolarians                                 	C              	G                 	                     	+                    	                     	                        	                   	+                  	                     	                         	                         	+                      	1                                  	                    	+                                       	+                       	1                              	1                     	                           	                        	1                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 45	X	CC	  40.00	    412.7800	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	1                       	                   	+                  	                     	                         	                         	+                      	                                   	                    	1                                       	+                       	+                              	                      	                           	                        	+                    	                       	1                              	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 46	X	CC	  28.00	    422.1200	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	+                       	                   	                   	                     	                         	                         	                       	                                   	+                   	                                        	+                       	+                              	                      	                           	                        	                     	+                      	                               	                  	+                  	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 47	X	CC	  33.00	    429.0400	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	1                    	+                       	1                  	+                  	                     	                         	                         	+                      	                                   	                    	                                        	+                       	+                              	                      	                           	                        	                     	                       	                               	                  	+                  	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 48	X	CC	  22.00	    439.4900	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                    	                     	+                       	+                  	+                  	                     	                         	+                        	                       	                                   	1                   	                                        	+                       	+                              	1                     	                           	                        	                     	                       	                               	                  	+                  	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 49	X	CC	  37.00	    450.9700	Motoyama 	Radiolarians                                 	C              	G                 	                     	1                    	                     	+                       	1                  	1                  	                     	                         	                         	1                      	                                   	                    	                                        	+                       	+                              	                      	                           	                        	                     	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 50	X	CC	  54.00	    460.6400	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	1                  	+                  	                     	                         	                         	1                      	                                   	+                   	+                                       	+                       	+                              	                      	                           	                        	                     	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 51	X	CC	  13.00	    469.8800	Motoyama 	Radiolarians                                 	A              	G                 	                     	                     	                     	+                       	1                  	+                  	                     	                         	                         	                       	                                   	                    	                                        	+                       	1                              	1                     	                           	                        	+                    	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 52	X	CC	  53.00	    477.8300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	1                  	+                  	                     	                         	                         	+                      	                                   	+                   	+                                       	+                       	+                              	+                     	                           	                        	T                    	+                      	1                              	1                 	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 53	X	CC	  23.00	    485.7300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	+                  	+                  	                     	                         	                         	+                      	                                   	+                   	1                                       	+                       	                               	+                     	1                          	                        	1                    	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 54	X	CC	  18.00	    496.6800	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                    	                     	1                       	1                  	+                  	                     	                         	                         	+                      	                                   	                    	                                        	+                       	+                              	1                     	                           	                        	T                    	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 55	X	CC	  15.00	    503.5400	Motoyama 	Radiolarians                                 	A              	M                 	+                    	                     	                     	+                       	+                  	                   	                     	                         	                         	+                      	                                   	                    	                                        	1                       	                               	                      	1                          	                        	                     	+                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 56	X	CC	  20.00	    513.7800	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	+                       	                   	+                  	                     	                         	                         	                       	                                   	                    	1                                       	+                       	+                              	                      	1                          	1                       	                     	1                      	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 57	X	CC	  30.00	    527.1400	Motoyama 	Radiolarians                                 	A              	M                 	                     	                     	1                    	+                       	1                  	+                  	+                    	                         	+                        	                       	                                   	1                   	+                                       	                        	                               	                      	                           	                        	1                    	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 58	X	CC	  30.00	    534.9200	Motoyama 	Radiolarians                                 	A              	M                 	1                    	+                    	                     	+                       	+                  	+                  	                     	1                        	1                        	+                      	                                   	                    	                                        	                        	                               	                      	+                          	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 59	X	CC	  36.00	    544.0800	Motoyama 	Radiolarians                                 	A              	M                 	+                    	1                    	                     	1                       	1                  	+                  	T                    	                         	                         	+                      	                                   	                    	                                        	                        	                               	                      	                           	1                       	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 60	X	CC	  27.00	    555.4800	Motoyama 	Radiolarians                                 	A              	G                 	+                    	+                    	                     	+                       	+                  	+                  	T                    	                         	1                        	1                      	                                   	1                   	                                        	1                       	                               	                      	T                          	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 61	X	CC	  27.00	    564.9400	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                    	+                    	+                       	+                  	+                  	T                    	1                        	                         	+                      	                                   	1                   	                                        	                        	1                              	1                     	                           	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 62	X	CC	  28.00	    576.5700	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                    	1                    	+                       	+                  	1                  	A                    	                         	                         	1                      	1                                  	1                   	1                                       	+                       	                               	                      	                           	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 63	X	CC	  22.00	    585.6900	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                    	+                    	+                       	1                  	+                  	T                    	                         	1                        	+                      	                                   	                    	                                        	                        	                               	                      	                           	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 64	X	CC	  26.00	    594.5600	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                    	1                    	+                       	+                  	+                  	                     	+                        	+                        	+                      	                                   	                    	                                        	                        	                               	                      	                           	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	 65	X	CC	  35.00	    604.6400	Motoyama 	Radiolarians                                 	C              	M                 	+                    	+                    	+                    	+                       	+                  	+                  	T                    	                         	                         	                       	                                   	                    	                                        	                        	                               	                      	                           	                        	                     	                       	                               	                  	                   	                      	                    	                      	                        	                        	       

