Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Unidentified benthic forams,Stilostomella spp.,Pullenia quinqueloba,Pleurostomella spp.,Ostracoda spp.,Lenticulina spp.,Laticarinina pauperata,Karreriella bradyi,Gyroidinoides spp.,Eggerella bradyi,Dentalina spp.,Cibicidoides spp.,Uvigerina peregrina,Uvigerina hispida,Pullenia spp.,Pullenia bulloides,Parrelloides bradyi,Osangularia culter,Oridorsalis umbonatus,Nonion spp.,Melonis barleeanus,Gyroidina zealandica,Gyroidina orbicularis,Globocassidulina subglobosa,Bulimina aculeata,Bolivinopsis spp.,Bolboforma spp.,Anomalinoides spp.,Anomalinoides globulosus,Sigmoilina tenuis,Pyrulina spp.,Nuttallides umbonifera,Cibicidoides mundulus,Cassidulina spp.,Bulimina marginata,Bolivina huneri,Orthomorphina spp.,Heronallenia lingulata,Bolivina spp.,Rectuvigerina spp.,Quinqueloculina spp.,Bulimina alazanensis,Textularia spp.,Hopkinsina mioindex,Fontbotia wuellerstorfi,Epistominella exigua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 23,X,CC,  18.00,    210.1200,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                 ,R                          ,R                 ,                    ,R                  ,R             ,                ,                      ,T                 ,T                 ,T               ,              ,T                ,R                  ,                 ,T            ,                  ,                   ,                  ,T                    ,           ,                  ,R                   ,                     ,T                          ,                 ,                 ,               ,                  ,                        ,                 ,             ,                      ,                     ,R               ,                  ,R              ,                  ,T                     ,R            ,                  ,                    ,                    ,               ,                   ,                       ,                    ,B/P: 1/190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 25,X,CC,  19.00,    228.4800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,T                          ,F                 ,                    ,T                  ,R             ,T               ,                      ,T                 ,                  ,                ,R             ,                 ,                   ,                 ,T            ,T                 ,                   ,                  ,                     ,           ,                  ,R                   ,                     ,R                          ,                 ,T                ,               ,                  ,                        ,                 ,             ,                      ,R                    ,                ,                  ,R              ,T                 ,T                     ,             ,                  ,                    ,                    ,               ,                   ,                       ,                    ,B/P: 1/130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 27,X,CC,  36.00,    247.3300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,R                          ,R                 ,                    ,R                  ,R             ,R               ,T                     ,R                 ,                  ,T               ,T             ,                 ,                   ,T                ,             ,                  ,T                  ,T                 ,R                    ,R          ,                  ,F                   ,                     ,T                          ,                 ,                 ,               ,                  ,R                       ,T                ,T            ,C                     ,F                    ,T               ,T                 ,T              ,                  ,                      ,             ,                  ,                    ,                    ,               ,                   ,                       ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 29,X,CC,  35.00,    264.8300,benthics ,Benthic Foraminifers                         ,C              ,M                 ,T                 ,R                          ,R                 ,                    ,R                  ,              ,R               ,R                     ,R                 ,R                 ,                ,              ,R                ,R                  ,R                ,R            ,R                 ,T                  ,T                 ,R                    ,R          ,R                 ,R                   ,T                    ,F                          ,T                ,T                ,T              ,T                 ,T                       ,                 ,             ,                      ,                     ,                ,                  ,               ,                  ,                      ,             ,                  ,                    ,                    ,               ,                   ,                       ,                    ,B/P: 1/130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 30,X,CC,  13.00,    272.8700,benthics ,Benthic Foraminifers                         ,T              ,P                 ,T                 ,T                          ,T                 ,T                   ,T                  ,T             ,R               ,R                     ,T                 ,T                 ,T               ,T             ,T                ,                   ,                 ,             ,                  ,                   ,                  ,                     ,           ,                  ,                    ,                     ,                           ,                 ,                 ,               ,                  ,                        ,                 ,             ,                      ,                     ,                ,                  ,               ,                  ,                      ,             ,                  ,                    ,                    ,               ,                   ,                       ,                    ,B/P: 1/170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
