Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis sp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  5,H,CC,  30.00,     46.1800,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,-                     ,R                  ,C                  ,-                  ,-                 ,-         ,T                 ,-                    ,-                     ,-                   ,-             ,-          ,-                   ,T                 ,R          ,T                  ,-                 ,-                          ,F                    ,-                       ,R                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,C                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  6,H,CC,  28.00,     55.6200,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,-                     ,-                  ,C                  ,-                  ,-                 ,R         ,R                 ,-                    ,-                     ,-                   ,-             ,-          ,-                   ,T                 ,-          ,-                  ,R                 ,-                          ,R                    ,-                       ,F                      ,T                   ,-             ,R               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,T                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  7,H,CC,  28.00,     65.2300,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,-                     ,-                  ,-                  ,-                  ,-                 ,R         ,R                 ,C                    ,-                     ,-                   ,-             ,-          ,-                   ,-                 ,R          ,-                  ,-                 ,-                          ,R                    ,-                       ,F                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,R                   ,-                 ,C                   ,-                   ,-                ,-                       ,C                      ,R                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  8,H,CC,  28.00,     74.7000,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,T                     ,-                  ,T                  ,-                  ,C                 ,-         ,-                 ,-                    ,-                     ,C                   ,-             ,-          ,-                   ,-                 ,R          ,-                  ,-                 ,F                          ,F                    ,-                       ,-                      ,-                   ,F             ,-               ,-                       ,-                   ,-                 ,C                   ,F                 ,-                   ,-                   ,-                ,-                       ,-                      ,F                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  9,H,CC,  26.00,     84.1600,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,C                     ,-                  ,F                  ,R                  ,C                 ,-         ,-                 ,-                    ,-                     ,F                   ,-             ,-          ,T                   ,T                 ,-          ,T                  ,-                 ,R                          ,R                    ,-                       ,-                      ,-                   ,R             ,R               ,-                       ,-                   ,-                 ,C                   ,-                 ,R                   ,-                   ,-                ,F                       ,C                      ,F                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 10,H,CC,  36.00,     93.8000,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-         ,+                 ,+                    ,-                     ,-                   ,-             ,-          ,-                   ,-                 ,-          ,+                  ,-                 ,-                          ,+                    ,-                       ,-                      ,-                   ,-             ,+               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 11,H,CC,  23.00,    103.8600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,C                  ,-                  ,C                 ,T         ,R                 ,-                    ,-                     ,-                   ,-             ,-          ,F                   ,-                 ,R          ,-                  ,-                 ,-                          ,T                    ,-                       ,-                      ,-                   ,-             ,R               ,-                       ,-                   ,-                 ,C                   ,-                 ,F                   ,-                   ,-                ,-                       ,T                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 12,H,CC,  23.00,    113.4000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,R                  ,-                  ,F                 ,F         ,R                 ,R                    ,-                     ,-                   ,F             ,-          ,-                   ,R                 ,-          ,-                  ,R                 ,R                          ,F                    ,-                       ,-                      ,R                   ,-             ,R               ,-                       ,-                   ,-                 ,-                   ,-                 ,R                   ,-                   ,-                ,-                       ,-                      ,R                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 13,H,CC,  24.00,    122.6800,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-         ,R                 ,-                    ,-                     ,-                   ,-             ,-          ,-                   ,-                 ,R          ,-                  ,-                 ,-                          ,A                    ,-                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,R                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 14,H,CC,  21.00,    131.7600,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-         ,-                 ,-                    ,-                     ,-                   ,+             ,-          ,-                   ,-                 ,-          ,-                  ,-                 ,-                          ,-                    ,-                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
