Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Stylacontarium acquilonium	Lamprocyrtis heteroporos	Anthocyrtidium pliocenica	Stylochlamidium  venustum	Pterocanium korotnevi	Pseudocubus warreni	Lychnocanoma nipponica sakaii	Eucyrtidium teuscheri group	Dictyophimus crisiae	Clathrocyclas bicornis	Ceratospyris hyperborea	Botryostrobus praetumidulus	Actinomma popofskii	Gondwanaria dogieli	Eucyrtidium erythromystax	Eucyrtidium calvertense	Phormostichoartus fistula	Lipmanella virchowii	Botryostrobus tumidulus	Rhizosphaera antarctica	Phormostichoartus crustula	Eucyrtidium acuminatum	Spongotrochus glacialis	Sphaeropyle langii	Siphostichartus scalaris	Pterocanium auritum	Cycladophora craspedota	Lamprocyrtis neoheteroporos	Cycladophora davisiana davisiana	Stylodictya validispina	Comment
  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  6	H	CC	  33.00	     52.3100	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	+                          	                    	+                     	+                      	                           	+                  	                   	                         	                       	                         	+                   	                       	+                      	+                         	                      	                       	+                 	+                       	                   	+                      	+                          	+                               	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  7	H	CC	  13.00	     61.8000	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	                           	+                   	                      	                       	                           	+                  	+                  	                         	+                      	                         	+                   	                       	+                      	                          	                      	                       	+                 	                        	                   	+                      	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  8	H	CC	  35.00	     71.6900	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	+                          	+                   	+                     	+                      	                           	+                  	                   	                         	                       	                         	                    	                       	+                      	+                         	+                     	                       	+                 	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  9	H	CC	  19.00	     80.9900	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	                           	+                   	+                     	+                      	                           	+                  	                   	                         	                       	                         	+                   	                       	+                      	                          	+                     	+                      	+                 	                        	                   	+                      	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 10	H	CC	  20.00	     90.5200	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	                     	+                  	+                            	                           	+                   	+                     	+                      	                           	+                  	+                  	                         	                       	                         	                    	                       	+                      	                          	                      	+                      	+                 	+                       	+                  	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 11	H	CC	  10.00	     99.7400	Caulet   	Radiolarians                                 	R              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	+                          	+                   	+                     	+                      	                           	+                  	                   	                         	                       	                         	+                   	+                      	+                      	+                         	+                     	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 12	H	CC	   0.00	    109.3700	Caulet   	Radiolarians                                 	R              	G                 	+                     	+                         	+                       	+                        	+                        	                     	+                  	+                            	+                          	+                   	+                     	                       	+                          	+                  	                   	+                        	+                      	+                        	+                   	+                      	                       	                          	                      	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 14	H	CC	  21.00	    128.6300	Caulet   	Radiolarians                                 	R              	G                 	+                     	+                         	+                       	+                        	                         	                     	+                  	+                            	                           	                    	+                     	+                      	+                          	+                  	+                  	+                        	+                      	                         	                    	                       	                       	                          	                      	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 15	H	CC	  18.00	    137.9600	Caulet   	Radiolarians                                 	R              	M                 	+                     	+                         	+                       	                         	                         	                     	                   	                             	                           	                    	                      	                       	+                          	                   	                   	                         	                       	                         	                    	                       	                       	                          	                      	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 17	H	CC	  19.00	    157.1000	Caulet   	Radiolarians                                 	R              	G                 	+                     	+                         	+                       	+                        	+                        	+                    	+                  	+                            	+                          	+                   	+                     	+                      	+                          	+                  	                   	                         	                       	                         	                    	                       	                       	                          	                      	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	 18	H	CC	  28.00	    163.2600	Caulet   	Radiolarians                                 	R              	P                 	+                     	+                         	+                       	+                        	                         	                     	                   	                             	                           	                    	                      	                       	                           	                   	                   	                         	                       	                         	                    	                       	                       	                          	                      	                       	                  	                        	                   	                       	                           	                                	                       	from IR. Ch 16. Table 7.

