Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zelkova taxa,Ulmus taxa,Tsuga taxa,Tilia taxa,Taxodiaceae taxa,Rhus taxa,Quercus (evergreen) taxa,Quercus (deciduous)  taxa,Pterocarya taxa,Pinus taxa,Picea taxa,Pasania  taxa,Metasequoia  taxa,Liquidambar taxa,Larix taxa,Gramineae taxa,Fagus taxa,Ericaceae taxa,Ephedra taxa,Dacrydium taxa,Corylus taxa,Castanea taxa,Carya taxa,Carpinus taxa,Alnus taxa,Acer taxa,Juglans taxa,Betula taxa,Abies taxa,Aesculus  taxa,Cupressaceae taxa,Chenopodiaceae taxa,Sparganium taxa,Patrinia taxa,Nyssa  taxa,Fupingopollenites taxa,Alangium  taxa,Engelhardia taxa,Celtis taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 15,R, 2,  30.00,    435.6000,Yamanoi  ,Pollen/Spores                                ,               ,                  ,2.0%        ,1.5%      ,6         ,2.0%      ,3.0%            ,         ,38.5%                   ,6.0%                     ,.5%            ,24        ,41        ,18.0%        ,                 ,2.5%            ,.5%       ,              ,10.5%     ,              ,.5%         ,              ,            ,1.5%         ,2.5%      ,3.0%         ,1.5%      ,2.0%     ,            ,2.5%       ,3         ,              ,1.0%             ,.5%                ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-26 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 19,R, 1,  69.00,    472.9900,Yamanoi  ,Pollen/Spores                                ,               ,                  ,2.0%        ,5.5%      ,6         ,1.5%      ,1.5%            ,         ,35.0%                   ,12.0%                    ,5.0%           ,46        ,12        ,7.0%         ,3.0%             ,1.0%            ,1.5%      ,              ,3.5%      ,1.0%          ,            ,.5%           ,1.0%        ,2.5%         ,11.5%     ,2.0%         ,.5%       ,.5%      ,.5%         ,.5%        ,          ,              ,1.0%             ,                   ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-36 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 20,R, 1, 115.00,    483.1500,Yamanoi  ,Pollen/Spores                                ,               ,                  ,2.0%        ,5.0%      ,8         ,.5%       ,6.0%            ,1.5%     ,18.0%                   ,10.0%                    ,8.5%           ,6         ,40        ,1.5%         ,5.0%             ,                ,6.0%      ,              ,8.0%      ,              ,            ,              ,            ,1.5%         ,18.0%     ,6.0%         ,          ,         ,1.0%        ,1.0%       ,          ,.5%           ,                 ,                   ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-46 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 21,R, 1, 113.00,    492.8300,Yamanoi  ,Pollen/Spores                                ,               ,                  ,2.0%        ,2.5%      ,10        ,1.5%      ,3.0%            ,         ,13.0%                   ,6.5%                     ,13.5%          ,33        ,43        ,3.0%         ,5.5%             ,1.0%            ,9.0%      ,              ,6.0%      ,              ,.5%         ,              ,.5%         ,4.0%         ,20.5%     ,4.0%         ,1.0%      ,         ,1.0%        ,2.0%       ,3         ,              ,                 ,                   ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-11 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 24,R, 1,  21.00,    520.8100,Yamanoi  ,Pollen/Spores                                ,               ,                  ,4.0%        ,1.0%      ,4         ,4.5%      ,.5%             ,         ,18.0%                   ,9.0%                     ,16.5%          ,47        ,33        ,3.5%         ,.5%              ,1.5%            ,2.0%      ,              ,5.5%      ,.5%           ,            ,.5%           ,            ,1.0%         ,25.5%     ,4.5%         ,          ,1.5%     ,            ,           ,          ,              ,                 ,                   ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-16 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 25,R,CC,  13.00,    531.0600,Yamanoi  ,Pollen/Spores                                ,               ,                  ,6.0%        ,4.0%      ,4         ,1.5%      ,1.5%            ,1.5%     ,17.0%                   ,5.5%                     ,5.0%           ,49        ,25        ,5.0%         ,2.5%             ,.5%             ,2.0%      ,.5%           ,6.5%      ,.5%           ,.5%         ,3.5%          ,1.0%        ,2.0%         ,27.0%     ,4.0%         ,1.0%      ,1.5%     ,            ,           ,          ,              ,                 ,                   ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-22 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
