Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygocircus sp.	Tholospyris fornicata	Theocorythium trachelium	Theocalyptra gegenbauri	Theocalyptra davisiana	Theocalyptra bicornis	Tetrapyle octacantha	Tessarastrum straussi	Stylosphaera sp.	Stylodictya sp.	Stylodictya multispina	Stylochlamidium asteriscus	Spongurus sp. cf. S. elliptica	Spongurus sp.	Spongotrochus (?) venustum	Spongotrochus glacialis	Spongopyle osculosa	Spongodiscus sp.	Spongocore puella	Spongaster tetras tetras	Spongaster tetras irregularis	Siphonosphaera sp.	Siphonosphaera polysiphonia	Pterocorys zancleus	Pterocorys sp.	Pterocorys macroceras	Pterocanium trilobum	Pterocanium praetextum praetextum	Porodiscus sp.	Phormostichoartus corbula	Peromelissa phalacra	Peripyramis circumtexta	Otosphaera auriculata	Octopyle stenozona	Lithopera bacca	Lithelius minor	Liriospyris reticulata	Larcospira quadrangula	Larcopyle butshclii	Lamprocyrtis nigriniae	Lamprocyrtis maritalis	Lamprocyrtis hannai	Hexapyle sp.	Hexacontium sp.	Helotholus histricosa	Heliodiscus asteriscus	Gondwanaria dogieli	Giraffospyris angulata	Eucyrtidium punctatum	Eucyrtidium hexasticum	Eucyrtidium hexagonatum	Eucyrtidium calvertense	Eucyrtidium anomalum	Eucyrtidium acuminatum	Euchitonia sp.	Euchitonia furcata	Euchitonia elegans	Disolenia zanqyebarica	Disolenia quadrata	Didymocyrtis tetrathalamus	Dictyophimus sp.	Dictyocoryne truncatum	Dictyocoryne sp.	Dictyocoryne profunda	Cyrtolagena aglaolampa	Cornutella profunda	Collosphaera tuberosa	Carpocanistrum sp.	Buccinosphaera invaginata	Botryostrobus auritus/australis	Botryostrobus aquilonaris	Botryocyrtis scutum	Artobotrys auriculaleporis	Anthocyrtidium zanguebaricum	Anthocyrtidium ophirense	Amphirhopalum ypsilon	Acrosphaera spinosa forma C	Acrosphaera sp.	?Pylospira octopyle	Comment

  SR	Pleistocene      	                 	                  	              	134	 832	A	  4	H	 5	  40.00	     24.9000	Riedel   	Radiolarians                                 	               	                  	R             	-                    	-                       	-                      	R                     	F                    	F                   	R                    	R               	F              	-                     	-                         	R                             	F            	-                         	R                      	R                  	F               	-                	R                       	-                            	-                 	F                          	-                  	-             	-                    	-                   	-                                	F             	-                        	-                   	-                      	-                    	-                 	-              	R              	-                     	R                     	R                  	-                     	-                     	-                  	-           	R              	-                    	-                     	-                  	-                     	-                    	-                     	-                      	-                      	-                   	-                     	F             	R                 	-                 	-                     	-                 	-                         	R               	R                     	F               	-                    	-                     	R                  	-                    	R                 	-                        	-                              	R                        	-                  	-                         	-                           	-                       	-                    	F                          	-              	-                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	  4	H	CC	   2.00	     27.5900	Riedel   	Radiolarians                                 	               	                  	R             	-                    	R                       	-                      	F                     	F                    	F                   	-                    	F               	F              	-                     	-                         	R                             	F            	R                         	-                      	-                  	C               	R                	R                       	R                            	-                 	F                          	-                  	-             	-                    	VR                  	-                                	F             	-                        	-                   	R                      	-                    	-                 	-              	R              	R                     	R                     	F                  	VR                    	R                     	R                  	-           	F              	VR                   	-                     	R                  	R                     	R                    	-                     	-                      	-                      	-                   	VR                    	R             	-                 	-                 	-                     	-                 	F                         	R               	R                     	F               	R                    	VR                    	VR                 	-                    	R                 	-                        	VR                             	R                        	R                  	-                         	-                           	-                       	R                    	F                          	-              	F                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	  5	H	 2	  20.00	     29.7000	Riedel   	Radiolarians                                 	               	                  	-             	R                    	R                       	-                      	-                     	R                    	R                   	-                    	R               	F              	R                     	-                         	R                             	R            	R                         	R                      	R                  	F               	R                	R                       	-                            	R                 	R                          	-                  	-             	R                    	-                   	-                                	F             	-                        	-                   	-                      	-                    	R                 	R              	-              	-                     	-                     	R                  	-                     	-                     	-                  	-           	F              	-                    	-                     	-                  	-                     	-                    	-                     	-                      	-                      	-                   	R                     	-             	R                 	-                 	-                     	-                 	F                         	R               	F                     	F               	F                    	-                     	-                  	-                    	R                 	-                        	-                              	R                        	-                  	-                         	-                           	R                       	R                    	F                          	-              	F                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	  6	H	 2	  51.00	     39.5100	Riedel   	Radiolarians                                 	               	                  	-             	-                    	-                       	VR                     	R                     	F                    	F                   	-                    	R               	R              	F                     	-                         	R                             	F            	R                         	F                      	-                  	F               	-                	R                       	-                            	-                 	F                          	-                  	-             	F                    	R                   	R                                	F             	-                        	R                   	VR                     	-                    	F                 	VR             	-              	-                     	F                     	F                  	-                     	R                     	R                  	F           	F              	-                    	-                     	R                  	F                     	R                    	-                     	R                      	-                      	-                   	R                     	R             	VR                	-                 	R                     	R                 	F                         	F               	R                     	F               	VR                   	-                     	VR                 	-                    	F                 	-                        	-                              	R                        	VR                 	VR                        	R                           	-                       	-                    	R                          	-              	F                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	  7	H	CC	  10.00	     56.6000	Riedel   	Radiolarians                                 	               	                  	-             	-                    	-                       	-                      	-                     	-                    	R                   	-                    	-               	R              	-                     	-                         	R                             	F            	-                         	F                      	-                  	F               	-                	-                       	-                            	-                 	-                          	-                  	-             	-                    	-                   	-                                	F             	-                        	R                   	-                      	-                    	-                 	-              	R              	-                     	-                     	-                  	-                     	-                     	-                  	-           	-              	-                    	-                     	-                  	-                     	-                    	-                     	-                      	-                      	-                   	-                     	R             	-                 	-                 	-                     	-                 	-                         	-               	-                     	F               	-                    	-                     	R                  	-                    	R                 	-                        	-                              	-                        	R                  	-                         	-                           	-                       	-                    	R                          	R              	F                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	 10	H	CC	  34.00	     82.2900	Riedel   	Radiolarians                                 	               	                  	F             	-                    	-                       	-                      	-                     	R                    	-                   	R                    	R               	F              	-                     	-                         	R                             	R            	R                         	R                      	-                  	F               	-                	-                       	-                            	R                 	F                          	-                  	-             	-                    	-                   	-                                	F             	-                        	-                   	R                      	-                    	R                 	R              	-              	-                     	-                     	F                  	-                     	-                     	-                  	R           	R              	-                    	-                     	-                  	R                     	-                    	-                     	-                      	-                      	-                   	-                     	R             	-                 	R                 	-                     	-                 	-                         	R               	-                     	R               	-                    	-                     	-                  	-                    	R                 	-                        	-                              	-                        	R                  	-                         	-                           	-                       	-                    	R                          	F              	-                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

  SR	Pleistocene      	                 	                  	              	134	 832	A	 11	H	 2	  40.00	     83.9000	Riedel   	Radiolarians                                 	               	                  	F             	-                    	VR                      	-                      	F                     	R                    	R                   	R                    	-               	F              	R                     	R                         	R                             	F            	R                         	F                      	F                  	C               	R                	R                       	VR                           	R                 	F                          	-                  	-             	-                    	-                   	-                                	F             	-                        	-                   	-                      	-                    	-                 	VR             	-              	-                     	-                     	F                  	-                     	-                     	-                  	R           	F              	-                    	-                     	-                  	VR                    	R                    	R                     	-                      	VR                     	-                   	-                     	F             	R                 	-                 	-                     	-                 	-                         	R               	VR                    	F               	R                    	-                     	-                  	-                    	R                 	-                        	-                              	VR                       	R                  	-                         	-                           	-                       	R                    	R                          	R              	-                  	from ODP Leg 134 SR Chapter 14 Talbe 5 p 316

