Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbellosphaera irregularis	Syracosphaera pulchra	Sphenolithus abies/neoabies	Scapholithus fossilis	Rhabdosphaera clavigera	Pontosphaera sp.	Pontosphaera japonica	Oolithotus fragilis	Helicosphaera kamptneri	Gephyrocapsa spp. small (<3.5 microns)	Gephyrocapsa spp. large (>5.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Discoaster variabilis	Discoaster sp.	Discoaster brouweri	Cribrocentrum sp.	Coccolithus pelagicus	Ceratolithus sp.	Ceratolithus cristatus	Calcidiscus leptoporus	Discoaster surculus	Discoaster pentaradiatus	Discoaster quinqueramus	Reticulofenestra pseudoumbilica (>7microns)	Calcidiscus macintyrei	Ceratolithus telesmus	Discosphaera tubifera	Umbilicosphaera mirabilis	Emiliania huxleyi	Pseudoemiliania lacunosa	Pontosphaera discopora	Dictyococcites sp.	Comment
  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  2	H	 6	  34.00	     13.7400	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	R                     	C                     	rR                 	rS                      	rS                     	                                           	                      	                     	                     	R                        	C                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  3	H	 1	  47.00	     15.8700	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	S                     	C                     	rS                 	rS                      	rS                     	rR                                         	rC                    	                     	                     	R                        	C                	                        	rR                    	rR                	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  4	H	 1	  14.00	     18.6400	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rR                   	rS            	rR                 	                 	R                    	S               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	C                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  4	H	 3	  60.00	     22.1000	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	S                     	C                     	rS                 	rS                      	rR                     	rR                                         	rC                    	                     	                     	R                        	C                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  4	H	 5	  44.00	     24.9400	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rC                 	                 	S                    	S               	S                     	C                     	rS                 	rC                      	rS                     	rR                                         	rC                    	R                    	                     	R                        	A                	                        	rS                    	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  4	H	 7	   4.00	     27.5400	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	S               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	A                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  5	H	 1	  70.00	     28.7000	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	S               	R                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	S                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  6	H	 1	  51.00	     38.0100	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	C               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	S                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  6	H	 3	  54.00	     41.0400	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	C               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	C                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  6	H	 4	  52.00	     42.5200	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	C               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	C                	rR                      	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  7	H	 2	  93.00	     49.4300	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rC                   	S                      	S               	C                    	                   	S                      	V                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	C               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	R                    	                     	R                        	S                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  7	H	 4	  92.00	     52.4200	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	S                      	S               	C                    	                   	S                      	A                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	S               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	R                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  7	H	 6	  56.00	     55.0600	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rC                   	S                      	S               	C                    	                   	S                      	A                                     	C                                     	C                                      	rR                   	rS            	rR                 	                 	S                    	S               	S                     	C                     	rR                 	rR                      	rR                     	rR                                         	rC                    	                     	                     	R                        	R                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  8	H	 1	  70.00	     57.2000	Staerker 	Nannofossils                                 	               	                  	rR                        	C                    	rC                         	rR                   	S                      	R               	C                    	                   	                       	C                                     	                                      	C                                      	rR                   	rR            	rR                 	                 	S                    	S               	R                     	S                     	rR                 	rR                      	rR                     	rS                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  8	H	 3	  68.00	     60.1800	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rC                         	rR                   	S                      	R               	C                    	                   	                       	A                                     	                                      	C                                      	rR                   	rR            	rR                 	                 	R                    	S               	R                     	S                     	rR                 	rR                      	                       	rS                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  8	H	 3	  80.00	     60.3000	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	S                    	S               	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  9	H	 1	  58.00	     63.5800	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rR                   	S                      	R               	C                    	                   	R                      	V                                     	R                                     	C                                      	rR                   	rR            	rR                 	R                	R                    	S               	R                     	S                     	rR                 	rR                      	                       	rR                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  9	H	 3	  59.00	     66.5900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	                   	R                      	A                                     	R                                     	C                                      	rR                   	rR            	rR                 	R                	R                    	S               	R                     	S                     	                   	rR                      	                       	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  9	H	 5	  59.00	     69.5900	Staerker 	Nannofossils                                 	               	                  	rS                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	R                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	S               	R                     	S                     	rR                 	rR                      	                       	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	  9	H	 7	  49.00	     72.4900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	R                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	                       	rR                                         	rS                    	R                    	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 10	H	 1	  79.00	     73.2900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	R                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 10	H	 5	  79.00	     79.2900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 10	H	 7	  30.00	     81.8000	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	                	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 11	H	 1	  78.00	     82.7800	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	                   	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 11	H	 3	  55.00	     85.5500	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	C                      	R               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 11	H	 5	  55.00	     88.5500	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	rR                     	rR                                         	rS                    	                     	R                    	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 11	H	 7	  27.00	     91.2700	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	rR                     	rR                                         	rS                    	R                    	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 16	H	 1	  85.00	    116.8500	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	                   	rR                      	rR                     	rR                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 17	H	 1	  59.00	    126.0900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	R                  	R                      	V                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	rR                     	rR                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 17	H	 3	  59.00	    129.0900	Staerker 	Nannofossils                                 	               	                  	rR                        	A                    	rC                         	rR                   	S                      	R               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	S                     	rR                 	rR                      	rR                     	rR                                         	rS                    	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 18	H	 1	  65.00	    132.1500	Staerker 	Nannofossils                                 	               	                  	rR                        	C                    	rC                         	rR                   	S                      	S               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	R                     	S                     	                   	rR                      	rR                     	                                           	                      	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 18	H	 3	  65.00	    135.1500	Staerker 	Nannofossils                                 	               	                  	rR                        	C                    	rC                         	rR                   	S                      	S               	C                    	R                  	R                      	A                                     	S                                     	C                                      	                     	rR            	rR                 	S                	R                    	R               	S                     	C                     	                   	rR                      	                       	                                           	                      	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 19	H	 1	  59.00	    141.5900	Staerker 	Nannofossils                                 	               	                  	rR                        	C                    	rC                         	rR                   	S                      	S               	C                    	R                  	R                      	A                                     	S                                     	C                                      	                     	rR            	rR                 	S                	R                    	                	S                     	C                     	rR                 	                        	                       	                                           	                      	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Middle Pleistocene	                 	CN14b             	              	134	 832	A	 20	H	 1	  40.00	    145.4000	Staerker 	Nannofossils                                 	               	                  	rR                        	C                    	rC                         	rR                   	S                      	S               	C                    	R                  	R                      	A                                     	S                                     	C                                      	rR                   	rR            	rR                 	S                	R                    	R               	S                     	C                     	                   	                        	                       	                                           	                      	                     	                     	                         	                 	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

