Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stensioina beccariiformis	Spiroplectammina grzybowskii	Pullenia cretacea	Praebulimina spinata	Praebulimina reussi	Pleurostomella sp.	Osangularia sp.	Osangularia cordieriana	Notoplanulina aff. compressa	Lenticulina macrodisca	Gyroidinoides quadratus	Gyroidinoides nitidus	Gyroidinoides globosa	Globorotalites umbilicatus	Gavelinella velascoensis	Gavelinella sp. 2	Gavelinella sandidgei	Gavelinella eriksdalensis	Ellipsopolymorphina sp.	Ellipsoglandulina sp.	Dentalina sp.	Coryphostoma midwayensis	Anomalinoides sp.	Agglutinated sp.	Pyramidina sp. 1	Pleurostomella zuberi	Pleurostomella subnodosa	Oolina sp.	Notoplanulina rakauroana	Nodosaria aff. affinis	Lenticulina sp. 1	Gyroidina noda	Gavelinella sp. 1	Pyramidina triangularis	Osangularia velascoensis	Marssonella oxycona	Lenticulina navicula	Guttulina adhaerens	Globorotalites sp.	Dentalina marcki	Dentalina gracilis	Dentalina basitorta	Bolivinopsis rosula	Pyrulina aff. apiculata	Oolina apiculata	Aragonia sp. 1	Pyramidina sp. 2	Pullenia americana	Praebulimina cf. prolixa	Marginulina sp. 2	Gyroidinoides sp. 1	Glandulina manifesta	Frondicularia aff. steinecki	Dentalina sp B	Dentalina luma	Cibicides ribbingi	Dentalina sp. 2	Valvulineria lenticula	Stilostomella alexanderi	Quadrimorphina halli	Ceratobulimina cretacea	Alabamina dorsoplana	Stilostomella sp.	Nuttallinella coronula	Globulina lacrima	Glandulina sp.	Gavelinella stephensoni	Ellipsoidella solida	Dentalina inornata	Lagena sp.	Fissurina sp.	Osangularia texana	Marginulina sp.	Gyroidinoides goudkoffi	Arenobulimina americana	Gaudryina sp.	Frondicularia sp.	Ellipsoidella gracillima	Ellipsoglandulina velascoensis	Dentalina basiplanata	Stilostomella pseudoscripta	Dentalina sororia	Pyramidina szajnochae	Dentalina confluens	Saracenaria sp.	Ramulina sp.	Pleurostomella binaria	Oolina globosa	Nodosaria limbata	Marginulina curvatura	Gyroidinoides diversus	Guttulina sp.	Dorothia confraga	Praebulimina sp.	Gyroidinoides sp.	Bolivinoides granulatus	Stilostomella stephensoni	Conorboides sp.	Vaginulina sp.	Praebulimina aspera	Gyroidinoides concinna	Globimorphina sp.	Alabamina australis obscura	Quadrimorphina sp. 1	Lagena semiinterrupta	Praebulimina sp. 1	Marginulina bullata	Patellina subcretacea	Dentalina catenula	Alabamina australis	Gyroidinoides cf. nonionoides	Lenticulina sp. 2	Lagena grahami	Eouvigerina sculptura	Dentalina aff. consobrina	Charltonina ripleyensis	Bolivinoides draco draco	Bolivina  aff. pondi	Comment

  SR	                 	                 	                  	              	120	 750	A	 16	R	 4	  50.00	    360.8000	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	+                	                    	                   	                  	               	+                      	                            	                      	+                      	                     	                     	+                         	                        	                 	                     	                         	+                      	                     	             	                        	+                	                	+               	                     	                        	          	                        	                      	                 	              	                 	+                      	                        	+                  	                    	                   	                  	                	                  	                   	+                  	                       	                	              	                	+                 	                        	                 	+                  	                    	                            	              	              	                  	               	                      	+                       	                    	                       	                    	                 	                      	                 	              	                       	                    	+                 	          	             	                  	+              	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	+                     	             	                 	                	+                	+                      	                         	               	              	                   	                      	+                	                           	+                   	+                    	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 17	R	 1	  28.00	    365.5800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	D                           	                 	                    	+                  	                  	               	+                      	                            	                      	                       	                     	                     	+                         	+                       	                 	                     	                         	                       	                     	             	+                       	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	+               	+                 	                        	                 	                   	                    	                            	              	              	                  	               	                      	+                       	                    	                       	                    	                 	                      	                 	              	                       	                    	+                 	          	+            	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	+                	                       	                         	               	+             	+                  	+                     	+                	+                          	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 17	R	 2	  25.00	    367.0500	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	+                	                    	+                  	                  	+              	+                      	                            	                      	                       	                     	                     	+                         	                        	                 	                     	                         	                       	                     	             	                        	+                	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	+                  	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	+                        	+              	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 17	R	 3	  28.00	    368.5800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	                 	                    	D                  	                  	               	+                      	                            	                      	+                      	                     	                     	+                         	                        	                 	                     	                         	+                      	                     	             	+                       	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	+                      	                        	                   	                    	                   	                  	                	                  	+                  	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	+                      	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	+                          	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	+               	+                	+                      	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 17	R	 3	  55.00	    368.8500	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	+                	                    	                   	                  	               	+                      	                            	+                     	+                      	                     	                     	                          	+                       	                 	                     	+                        	                       	                     	             	+                       	+                	                	                	                     	                        	          	                        	                      	+                	+             	                 	+                      	                        	                   	                    	                   	                  	                	                  	+                  	+                  	                       	                	              	+               	+                 	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	+                     	                 	              	+                      	                    	                  	          	             	                  	               	                       	+                      	             	                 	                        	                              	                     	                           	                 	                     	                   	+              	+           	+                     	+             	+                	+                    	+                     	+            	+                	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 18	R	 1	  51.00	    375.5100	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	                 	                    	                   	                  	               	+                      	                            	                      	                       	+                    	                     	+                         	                        	                 	                     	+                        	                       	                     	             	                        	+                	                	                	                     	                        	          	                        	                      	+                	+             	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	+                      	                       	             	                 	                        	                              	                     	                           	                 	+                    	+                  	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 18	R	 2	  51.00	    377.0100	Quilty   	Benthic Foraminifers                         	               	                  	D                        	                            	                 	                    	+                  	                  	               	                       	                            	                      	                       	+                    	                     	                          	+                       	                 	                     	                         	                       	                     	             	                        	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	+                   	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	+                          	+                	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 18	R	 2	  77.00	    377.2700	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	+                	                    	+                  	                  	               	                       	                            	+                     	+                      	D                    	                     	+                         	+                       	                 	                     	+                        	                       	                     	             	                        	                 	                	                	                     	                        	+         	                        	+                     	+                	              	+                	                       	                        	                   	                    	                   	                  	                	                  	+                  	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	+                      	                    	                  	          	             	+                 	               	                       	                       	+            	+                	+                       	+                             	+                    	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 19	R	 1	  28.00	    384.9800	Quilty   	Benthic Foraminifers                         	               	                  	D                        	D                           	                 	                    	D                  	                  	               	+                      	                            	                      	+                      	                     	                     	                          	                        	                 	                     	                         	                       	                     	             	                        	+                	                	                	                     	                        	          	                        	                      	+                	+             	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	+                 	                        	                 	                   	                    	                            	              	              	                  	               	+                     	+                       	                    	                       	                    	                 	                      	                 	              	                       	                    	+                 	+         	             	+                 	+              	+                      	+                      	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 19	R	 2	  28.00	    386.4800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	                            	                 	                    	                   	                  	               	                       	                            	                      	                       	                     	                     	                          	                        	                 	                     	                         	                       	                     	             	+                       	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 19	R	 3	  28.00	    387.9800	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	                 	                    	+                  	                  	               	+                      	                            	                      	+                      	                     	                     	                          	                        	                 	                     	+                        	                       	                     	             	                        	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	+                  	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	+                   	                       	+                   	                 	                      	                 	              	                       	                    	                  	+         	+            	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 19	R	 3	  54.00	    388.2400	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	+                	                    	+                  	                  	               	+                      	                            	+                     	+                      	                     	                     	+                         	+                       	                 	                     	                         	                       	                     	             	                        	                 	                	                	                     	                        	          	                        	                      	                 	+             	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	+               	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	+                	+                     	+                	+             	+                      	+                   	+                 	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 20	R	 1	  50.00	    394.9000	Quilty   	Benthic Foraminifers                         	               	                  	D                        	                            	                 	                    	                   	                  	               	+                      	                            	                      	+                      	                     	                     	+                         	                        	                 	                     	                         	                       	                     	             	                        	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	+             	                	                  	                        	                 	+                  	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 20	R	 4	  50.00	    399.4000	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	                 	                    	                   	                  	               	                       	                            	+                     	+                      	+                    	                     	+                         	                        	                 	                     	                         	                       	                     	+            	                        	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	+                  	                    	                            	              	              	                  	               	+                     	+                       	+                   	+                      	+                   	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 20	R	 5	  50.00	    400.9000	Quilty   	Benthic Foraminifers                         	               	                  	                         	+                           	+                	                    	                   	                  	               	                       	                            	                      	                       	                     	                     	+                         	                        	                 	                     	                         	                       	                     	             	+                       	+                	                	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	+               	              	                	                  	                        	                 	+                  	                    	                            	              	              	                  	+              	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 20	R	 5	  94.00	    401.3400	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	                 	                    	                   	                  	               	                       	                            	+                     	+                      	                     	                     	+                         	                        	                 	                     	                         	                       	                     	             	+                       	+                	                	                	                     	                        	          	                        	+                     	                 	              	                 	                       	                        	+                  	                    	                   	                  	                	                  	                   	                   	                       	                	              	+               	+                 	+                       	+                	+                  	+                   	+                           	+             	+             	+                 	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 21	R	 1	  28.00	    404.2800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	                            	                 	                    	                   	                  	               	                       	                            	                      	+                      	+                    	                     	                          	+                       	                 	                     	                         	                       	                     	             	+                       	                 	                	                	                     	                        	          	                        	                      	                 	+             	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	+                      	+               	+             	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 21	R	 1	 128.00	    405.2800	Quilty   	Benthic Foraminifers                         	               	                  	D                        	+                           	+                	                    	+                  	+                 	               	                       	                            	+                     	+                      	+                    	                     	+                         	+                       	                 	                     	+                        	                       	                     	             	+                       	+                	                	                	                     	                        	          	+                       	                      	+                	+             	                 	+                      	+                       	+                  	+                   	+                  	+                 	+               	+                 	+                  	+                  	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 22	R	 1	  86.00	    414.4600	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	+                	                    	D                  	+                 	               	                       	                            	+                     	D                      	                     	                     	+                         	+                       	                 	+                    	                         	                       	                     	+            	                        	+                	                	+               	+                    	+                       	+         	+                       	+                     	+                	+             	+                	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 24	R	 1	  20.00	    442.8000	Quilty   	Benthic Foraminifers                         	               	                  	14.0%                    	12.0%                       	+                	+                   	D                  	+                 	+              	+                      	+                           	+                     	+                      	+                    	+                    	+                         	+                       	+                	+                    	+                        	+                      	+                    	+            	+                       	+                	+               	                	                     	                        	          	                        	                      	                 	              	                 	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

