Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia ampliapertura	Subbotina gortanii	Paragloborotalia opima nana	Globoquadrina tripartita	Chiloguembelina cubensis	Cassigerinella chipolensis	Globigerina ciperoensis	Paragloborotalia opima opima	Globigerina angulisuturalis	Paragloborotalia pseudokugleri	Globoquadrina binaiensis	Catapsydrax dissimilis	Paragloborotalia kugleri	Globoquadrina dehiscens	Globigerinoides trilobus	Dentoglobigerina altispira	Catapsydrax unicavus	Jenkinsella siakensis	Paragloborotalia mayeri	Globigerinoides altiapertura	Globorotalia praescitula	Globorotalia peripheroronda	Globigerinatella insueta	Praeorbulina sicana	Praeorbulina glomerosa	Globigerinoides ruber	Orbulina universa	Orbulina suturalis	Globorotalia peripheroacuta	Zeaglobigerina nepenthes	Globigerinoides sacculifer	Globigerinoides obliquus	Sphaeroidinellopsis seminulina	Globorotalia plesiotumida	Neogloboquadrina acostaensis	Globigerinoides extremus	Globigerinoides conglobatus	Sphaeroidinellopsis kochi	Sphaeroidinella dehiscens	Globorotalia tumida	Pulleniatina (S)	Globorotalia multicamerata	Globorotalia tosaensis	Globigerinoides fistulosus	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia truncatulinoides	Globorotalia menardii	Neogloboquadrina dutertrei	Globorotalia crassaformis	Globigerinoides ruber (pink)	Comment

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  5	H	CC	   0.00	     38.7800	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	                             	P                    	A                         	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  6	H	CC	  22.00	     48.6600	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	P                            	                     	A                         	R                        	                            	>0.75 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  7	H	CC	   0.00	     57.6200	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	A                   	R                            	R                    	A                         	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  8	H	CC	  13.00	     67.4600	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	P                   	R                            	R                    	A                         	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  9	H	CC	  19.00	     76.8700	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	R                        	                   	                	                          	                      	                          	F                           	F                   	P                            	                     	A                         	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	 10	H	CC	  18.00	     86.6400	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	R                        	R                  	                	                          	                      	                          	P                           	F                   	R                            	                     	F                         	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	 11	H	CC	   4.00	     95.9300	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	F                        	                   	                	                          	                      	                          	A                           	                    	P                            	F                    	                          	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	 12	H	CC	   0.00	    105.6300	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	F                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	F                        	                   	                	                          	                      	                          	A                           	                    	P                            	R                    	A                         	                         	                            	       

  IR	Late Pliocene    	Late Pliocene    	N22               	N22           	184	1148	A	 13	H	CC	   9.00	    114.6200	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	A                        	                   	                	                          	                      	P                         	F                           	R                   	P                            	R                    	                          	                         	                            	>1.6 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1148	A	 14	H	CC	   0.00	    123.8900	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	A                        	F                  	                	P                         	                      	                          	P                           	R                   	                             	                     	                          	                         	                            	>2.0 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1148	A	 15	H	CC	   0.00	    133.5400	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	A                        	F                  	                	R                         	                      	P                         	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1148	A	 16	H	CC	   0.00	    143.1700	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	A                        	F                  	                	P                         	P                     	                          	                            	                    	                             	                     	                          	                         	                            	<3.09 Ma

  IR	Early Pliocene   	Early Pliocene   	N20               	N20           	184	1148	A	 17	X	CC	  31.00	    153.0600	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	P                         	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	R                             	                         	                            	                        	                           	                         	F                        	R                  	                	P                         	                      	                          	                            	                    	                             	                     	                          	                         	                            	>3.35 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1148	A	 18	X	CC	  44.00	    161.5000	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	R                         	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	F                             	                         	                            	R                       	P                          	                         	R                        	F                  	P               	P                         	                      	                          	                            	                    	                             	                     	                          	                         	                            	>3.95 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1148	A	 19	X	CC	  21.00	    172.2700	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	P                       	                          	                        	F                             	                         	                            	                        	                           	P                        	P                        	R                  	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>4.2 Ma

  IR	Late Miocene     	Late Miocene     	N18               	N18           	184	1148	A	 20	X	CC	   0.00	    181.5600	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	R                       	                          	                        	A                             	                         	                            	                        	                           	P                        	P                        	P                  	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>5.54 Ma

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1148	A	 21	X	CC	  30.00	    191.5700	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	R                       	                          	                        	A                             	                         	P                           	                        	P                          	P                        	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>5.82 Ma

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1148	A	 22	X	CC	  26.00	    201.2200	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	R                       	                          	                        	A                             	                         	R                           	P                       	P                          	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<6.2 Ma

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1148	A	 23	X	CC	  13.00	    210.6800	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	A                             	                         	R                           	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1148	A	 24	X	CC	  41.00	    219.5800	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	R                       	                          	                        	                              	                         	R                           	P                       	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1148	A	 25	X	CC	  32.00	    230.1500	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	A                       	                          	R                       	A                             	                         	P                           	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1148	A	 26	X	CC	  40.00	    238.8500	forams   	Planktonic Foraminifers                      	A              	                  	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	P                       	                          	A                       	                              	P                        	P                           	P                       	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1148	A	 27	X	CC	  45.00	    249.4000	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	F                       	                          	R                       	A                             	P                        	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<8.58 Ma

  IR	Late Miocene     	Late Miocene     	N15               	N16           	184	1148	A	 28	X	CC	  23.00	    259.0000	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	F                	                  	                           	R                       	A                         	R                       	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N14               	N14           	184	1148	A	 29	X	CC	  26.00	    267.2000	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	R                    	F                      	                            	                        	                           	                        	                   	                      	                     	R                	                  	                           	P                       	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>10.49 Ma

  IR	Middle Miocene   	Middle Miocene   	N13               	N13           	184	1148	A	 30	X	CC	  29.00	    278.1700	forams   	Planktonic Foraminifers                      	A              	P                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	R                    	R                      	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>11.19 Ma

  IR	Middle Miocene   	Middle Miocene   	N13               	N13           	184	1148	A	 31	X	CC	  40.00	    287.7800	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	F                    	R                      	                            	                        	                           	                        	                   	                      	                     	R                	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<11.68 Ma

  IR	Middle Miocene   	Middle Miocene   	N10               	N10           	184	1148	A	 32	X	CC	  16.00	    297.2100	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	P                          	                        	                   	                      	                     	R                	P                 	R                          	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<14.8 Ma

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1148	A	 33	X	CC	  21.00	    306.9500	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	A                         	                    	F                    	R                      	                            	                        	R                          	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>15.1 Ma

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1148	A	 34	X	CC	  30.00	    316.7000	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	F                      	                            	                        	R                          	                        	P                  	P                     	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1148	A	 35	X	CC	  14.00	    326.2100	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	P                       	P                          	P                       	P                  	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1148	A	 36	X	CC	  35.00	    336.0200	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	R                       	P                          	P                       	P                  	P                     	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<16.4 Ma

  IR	Early Miocene    	Early Miocene    	N7                	N7            	184	1148	A	 37	X	CC	  19.00	    345.4800	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	R                      	                            	                        	P                          	P                       	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>16.4 Ma

  IR	Early Miocene    	Early Miocene    	N7                	N7            	184	1148	A	 38	X	CC	  32.00	    355.0900	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	R                    	                       	                            	P                       	P                          	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<17.3 Ma

  IR	Early Miocene    	Early Miocene    	N6                	N6            	184	1148	A	 39	X	CC	  26.00	    364.6400	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	P                       	P                     	                        	                       	                        	                          	                    	R                    	R                      	                            	P                       	P                          	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>17.3 Ma

  IR	Early Miocene    	Early Miocene    	N5                	N5            	184	1148	A	 40	X	CC	  26.00	    374.2100	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	P                     	                        	R                      	                        	                          	R                   	                     	R                      	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>18.5 Ma

  IR	Early Miocene    	Early Miocene    	N5                	N5            	184	1148	A	 41	X	CC	  40.00	    384.1200	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	F                     	                        	                       	                        	                          	P                   	                     	R                      	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N5                	N5            	184	1148	A	 42	X	CC	  24.00	    393.4500	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	P                       	F                     	                        	                       	                        	                          	P                   	P                    	R                      	P                           	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N4                	N4            	184	1148	A	 43	X	CC	  36.00	    403.1100	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	P                             	                        	R                     	R                       	                       	                        	                          	                    	P                    	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>21.5 Ma

  IR	Early Miocene    	Early Miocene    	N4                	N4            	184	1148	A	 44	X	CC	  38.00	    413.0300	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	P                             	                        	R                     	R                       	P                      	                        	                          	P                   	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N4                	N4            	184	1148	A	 45	X	CC	  41.00	    422.7700	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	R                             	P                       	                      	F                       	P                      	                        	R                         	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N4                	N4            	184	1148	A	 46	X	CC	  42.00	    431.8400	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	R                             	                        	P                     	R                       	P                      	                        	P                         	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N4                	N4            	184	1148	A	 47	X	CC	  41.00	    442.0900	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	F                             	                        	                      	R                       	R                      	P                       	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<23.2 Ma

  IR	Late Oligocene   	Late Oligocene   	P22               	P22           	184	1148	A	 48	X	CC	  20.00	    450.3400	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	P                          	                        	                        	                          	R                      	                            	                           	R                             	                        	P                     	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>23.8 Ma

  IR	Early Miocene    	Late Oligocene   	P22               	P22           	184	1148	A	 49	X	CC	  48.00	    460.4800	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	R                          	                        	                        	                          	                       	                            	P                          	R                             	P                       	P                     	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	<25.9 Ma

  IR	Late Oligocene   	Late Oligocene   	P21b              	P21b          	184	1148	A	 50	X	CC	  34.00	    465.0800	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	A                           	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	>27.1 Ma

  IR	Late Oligocene   	Late Oligocene   	P21b              	P21b          	184	1148	A	 51	X	CC	  30.00	    468.4600	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	A                           	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	                     	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	                            	                    	                             	                     	                          	                         	                            	       

