Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1456B-3H-2-A,75,101,12.35,12.61,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-2-A,101,114,12.61,12.74,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),80,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 4/10Y (dark greenish gray),20,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1456B-3H-3-A,0,3,13.1,13.13,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),90,very fine sand,3,very fine sand,3,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,gradational,,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-3-A,3,24,13.13,13.34,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,gradational,,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-3-A,24,43,13.34,13.53,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,gray,GLEY 1 4/10GY (dark greenish gray),20,clay,1,fine sand,4,,20,gradational,,,,,,,,,,,,,,,
355-U1456B-3H-3-A,43,64,13.53,13.74,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 4/10Y (dark greenish gray),,silt,2,silt,2,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,gray,GLEY 1 4/10Y (dark greenish gray),30,silt,2,fine sand,4,,30,gradational,gradational,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-3-A,64,85,13.74,13.95,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10GY (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,silt,2,,100,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-3-A,85,95,13.95,14.05,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 4/10Y (dark greenish gray),70,very fine sand,3,very fine sand,3,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 4/10Y (dark greenish gray),30,clay,1,clay,1,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-3-A,95,114,14.05,14.24,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-4-A,0,23,14.6,14.83,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,silt,2,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-4-A,23,49,14.83,15.09,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-4-A,49,81,15.09,15.41,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),50,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,dark green,GLEY 1 3/10Y (very dark greenish gray),50,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-4-A,81,105,15.41,15.65,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-4-A,105,114,15.65,15.74,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,dark green,GLEY 1 3/10Y (very dark greenish gray),30,fine sand,4,fine sand,4,,100,,,,,,,,,,,,,,,,
355-U1456B-3H-5-A,0,7,16.1,16.17,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,7,19,16.17,16.29,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,19,28,16.29,16.38,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,28,42,16.38,16.52,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,42,70,16.52,16.8,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,dark green,GLEY 1 3/10Y (very dark greenish gray),30,fine sand,4,fine sand,4,,100,erosive,sharp,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,70,81,16.8,16.91,,foraminifer rich,sand,,foraminifer rich sand,,,dark green,GLEY 1 3/10Y (very dark greenish gray),70,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 4/10Y (dark greenish gray),30,clay,1,clay,1,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,81,91,16.91,17.01,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,91,106,17.01,17.16,,foraminifer rich,sand,,foraminifer rich sand,,,dark green,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-5-A,106,114,17.16,17.24,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-3H-6-A,0,2,17.6,17.62,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,gradational,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,2,21,17.62,17.81,,foraminifer rich,sand,,foraminifer rich sand,,,green,GLEY 1 4/10Y (dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,21,43,17.81,18.03,,foraminifer rich,sand,,foraminifer rich sand,,,green,GLEY 1 4/10Y (dark greenish gray),60,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 4/10Y (dark greenish gray),40,clay,1,clay,1,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,43,54,18.03,18.14,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,,thinly bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,54,81,18.14,18.41,,foraminifer rich,sand,,foraminifer rich sand,,,green,GLEY 1 4/10Y (dark greenish gray),90,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 4/10Y (dark greenish gray),10,clay,1,clay,1,,100,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,81,103,18.41,18.63,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light green,GLEY 1 5/10Y (greenish gray),30,clay,1,silt,2,,100,erosive,sharp,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-6-A,103,114,18.63,18.74,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-3H-7-A,0,38,19.1,19.48,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),70,clay,1,fine sand,4,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10Y (light greenish grey),30,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1456B-3H-CC-A,0,22,19.48,19.7,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),70,clay,1,fine sand,4,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10Y (light greenish grey),30,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1456B-4H,0,943,19.6,29.03,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-1-A,0,20,19.6,19.8,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),95,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10GY (light greenish grey),5,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-1-A,20,37,19.8,19.97,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,green,GLEY 1 4/10Y (dark greenish gray),20,fine sand,4,fine sand,4,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-4H-1-A,37,58,19.97,20.18,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,foraminifer rich,nannofossil ooze,with silt,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with silt,nannofossil ooze with silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-4H-1-A,58,69,20.18,20.29,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-1-A,69,87,20.29,20.47,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),50,clay,1,clay,1,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,green,GLEY 1 4/10Y (dark greenish gray),50,very fine sand,3,very fine sand,3,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-4H-1-A,87,103,20.47,20.63,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,,,,,,,,,,,,,
355-U1456B-4H-1-A,103,114,20.63,20.74,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-2-A,0,2,21.1,21.12,,silty,sand,,silty sand,,,dark gray,GLEY 1 3/N (very dark gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-4H-2-A,2,38,21.12,21.48,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 4/10Y (dark greenish gray),95,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),5,silt,2,silt,2,,100,erosive,sharp,,thickly bedded,,,,,slight,2,,,,,,
355-U1456B-4H-2-A,38,57,21.48,21.67,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-2-A,57,79,21.67,21.89,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),90,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,white,GLEY 1 6/10Y (greenish gray),10,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-2-A,79,116,21.89,22.26,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-3-A,0,12,22.6,22.72,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,sharp,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-3-A,12,23,22.72,22.83,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),90,clay,1,clay,1,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,white,GLEY 1 7/10Y (light greenish grey),10,silt,2,silt,2,,100,erosive,sharp,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-3-A,23,34,22.83,22.94,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,sharp,,medium bedded,,,,,,,,,,,,
