Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita humilis,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis (sin.),Orbulina universa,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globorotalia margaritae,Globorotalia juanai,Globorotalia cibaoensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinoides extremus,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Globorotalia theyeri,Neogloboquadrina dutertrei,Globorotalia limbata (sin.),Globorotalia limbata (dex.),Globigerina falconensis (?),Globorotalia tumida,Candeina nitida,Beella praedigitata,Sphaeroidinella dehiscens,Pulleniatina primalis (dex.),Globorotalia miocenica,Globigerinoides ruber (white),Globorotalia anfracta,Globorotalia puncticulata,Globorotalia inflata,Globorotalia ungulata,Globorotalia tosaensis,Globoquadrina conglomerata,Globigerinella calida,Tenuitellid taxa,Globigerina rubescens,Globigerina quinqueloba,Globorotalia truncatulinoides,Globorotalia crassula,Pulleniatina obliquiloculata,Globigerinoides tenellus,Globigerinoides fistulosus,Globorotalia crassaformis,Globigerinoides ruber (pink),Turborotalita quinqueloba,P-D intergrade,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia menardii,Globorotalia hirsuta,Globorotalia flexuosa,Globoquadrina hexagona,Globigerinoides sacculifera (with sack),Globigerinoides conglobatus,Globigerina falconensis,Globigerina digitata,Globigerina calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  57.00,      0.5700,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.7%              ,                                  ,                                  ,                         ,                            ,                        ,.2%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.4%                                      ,                          ,                        ,                        ,                   ,1.5%                   ,                    ,.7%                          ,                 ,                     ,14.7%                ,                    ,                          ,.0%                 ,30.0%                     ,                           ,                           ,                           ,.7%                ,               ,                   ,.0%                      ,                            ,                      ,2.4%                         ,.0%                  ,                         ,14.0%               ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.2%                         ,.2%                     ,                          ,1.8%                     ,.0%                         ,.0%                      ,13.4%         ,.4%                                    ,10.3%                                ,.0%                                 ,.0%                                 ,3.5%                 ,.0%                 ,.0%                  ,.2%                   ,.7%                                    ,.2%                        ,1.3%                   ,.4%                 ,.7%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  75.00,      0.7500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.1%             ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.2%                                      ,                          ,                        ,                        ,                   ,2.7%                   ,                    ,.2%                          ,                 ,                     ,8.7%                 ,                    ,                          ,.0%                 ,36.4%                     ,                           ,                           ,                           ,.9%                ,               ,                   ,.0%                      ,                            ,                      ,4.9%                         ,.0%                  ,                         ,18.5%               ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.7%                         ,.0%                     ,                          ,1.6%                     ,.0%                         ,.0%                      ,11.4%         ,.0%                                    ,6.9%                                 ,.0%                                 ,.0%                                 ,3.4%                 ,.0%                 ,.0%                  ,.5%                   ,.2%                                    ,.0%                        ,.2%                    ,.0%                 ,.2%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  90.00,      0.9000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.6%             ,                                  ,                                  ,                         ,                            ,                        ,.4%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.4%                                      ,                          ,                        ,                        ,                   ,2.9%                   ,                    ,.9%                          ,                 ,                     ,7.8%                 ,                    ,                          ,.0%                 ,34.9%                     ,                           ,                           ,                           ,.4%                ,               ,                   ,.0%                      ,                            ,                      ,4.0%                         ,.0%                  ,                         ,23.8%               ,                     ,                      ,.0%                       ,                     ,                ,.2%                  ,                       ,                             ,                     ,1.1%                        ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,6.9%          ,.4%                                    ,3.6%                                 ,.0%                                 ,.0%                                 ,7.6%                 ,.0%                 ,.0%                  ,.7%                   ,.2%                                    ,.0%                        ,1.3%                   ,.0%                 ,.2%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1, 105.00,      1.0500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.5%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.0%                                      ,                          ,                        ,                        ,                   ,1.0%                   ,                    ,.5%                          ,                 ,                     ,8.5%                 ,                    ,                          ,.0%                 ,40.0%                     ,                           ,                           ,                           ,.5%                ,               ,                   ,.0%                      ,                            ,                      ,4.4%                         ,.0%                  ,                         ,19.3%               ,                     ,                      ,.0%                       ,                     ,                ,.8%                  ,                       ,                             ,                     ,.3%                         ,.0%                     ,                          ,.8%                      ,.0%                         ,.3%                      ,9.5%          ,.3%                                    ,3.4%                                 ,.0%                                 ,.0%                                 ,8.3%                 ,.0%                 ,.0%                  ,.3%                   ,.0%                                    ,.0%                        ,.0%                    ,.5%                 ,.3%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1, 121.00,      1.2100,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.8%              ,                                  ,                                  ,                         ,                            ,                        ,.4%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,1.2%                                     ,                          ,                        ,                        ,                   ,2.7%                   ,                    ,1.0%                         ,                 ,                     ,9.6%                 ,                    ,                          ,.0%                 ,53.6%                     ,                           ,                           ,                           ,.4%                ,               ,                   ,.0%                      ,                            ,                      ,3.1%                         ,.0%                  ,                         ,1.0%                ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.2%                         ,.2%                     ,                          ,1.2%                     ,.0%                         ,.0%                      ,8.2%          ,.2%                                    ,5.7%                                 ,.0%                                 ,.0%                                 ,6.3%                 ,.0%                 ,.0%                  ,1.0%                  ,.6%                                    ,.4%                        ,.2%                    ,.4%                 ,1.2%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1, 135.00,      1.3500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.7%             ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.0%                                      ,                          ,                        ,                        ,                   ,2.5%                   ,                    ,.6%                          ,                 ,                     ,9.8%                 ,                    ,                          ,.0%                 ,55.6%                     ,                           ,                           ,                           ,.6%                ,               ,                   ,.0%                      ,                            ,                      ,3.1%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.0%                         ,.0%                     ,                          ,.6%                      ,.0%                         ,.0%                      ,10.4%         ,.2%                                    ,4.2%                                 ,.0%                                 ,.0%                                 ,8.7%                 ,.0%                 ,.0%                  ,.4%                   ,.2%                                    ,.0%                        ,.6%                    ,.4%                 ,.4%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,   0.00,      1.5000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.2%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.0%                                      ,                          ,                        ,                        ,                   ,2.8%                   ,                    ,.6%                          ,                 ,                     ,11.3%                ,                    ,                          ,.0%                 ,52.3%                     ,                           ,                           ,                           ,1.2%               ,               ,                   ,.0%                      ,                            ,                      ,3.8%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.2%                       ,                     ,                ,.2%                  ,                       ,                             ,                     ,.6%                         ,.4%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,10.7%         ,.2%                                    ,7.7%                                 ,.0%                                 ,.0%                                 ,5.2%                 ,.0%                 ,.0%                  ,.8%                   ,.0%                                    ,.2%                        ,.6%                    ,.2%                 ,.8%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  22.00,      1.7200,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.2%             ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.3%                                      ,                          ,                        ,                        ,                   ,2.2%                   ,                    ,.5%                          ,                 ,                     ,10.3%                ,                    ,                          ,.0%                 ,56.8%                     ,                           ,                           ,                           ,.5%                ,               ,                   ,.2%                      ,                            ,                      ,3.8%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.2%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.2%                         ,.0%                     ,                          ,.2%                      ,.0%                         ,.2%                      ,9.6%          ,.0%                                    ,6.9%                                 ,.0%                                 ,.0%                                 ,5.2%                 ,.0%                 ,.0%                  ,.0%                   ,.7%                                    ,.0%                        ,.5%                    ,.0%                 ,.5%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  35.00,      1.8500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.0%             ,                                  ,                                  ,                         ,                            ,                        ,.2%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.2%                                      ,                          ,                        ,                        ,                   ,2.5%                   ,                    ,.6%                          ,                 ,                     ,15.8%                ,                    ,                          ,.0%                 ,49.5%                     ,                           ,                           ,                           ,.6%                ,               ,                   ,.0%                      ,                            ,                      ,3.5%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.4%                  ,                       ,                             ,                     ,1.0%                        ,.0%                     ,                          ,.0%                      ,.0%                         ,.2%                      ,8.7%          ,.4%                                    ,7.7%                                 ,.0%                                 ,.0%                                 ,4.6%                 ,.0%                 ,.0%                  ,.4%                   ,.0%                                    ,.0%                        ,.8%                    ,.0%                 ,1.7%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  50.00,      2.0000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.0%             ,                                  ,                                  ,                         ,                            ,                        ,.3%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.3%                                      ,                          ,                        ,                        ,                   ,1.2%                   ,                    ,1.0%                         ,                 ,                     ,16.1%                ,                    ,                          ,.0%                 ,42.0%                     ,                           ,                           ,                           ,1.2%               ,               ,                   ,.0%                      ,                            ,                      ,4.2%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.5%                  ,                       ,                             ,                     ,.5%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,16.3%         ,.5%                                    ,4.9%                                 ,.0%                                 ,.0%                                 ,5.4%                 ,.0%                 ,.0%                  ,.7%                   ,.5%                                    ,.0%                        ,1.0%                   ,.3%                 ,1.2%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  65.00,      2.1500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.2%              ,                                  ,                                  ,                         ,                            ,                        ,.7%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.2%                                      ,                          ,                        ,                        ,                   ,3.2%                   ,                    ,.5%                          ,                 ,                     ,14.8%                ,                    ,                          ,.0%                 ,34.2%                     ,                           ,                           ,                           ,.0%                ,               ,                   ,.0%                      ,                            ,                      ,3.0%                         ,.0%                  ,                         ,18.5%               ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.2%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.2%                      ,12.5%         ,.2%                                    ,7.2%                                 ,.0%                                 ,.0%                                 ,2.8%                 ,.0%                 ,.0%                  ,.5%                   ,.0%                                    ,.0%                        ,.2%                    ,.2%                 ,.0%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  78.00,      2.2800,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.7%              ,                                  ,                                  ,                         ,                            ,                        ,.7%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.3%                                      ,                          ,                        ,                        ,                   ,1.7%                   ,                    ,.3%                          ,                 ,                     ,11.8%                ,                    ,                          ,.0%                 ,41.9%                     ,                           ,                           ,                           ,.3%                ,               ,                   ,.0%                      ,                            ,                      ,3.5%                         ,.0%                  ,                         ,12.8%               ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.5%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,10.8%         ,.7%                                    ,6.9%                                 ,.0%                                 ,.0%                                 ,4.7%                 ,.0%                 ,.0%                  ,.5%                   ,.5%                                    ,.0%                        ,.3%                    ,.7%                 ,.5%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2,  90.00,      2.4000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.8%             ,                                  ,                                  ,                         ,                            ,                        ,.6%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.3%                                      ,                          ,                        ,                        ,                   ,1.5%                   ,                    ,.3%                          ,                 ,                     ,8.3%                 ,                    ,                          ,.0%                 ,50.5%                     ,                           ,                           ,                           ,.9%                ,               ,                   ,.0%                      ,                            ,                      ,1.8%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.3%                  ,                       ,                             ,                     ,.0%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,15.9%         ,.0%                                    ,9.5%                                 ,.0%                                 ,.0%                                 ,4.9%                 ,.0%                 ,.0%                  ,.3%                   ,.6%                                    ,.0%                        ,1.8%                   ,.0%                 ,.0%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2, 105.00,      2.5500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.6%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.6%                                      ,                          ,                        ,                        ,                   ,1.9%                   ,                    ,.0%                          ,                 ,                     ,4.7%                 ,                    ,                          ,.0%                 ,54.2%                     ,                           ,                           ,                           ,.0%                ,               ,                   ,.0%                      ,                            ,                      ,5.3%                         ,.0%                  ,                         ,.3%                 ,                     ,                      ,.3%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.3%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,11.8%         ,.3%                                    ,8.4%                                 ,.0%                                 ,.0%                                 ,8.4%                 ,.0%                 ,.0%                  ,.3%                   ,.0%                                    ,.0%                        ,.9%                    ,.3%                 ,.9%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
