Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster (unspecified taxon or taxa),Eucyrtidium (unspecified taxon or taxa),Carpocanistrum (unspecified taxon or taxa),Spongaster tetras tetras,Botryostrobus auritus/australis,Axoprunum angelinum,Amphirhopalum ypsilon,Didymocyrtis tetrathalamus,Tetrapyle octacantha,Lamprocyclas maritalis maritalis,Dictyophimus hirundo group.,Theocorythium trachelium dianae,Dictyocoryne truncatum,Stylochlamidium asteriscus,Hymeniastrum euclidis,Spongocore puella,Plectopyramis dodecomma,Spongaster tetras,Pterocanium praetextum,Druppatractus acquilonius,Euchitonia furcata,Peripyramis circumtexta,Comment
  SR,                 ,                 ,                  ,              ,126, 791,B, 17,R,CC,   9.00,    540.9900,Aitchison,Radiolarians                                 ,R              ,M                 ,                                      ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,R                ,                      ,R                        ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 18,R,CC,   0.00,    551.1800,Aitchison,Radiolarians                                 ,R              ,P                 ,R                                     ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 20,R,CC,  20.00,    570.0500,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,F                                      ,                                          ,F                       ,R                              ,                   ,F                    ,                          ,F                   ,                                ,                           ,                               ,R                     ,                          ,                     ,                 ,                       ,                 ,                      ,R                        ,R                 ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 21,R,CC,  11.00,    579.4100,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,F                                      ,F                                         ,                        ,                               ,                   ,F                    ,                          ,R                   ,                                ,                           ,                               ,                      ,F                         ,                     ,                 ,                       ,F                ,                      ,R                        ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 22,R,CC,   0.00,    589.8800,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,F                                      ,F                                         ,                        ,R                              ,                   ,R                    ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 23,R,CC,  14.00,    604.0300,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,R                                      ,                                          ,                        ,                               ,                   ,                     ,                          ,R                   ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,F                ,R                     ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 24,R,CC,   4.00,    609.5900,Aitchison,Radiolarians                                 ,F              ,M                 ,                                      ,                                       ,                                          ,F                       ,                               ,R                  ,F                    ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 25,R,CC,  10.00,    621.0600,Aitchison,Radiolarians                                 ,F              ,M                 ,F                                     ,R                                      ,F                                         ,                        ,R                              ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 26,R,CC,   0.00,    628.6100,Aitchison,Radiolarians                                 ,F              ,M                 ,                                      ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,R                ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 27,R,CC,   0.00,    637.8100,Aitchison,Radiolarians                                 ,R              ,M                 ,                                      ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,R                ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 28,R,CC,  10.00,    652.3900,Aitchison,Radiolarians                                 ,F              ,G                 ,                                      ,F                                      ,                                          ,F                       ,R                              ,                   ,R                    ,                          ,R                   ,R                               ,                           ,                               ,                      ,                          ,                     ,R                ,R                      ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 29,R,CC,   0.00,    656.4800,Aitchison,Radiolarians                                 ,R              ,M                 ,R                                     ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 30,R,CC,   9.00,    671.8900,Aitchison,Radiolarians                                 ,F              ,M                 ,F                                     ,R                                      ,                                          ,                        ,                               ,F                  ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,R                         ,R                    ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 31,R,CC,   7.00,    680.4700,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,R                                      ,                                          ,F                       ,R                              ,                   ,R                    ,                          ,R                   ,                                ,                           ,R                              ,R                     ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 33,R,CC,   0.00,    695.2400,Aitchison,Radiolarians                                 ,F              ,P                 ,R                                     ,                                       ,R                                         ,                        ,                               ,                   ,R                    ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 34,R,CC,  11.00,    711.1100,Aitchison,Radiolarians                                 ,F              ,M                 ,                                      ,R                                      ,F                                         ,                        ,R                              ,                   ,R                    ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 36,R,CC,  11.00,    729.9400,Aitchison,Radiolarians                                 ,R              ,M                 ,F                                     ,R                                      ,F                                         ,                        ,                               ,                   ,                     ,                          ,                    ,R                               ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 37,R,CC,   8.00,    735.7600,Aitchison,Radiolarians                                 ,C              ,G                 ,                                      ,F                                      ,F                                         ,F                       ,R                              ,                   ,F                    ,                          ,                    ,                                ,R                          ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 38,R,CC,  12.00,    748.0000,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,F                                      ,F                                         ,F                       ,                               ,R                  ,F                    ,R                         ,F                   ,R                               ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 39,R,CC,  21.00,    755.4900,Aitchison,Radiolarians                                 ,C              ,G                 ,                                      ,                                       ,F                                         ,F                       ,                               ,R                  ,F                    ,                          ,R                   ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 40,R,CC,  10.00,    765.7900,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,R                                      ,R                                         ,F                       ,                               ,R                  ,R                    ,R                         ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 41,R,CC,  21.00,    776.0400,Aitchison,Radiolarians                                 ,F              ,M                 ,                                      ,R                                      ,                                          ,R                       ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 42,R,CC,  10.00,    785.7500,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,                                       ,F                                         ,F                       ,F                              ,R                  ,R                    ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 43,R,CC,  14.00,    792.6000,Aitchison,Radiolarians                                 ,R              ,M                 ,R                                     ,                                       ,R                                         ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 44,R,CC,   7.00,    803.4100,Aitchison,Radiolarians                                 ,R              ,M                 ,R                                     ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 45,R,CC,  16.00,    813.6100,Aitchison,Radiolarians                                 ,R              ,M                 ,R                                     ,R                                      ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
