Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globigerinoides obliquus obliquus	Globigerina nepenthes	Globigerina decoraperta	Globorotalia merotumida	Globorotalia margaritae	Globorotalia cibaoensis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinita glutinata	Neogloboquadrina acostaensis (dextral)	Globigerinoides obliquus extremus	Globorotaloides hexagona	Globorotalia scitula	Globorotalia plesiotumida	Globorotalia conomiozea	Globigerinella aequilateralis	Globigerina bulloides	Pulleniatina praecursor	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina humerosa	Globorotalia puncticulata	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globigerinoides conglobatus	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis (sinistral)	Globorotalia tumida	Globorotalia menardii	Globigerina apertura	Globorotalia multicamerata	Globorotalia miocenica	Globigerinoides ruber (white)	Globigerina falconensis	Globorotalia exilis	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia pertenuis	Beella digitata	Globorotalia tosaensis	Globigerinella obesa	Pulleniatina obliquiloculata	Globorotalia inflata	Globigerina rubescens	Globorotalia crassaformis hessi	Globigerinoides tenellus	Globorotalia truncatulinoides	Globorotalia crassaformis viola	Globigerina quinqueloba	Globigerinoides ruber (pink)	Comment

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  5	H	CC	   4.00	     44.6800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	R                	F                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	                                 	                        	                    	                         	                       	                             	F                    	                       	                                       	                         	                         	                    	R                                     	R                          	                          	                                        	                   	                     	                    	                          	                      	A                            	                       	                   	                     	R                        	                      	               	                      	                    	R                           	F                   	                     	R                              	                        	R                            	R                              	R                      	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  6	H	CC	   5.00	     54.7000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	C                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	                                 	                        	R                   	                         	                       	                             	F                    	                       	                                       	                         	                         	                    	F                                     	R                          	                          	                                        	                   	R                    	                    	                          	                      	R                            	R                      	                   	R                    	R                        	                      	               	R                     	                    	                            	R                   	                     	                               	                        	R                            	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  7	H	 4	 139.00	     60.5900	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	F                	A                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	F                      	                                      	                                 	                        	R                   	                         	                       	R                            	R                    	                       	                                       	F                        	                         	                    	R                                     	                           	R                         	                                        	                   	C                    	                    	                          	                      	F                            	                       	                   	R                    	                         	                      	               	                      	R                   	                            	                    	                     	R                              	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL6               	              	108	 657	A	  7	H	 6	  79.00	     62.9900	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	R                	A                                    	R                                	                     	                       	                       	                       	                       	                       	F                       	F                         	F                      	F                                     	                                 	R                       	                    	                         	                       	                             	F                    	                       	                                       	                         	                         	                    	                                      	                           	F                         	                                        	                   	                     	                    	                          	                      	C                            	                       	                   	                     	                         	                      	               	                      	R                   	                            	                    	                     	R                              	R                       	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL6               	              	108	 657	A	  7	H	CC	  19.00	     63.6800	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	F                	A                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	C                                     	R                                	                        	R                   	                         	                       	R                            	F                    	                       	                                       	                         	                         	                    	R                                     	                           	F                         	                                        	                   	R                    	                    	                          	                      	F                            	                       	                   	R                    	R                        	                      	               	                      	R                   	R                           	R                   	R                    	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL5               	              	108	 657	A	  8	H	 2	  21.00	     65.9100	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	C                                    	R                                	                     	R                      	                       	                       	                       	                       	R                       	F                         	R                      	F                                     	                                 	R                       	R                   	                         	                       	                             	F                    	                       	                                       	F                        	                         	                    	R                                     	                           	F                         	                                        	                   	                     	                    	                          	R                     	C                            	                       	                   	                     	                         	                      	               	                      	R                   	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL5               	              	108	 657	A	  8	H	 3	 101.00	     68.2100	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	F                	F                                    	                                 	                     	R                      	                       	                       	                       	                       	F                       	F                         	R                      	F                                     	                                 	                        	R                   	                         	                       	R                            	                     	                       	                                       	C                        	R                        	                    	R                                     	R                          	                          	                                        	                   	                     	                    	                          	R                     	F                            	                       	                   	R                    	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL5               	              	108	 657	A	  8	H	CC	   7.00	     71.4900	Weaver   	Planktonic Foraminifers                      	F              	M                 	                              	                 	F                                    	                                 	                     	R                      	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	F                                	                        	R                   	                         	                       	R                            	R                    	                       	                                       	                         	R                        	                    	F                                     	R                          	C                         	                                        	                   	R                    	                    	                          	F                     	R                            	R                      	R                  	                     	R                        	                      	               	R                     	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL5               	              	108	 657	A	  9	H	CC	  20.00	     82.0800	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	R                	R                                    	                                 	                     	F                      	                       	                       	                       	                       	R                       	R                         	R                      	C                                     	F                                	                        	R                   	                         	                       	R                            	R                    	                       	                                       	R                        	F                        	                    	F                                     	R                          	                          	                                        	                   	R                    	                    	R                         	F                     	F                            	                       	F                  	                     	                         	                      	               	R                     	R                   	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL3               	              	108	 657	A	 10	H	 1	 130.00	     84.5000	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	R                	C                                    	F                                	                     	C                      	                       	                       	                       	F                      	R                       	R                         	F                      	F                                     	R                                	R                       	R                   	                         	                       	R                            	F                    	                       	                                       	F                        	C                        	R                   	R                                     	                           	F                         	                                        	                   	R                    	                    	                          	                      	                             	                       	                   	                     	R                        	R                     	R              	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL3               	              	108	 657	A	 10	H	CC	  16.00	     92.6400	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                	F                                    	                                 	                     	F                      	                       	                       	                       	R                      	R                       	R                         	R                      	F                                     	R                                	F                       	R                   	                         	                       	R                            	R                    	                       	                                       	R                        	R                        	R                   	R                                     	R                          	R                         	                                        	                   	                     	R                   	                          	R                     	R                            	R                      	R                  	R                    	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL3               	              	108	 657	A	 11	H	CC	  18.00	    100.7500	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                	R                                    	                                 	                     	F                      	                       	                       	                       	R                      	R                       	R                         	F                      	F                                     	R                                	R                       	R                   	                         	                       	R                            	R                    	                       	                                       	                         	C                        	R                   	R                                     	R                          	                          	                                        	                   	                     	                    	R                         	R                     	R                            	R                      	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL2               	              	108	 657	A	 12	H	CC	  18.00	    104.7200	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                	                                     	F                                	                     	R                      	                       	R                      	                       	R                      	R                       	R                         	F                      	F                                     	R                                	R                       	R                   	                         	                       	                             	R                    	                       	                                       	F                        	A                        	                    	R                                     	                           	                          	                                        	                   	R                    	R                   	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL2               	              	108	 657	A	 13	H	CC	  14.00	    113.1000	Weaver   	Planktonic Foraminifers                      	A              	G                 	F                             	R                	C                                    	F                                	                     	C                      	F                      	R                      	                       	R                      	F                       	R                         	F                      	                                      	R                                	R                       	                    	F                        	                       	                             	R                    	                       	                                       	F                        	C                        	                    	R                                     	R                          	F                         	                                        	R                  	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL2               	              	108	 657	A	 14	H	CC	  25.00	    128.1100	Weaver   	Planktonic Foraminifers                      	C              	M                 	R                             	R                	A                                    	R                                	                     	                       	R                      	R                      	                       	R                      	                        	                          	C                      	C                                     	F                                	R                       	                    	F                        	                       	                             	                     	                       	C                                      	                         	                         	                    	                                      	                           	R                         	F                                       	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL2               	              	108	 657	A	 15	H	 1	  87.00	    131.5700	Weaver   	Planktonic Foraminifers                      	C              	M                 	R                             	R                	C                                    	                                 	R                    	                       	                       	R                      	                       	                       	R                       	                          	C                      	                                      	R                                	R                       	                    	                         	                       	R                            	R                    	R                      	F                                      	F                        	C                        	R                   	C                                     	R                          	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL1               	              	108	 657	A	 15	H	 3	  80.00	    134.5000	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                	F                                    	R                                	R                    	                       	                       	R                      	                       	R                      	R                       	R                         	R                      	F                                     	                                 	R                       	                    	                         	                       	R                            	R                    	                       	                                       	                         	                         	                    	                                      	                           	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL1               	              	108	 657	A	 15	H	CC	  26.00	    137.4000	Weaver   	Planktonic Foraminifers                      	F              	P                 	P                             	P                	P                                    	P                                	P                    	                       	P                      	P                      	                       	P                      	P                       	                          	P                      	P                                     	P                                	P                       	P                   	P                        	P                      	                             	                     	                       	                                       	                         	                         	                    	                                      	                           	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL1               	              	108	 657	A	 16	H	 2	  70.00	    141.0400	Weaver   	Planktonic Foraminifers                      	C              	M                 	R                             	                 	C                                    	R                                	R                    	R                      	                       	R                      	                       	C                      	F                       	R                         	R                      	F                                     	R                                	                        	                    	                         	                       	                             	                     	                       	                                       	                         	                         	                    	                                      	                           	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL1               	              	108	 657	A	 16	H	 3	 111.00	    142.9500	Weaver   	Planktonic Foraminifers                      	C              	M                 	R                             	                 	C                                    	R                                	R                    	F                      	R                      	R                      	R                      	R                      	R                       	R                         	F                      	                                      	                                 	                        	                    	                         	                       	                             	                     	                       	                                       	                         	                         	                    	                                      	                           	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	PL1               	              	108	 657	A	 16	H	 4	 135.00	    144.6900	Weaver   	Planktonic Foraminifers                      	R              	P                 	P                             	P                	P                                    	P                                	P                    	P                      	                       	                       	                       	                       	                        	                          	                       	                                      	                                 	                        	                    	                         	                       	                             	                     	                       	                                       	                         	                         	                    	                                      	                           	                          	                                        	                   	                     	                    	                          	                      	                             	                       	                   	                     	                         	                      	               	                      	                    	                            	                    	                     	                               	                        	                             	                               	                       	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

