Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Isthmolithus recurvus,Dictyococcites bisectus,Reticulofenestra dictyoda,Discoaster saipanensis,Dictyococcites scrippsae,Coccolithus pelagicus,Coccolithus formosus,Coccolithus eopelagicus,Reticulofenestra hillae,Discoaster nodifer,Cyclicargolithus floridanus,Chiasmolithus oamaruensis,Discoaster tanii ornatus,Discoaster deflandrei,Clausicoccus subdistichus,Zygrhablithus bijugatus,Transversopontis pulcher,Discoaster tanii,Chiasmolithus altus,Braarudosphaera bigelowii,Blackites spinosus,Sphenolithus moriformis,Reticulofenestra hampdenensis,Discoaster trinidadensis,Clausicoccus fenestratus,Reticulofenestra lockerii,Reticulofenestra orangensis,Helicosphaera compacta,Reticulofenestra minutula,Reticulofenestra haqii,Chiasmolithus expansus,Rhabdosphaera vitrea,Chiasmolithus solitus,Discoaster adamanteus,Coronocyclus nitescens,Discoaster ono,Discoaster calcaris,Sphenolithus predistentus,Cyclicargolithus abisectus,Umbilicosphaera sibogae,Syracosphaera pulchra,Sphenolithus neoabies,Helicosphaera kamptneri,Discoaster variabilis,Reticulofenestra pseudoumbilicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minuta,Reticulofenestra gelida,Discoaster surculus,Discoaster brouweri,Discoaster berggrenii,Dictyococcites antarcticus,Discoaster tristellifer,Discoaster pentaradiatus,Discoaster exilis,Discoaster braarudii,Discoaster asymmetricus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Sphenolithus abies,Helicosphaera carteri,Geminilithella rotula,Discoaster neohamatus,Discoaster loeblichii,Scyphosphaera spp.,Pontosphaera japonica,Discoaster triradiatus,Discoaster tamalis,Ceratolithus separatus,Pseudoemiliania lacunosa,Small Gephyrocapsa spp.,Rhabdosphaera clavigera,Helicosphaera sellii,Helicosphaera hyalina,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gartnerago obliquum,Reticulofenestra asanoi,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,NN14          ,182,1128,B,  4,H, 4,  58.00,     29.7800,Shafik   ,Nannofossils                                 ,C              ,M                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,R                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,F                    ,C                               ,A                     ,F                     ,A                      ,                       ,A                  ,C                  ,                     ,                          ,                       ,                        ,                 ,                    ,F                      ,                            ,F                  ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,F                 ,                     ,F                     ,F                 ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,NN14          ,182,1128,B,  4,H,CC,  14.00,     33.9900,Shafik   ,Nannofossils                                 ,C              ,M                 ,                         ,                     ,R                      ,                         ,                      ,                        ,C                    ,R                   ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,R                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,C                               ,C                     ,C                     ,A                      ,                       ,C                  ,C                  ,                     ,                          ,                       ,                        ,                 ,                    ,C                      ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,C                 ,R                    ,C                     ,C                 ,F                     ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN12          ,182,1128,B,  5,H, 2, 101.00,     36.7100,Shafik   ,Nannofossils                                 ,C              ,M                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,C                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,R                    ,                       ,C                    ,A                               ,A                     ,C                     ,A                      ,                       ,C                  ,F                  ,                     ,F                         ,                       ,C                       ,                 ,                    ,C                      ,F                           ,F                  ,                      ,R                         ,F                 ,C                    ,F                    ,F                    ,R                    ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,NN14          ,182,1128,B,  5,H,CC,  11.00,     43.7000,Ladner   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,R                     ,              ,F                  ,                         ,                          ,                       ,                     ,                     ,                       ,C                    ,C                               ,F                     ,                      ,                       ,                       ,                   ,                   ,R                    ,                          ,F                      ,F                       ,R                ,C                   ,R                      ,R                           ,F                  ,F                     ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,182,1128,B,  6,H, 3,  98.00,     47.6800,Shafik   ,Nannofossils                                 ,C              ,P                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,C                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,A                    ,                                ,F                     ,F                     ,A                      ,A                      ,F                  ,F                  ,R                    ,C                         ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,NN10              ,NN12          ,182,1128,B,  6,H,CC,  19.00,     53.5600,Ladner   ,Nannofossils                                 ,A              ,M                 ,F                        ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,F                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,F                      ,                     ,C                    ,                       ,C                    ,C                               ,C                     ,F                     ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Late Miocene     ,NN6               ,NN10          ,182,1128,B,  7,H,CC,  21.00,     62.5800,Ladner   ,Nannofossils                                 ,A              ,P                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,C                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,F                         ,C                      ,F                    ,C                    ,F                      ,R                    ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,"Coccoliths severly etched, discoasters overgrown, abundant siliceous material."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP23          ,182,1128,B,  8,H, 6,  79.00,     70.9900,Shafik   ,Nannofossils                                 ,C              ,P                 ,                         ,                     ,A                      ,                         ,                      ,                        ,                     ,                    ,                       ,                       ,                  ,C                          ,                         ,                        ,                     ,                         ,                       ,                        ,                ,C                  ,                         ,                  ,F                      ,                             ,F                       ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,F                     ,              ,                   ,F                        ,C                         ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Early Miocene    ,NP24              ,NN1           ,182,1128,B,  8,H,CC,  20.00,     72.4700,Ladner   ,Nannofossils                                 ,C              ,P                 ,                         ,                     ,R                      ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,R                    ,                         ,                       ,                        ,                ,R                  ,                         ,                  ,F                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,F                    ,                      ,              ,R                  ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,Many outer shields of Chiasmolithus species.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NP23          ,182,1128,B,  9,H, 5,  93.00,     79.1300,Shafik   ,Nannofossils                                 ,C              ,P                 ,                         ,                     ,A                      ,                         ,                      ,C                       ,                     ,                    ,                       ,                       ,                  ,C                          ,                         ,                        ,                     ,                         ,                       ,                        ,                ,C                  ,                         ,                  ,F                      ,                             ,                        ,                        ,R                        ,R                          ,                      ,F                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1128,B,  9,H,CC,  13.00,     81.8200,Ladner   ,Nannofossils                                 ,A              ,P                 ,F                        ,                     ,C                      ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,C                          ,                         ,R                       ,C                    ,                         ,                       ,                        ,                ,F                  ,                         ,                  ,R                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,R                    ,F                     ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,One  Chiasmolithus expansus with the central structure intact.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,              ,182,1128,B, 10,H,CC,  27.00,     91.6300,Ladner   ,Nannofossils                                 ,C              ,P                 ,F                        ,                     ,                       ,                         ,                      ,                        ,F                    ,                    ,                       ,                       ,F                 ,                           ,                         ,                        ,R                    ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,F             ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP23          ,182,1128,B, 11,H, 2,  93.00,     93.6300,Ladner   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,C                      ,                         ,R                     ,                        ,C                    ,                    ,                       ,                       ,F                 ,C                          ,                         ,F                       ,F                    ,                         ,                       ,                        ,                ,C                  ,                         ,R                 ,F                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,Discoaster saipanensis is most likely reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP21          ,182,1128,B, 11,H,CC,   9.00,     94.2500,Ladner   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,F                      ,                         ,                      ,                        ,C                    ,F                   ,                       ,C                      ,                  ,C                          ,R                        ,                        ,F                    ,                         ,                       ,                        ,R               ,C                  ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,R                    ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,Contains some reworked Eocene.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP21          ,182,1128,B, 12,H,CC,   3.00,    110.5600,Ladner   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,C                      ,                         ,                      ,                        ,C                    ,F                   ,                       ,C                      ,R                 ,C                          ,F                        ,R                       ,F                    ,                         ,                       ,                        ,                ,C                  ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,R                    ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP21          ,182,1128,B, 13,H,CC,   0.00,    119.6500,Ladner   ,Nannofossils                                 ,C              ,P                 ,F                        ,                     ,                       ,                         ,                      ,                        ,R                    ,R                   ,                       ,F                      ,                  ,R                          ,C                        ,R                       ,F                    ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,R                    ,R                     ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,NP19/20       ,182,1128,B, 14,H,CC,  27.00,    129.5800,Ladner   ,Nannofossils                                 ,A              ,M                 ,C                        ,                     ,F                      ,                         ,R                     ,                        ,F                    ,C                   ,                       ,                       ,                  ,F                          ,                         ,                        ,F                    ,                         ,                       ,                        ,                ,C                  ,                         ,                  ,F                      ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,F                     ,F                   ,R                    ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,                      ,                      ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,                        ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,"Turbidite sequence, abundant siliceous biogenic materials"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
