Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia increbescens,Turborotalia cunialensis,Turborotalia cocoaensis,Turborotalia ampliapertura,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina (?) eocaena,Subbotina linaperta,Subbotina angiporoides,Pseudohastigerina spp.,Hantkenina alabamensis,Globigerina yeguaensis,Globigerina pseudovenezuelana,Globigerina ouachitaensis,Globigerina gortanii,Globigerina euapertura,Chiloguembelina cubensis,Chiloguembelina cf. C. martini,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Paragloborotalia nana,Globoquadrina venezuelana,Turborotalia pomeroli,Turborotalia cerroazulensis,Globigerina tapuriensis,Globorotaloides suteri,Globigerina tripartita,Paragloborotalia opima,Globigerina sellii,Globigerina praebulloides,Globigerina ciperoensis,Globigerina angulisuturalis,Globigerinoides primordius,Globigerinita glutinata,Globigerinella obesa,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Globoquadrina tripartita,Globoquadrina sellii,Globigerina officinalis,Globigerina fariasi,Globigerina ciperoensis ciperoensis,Orbulina universa,Orbulina suturalis,Orbulina bilobata,Globorotalia mayeri,Globorotalia fohsi lobata,Globorotalia fohsi fohsi,Globorotalia acrostoma,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides quadrilobatus,Globigerinoides obliquus,Globigerina decoraperta,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis disjuncta,Globorotalia menardii,Globorotalia fohsi robusta,Globorotalia cf. praemenardii,Globigerinoides sacculifer,Praeorbulina glomerosa,Neogloboquadrina continuosa,Globorotalia praemenardii,Globoquadrina altispira globosa,Globigerina falconensis,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globigerinella aequilateralis,Globigerina druryi,Neogloboquadrina pseudopima,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globorotalia lenguaensis,Globorotalia juanai,Globorotalia cf. Gr. conoidea,Globigerinoides siegliei,Globigerinoides extremus,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina bulloides,Candeina nitida,Globorotalia merotumida,Globorotalia limbata,Globorotalia cibaoensis,Globorotalia cf. Gr. multicamerata,Neogloboquadrina humerosa,Globorotalia multicamerata,Globigerinoides bollii,Sphaeroidinellopsis paenedehiscens,Globigerinoides conglobatus,Neogloboquadrina blowi,Globorotalia margaritae,Pulleniatina primalis,Globorotalia cf. Gr. margaritae,Globigerinoides ruber,Globigerina apertura,Globigerina quinqueloba,Globorotalia miocenica,Globorotalia exilis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. nepenthes,Neogloboquadrina pseudopachyderma,Neogloboquadrina dutertrei,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerinoides trilobus fistulosus,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Globorotalia cf. Gr. miocenica,Globorotalia tosaensis tenuitheca,Pulleniatina obliquiloculata,Globorotalia ungulata,Globorotalia inflata,Globorotalia hirsuta,Globigerina rubescens,Globorotalia tumida,Globorotalia flexuosa,Globorotalia crassaformis viola,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 628,A,  3,H, 3,  25.00,     16.4500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,F                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,F                       ,                            ,F                            ,                        ,R                      ,                                ,                             ,                     ,                          ,                             ,R                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,R                            ,                  ,R                          ,                            ,                         ,                        ,                   ,                             ,                        ,R                       ,                          ,                     ,                     ,R              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,F                          ,                      ,                       ,                     ,                               ,F                    ,                    ,F                      ,C                     ,F                  ,                                 ,                         ,R                                ,R                         ,R                    ,F                                     ,R                                  ,R                     ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 628,A,  3,H,CC,  15.00,     22.6200,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,F                       ,                            ,F                            ,                        ,                       ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,F                            ,                  ,                           ,R                           ,                         ,                        ,                   ,                             ,                        ,R                       ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,R                        ,                          ,                      ,                                  ,F                          ,                      ,                       ,                     ,                               ,F                    ,                    ,F                      ,C                     ,R                  ,R                                ,R                        ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  4,H,CC,   9.00,     32.6000,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,R                                ,F                       ,                            ,F                            ,                        ,R                      ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,F                             ,                    ,C                            ,                  ,R                          ,                            ,C                        ,                        ,                   ,                             ,                        ,F                       ,                          ,R                    ,                     ,R              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,R                          ,                      ,                       ,                     ,R                              ,F                    ,                    ,R                      ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  5,H, 3,  25.00,     35.8500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,F                                ,F                       ,                            ,F                            ,F                       ,R                      ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,C                            ,                  ,                           ,F                           ,                         ,                        ,r                  ,                             ,                        ,F                       ,                          ,                     ,R                    ,               ,                       ,F                   ,r                      ,                                  ,R                        ,R                         ,                      ,R                                 ,R                          ,                      ,F                      ,R                    ,                               ,R                    ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  5,H,CC,  12.00,     41.4100,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,F                                ,                        ,                            ,F                            ,F                       ,                       ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,C                            ,                  ,                           ,F                           ,C                        ,                        ,                   ,                             ,                        ,                        ,                          ,F                    ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,R                      ,                     ,                               ,F                    ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  6,H, 3,  25.00,     45.1500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,F                                ,R                       ,                            ,R                            ,C                       ,F                      ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,C                            ,                  ,                           ,F                           ,                         ,                        ,                   ,                             ,                        ,F                       ,                          ,R                    ,R                    ,R              ,                       ,F                   ,r                      ,R                                 ,                         ,                          ,                      ,R                                 ,R                          ,                      ,F                      ,R                    ,F                              ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  6,H,CC,  25.00,     51.5100,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,                        ,                            ,F                            ,F                       ,F                      ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,F                            ,                  ,                           ,                            ,F                        ,                        ,                   ,                             ,                        ,F                       ,                          ,C                    ,R                    ,R              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,F                                 ,F                          ,                      ,F                      ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 628,A,  7,H, 3,  25.00,     54.7500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,F                ,                   ,                         ,                        ,                      ,                       ,                            ,R                                ,C                       ,                            ,F                            ,F                       ,F                      ,R                               ,                             ,C                    ,                          ,                             ,F                         ,                      ,r                          ,                         ,                               ,R                      ,                              ,                    ,R                            ,                  ,                           ,                            ,R                        ,                        ,                   ,                             ,                        ,C                       ,                          ,R                    ,R                    ,R              ,R                      ,F                   ,F                      ,                                  ,R                        ,                          ,                      ,R                                 ,R                          ,                      ,F                      ,                     ,F                              ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
