Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe cf. trinidadensis,Henryhowella sp.,Cytherella spp.,Cardobairdia spp.,Bythocypris? spp.,Trachyleberidea sp. 1 & 2,Macrocypris sp.,Cytheropteron spp.,Bairdiidae (all taxa),Argillocea? sp.,Ambocythere? spp.,Agrenocythere cf. gosnoldia,Paracytheridea? sp. 2,Krithe sp.,Echinocythereis sp. 1,Cytheropteron trinidadensis,Bradleya cf. dictyon,Jugosocythereis spp.,Neocaudites cf. maccagnoi,Paracytheridea cf. byramensis,Ocultocythereis sp. 1,Loxoconcha sp. 1,Hulingsina sp. 1,Xestoleberis sp.,Radimella sp. 1 & 2,Puriana cf. fissispinata,Puriana cf. convoluta,Paracypris sp.,Gangamocytheridea cf. dictyon,Cytherura cf wardensis,Cushmanidea? sp.,Agrenocythere hazelae,Cytherelloidea sp.,Pseudocythere sp.,Semicytherura sp. 1,Kangarina abyssicola,Caudites sp. 2,Hulingsina cf. tuberculata,Bythoceratina spp.,Bythoceratina sp. 3,Loxoconcha fischeri,Pterygocythereis spp.,Hulingsina sp. 2,Uroleberis sp.,Malzella sp.,Brachycythere sp.,Poseidonamicus pintoi,Ornatoleberis sp.,Echinocythereis margarifera,Echinocythereis spp.,Echinocythereis echinata,Comment
  SR,                 ,                 ,                  ,              ,101, 628,A,  7,H, 6,  50.00,     59.5000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 1,  50.00,     61.4000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,                         ,               ,+                 ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,+                   ,                         ,+                            ,                     ,                ,+               ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,+                 ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 2,  50.00,     62.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,+                        ,               ,+                 ,                     ,               ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,+               ,+               ,+                  ,+                       ,                     ,+             ,                             ,                      ,                ,                     ,                  ,+                ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 3,  50.00,     64.4000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,                         ,               ,+                 ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,+                    ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 4,  50.00,     65.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,+                        ,               ,                  ,+                    ,               ,                 ,                           ,                     ,+         ,                     ,                           ,+                   ,                    ,                         ,                             ,                     ,                ,                ,+               ,                   ,                        ,                     ,+             ,                             ,                      ,                ,                     ,                  ,+                ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 5,  50.00,     67.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,+                        ,               ,                  ,                     ,+              ,                 ,                           ,                     ,+         ,                     ,                           ,+                   ,                    ,                         ,+                            ,                     ,+               ,                ,                ,+                  ,+                       ,                     ,              ,+                            ,                      ,+               ,                     ,                  ,                 ,                   ,                    ,              ,+                         ,+                 ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 6,  50.00,     68.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,+                 ,+                    ,+              ,                 ,                           ,+                    ,+         ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,+               ,+               ,+                  ,+                       ,                     ,              ,                             ,+                     ,+               ,                     ,+                 ,+                ,+                  ,+                   ,+             ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  8,H, 7,  50.00,     70.4000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+               ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,+                ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  9,H, 3,  50.00,     74.1000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,+                  ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 10,H, 3,  50.00,     83.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 11,H, 3,  50.00,     92.6000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,+                    ,+              ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,+                   ,+                        ,+                            ,                     ,+               ,+               ,                ,+                  ,+                       ,                     ,?             ,+                            ,                      ,+               ,                     ,+                 ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 12,H, 3,  50.00,    102.0000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,+                ,                         ,               ,                  ,+                    ,               ,                 ,                           ,+                    ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,+                    ,+             ,+                            ,+                     ,+               ,+                    ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 13,H, 3,  50.00,    111.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,+                ,+                        ,               ,                  ,+                    ,               ,                 ,+                          ,+                    ,+         ,                     ,                           ,                    ,+                   ,                         ,+                            ,+                    ,+               ,+               ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 14,H, 3,  50.00,    120.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,               ,                 ,                 ,+                        ,               ,                  ,+                    ,               ,+                ,+                          ,                     ,          ,                     ,                           ,                    ,+                   ,+                        ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 15,H, 3,  50.00,    130.5000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 16,H, 3,  50.00,    140.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 17,H, 3,  48.00,    149.5800,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,+                          ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 18,H, 3,  50.00,    159.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 19,H, 3,  50.00,    168.7000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 19,H,CC,  22.00,    170.6000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,+                        ,               ,+                 ,                     ,?              ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 21,H, 3,  50.00,    186.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,+                          ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 22,X, 3,  50.00,    196.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,                 ,+                ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,+                          ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 23,X, 2,  50.00,    204.3000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,+              ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,+                   ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 23,X, 3,  50.00,    205.8000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 23,X, 4,  50.00,    207.3000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,+                ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,+                          ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 23,X, 5,  50.00,    208.8000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 24,X, 1,  50.00,    212.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,+                ,                 ,                         ,               ,                  ,+                    ,               ,                 ,+                          ,                     ,+         ,                     ,                           ,+                   ,+                   ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 24,X, 2,  50.00,    213.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,                 ,                 ,+                        ,               ,                  ,+                    ,               ,                 ,+                          ,                     ,          ,                     ,                           ,+                   ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X, 1,  70.00,    232.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,+                ,+                ,+                        ,+              ,                  ,+                    ,               ,                 ,+                          ,+                    ,+         ,+                    ,+                          ,+                   ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X, 2,  86.00,    233.7600,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X,CC,  15.00,    235.5700,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,+                ,+                ,+                        ,+              ,+                 ,+                    ,+              ,+                ,+                          ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 27,X, 2,  50.00,    243.0000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,+                ,+                ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
