Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Vermiculithina arca,Transversopontis pulcher,Thoracosphaera saxea,Thoracosphaera fossata,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra hillae,Pyrocyclus orangensis,Pontosphaera versa,Pontosphaera plana,Pontosphaera pectinata,Peritrachelina joidesa,Pemma papillatum,Pedinocyclus larvalis,Microrhabdulus attenuatus,Lanternithus minutus,Isthmolithus recurvus,Helicopontosphaera reticulata,Helicopontosphaera recta,Helicopontosphaera perch-nielseniae,Helicopontosphaera intermedia,Helicopontosphaera euphratis,Helicopontosphaera compacta,Hayella situliformis,Ericsonia subdisticha,Ericsonia formosa,Discolithina segmenta,Discoaster tanii,Discoaster saipanensis,Discoaster nodifer,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus eopelagicus,Coccolith species C,Coccolith species A,Chiasmolithus titus,Chiasmolithus altus,Calcidiscus protoannulus,Bramletteius serraculoides,Braarudosphaera discula,Braarudosphaera bigelowii,Micrantholithus flos,Transversopontis exilis,Hayaster perplexus,Helicopontosphaera obliqua,Ericsonia fenestrata,Cyclicargolithus abisectus,Scyphosphaera apsteinii,Helicopontosphaera wilcoxonii,Helicopontosphaera seminulum,Sphenolithus distentus,Discoaster adamanteus,Coccolith species B,Coccolith species D,Sphenolithus ciperoensis,Coccolithus miopelagicus,Thoracosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 17,H, 1,  80.00,    146.9000,Moran    ,Nannofossils                                 ,P              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,C                 ,F                 ,F                     ,                      ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,R                  ,C                       ,                          ,F                      ,F                        ,F                   ,                       ,C                 ,C                         ,C                   ,C                         ,C                      ,                             ,                            ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 17,H, 3,  80.00,    149.9000,Moran    ,Nannofossils                                 ,A              ,M                 ,A                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,C                 ,F                 ,F                     ,F                     ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,C                      ,A                          ,F                     ,C                    ,F                      ,                   ,                   ,                   ,                   ,F                       ,                          ,F                      ,F                        ,F                   ,                       ,C                 ,F                         ,C                   ,C                         ,C                      ,                             ,                            ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 17,H, 5,  80.00,    152.9000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,F                 ,F                 ,                      ,                      ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,                       ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,R                  ,F                       ,                          ,F                      ,C                        ,F                   ,                       ,F                 ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,                      ,F                    ,C                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 17,H,CC,   0.00,    155.6100,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,F                 ,F                 ,R                     ,F                     ,                ,R                    ,F                        ,                    ,                     ,                             ,F                       ,                                   ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,                   ,F                       ,                          ,F                      ,C                        ,C                   ,                       ,F                 ,F                         ,C                   ,C                         ,                       ,                             ,R                           ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 18,H, 6, 113.00,    164.3300,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,R                  ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,F                 ,F                 ,R                     ,C                     ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,C                    ,C                      ,C                  ,                   ,                   ,                   ,F                       ,                          ,F                      ,C                        ,C                   ,                       ,F                 ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,                      ,                     ,C                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 19,H, 1,  80.00,    166.0000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,R                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,R                 ,F                 ,R                     ,C                     ,                ,                     ,C                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,C                      ,A                          ,C                     ,C                    ,C                      ,C                  ,                   ,                   ,F                  ,F                       ,                          ,F                      ,F                        ,C                   ,                       ,F                 ,F                         ,C                   ,C                         ,R                      ,                             ,R                           ,                      ,                     ,C                  ,F                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 19,H, 3,  80.00,    169.0000,Moran    ,Nannofossils                                 ,A              ,M                 ,F                      ,                   ,                        ,R                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,R                 ,F                 ,F                     ,F                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,F                                  ,C                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,C                      ,A                          ,C                     ,A                    ,C                      ,                   ,                   ,                   ,F                  ,C                       ,                          ,F                      ,F                        ,C                   ,                       ,C                 ,F                         ,C                   ,C                         ,R                      ,                             ,R                           ,                      ,                     ,C                  ,C                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 21,H, 1,  80.00,    184.0000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,R                  ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,R                 ,C                 ,                      ,C                     ,                ,F                    ,F                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,A                    ,C                      ,                   ,                   ,                   ,                   ,C                       ,                          ,F                      ,C                        ,C                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,R                           ,?                     ,F                    ,C                  ,C                  ,F                       ,F                       ,R                      ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 21,H, 3,  80.00,    187.0000,Moran    ,Nannofossils                                 ,P              ,M                 ,C                      ,                   ,                        ,F                   ,F                     ,R                         ,F                        ,C                      ,                         ,                       ,F                    ,                  ,F                 ,R                     ,C                     ,                ,                     ,                         ,                    ,                     ,                             ,C                       ,F                                  ,R                            ,C                           ,                           ,                    ,                     ,                 ,R                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,R                  ,C                       ,                          ,                       ,F                        ,F                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,R                           ,?                     ,F                    ,C                  ,F                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 21,H,CC,  21.00,    188.0200,Moran    ,Nannofossils                                 ,A              ,M                 ,F                      ,                   ,                        ,C                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,                  ,F                 ,R                     ,                      ,                ,F                    ,                         ,                    ,                     ,                             ,C                       ,R                                  ,R                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,A                    ,C                      ,                   ,                   ,                   ,                   ,F                       ,                          ,                       ,F                        ,                    ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,?                     ,F                    ,C                  ,F                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 22,X, 1,  80.00,    193.5000,Moran    ,Nannofossils                                 ,A              ,M                 ,F                      ,                   ,                        ,F                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,R                 ,F                 ,                      ,F                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,R               ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,R                  ,C                       ,                          ,F                      ,F                        ,C                   ,                       ,R                 ,F                         ,C                   ,C                         ,F                      ,                             ,R                           ,?                     ,F                    ,C                  ,C                  ,C                       ,C                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 22,X, 3,  80.00,    196.5000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,R                  ,                        ,F                   ,F                     ,                          ,F                        ,C                      ,                         ,                       ,F                    ,                  ,F                 ,                      ,F                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,F                      ,                   ,                   ,                   ,R                  ,C                       ,                          ,F                      ,C                        ,C                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,R                           ,?                     ,F                    ,C                  ,C                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 22,X, 5,  80.00,    199.5000,Moran    ,Nannofossils                                 ,A              ,M                 ,F                      ,                   ,                        ,F                   ,                      ,                          ,F                        ,C                      ,                         ,                       ,F                    ,F                 ,F                 ,R                     ,R                     ,                ,F                    ,                         ,                    ,                     ,                             ,C                       ,R                                  ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,                   ,C                       ,                          ,                       ,R                        ,F                   ,                       ,                  ,F                         ,C                   ,C                         ,R                      ,                             ,                            ,?                     ,F                    ,F                  ,C                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 22,X,CC,  36.00,    202.4600,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,R                     ,                          ,F                        ,C                      ,                         ,                       ,F                    ,R                 ,C                 ,F                     ,F                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,R                                  ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,F                  ,                   ,F                  ,F                       ,                          ,F                      ,C                        ,F                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,?                     ,F                    ,                   ,C                  ,C                       ,                        ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 23,X, 1,  80.00,    203.1000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,R                     ,                          ,F                        ,C                      ,                         ,                       ,F                    ,                  ,F                 ,F                     ,C                     ,                ,F                    ,F                        ,                    ,                     ,                             ,C                       ,R                                  ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,                   ,C                       ,                          ,F                      ,F                        ,C                   ,                       ,                  ,F                         ,C                   ,C                         ,R                      ,                             ,                            ,?                     ,R                    ,C                  ,C                  ,C                       ,R                       ,R                      ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 23,X, 2,  95.00,    204.7500,Moran    ,Nannofossils                                 ,               ,P                 ,F                      ,                   ,                        ,F                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,                  ,F                 ,                      ,F                     ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,                                   ,                             ,F                           ,                           ,                    ,                     ,                 ,                     ,                ,                      ,                  ,C                    ,C                       ,F                      ,A                          ,F                     ,C                    ,C                      ,                   ,                   ,                   ,                   ,                        ,                          ,                       ,C                        ,                    ,                       ,                  ,                          ,F                   ,C                         ,R                      ,                             ,                            ,?                     ,F                    ,                   ,F                  ,F                       ,                        ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 23,X, 3,  80.00,    206.1000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,R                  ,                        ,F                   ,F                     ,                          ,F                        ,C                      ,                         ,                       ,F                    ,F                 ,F                 ,F                     ,F                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,F                  ,F                       ,                          ,F                      ,C                        ,F                   ,                       ,                  ,                          ,C                   ,C                         ,R                      ,                             ,                            ,?                     ,F                    ,                   ,F                  ,C                       ,                        ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 23,X, 5,  80.00,    209.1000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,R                     ,                          ,C                        ,C                      ,                         ,                       ,F                    ,                  ,F                 ,F                     ,C                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,                        ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,F                  ,F                       ,                          ,F                      ,C                        ,F                   ,                       ,F                 ,                          ,C                   ,C                         ,                       ,                             ,                            ,?                     ,F                    ,                   ,F                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 23,X,CC,  32.00,    210.6400,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,                  ,F                 ,                      ,C                     ,                ,F                    ,C                        ,                    ,                     ,                             ,C                       ,                                   ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,                        ,F                      ,A                          ,F                     ,C                    ,C                      ,                   ,                   ,                   ,F                  ,F                       ,                          ,F                      ,C                        ,F                   ,                       ,R                 ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,F                     ,F                    ,C                  ,F                  ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19a             ,              ,101, 628,A, 24,X, 1,  80.00,    212.7000,Moran    ,Nannofossils                                 ,A              ,G                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,C                      ,                         ,                       ,F                    ,R                 ,C                 ,F                     ,F                     ,                ,C                    ,C                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,                   ,C                       ,                          ,F                      ,F                        ,F                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,R                           ,C                     ,F                    ,C                  ,C                  ,F                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP18              ,              ,101, 628,A, 24,X,CC,  38.00,    215.6400,Moran    ,Nannofossils                                 ,A              ,M                 ,F                      ,                   ,                        ,F                   ,F                     ,                          ,A                        ,C                      ,                         ,                       ,F                    ,R                 ,C                 ,                      ,F                     ,                ,F                    ,C                        ,F                   ,                     ,                             ,C                       ,C                                  ,F                            ,C                           ,F                          ,                    ,F                    ,                 ,F                    ,                ,                      ,                  ,C                    ,C                       ,C                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,R                  ,C                       ,                          ,C                      ,C                        ,C                   ,                       ,                  ,                          ,C                   ,C                         ,F                      ,                             ,                            ,F                     ,F                    ,C                  ,R                  ,                        ,                        ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
