Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster surculus	Calcidiscus macintyrei (>11 um)	Calcidiscus leptoporus	Amaurolithus spp.	Reticulofenestra pseudoumbilicus	Discoaster pentaradiatus	Discoaster brouweri	Sphenolithus spp.	Helicosphaera carteri	Coccolithus pelagicus	Ceratolithus spp.	Amaurolithus primus	Pseudoemiliania lacunosa	Helicosphaera sellii	Discoaster tamalis	Discoaster triradiatus	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa sp. 3	Gephyrocapsa (small)	Comment
  IR	                 	                 	CN14a             	              	167	1016	B	  5	H	CC	  23.00	     40.1100	Fornaciari	Nannofossils                                 	R              	P/M               	                   	                               	                      	                 	                                	                        	                   	                 	                     	                     	                 	                   	+                       	                    	                  	                      	+                         	                  	R                 	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13b             	              	167	1016	B	  6	H	CC	  24.00	     49.3500	Fornaciari	Nannofossils                                 	R              	P                 	                   	                               	R                     	                 	                                	                        	                   	                 	                     	                     	R                	                   	R                       	R                   	                  	                      	                          	R                 	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13b             	              	167	1016	B	  7	H	CC	  19.00	     59.1100	Fornaciari	Nannofossils                                 	RR             	P                 	                   	                               	                      	                 	                                	                        	                   	                 	                     	                     	                 	                   	                        	                    	                  	                      	R                         	RR                	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13a             	              	167	1016	B	  8	H	CC	  22.00	     68.6200	Fornaciari	Nannofossils                                 	C              	P                 	                   	+                              	R                     	                 	                                	                        	                   	                 	R                    	                     	                 	                   	C                       	R                   	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1016	B	  9	H	CC	  49.00	     77.5400	Fornaciari	Nannofossils                                 	F              	P                 	                   	+                              	                      	                 	                                	                        	RR                 	                 	                     	                     	                 	                   	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12d             	              	167	1016	B	 10	H	CC	  21.00	     87.6100	Fornaciari	Nannofossils                                 	C              	P                 	                   	C                              	F                     	                 	                                	                        	F                  	                 	                     	C                    	                 	                   	F                       	                    	                  	R                     	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12c             	              	167	1016	B	 11	H	CC	  25.00	     97.2600	Fornaciari	Nannofossils                                 	A              	M                 	                   	+                              	+                     	                 	                                	R                       	RR                 	                 	R                    	F                    	R                	                   	R                       	C                   	                  	                      	                          	                  	                  	                    	questionable zonal assignment. from IR. Ch 10. Table 5.

  IR	                 	                 	CN12b             	              	167	1016	B	 12	H	CC	  20.00	    106.6300	Fornaciari	Nannofossils                                 	C              	M                 	C                  	                               	                      	                 	                                	R                       	                   	                 	                     	F                    	                 	                   	C                       	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12b             	              	167	1016	B	 13	H	CC	  27.00	    116.0800	Fornaciari	Nannofossils                                 	A              	G                 	C                  	                               	R                     	                 	                                	R/F                     	R                  	                 	                     	F                    	                 	                   	+                       	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12b             	              	167	1016	B	 14	H	CC	  19.00	    125.7000	Fornaciari	Nannofossils                                 	A              	G                 	C                  	F                              	F                     	                 	                                	R                       	                   	                 	                     	F/C                  	R                	                   	                        	                    	R                 	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	B	 15	H	CC	  13.00	    134.6100	Fornaciari	Nannofossils                                 	A              	G                 	+                  	R                              	C                     	                 	                                	                        	C                  	                 	                     	                     	R                	                   	R                       	                    	R/F               	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	B	 16	H	CC	  29.00	    144.8500	Fornaciari	Nannofossils                                 	A              	M/G               	+                  	C                              	C                     	                 	                                	R                       	                   	                 	                     	                     	                 	                   	+                       	                    	F/C               	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	B	 17	H	CC	  22.00	    154.1300	Fornaciari	Nannofossils                                 	F/C            	P/M               	                   	C                              	C                     	                 	                                	R                       	+                  	                 	                     	                     	R                	                   	R                       	R                   	RR                	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN10b             	CN11          	167	1016	B	 18	H	CC	  20.00	    163.6500	Fornaciari	Nannofossils                                 	F              	P                 	                   	C                              	                      	F                	C                               	C                       	                   	R                	R                    	C                    	R                	R                  	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1016	B	 19	H	CC	  16.00	    173.1000	Fornaciari	Nannofossils                                 	F              	P                 	R                  	                               	F                     	+                	+                               	R                       	                   	                 	                     	                     	                 	                   	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1016	B	 20	H	CC	  19.00	    182.6900	Fornaciari	Nannofossils                                 	A              	M/G               	                   	                               	                      	+                	                                	+                       	+                  	                 	                     	                     	                 	                   	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1016	B	 21	H	CC	  22.00	    192.2300	Fornaciari	Nannofossils                                 	A              	M/G               	R                  	C                              	F                     	                 	RR                              	                        	                   	                 	                     	                     	                 	                   	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1016	B	 22	H	CC	  22.00	    201.7500	Fornaciari	Nannofossils                                 	A              	G                 	+                  	+                              	+                     	R                	                                	                        	                   	                 	                     	                     	                 	                   	                        	                    	                  	                      	                          	                  	                  	                    	from IR. Ch 10. Table 5.

