Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sclerochilus contortus,Rabilimis sp.,Cytheropteron inflatum,Muellerina abyssicola,Cytheropteron pseudoinflatum,Sarsicytheridea punctillata,Elofsonella concinna,Krithe glacialis,Cytheropteron carolinae,Sarsicytheridea bradii,Pseudocythere caudata,Polycope spp.,Cytheropteron testudo,Eucytherura delineata,Cytheropteron alatum,Cytheropteron paralatissimum,Cytheropteron simplex,Cytheropteron arcuatum,Thaerocythere crenulata,Cytheropteron hamatum,Comment
  SR,                 ,                 ,                  ,              ,151, 910,A,  2,H, 4,  93.00,     10.9300,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,                           ,                    ,                ,2                      ,                      ,1                    ,             ,                     ,1                    ,2                   ,                            ,                     ,                      ,                       ,                     ,Other taxa = 2; From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  2,H, 6,  93.00,     13.9300,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,1                    ,                            ,                           ,                    ,1               ,1                      ,1                     ,1                    ,1            ,2                    ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,Other taxa = 1; From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  3,H, 1, 113.00,     16.1300,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,                           ,2                   ,1               ,1                      ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,Other taxa = 1; From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  3,H, 3,  84.00,     18.8400,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,1                          ,1                   ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,Other taxa = 1; From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  3,H,CC,  40.00,     19.4100,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,1                    ,1                           ,                           ,                    ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  4,H, 1, 124.00,     20.7400,Cronin   ,Ostracodes                                   ,               ,                  ,1                     ,1            ,1                     ,                     ,                            ,                           ,                    ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,Other taxa = 1; From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
