Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius gammation,Sphenolithus pseudoradians,Sphenolithus primus,Neococcolithes dubius,Helicosphaera seminulum,Ericsonia formosa,Discoaster salisburgensis,Coronocyclus prionion,Coccolithus pelagicus,Campylosphaera dela,Blackites cf. spinosus (base),Sphenolithus moriformis,Discoaster wemmelensis,Discoaster lodoensis,Discoaster barbadiensis,Chiasmolithus titus,Chiasmolithus grandis,Clausicoccus fenestratus,Chiasmolithus solitus,Sphenolithus radians,Cruciplacolithus vanheckae,Chiasmolithus modestus,Cyclicargolithus floridanus,Zygrhablithus bijugatus,Sphenolithus spiniger,Sphenolithus furcatolithoides,Helicosphaera bramlettei,Cribrocentrum coenurum,Calcidiscus protoannulus,Sphenolithus orphanknollensis,Reticulofenestra callida,Discoaster deflandrei,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Helicosphaera lophota,Discoaster saipanensis,Lanternithus minutus,Helicosphaera salebrosa,Dictyococcites scrippsae,Dictyococcites bisectus,Discoaster tanii nodifer,Helicosphaera dinesenii,Rhabdosphaera tenuis,Cribrocentrum reticulatum,Discoaster tanii tanii,Helicosphaera wilcoxonii,Sphenolithus predistentus,Sphenolithus obtusus,Reticulofenestra hillae,Helicosphaera compacta,Sphenolithus intercalaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 3,   0.00,    300.5100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,                   ,                             ,C                      ,                      ,                    ,F                      ,                   ,                     ,F                       ,                     ,                    ,                          ,                      ,A                          ,C                      ,F                    ,                             ,                        ,F                     ,R                       ,                             ,F                       ,R                    ,                            ,F                        ,                     ,F                     ,F                   ,                       ,                        ,F                      ,                        ,                       ,                    ,F                        ,                      ,                        ,R                        ,R                   ,                       ,F                     ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 3,  82.00,    301.3300,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,F                ,                         ,                     ,F                    ,                   ,                             ,F                      ,                      ,                    ,                       ,                   ,                     ,                        ,                     ,                    ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,F                        ,                     ,                      ,                    ,                       ,                        ,F                      ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,F                     ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 4,   0.00,    301.8500,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,R                    ,                       ,C                ,                         ,                     ,C                    ,                   ,R                            ,F                      ,                      ,                    ,F                      ,F                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,                             ,R                       ,C                     ,R                       ,                             ,                        ,R                    ,                            ,F                        ,                     ,F                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,R                     ,                        ,F                        ,R                   ,R                      ,F                     ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 27,R, 1, 130.00,    309.2000,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,F                      ,                      ,                    ,F                      ,F                  ,F                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,C                    ,C                            ,                        ,C                     ,R                       ,                             ,                        ,R                    ,                            ,F                        ,                     ,F                     ,F                   ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,R                       ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 2,  22.00,    309.5400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,R                    ,                       ,C                ,                         ,                     ,C                    ,                   ,R                            ,F                      ,                      ,                    ,F                      ,                   ,F                    ,R                       ,R                    ,                    ,                          ,                      ,C                          ,C                      ,C                    ,C                            ,R                       ,C                     ,F                       ,                             ,                        ,F                    ,                            ,F                        ,                     ,F                     ,R                   ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 2,  81.00,    310.1300,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,R                  ,                             ,C                      ,                      ,                    ,F                      ,                   ,R                    ,F                       ,R                    ,                    ,                          ,                      ,C                          ,C                      ,F                    ,F                            ,R                       ,F                     ,R                       ,                             ,                        ,R                    ,                            ,F                        ,                     ,F                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,R                       ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 3,  53.00,    311.0900,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,                   ,F                            ,C                      ,                      ,                    ,F                      ,F                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,F                            ,R                       ,F                     ,F                       ,                             ,                        ,R                    ,                            ,F                        ,                     ,R                     ,                    ,R                      ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 3, 107.00,    311.6300,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,R                  ,R                            ,A                      ,                      ,                    ,F                      ,F                  ,R                    ,R                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,C                            ,R                       ,F                     ,F                       ,                             ,                        ,R                    ,                            ,F                        ,                     ,R                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 4,  15.00,    312.1600,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,F                  ,                             ,C                      ,                      ,                    ,F                      ,F                  ,R                    ,F                       ,                     ,                    ,R                         ,                      ,C                          ,C                      ,F                    ,F                            ,R                       ,F                     ,F                       ,                             ,                        ,                     ,                            ,F                        ,R                    ,F                     ,F                   ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 4,  98.00,    312.9900,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,F                      ,                      ,                    ,F                      ,F                  ,R                    ,                        ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,C                            ,                        ,F                     ,                        ,                             ,F                       ,R                    ,                            ,F                        ,                     ,                      ,                    ,R                      ,                        ,                       ,                        ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 5,   0.00,    313.3000,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,F                      ,                      ,                    ,F                      ,F                  ,                     ,                        ,                     ,                    ,                          ,                      ,C                          ,F                      ,F                    ,F                            ,                        ,F                     ,R                       ,                             ,                        ,                     ,                            ,                         ,                     ,R                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,F                        ,R                     ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 5,  92.00,    314.2200,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,R                  ,                             ,F                      ,                      ,                    ,F                      ,F                  ,R                    ,F                       ,R                    ,                    ,                          ,                      ,A                          ,F                      ,F                    ,F                            ,                        ,F                     ,R                       ,                             ,                        ,                     ,                            ,                         ,                     ,F                     ,R                   ,                       ,                        ,                       ,                        ,                       ,                    ,R                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 6,   0.00,    314.8000,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,C                      ,                      ,                    ,F                      ,R                  ,                     ,F                       ,R                    ,                    ,                          ,                      ,C                          ,F                      ,R                    ,F                            ,                        ,F                     ,F                       ,                             ,R                       ,                     ,                            ,                         ,                     ,F                     ,R                   ,                       ,                        ,                       ,R                       ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 27,R, 6,  55.00,    315.3500,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,F                ,                         ,                     ,C                    ,                   ,                             ,C                      ,                      ,                    ,R                      ,F                  ,R                    ,                        ,R                    ,                    ,                          ,                      ,C                          ,F                      ,                     ,F                            ,                        ,R                     ,                        ,                             ,                        ,                     ,                            ,R                        ,                     ,R                     ,                    ,                       ,                        ,                       ,                        ,                       ,R                   ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 1,  24.00,    317.7400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,R                  ,                             ,C                      ,                      ,                    ,F                      ,F                  ,R                    ,                        ,                     ,                    ,                          ,                      ,C                          ,C                      ,R                    ,C                            ,                        ,F                     ,R                       ,                             ,R                       ,                     ,                            ,                         ,                     ,F                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 2,  19.00,    318.3100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,                     ,                       ,A                ,                         ,                     ,A                    ,R                  ,F                            ,A                      ,                      ,                    ,F                      ,C                  ,F                    ,C                       ,                     ,                    ,                          ,                      ,A                          ,F                      ,F                    ,                             ,R                       ,F                     ,R                       ,                             ,F                       ,                     ,                            ,F                        ,F                    ,F                     ,R                   ,                       ,                        ,                       ,R                       ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 2,  53.00,    318.6500,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,R                    ,                       ,A                ,                         ,                     ,A                    ,R                  ,F                            ,C                      ,                      ,                    ,F                      ,F                  ,F                    ,F                       ,                     ,                    ,                          ,                      ,A                          ,F                      ,F                    ,                             ,F                       ,F                     ,F                       ,                             ,F                       ,R                    ,                            ,F                        ,                     ,F                     ,                    ,                       ,                        ,                       ,R                       ,F                      ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 2,  82.00,    318.9400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,A                ,                         ,                     ,A                    ,F                  ,F                            ,A                      ,                      ,                    ,F                      ,C                  ,F                    ,C                       ,R                    ,                    ,R                         ,                      ,A                          ,F                      ,F                    ,F                            ,R                       ,F                     ,F                       ,                             ,F                       ,R                    ,                            ,F                        ,R                    ,F                     ,                    ,R                      ,                        ,                       ,R                       ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 2, 140.00,    319.5200,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,A                ,                         ,                     ,A                    ,                   ,F                            ,A                      ,                      ,                    ,F                      ,C                  ,                     ,F                       ,                     ,                    ,R                         ,                      ,A                          ,F                      ,F                    ,F                            ,R                       ,F                     ,C                       ,                             ,F                       ,                     ,                            ,F                        ,F                    ,R                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 3,  22.00,    319.7600,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,R                  ,R                            ,C                      ,                      ,                    ,F                      ,C                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,C                    ,                             ,R                       ,F                     ,R                       ,                             ,R                       ,R                    ,                            ,F                        ,F                    ,R                     ,R                   ,R                      ,R                       ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 3, 133.00,    320.8700,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,R                  ,R                            ,C                      ,                      ,                    ,F                      ,                   ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,R                      ,C                    ,F                            ,R                       ,F                     ,F                       ,                             ,F                       ,F                    ,                            ,F                        ,                     ,R                     ,                    ,R                      ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 4,  35.00,    321.3400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,R                  ,R                            ,C                      ,                      ,                    ,F                      ,F                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,C                    ,F                            ,                        ,F                     ,                        ,                             ,                        ,                     ,                            ,                         ,F                    ,F                     ,                    ,F                      ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 4, 122.00,    322.2100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,R                    ,                       ,C                ,                         ,                     ,C                    ,R                  ,F                            ,F                      ,R                     ,                    ,F                      ,F                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,C                    ,F                            ,                        ,F                     ,                        ,                             ,                        ,R                    ,                            ,R                        ,F                    ,F                     ,                    ,F                      ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 6,  39.00,    324.3100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,F                    ,                       ,F                ,                         ,                     ,F                    ,R                  ,F                            ,C                      ,F                     ,                    ,R                      ,F                  ,R                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,F                    ,                             ,                        ,F                     ,                        ,                             ,                        ,                     ,                            ,R                        ,F                    ,                      ,R                   ,F                      ,R                       ,F                      ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 6,  99.00,    324.9100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,F                         ,                   ,                     ,                       ,                 ,                         ,                     ,F                    ,R                  ,R                            ,                       ,F                     ,                    ,F                      ,R                  ,                     ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,F                    ,                             ,                        ,                      ,                        ,                             ,                        ,R                    ,                            ,R                        ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 28,R, 7,   2.00,    325.4400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,F                ,                         ,                     ,F                    ,R                  ,                             ,F                      ,R                     ,                    ,F                      ,                   ,                     ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,F                    ,F                            ,                        ,R                     ,                        ,                             ,                        ,                     ,                            ,                         ,R                    ,                      ,R                   ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 29,R, 1,  22.00,    327.3200,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,R                    ,                       ,F                ,                         ,                     ,F                    ,F                  ,                             ,F                      ,F                     ,                    ,F                      ,F                  ,F                    ,F                       ,                     ,                    ,                          ,                      ,C                          ,F                      ,F                    ,C                            ,                        ,F                     ,R                       ,                             ,                        ,F                    ,                            ,                         ,R                    ,                      ,R                   ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,160, 966,F, 29,R, 1, 128.00,    328.3800,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,                     ,                       ,F                ,                         ,                     ,F                    ,R                  ,                             ,F                      ,R                     ,                    ,F                      ,                   ,R                    ,R                       ,                     ,                    ,                          ,                      ,F                          ,F                      ,F                    ,F                            ,                        ,R                     ,                        ,                             ,                        ,R                    ,R                           ,R                        ,R                    ,R                     ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
