Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Sphenolithus heteromorphus	Discoaster druggii	Discoaster deflandrei	Reticulofenestra minuta	Reticulofenestra haqii	Cyclicargolithus floridanus	Reticulofenestra pseudoumbilicus	Reticulofenestra gelida	Discoaster variabilis	Sphenolithus verensis	Catinaster coalitus	Calcidiscus leptoporus	Discoaster pentaradiatus	Sphenolithus abies	Discoaster brouweri	Minylitha convallis	Discoaster berggrenii	Reticulofenestra minutula	Discoaster quinqueramus	Calcidiscus macintyrei	Helicosphaera kamptneri	Ceratolithus acutus	Discoaster neorectus	Discoaster intercalaris	Discoaster surculus	Pseudoemiliania lacunosa	Gephyrocapsa parallela	Gephyrocapsa oceanica	Gephyrocapsa ericsonii	Gephyrocapsa caribbeanica	Discoaster exilis	Ceratolithus rugosus	Helicosphaera sellii	Discoaster tamalis	Discoaster triradiatus	Discoaster asymmetricus	Comment
  IR	                 	Late Pliocene    	CN12d             	CN12d         	186	1151	A	  8	R	CC	  18.00	    136.7800	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	A                      	                      	                           	                                	                       	                     	                     	                   	C                     	                        	                  	R                  	                   	                     	                         	                       	A                     	F                      	                   	                    	                       	                   	A                       	                      	                     	                      	                         	                 	                    	C                   	                  	                      	                       	       

  IR	                 	Late Pliocene    	CN12d             	CN12c         	186	1151	A	  9	R	CC	   7.00	    147.1700	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	R                      	                      	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	R                       	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Pliocene    	CN12c             	CN12a         	186	1151	A	 12	R	CC	   7.00	    179.9600	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	D                      	                      	                           	                                	                       	                     	                     	                   	C                     	F                       	                  	R                  	                   	                     	A                        	                       	                      	                       	                   	                    	                       	                   	F                       	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Pliocene    	CN12a             	CN12a         	186	1151	A	 13	R	CC	  11.00	    187.1100	Li       	Nannofossils                                 	F              	G                 	R                    	                          	                  	                     	A                      	                      	                           	                                	                       	                     	                     	                   	C                     	F                       	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	R                  	R                       	                      	                     	                      	                         	                 	                    	                    	R                 	                      	                       	       

  IR	Late Pliocene    	Early Pliocene   	CN12a             	CN12a         	186	1151	A	 14	R	CC	   9.00	    199.1900	Li       	Nannofossils                                 	F              	G                 	C                    	                          	                  	                     	D                      	C                     	                           	                                	                       	                     	                     	                   	A                     	C                       	                  	                   	                   	                     	D                        	                       	C                     	                       	                   	                    	                       	R                  	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN12a             	CN11          	186	1151	A	 15	R	CC	   0.00	    208.8700	Li       	Nannofossils                                 	C              	M                 	A                    	                          	                  	                     	D                      	D                     	                           	C                               	                       	                     	                     	                   	C                     	F                       	                  	F                  	                   	                     	C                        	                       	F                     	F                      	                   	                    	                       	                   	C                       	                      	                     	                      	                         	                 	                    	F                   	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 16	R	CC	   8.00	    218.6400	Li       	Nannofossils                                 	R              	P                 	                     	                          	                  	                     	F                      	                      	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	F                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 18	R	CC	  11.00	    237.8900	Li       	Nannofossils                                 	C              	G                 	F                    	                          	                  	                     	C                      	                      	                           	A                               	F                      	F                    	F                    	                   	C                     	F                       	F                 	R                  	                   	                     	A                        	                       	F                     	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	F                   	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 20	R	CC	  12.00	    252.5000	Li       	Nannofossils                                 	F              	P                 	                     	                          	                  	                     	                       	                      	                           	A                               	F                      	F                    	                     	                   	C                     	F                       	                  	F                  	                   	                     	                         	                       	F                     	                       	                   	                    	                       	R                  	                        	                      	                     	                      	                         	                 	R                   	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 21	R	CC	  12.00	    266.6900	Li       	Nannofossils                                 	C              	M                 	F                    	                          	                  	                     	C                      	                      	                           	A                               	F                      	F                    	                     	                   	C                     	C                       	                  	C                  	                   	                     	F                        	                       	C                     	                       	                   	                    	                       	R                  	                        	                      	                     	                      	                         	                 	R                   	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 22	R	CC	  12.00	    276.1400	Li       	Nannofossils                                 	C              	P                 	C                    	                          	                  	                     	                       	                      	                           	C                               	                       	F                    	                     	                   	C                     	F                       	F                 	F                  	                   	                     	                         	                       	F                     	                       	                   	                    	                       	F                  	                        	                      	                     	                      	                         	                 	R                   	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 24	R	CC	  11.00	    295.1700	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	R                               	                       	                     	                     	                   	                      	R                       	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 26	R	CC	  14.00	    312.5400	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	F                      	R                     	                           	F                               	F                      	                     	                     	                   	F                     	                        	                  	                   	                   	                     	F                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 27	R	CC	  17.00	    321.4400	Li       	Nannofossils                                 	T              	M                 	R                    	                          	                  	                     	R                      	                      	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 28	R	CC	  14.00	    333.3800	Li       	Nannofossils                                 	C              	M                 	C                    	                          	                  	                     	A                      	C                     	                           	C                               	                       	                     	                     	                   	C                     	C                       	C                 	                   	                   	                     	                         	                       	                      	F                      	                   	F                   	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 29	R	CC	  14.00	    344.0100	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	A                      	                      	                           	C                               	                       	R                    	R                    	                   	C                     	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 30	R	CC	  10.00	    353.5600	Li       	Nannofossils                                 	C              	G                 	C                    	                          	                  	                     	A                      	F                     	                           	A                               	                       	                     	                     	                   	C                     	C                       	                  	                   	                   	                     	A                        	                       	F                     	F                      	                   	                    	                       	R                  	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 31	R	CC	  14.00	    360.9900	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	A                      	C                     	                           	A                               	                       	R                    	F                    	                   	C                     	F                       	F                 	                   	                   	                     	A                        	                       	C                     	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 32	R	CC	  15.00	    367.0500	Li       	Nannofossils                                 	F              	M                 	A                    	                          	                  	                     	C                      	                      	                           	C                               	                       	                     	                     	                   	R                     	                        	                  	F                  	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 33	R	CC	  19.00	    377.6100	Li       	Nannofossils                                 	C              	G                 	C                    	                          	                  	                     	A                      	F                     	                           	A                               	                       	                     	F                    	                   	C                     	C                       	                  	                   	                   	                     	A                        	                       	F                     	F                      	                   	                    	F                      	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 34	R	CC	  13.00	    388.1100	Li       	Nannofossils                                 	F              	M                 	F                    	                          	                  	                     	C                      	                      	                           	C                               	                       	R                    	F                    	                   	F                     	R                       	                  	                   	                   	                     	                         	                       	F                     	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 35	R	CC	  17.00	    396.0100	Li       	Nannofossils                                 	F              	P                 	C                    	                          	                  	                     	A                      	                      	                           	A                               	                       	F                    	F                    	                   	F                     	F                       	F                 	                   	                   	                     	                         	                       	F                     	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 36	R	CC	  12.00	    406.4900	Li       	Nannofossils                                 	R              	P                 	                     	                          	                  	                     	F                      	                      	                           	F                               	                       	                     	                     	                   	F                     	                        	                  	                   	                   	                     	F                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 37	R	CC	  11.00	    415.4300	Li       	Nannofossils                                 	C              	P                 	C                    	                          	                  	                     	A                      	                      	                           	A                               	                       	                     	                     	                   	C                     	                        	                  	                   	                   	                     	F                        	                       	F                     	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	R                   	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 38	R	CC	   9.00	    426.2100	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	A                      	C                     	                           	C                               	                       	F                    	                     	                   	C                     	F                       	                  	                   	                   	                     	C                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 39	R	CC	  12.00	    433.6400	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	R                               	                       	R                    	                     	                   	R                     	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	R                   	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 40	R	CC	  17.00	    445.3600	Li       	Nannofossils                                 	R              	P                 	F                    	                          	                  	                     	C                      	                      	                           	                                	                       	                     	                     	                   	R                     	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 41	R	CC	  12.00	    455.0100	Li       	Nannofossils                                 	C              	M                 	C                    	                          	                  	                     	A                      	                      	                           	A                               	                       	F                    	                     	                   	C                     	F                       	C                 	F                  	                   	                     	A                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 42	R	CC	  11.00	    464.4600	Li       	Nannofossils                                 	C              	M                 	F                    	                          	                  	                     	A                      	                      	                           	A                               	C                      	                     	                     	                   	C                     	F                       	                  	                   	                   	                     	A                        	                       	                      	                       	                   	F                   	                       	                   	                        	                      	                     	                      	                         	F                	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 43	R	CC	   9.00	    473.3000	Li       	Nannofossils                                 	R              	P                 	F                    	                          	                  	                     	C                      	                      	                           	C                               	F                      	                     	                     	                   	D                     	R                       	                  	                   	                   	                     	F                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 44	R	CC	   0.00	    487.2500	Li       	Nannofossils                                 	R              	P                 	                     	                          	                  	                     	C                      	                      	                           	C                               	F                      	                     	                     	                   	R                     	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 45	R	CC	  15.00	    492.2100	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	R                               	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 46	R	CC	  12.00	    505.7500	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	C                      	                      	                           	A                               	                       	F                    	                     	                   	C                     	                        	F                 	                   	                   	                     	A                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 47	R	CC	  13.00	    516.1300	Li       	Nannofossils                                 	R              	M                 	F                    	                          	                  	                     	C                      	                      	                           	C                               	                       	F                    	                     	                   	F                     	C                       	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 48	R	CC	  11.00	    524.4900	Li       	Nannofossils                                 	T              	M                 	                     	                          	                  	                     	R                      	                      	                           	R                               	                       	                     	                     	                   	R                     	                        	                  	                   	                   	                     	R                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 49	R	CC	  15.00	    533.5200	Li       	Nannofossils                                 	T              	P                 	A                    	                          	                  	                     	F                      	                      	                           	A                               	                       	F                    	                     	                   	A                     	                        	F                 	                   	                   	                     	F                        	                       	                      	                       	                   	                    	                       	                   	A                       	C                     	C                    	C                     	C                        	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 50	R	CC	  15.00	    541.9400	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	R                      	                      	                           	R                               	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	R                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 51	R	CC	  14.00	    554.6300	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	C                      	                      	                           	C                               	F                      	                     	                     	                   	                      	F                       	                  	F                  	                   	                     	C                        	                       	                      	                       	                   	                    	F                      	R                  	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 52	R	CC	  18.00	    563.9900	Li       	Nannofossils                                 	R              	P                 	C                    	                          	                  	                     	F                      	                      	                           	C                               	                       	                     	                     	                   	C                     	F                       	                  	                   	                   	                     	R                        	                       	                      	                       	                   	R                   	F                      	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 53	R	CC	  16.00	    573.2800	Li       	Nannofossils                                 	R              	M                 	F                    	                          	                  	                     	C                      	                      	                           	F                               	                       	F                    	                     	                   	F                     	F                       	                  	F                  	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 54	R	CC	  14.00	    582.7600	Li       	Nannofossils                                 	F              	G                 	F                    	                          	                  	                     	C                      	                      	                           	F                               	F                      	F                    	F                    	                   	F                     	F                       	F                 	F                  	                   	                     	F                        	                       	                      	                       	R                  	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 55	R	CC	   8.00	    584.3800	Li       	Nannofossils                                 	F              	M                 	F                    	                          	                  	                     	C                      	                      	                           	F                               	                       	F                    	                     	                   	C                     	                        	                  	F                  	                   	                     	C                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 56	R	CC	  13.00	    596.4700	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	C                      	                      	                           	C                               	                       	C                    	                     	                   	C                     	F                       	                  	                   	                   	                     	C                        	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 57	R	CC	  13.00	    609.8400	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	                       	                      	                           	C                               	A                      	                     	F                    	                   	C                     	F                       	F                 	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Early Pliocene   	CN11              	CN10          	186	1151	A	 58	R	CC	  13.00	    622.9500	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	                       	                      	                           	C                               	A                      	F                    	C                    	                   	C                     	F                       	A                 	F                  	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	Early Pliocene   	Late Miocene     	CN11              	CN9           	186	1151	A	 59	R	CC	  12.00	    631.3400	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	R                      	                      	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 60	R	CC	  21.00	    640.7600	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	                                	                       	                     	                     	                   	                      	R                       	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 63	R	CC	  15.00	    664.3100	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	                                	                       	R                    	                     	                   	                      	                        	                  	                   	                   	C                    	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 64	R	 1	  35.00	    671.1500	Li       	Nannofossils                                 	B              	                  	                     	                          	                  	                     	                       	                      	                           	                                	                       	R                    	                     	                   	F                     	                        	                  	F                  	                   	                     	                         	R                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 65	R	CC	  14.00	    688.4000	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	                                	                       	R                    	                     	                   	F                     	                        	                  	F                  	                   	                     	                         	R                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 66	R	CC	  19.00	    693.4300	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	                       	                      	                           	                                	                       	R                    	                     	                   	                      	                        	                  	                   	                   	                     	                         	R                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 67	R	CC	   9.00	    705.6300	Li       	Nannofossils                                 	T              	M                 	C                    	                          	                  	                     	                       	F                     	                           	F                               	                       	R                    	                     	                   	F                     	                        	C                 	                   	                   	C                    	                         	C                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 68	R	CC	  22.00	    718.8400	Li       	Nannofossils                                 	C              	G                 	C                    	                          	                  	                     	C                      	                      	                           	C                               	C                      	F                    	F                    	                   	C                     	                        	F                 	R                  	                   	C                    	C                        	F                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 69	R	CC	  16.00	    725.7700	Li       	Nannofossils                                 	C              	G                 	C                    	                          	                  	                     	A                      	                      	                           	C                               	C                      	F                    	F                    	                   	C                     	                        	F                 	                   	                   	C                    	A                        	C                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 70	R	CC	  16.00	    732.1400	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	F                      	F                     	                           	C                               	F                      	F                    	                     	                   	                      	                        	F                 	                   	                   	F                    	C                        	C                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 71	R	CC	  15.00	    747.1000	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	C                      	                      	                           	F                               	                       	                     	                     	                   	C                     	                        	C                 	                   	                   	C                    	C                        	F                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 72	R	CC	  14.00	    755.4400	Li       	Nannofossils                                 	F              	G                 	C                    	                          	                  	                     	C                      	A                     	                           	C                               	C                      	C                    	F                    	                   	                      	F                       	C                 	                   	                   	C                    	A                        	C                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 73	R	CC	  17.00	    767.1100	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	                     	A                      	                      	                           	A                               	F                      	F                    	F                    	                   	C                     	                        	C                 	F                  	                   	F                    	F                        	F                      	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 74	R	CC	  18.00	    774.7900	Li       	Nannofossils                                 	F              	M                 	C                    	                          	                  	F                    	                       	                      	                           	A                               	                       	C                    	F                    	                   	F                     	                        	                  	                   	                   	F                    	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 75	R	CC	   0.00	    784.1800	Li       	Nannofossils                                 	F              	G                 	C                    	                          	                  	                     	                       	                      	                           	A                               	                       	C                    	C                    	                   	F                     	F                       	C                 	                   	                   	                     	A                        	F                      	                      	F                      	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Late Miocene     	                  	CN9           	186	1151	A	 76	R	CC	  18.00	    794.5600	Li       	Nannofossils                                 	R              	P                 	                     	                          	                  	                     	                       	                      	                           	C                               	                       	F                    	                     	                   	C                     	                        	F                 	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

