Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia tumida flexuosa	Globorotalia tumida (right)	Globorotalia tumida (left)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerinoides ruber (high)	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina rubescens	Globigerina quinqueloba	Globigerina calida	Globigerina bulloides	Comment
  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  5	H	CC	  50.00	     44.8100	Showers  	Planktonic Foraminifers                      	C              	G                 	-                                    	R                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	C                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  6	H	CC	  85.00	     53.7500	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	C                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	F                                	-                                  	F                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	R                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  7	H	CC	  27.00	     63.3600	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	R                   	-                     	F                                	-                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  8	H	CC	  32.00	     73.0200	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	R                   	-                     	R                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  9	H	CC	  40.00	     82.4800	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	R                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 10	H	CC	  58.00	     87.7500	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	-                                    	-                           	R                	-                                      	-                                    	F                         	-                           	-                          	-                         	F                   	-                    	-                   	-                     	-                                	F                                  	A                            	-                           	-                           	-                          	F                      	F                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 11	H	CC	  39.00	    101.5300	Showers  	Planktonic Foraminifers                      	R              	P                 	-                                    	-                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                                	-                                  	A                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 13	X	CC	  17.00	    118.9000	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	R                   	-                     	C                                	R                                  	C                            	-                           	-                           	-                          	R                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 14	X	CC	  30.00	    129.7000	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	R                   	-                    	R                   	R                     	C                                	R                                  	A                            	R                           	-                           	-                          	F                      	-                    	R                      	R                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 15	X	CC	   7.00	    137.4100	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	F                                    	R                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	R                   	-                    	-                   	-                     	F                                	-                                  	A                            	-                           	-                           	-                          	R                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 16	X	CC	   8.00	    149.1900	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	R                	-                                      	-                                    	R                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	R                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 17	X	CC	  13.00	    156.9400	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	F                                	F                                  	F                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 18	X	CC	  21.00	    166.4400	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	C                                	-                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	C                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 19	X	CC	  31.00	    177.9600	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	F                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	C                                	-                                  	F                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	 20	X	CC	 102.00	    186.8200	Showers  	Planktonic Foraminifers                      	R              	P                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	F                                	F                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	B	 21	X	CC	  10.00	    193.1900	Showers  	Planktonic Foraminifers                      	R              	M                 	R                                    	C                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	R                                	R                                  	F                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	B	 22	X	CC	  62.00	    206.6300	Showers  	Planktonic Foraminifers                      	F              	M                 	-                                    	C                                    	R                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	C                                	R                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	B	 23	X	CC	  24.00	    208.3700	Showers  	Planktonic Foraminifers                      	F              	M                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	R                         	-                   	-                    	-                   	-                     	F                                	-                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	X             	155	 930	B	 24	X	CC	  27.00	    221.4000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	-                                    	-                           	R                	-                                      	-                                    	C                         	R                           	-                          	C                         	-                   	R                    	-                   	-                     	F                                	R                                  	F                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	zonal assignment uncertain; from Leg 155IR p. 107 Table 5

