Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sponge spicules,Coscinodiscus spp.,Distephanosira architecturalis,Stephanopyxis turris,Pyxilla fragments,Hemiaulus spp.,Coscinodiscus oculus-iridis,Arachnoidiscus oamaruensis,Silicoflagellate tests,Paralia sulcata var. crenulata,Triceratium spp.,Chaetoceros spp. (resting spores),Xanthiopyxis spp.,Actinoptychus senarius,Sceptroneis spp.,Cocconeis spp.,Podosira spp.,Triceratium pulvinar,Triceratium morlandii,Synedra jouseana,Rossiella spp.,Rocella vigilans,Rocella gelida  var. schraderi,Rocella gelida,Coscinodiscus rhombicus,Asteromphalus spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  6,R,CC,   7.00,    295.2600,diatoms  ,Diatoms                                      ,F              ,P                 ,F              ,                  ,F                             ,F                   ,F                ,R             ,                           ,                          ,T                     ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  7,R,CC,  15.00,    302.3000,diatoms  ,Diatoms                                      ,C              ,P                 ,               ,                  ,C                             ,D                   ,A                ,              ,C                          ,                          ,R                     ,R                             ,R               ,R                                ,A                ,R                     ,                ,R             ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  8,R,CC,   0.00,    307.8400,diatoms  ,Diatoms                                      ,C              ,P                 ,F              ,                  ,R                             ,R                   ,A                ,              ,F                          ,                          ,                      ,A                             ,                ,                                 ,R                ,C                     ,R               ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  9,R,CC,  12.00,    318.7700,diatoms  ,Diatoms                                      ,C              ,P                 ,F              ,                  ,C                             ,C                   ,A                ,C             ,                           ,                          ,                      ,                              ,                ,A                                ,R                ,R                     ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 10,R,CC,  12.00,    330.7800,diatoms  ,Diatoms                                      ,C              ,P                 ,C              ,R                 ,C                             ,C                   ,A                ,C             ,                           ,                          ,                      ,C                             ,R               ,C                                ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 11,R,CC,  12.00,    334.0200,diatoms  ,Diatoms                                      ,C              ,P                 ,               ,R                 ,C                             ,F                   ,R                ,              ,                           ,F                         ,F                     ,F                             ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 14,R,CC,  16.00,    363.2800,diatoms  ,Diatoms                                      ,F              ,MP                ,               ,F                 ,                              ,                    ,                 ,              ,                           ,R                         ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 15,R,CC,  20.00,    374.3500,diatoms  ,Diatoms                                      ,F              ,MP                ,               ,R                 ,                              ,                    ,R                ,R             ,R                          ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 16,R,CC,  18.00,    385.1800,diatoms  ,Diatoms                                      ,T              ,M                 ,               ,R                 ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 17,R,CC,  24.00,    398.4000,diatoms  ,Diatoms                                      ,F              ,M                 ,               ,                  ,F                             ,                    ,R                ,R             ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 18,R,CC,   0.00,    401.2000,diatoms  ,Diatoms                                      ,R              ,MP                ,               ,                  ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 19,R,CC,   0.00,    417.6300,diatoms  ,Diatoms                                      ,T              ,P                 ,T              ,R                 ,                              ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 20,R,CC,   6.00,    428.6500,diatoms  ,Diatoms                                      ,T              ,M                 ,               ,R                 ,                              ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 21,R,CC,  32.00,    430.3200,diatoms  ,Diatoms                                      ,R              ,M                 ,               ,R                 ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 22,R,CC,  12.00,    448.8400,diatoms  ,Diatoms                                      ,T              ,P                 ,               ,                  ,                              ,                    ,R                ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 24,R,CC,  29.00,    464.3200,diatoms  ,Diatoms                                      ,T              ,P                 ,T              ,R                 ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 25,R,CC,   0.00,    476.8100,diatoms  ,Diatoms                                      ,T              ,P                 ,T              ,T                 ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 26,R,CC,  15.00,    487.9800,diatoms  ,Diatoms                                      ,T              ,P                 ,T              ,                  ,                              ,R                   ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 31,R,CC,  28.00,    533.7300,diatoms  ,Diatoms                                      ,T              ,P                 ,               ,                  ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 32,R,CC,   0.00,    543.9600,diatoms  ,Diatoms                                      ,T              ,P                 ,               ,T                 ,T                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 33,R,CC,   0.00,    555.0200,diatoms  ,Diatoms                                      ,F              ,P                 ,               ,F                 ,R                             ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 34,R,CC,   0.00,    564.7900,diatoms  ,Diatoms                                      ,T              ,                  ,               ,R                 ,                              ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 35,R,CC,   7.00,    573.8600,diatoms  ,Diatoms                                      ,B              ,                  ,               ,R                 ,                              ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 36,R,CC,  13.00,    584.1000,diatoms  ,Diatoms                                      ,T              ,                  ,T              ,                  ,                              ,                    ,                 ,              ,                           ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
