Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe spp.,Henryhowella? reticulata,Cytherella spp.,Bradleya gr. johnsoni,Bairdioidea (inspecified taxon or taxa),Argillocea? sp.,Actinocythereis orientalis,Poseidonamicus? sp.,Bradleya ossa,Abyssocypris sp.,Rockallia sp.,Pelecocythere sp.,Macrocypris? sp.,Bythoceratina sp.,Henryhowella sp.,Cytheropteron spp.,Actinocythereis orientalis orientalis,Bythocythere sp.,Bradleya cf. B. thomasi,Bradleya sp.,Xestoleberis sp.,Parakrithe sp.,Comment
  SR,                 ,                 ,                  ,              ,122, 762,B,  4,H, 5,  89.00,     30.2900,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,questionable identity of Poseidonamicus? sp.;  from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  5,H, 3,  90.00,     36.8000,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,                     ,+                                      ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  6,H, 1,  89.00,     43.2900,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  6,H, 5,  89.00,     49.2900,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,                     ,                                       ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,+           ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  7,H, 3,  19.00,     55.0900,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,+                    ,                                       ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  7,H, 5,  89.00,     58.7900,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,                     ,                                       ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  8,H, 3,  89.00,     65.2900,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,+               ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 10,H, 3,  65.00,     84.0500,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,+                         ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 10,H, 6,  65.00,     88.5500,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 11,H, 2,  87.00,     92.2700,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,                     ,                                       ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 13,H, 3,  35.00,    112.2500,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,+                      ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 13,H, 6,  72.00,    117.1200,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,+                    ,+                                      ,               ,                          ,+                  ,             ,                ,             ,+                ,                ,                 ,+               ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 14,H, 1, 108.00,    119.4800,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,+                    ,                                       ,               ,                          ,+                  ,             ,+               ,             ,                 ,                ,                 ,+               ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 14,H, 4, 108.00,    123.9800,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,+                    ,+                                      ,               ,                          ,+                  ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 16,H, 2,  74.00,    139.6400,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,                     ,+                                      ,               ,+                         ,+                  ,+            ,+               ,             ,+                ,+               ,                 ,                ,+                 ,                                     ,+               ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 16,H, 4,  74.00,    142.6400,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,+              ,                     ,+                                      ,               ,+                         ,+                  ,+            ,+               ,             ,+                ,+               ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 17,H, 1,  20.00,    147.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,+                    ,+                                      ,+              ,+                         ,+                  ,+            ,+               ,             ,+                ,                ,                 ,                ,+                 ,+                                    ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 17,H, 5,  20.00,    153.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,                     ,+                                      ,               ,+                         ,                   ,+            ,+               ,             ,+                ,                ,                 ,+               ,+                 ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 18,H, 2,  10.00,    158.0000,Guernet  ,Ostracodes                                   ,               ,                  ,           ,+                       ,+              ,                     ,                                       ,+              ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 18,H, 3,  10.00,    159.5000,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,                     ,                                       ,+              ,+                         ,+                  ,             ,+               ,+            ,+                ,+               ,+                ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 18,H, 4,  10.00,    161.0000,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,                     ,+                                      ,               ,                          ,+                  ,+            ,+               ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 19,H, 2,  88.00,    168.2800,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,+                    ,+                                      ,+              ,+                         ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B, 19,H, 4,  88.00,    171.2800,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,+                       ,+              ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
