genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
Ammodiscus,818,Ammodiscus,genus
Nuttalides,,,
Stephanodiscus,351512,Stephanodiscus,genus
Poseidonamicus,24466,Poseidonamicus,genus
Lophophaenoma,85735,Lophophaenoma,genus
Caribeanella,1056,Caribeanella,genus
Rhabdosphaera,424334,Rhabdosphaera,genus
Schackoina,2478,Schackoina,genus
Dicolocapsa,495,Dicolocapsa,genus
Eucecryphalus,512,Eucecryphalus,genus
Lithocyclia,192,Lithocyclia,genus
Xanthiopyxis,71281,Xanthiopyxis,genus
Fibrocysta,323982,Fibrocysta,genus
Paradentalina,,,
Lophocorys,564,Lophocorys,genus
Cistaceae,55468,Cistaceae,family
Theocampe,675,Theocampe,genus
Micula,364628,Micula,genus
Prinsius,424330,Prinsius,genus
Heliodiscus,144,Heliodiscus,genus
Lampromitra,85728,Lampromitra,genus
Nodosarella,1951,Nodosarella,genus
Eusyringium,517,Eusyringium,genus
Stichopera,,,
Guembelitria,1557,Guembelitria,genus
Monoporites,251295,Monoporites,genus
Lynchnocanella,,,
Cadium,117902,Cadium,genus
Epistominella,1395,Epistominella,genus
Nummulites,1972,Nummulites,genus
Lophochytris,,,
Haplophragmoides,1586,Haplophragmoides,genus
Dapsilidinium,323956,Dapsilidinium,genus
Dacrydiumites,277342,Dacrydiumites,genus
Sigmoilopsis,2525,Sigmoilopsis,genus
Klukisporites,252482,Klukisporites,genus
Rhabdolithis,629,Rhabdolithis,genus
Bombacaceae,55599,Bombacaceae,family
Proteacidites,264543,Proteacidites,genus
Actinoptychus,71244,Actinoptychus,genus
Fabalicypris,24085,Fabalicypris,genus
Arkhangelskiella,87794,Arkhangelskiella,genus
Vermiculithina,,,
Trissospyris,,,
Gavelinella,1480,Gavelinella,genus
Trochammina,2721,Trochammina,genus
Stephanogonia,82173,Stephanogonia,genus
Impagidinium,276906,Impagidinium,genus
Brachiospyris,441,Brachiospyris,genus
Globigerinatheka,1500,Globigerinatheka,genus
Orbulina,2002,Orbulina,genus
Brigantedinium,264634,Brigantedinium,genus
Calcidiscus,255405,Calcidiscus,genus
Thalictrum,,,
Tessarastrum,,,
Ellipsoglandulina,1334,Ellipsoglandulina,genus
Transversopontis,,,
Acanthosphaera,8,Acanthosphaera,genus
Clathrocorys,85902,Clathrocorys,genus
Entosolenia,202034,Entosolenia,genus
Riedelia,,,
Dictyomitra,497,Dictyomitra,genus
Stichocorys,663,Stichocorys,genus
Robustaurila,,,
Morozovella,1881,Morozovella,genus
Coccolarcus,72,Coccolarcus,genus
Roperia,11641,Roperia,genus
Syracosphaera,270678,Syracosphaera,genus
Polysolenia,184533,Polysolenia,genus
Rosalina,2428,Rosalina,genus
Lychnocanoma,570,Lychnocanoma,genus
Scyphosphaera,424338,Scyphosphaera,genus
Lampterium,152623,Podocyrtis (Lampterium),subgenus
Antarctissa,416,Antarctissa,genus
Lophodolithus,410573,Lophodolithus,genus
Bradynella,,,
Theopilium,85906,Theopilium,genus
Systematophora,276972,Systematophora,genus
Lithomesites,,,
Marginulina,1810,Marginulina,genus
Vagalapilla,87689,Vagalapilla,genus
Avicennia,,,
Planifolia,,,
Thamnospyris,,,
Gladius,71253,Gladius,genus
Surirella,433619,Surirella,genus
Lituotuba,1784,Lituotuba,genus
Ditylum,,,
Cyclococcolithus,87713,Cyclococcolithus,genus
Clathrocanium,85900,Clathrocanium,genus
Cibicides,1107,Cibicides,genus
Eucoronis,513,Eucoronis,genus
Praeorbulina,2200,Praeorbulina,genus
Thecosphaerella,,,
Subbotina,2631,Subbotina,genus
Callitris,190845,Callitris,genus
Rhodospyris,85772,Rhodospyris,genus
Invertocysta,,,
Sphaeroidinellopsis,2569,Sphaeroidinellopsis,genus
Bolivinopsis,1000,Bolivinopsis,genus
Astractinium,,,
Hystrichostrogylon,,,
Oridorsalis,2006,Oridorsalis,genus
Discoasteroides,,,
Protelphidium,2221,Protelphidium,genus
Heliosestilla,,,
Osmundacidites,252479,Osmundacidites,genus
Pseudodictyophimus,85747,Pseudodictyophimus,genus
Diploneis,82159,Diploneis,genus
Artostrobus,428,Artostrobus,genus
Hyperammina,1657,Hyperammina,genus
Unidentified,,,
Parthenocissus,264931,Parthenocissus,genus
Tabellaria,,,
Crotonoideae,,,
Ebriopsis,,,
Patagospyris,597,Patagospyris,genus
Uvigerina,2758,Uvigerina,genus
Orbula,590,Orbula,genus
Chrysalogonium,1103,Chrysalogonium,genus
Homotryblium,,,
Palmerinella,2041,Palmerinella,genus
Vitreisporites,276594,Vitreisporites,genus
Laticarinina,1757,Laticarinina,genus
Trifarina,2708,Trifarina,genus
Eucommia,,,
Huttonia,71217,Huttonia,genus
Fasciculithus,424283,Fasciculithus,genus
Cyclammina,1218,Cyclammina,genus
Botryocyrtis,438,Botryocyrtis,genus
Dorothia,1296,Dorothia,genus
Astacolus,898,Astacolus,genus
Discocyclina,1281,Discocyclina,genus
Corocalyptra,471,Corocalyptra,genus
Tricolocampe,689,Tricolocampe,genus
Streptochilus,2624,Streptochilus,genus
Zygolithus,87686,Zygolithus,genus
Lejeunia,410314,Lejeunia,genus
Botryopyle,439,Botryopyle,genus
Diplocyclas,85909,Diplocyclas,genus
Alievium,413,Alievium,genus
Globocassidulina,1513,Globocassidulina,genus
Dyocibicides,1312,Dyocibicides,genus
Fragilaria,83626,Fragilaria,genus
Stetsonia,2613,Stetsonia,genus
Ellipsodiscoaster,,,
Spongolagena,,,
Anaulus,71245,Anaulus,genus
Pterotheca,71220,Pterotheca,genus
Spongosphaera,152639,Spongosphaera,genus
Podocoronis,612,Podocoronis,genus
Zigospyris,,,
Haylinea,,,
Ammobaculoides,814,Ammobaculoides,genus
Perichlamidium,,,
Saipanetta,,,
Poterium,,,
Aulacosira,,,
Dictyoconus,1270,Dictyoconus,genus
Pterocodon,624,Pterocodon,genus
Diartus,94,Diartus,genus
Spongomelissa,656,Spongomelissa,genus
Elphidium,1342,Elphidium,genus
Argilloecia,23901,Argilloecia,genus
Costacentrum,87717,Costacentrum,genus
Ericsonia,424280,Ericsonia,genus
Psidium,,,
Astostrobus,,,
Lipmanella,432664,Lipmanella,genus
Carpocaniidae,86212,Carpocaniidae,family
Theocyrtis,681,Theocyrtis,genus
Toweius,208762,Toweius,genus
Loxoconcha,24247,Loxoconcha,genus
Thalassocythere,,,
Chaetoceros,82150,Chaetoceros,genus
Euuvigerina,1408,Euuvigerina,genus
Tristylospyris,700,Tristylospyris,genus
Ellipsonodosaria,355064,Ellipsonodosaria,genus
Crytomeria,,,
Desmospyris,492,Desmospyris,genus
Amphipternis,86381,Amphipternis,genus
Eponides,1401,Eponides,genus
Spiroloculina,2589,Spiroloculina,genus
Scapholithus,87694,Scapholithus,genus
Paraglobobulimina,,,
Actinomma,10,Actinomma,genus
Deflandrea,277062,Deflandrea,genus
Trachyleberidea,24656,Trachyleberidea,genus
Isthmolithus,409879,Isthmolithus,genus
Acacia,53524,Acacia,genus
Thoracosphaera,432568,Thoracosphaera,genus
Glabratella,1490,Glabratella,genus
Hypoestes,,,
Clathrocyclas,465,Clathrocyclas,genus
Cestodiscus,432310,Cestodiscus,genus
Goniothecium,71254,Goniothecium,genus
Dipsaceae,,,
Druppatractus,116,Druppatractus,genus
Wetzeliella,340087,Wetzeliella,genus
Apeiba,,,
Cleistosphaeridium,276883,Cleistosphaeridium,genus
Clathrocycloma,87061,Clathrocycloma,genus
Lithapium,189,Lithapium,genus
Coronocyclas,,,
Bacteriastrum,432212,Bacteriastrum,genus
Theocalyptra,674,Theocalyptra,genus
Ellipsoidina,1336,Ellipsoidina,genus
Prunobrachium,166531,Prunobrachium,genus
Lamarckina,1744,Lamarckina,genus
Corrudinium,,,
Anthocorys,159808,Anthocorys,genus
Rouxia,82172,Rouxia,genus
Vallacerta,71287,Vallacerta,genus
Cyathidites,252469,Cyathidites,genus
Fagus,55969,Fagus,genus
Lamprotripus,85730,Lamprotripus,genus
Hedbergella,1596,Hedbergella,genus
Alchornea,,,
Haliomma,138,Haliomma,genus
Rhopalastrum,285,Rhopalastrum,genus
Pseudocythere,24505,Pseudocythere,genus
Lithastrinus,87744,Lithastrinus,genus
Citharina,1115,Citharina,genus
Acrocythere,23852,Acrocythere,genus
Palmula,2042,Palmula,genus
Ilex,319957,Ilex,genus
Cyclolithella,,,
Triceratuim,,,
Seabrookia,2490,Seabrookia,genus
Stauroneis,,,
Tholospyris,684,Tholospyris,genus
Lithomitra,558,Lithomitra,genus
Rectuvigerina,2388,Rectuvigerina,genus
Rutilaria,71271,Rutilaria,genus
Spongoplegma,319,Spongoplegma,genus
Hornibrookina,,,
Dentogolbigerina,,,
Clavulina,70260,Clavulina,order
Cretarhabdus,87816,Cretarhabdus,genus
Kisselovia,,,
Mimosaceae,257017,Mimosaceae,family
Trachoelphidiella,,,
Planularia,2148,Planularia,genus
Archipilium,,,
Sapotaceae,53924,Sapotaceae,family
Amphisphaera,16,Amphisphaera,genus
Spirocyrtis,654,Spirocyrtis,genus
Boldia,994,Boldia,genus
Nematosphaeropsis,264649,Nematosphaeropsis,genus
Endictya,71251,Endictya,genus
Theoperid,,,
Rylandsia,,,
Theopera,682,Theopera,genus
Parathranium,,,
Pinnularia,387127,Pinnularia,genus
Tepka,,,
Candeina,1053,Candeina,genus
Plectina,2152,Plectina,genus
Lentina,,,
Pseudoclavulina,2247,Pseudoclavulina,genus
Pseudoeunotia,,,
Rotorbinella,82204,Rotorbinella,genus
Ellipsopolymorphina,1338,Ellipsopolymorphina,genus
Cymbella,83625,Cymbella,genus
Lychnocanium,569,Lychnocanium,genus
Axoprunum,38,Axoprunum,genus
Udan,,,
Globobulimina,1512,Globobulimina,genus
Actinosphaera,85186,Actinosphaera,genus
Pyxilla,82169,Pyxilla,genus
Achomosphaera,277048,Achomosphaera,genus
Danea,323980,Danea,genus
Spongasteriscus,307,Spongasteriscus,genus
Paleostomacystis,,,
Synedra,82175,Synedra,genus
Osangularia,2017,Osangularia,genus
