verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name,_merge_approved
Turborotalia compressa,planktic_forams,Turborotalia,Turborotalia compressa,compressa,,left_only
Triceratium unguicuilatum,diatoms,Triceratium,Triceratium unguicuilatum,unguicuilatum,,left_only
Globorotalia miozea subgroup,planktic_forams,Globorotalia,Globorotalia miozea subgroup,miozea,subgroup,left_only
Globoquadrina venezuelana (q),planktic_forams,Globoquadrina,Globoquadrina venezuelana,venezuelana,,both
Echinomma antarctica (q),radiolarians,Echinomma,Echinomma antarctica,antarctica,,left_only
Fragilaria sp.,diatoms,Fragilaria,Fragilaria sp.,sp.,,both
Deflandrea denticulata,dinoflagellates,Deflandrea,Deflandrea denticulata,denticulata,,left_only
Podocyrtis triacantha,radiolarians,Podocyrtis,Podocyrtis triacantha,triacantha,,left_only
Acrocythere sp.(q),ostracods,Acrocythere,Acrocythere sp.,sp.,,left_only
Helicosphaera euphratis,nannofossils,Helicosphaera,Helicosphaera euphratis,euphratis,,both
Discoaster hamatus,nannofossils,Discoaster,Discoaster hamatus,hamatus,,both
Globorotalia munda (q),planktic_forams,Globorotalia,Globorotalia munda,munda,,both
Rotorbinella tholus,benthic_forams,Rotorbinella,Rotorbinella tholus,tholus,,left_only
Helicopontosphaera subantarctica (q),nannofossils,Helicopontosphaera,Helicopontosphaera subantarctica,subantarctica,,left_only
Cibicides novozealandica,benthic_forams,Cibicides,Cibicides novozealandica,novozealandica,,left_only
Thalassiosira lineata,diatoms,Thalassiosira,Thalassiosira lineata,lineata,,both
Lampterium sp.,radiolarians,Lampterium,Lampterium sp.,sp.,,left_only
Reticulofenestra samodurovii,nannofossils,Reticulofenestra,Reticulofenestra samodurovii,samodurovii,,both
Fissurina anectus (q),benthic_forams,Fissurina,Fissurina anectus,anectus,,left_only
Chaetoceros sp.,diatoms,Chaetoceros,Chaetoceros sp.,sp.,,left_only
Nodosaria stiliformis,benthic_forams,Nodosaria,Nodosaria stiliformis,stiliformis,,left_only
Syracosphaera histrica (q),nannofossils,Syracosphaera,Syracosphaera histrica,histrica,,both
Globorotalia pseudobulloides,planktic_forams,Globorotalia,Globorotalia pseudobulloides,pseudobulloides,,left_only
Paradictyocha dumitricai,silicoflagellates,Paradictyocha,Paradictyocha dumitricai,dumitricai,,left_only
Clavicula polymorpha,diatoms,Clavicula,Clavicula polymorpha,polymorpha,,left_only
Macrora stella,silicoflagellates,Macrora,Macrora stella,stella,,left_only
Navicula lyra,diatoms,Navicula,Navicula lyra,lyra,,both
Gomphonema augur,diatoms,Gomphonema,Gomphonema augur,augur,,left_only
Globorotalia binaiensis,planktic_forams,Globorotalia,Globorotalia binaiensis,binaiensis,,left_only
Orbitolina sp. (q),benthic_forams,Orbitolina,Orbitolina sp.,sp.,,left_only
Orbula comitata (q),radiolarians,Orbula,Orbula comitata,comitata,,left_only
Theocampe apicata,radiolarians,Theocampe,Theocampe apicata,apicata,,left_only
Craniopsis sp.,ebridians,Craniopsis,Craniopsis sp.,sp.,,left_only
Corbisema navicula constricta,silicoflagellates,Corbisema,Corbisema navicula constricta,navicula,constricta,left_only
Lagena lineata,benthic_forams,Lagena,Lagena lineata,lineata,,left_only
Spiniferites ramosus,dinoflagellates,Spiniferites,Spiniferites ramosus,ramosus,,left_only
Sphaeroidinellopsis seminulina paenedehiscens,planktic_forams,Sphaeroidinellopsis,Sphaeroidinellopsis seminulina paenedehiscens,seminulina,paenedehiscens,left_only
Sethoconus dogieli,radiolarians,Sethoconus,Sethoconus dogieli,dogieli,,left_only
Gyroidina quinqueloba,benthic_forams,Gyroidina,Gyroidina quinqueloba,quinqueloba,,left_only
Lygistepollenites florinii,pollen,Lygistepollenites,Lygistepollenites florinii,florinii,,left_only
Thecosphaerella rotunda,radiolarians,Thecosphaerella,Thecosphaerella rotunda,rotunda,,left_only
Globorotalia anfracta (q),planktic_forams,Globorotalia,Globorotalia anfracta,anfracta,,both
Naviculopsis lacrima,silicoflagellates,Naviculopsis,Naviculopsis lacrima,lacrima,,left_only
Pararotalia curryi,benthic_forams,Pararotalia,Pararotalia curryi,curryi,,left_only
Ginkgo sp.,pollen,Ginkgo,Ginkgo sp.,sp.,,left_only
Globorotalia tosaensis tosaensis,planktic_forams,Globorotalia,Globorotalia tosaensis tosaensis,tosaensis,tosaensis,left_only
Asterolampra uraster,diatoms,Asterolampra,Asterolampra uraster,uraster,,left_only
Asteromphalus decorus,diatoms,Asteromphalus,Asteromphalus decorus,decorus,,left_only
Hantkenina primitiva alabamensis,planktic_forams,Hantkenina,Hantkenina primitiva alabamensis,primitiva,alabamensis,left_only
Keteleeria (q),pollen,Keteleeria,Keteleeria,,,left_only
Globigerina angiporoides (q),planktic_forams,Globigerina,Globigerina angiporoides,angiporoides,,left_only
Pyrgo rotularia,benthic_forams,Pyrgo,Pyrgo rotularia,rotularia,,left_only
Discoaster prepentaradiatus (q),nannofossils,Discoaster,Discoaster prepentaradiatus,prepentaradiatus,,both
Globorotalia tumida flexuosa,planktic_forams,Globorotalia,Globorotalia tumida flexuosa,tumida,flexuosa,both
Coccolithus subdistichus,nannofossils,Coccolithus,Coccolithus subdistichus,subdistichus,,left_only
Thalassionema gravida,diatoms,Thalassionema,Thalassionema gravida,gravida,,left_only
Lithomitra imbricata,radiolarians,Lithomitra,Lithomitra imbricata,imbricata,,left_only
Graminidites media,pollen,Graminidites,Graminidites media,media,,left_only
Tetralithus quadratus,nannofossils,Tetralithus,Tetralithus quadratus,quadratus,,left_only
Echinomma delicatulum,radiolarians,Echinomma,Echinomma delicatulum,delicatulum,,left_only
Clathrocyclas cabrilloensis,radiolarians,Clathrocyclas,Clathrocyclas cabrilloensis,cabrilloensis,,left_only
Hemiaulus altus (q),diatoms,Hemiaulus,Hemiaulus altus,altus,,both
Pulleniatina obliquiloculata primalis,planktic_forams,Pulleniatina,Pulleniatina obliquiloculata primalis,obliquiloculata,primalis,left_only
Mesocena schulzii,silicoflagellates,Mesocena,Mesocena schulzii,schulzii,,left_only
Globorotalia hexagona,planktic_forams,Globorotalia,Globorotalia hexagona,hexagona,,left_only
Nitzschia plana,diatoms,Nitzschia,Nitzschia plana,plana,,left_only
Stichomitra compsa,radiolarians,Stichomitra,Stichomitra compsa,compsa,,left_only
Subbotina higginsi,planktic_forams,Subbotina,Subbotina higginsi,higginsi,,left_only
Dicladia pylea,diatoms,Dicladia,Dicladia pylea,pylea,,left_only
Globotruncana linneiana,planktic_forams,Globotruncana,Globotruncana linneiana,linneiana,,both
Emiliania huxleyi (q),nannofossils,Emiliania,Emiliania huxleyi,huxleyi,,both
Anthocyrtidium angulare,radiolarians,Anthocyrtidium,Anthocyrtidium angulare,angulare,,both
Burseola sp.,benthic_forams,Burseola,Burseola sp.,sp.,,left_only
Saxifragaceae,pollen,Saxifragaceae,Saxifragaceae,,,left_only
Cassidulinoides tenuis,benthic_forams,Cassidulinoides,Cassidulinoides tenuis,tenuis,,both
Globigerinoides obliqus,planktic_forams,Globigerinoides,Globigerinoides obliqus,obliqus,,left_only
Bulimina beaumonti,benthic_forams,Bulimina,Bulimina beaumonti,beaumonti,,left_only
Reticulofenestra  sp. (small),nannofossils,Reticulofenestra,Reticulofenestra  sp.,,sp.,left_only
Thurammina papillata,benthic_forams,Thurammina,Thurammina papillata,papillata,,left_only
Calocyclas semipolita,radiolarians,Calocyclas,Calocyclas semipolita,semipolita,,left_only
Cannartus laticonus (q),radiolarians,Cannartus,Cannartus laticonus,laticonus,,left_only
Carpocanopsis cingulatum,radiolarians,Carpocanopsis,Carpocanopsis cingulatum,cingulatum,,left_only
Globocassidulina crass,benthic_forams,Globocassidulina,Globocassidulina crass,crass,,left_only
Carposphaera modesta,radiolarians,Carposphaera,Carposphaera modesta,modesta,,left_only
Dentalina jacksonensis (q),benthic_forams,Dentalina,Dentalina jacksonensis,jacksonensis,,left_only
Nodosaria okinoshimaensis,benthic_forams,Nodosaria,Nodosaria okinoshimaensis,okinoshimaensis,,left_only
Nonion olssoni,benthic_forams,Nonion,Nonion olssoni,olssoni,,left_only
Cymatosira belgica,diatoms,Cymatosira,Cymatosira belgica,belgica,,left_only
Dentalina solvata,benthic_forams,Dentalina,Dentalina solvata,solvata,,left_only
Siphostichoartus corona,radiolarians,Siphostichoartus,Siphostichoartus corona,corona,,left_only
Actiniscus sp.,ebridians,Actiniscus,Actiniscus sp.,sp.,,left_only
Cibicides floridanus (q),benthic_forams,Cibicides,Cibicides floridanus,floridanus,,left_only
Mitrocalpis araneafera,radiolarians,Mitrocalpis,Mitrocalpis araneafera,araneafera,,both
Cyclococcolithus jafari,nannofossils,Cyclococcolithus,Cyclococcolithus jafari,jafari,,left_only
Calocyclas monumentum,radiolarians,Calocyclas,Calocyclas monumentum,monumentum,,left_only
Globorotalia pseudopima (q),planktic_forams,Globorotalia,Globorotalia pseudopima,pseudopima,,left_only
Lyramula furcula minor,silicoflagellates,Lyramula,Lyramula furcula minor,furcula,minor,left_only
Globorotalia crassaformis crassaformis,planktic_forams,Globorotalia,Globorotalia crassaformis crassaformis,crassaformis,crassaformis,both
Corocalyptra kruegeri (q),radiolarians,Corocalyptra,Corocalyptra kruegeri,kruegeri,,left_only
Foveotriletes palaequetrus (q),pollen,Foveotriletes,Foveotriletes palaequetrus,palaequetrus,,left_only
Dictyoconus floridanus,benthic_forams,Dictyoconus,Dictyoconus floridanus,floridanus,,left_only
Dictyocha fibula augusta,silicoflagellates,Dictyocha,Dictyocha fibula augusta,fibula,augusta,left_only
Globorotalia trinidadensis,planktic_forams,Globorotalia,Globorotalia trinidadensis,trinidadensis,,left_only
Clathrocycloma sp.,radiolarians,Clathrocycloma,Clathrocycloma sp.,sp.,,left_only
Henryhowella sp.,ostracods,Henryhowella,Henryhowella sp.,sp.,,left_only
Globulina sp.,benthic_forams,Globulina,Globulina sp.,sp.,,both
Cordosphaeridium gracilis,dinoflagellates,Cordosphaeridium,Cordosphaeridium gracilis,gracilis,,left_only
Spiniferites monlis,dinoflagellates,Spiniferites,Spiniferites monlis,monlis,,left_only
Amphirhopalum ypsilon,radiolarians,Amphirhopalum,Amphirhopalum ypsilon,ypsilon,,both
Globorotalia siakensis group,planktic_forams,Globorotalia,Globorotalia siakensis group,siakensis,group,left_only
Podocyrtis goetheana,radiolarians,Podocyrtis,Podocyrtis goetheana,goetheana,,both
Gaudryina inflata,benthic_forams,Gaudryina,Gaudryina inflata,inflata,,left_only
Rhagodiscus asper,nannofossils,Rhagodiscus,Rhagodiscus asper,asper,,both
Xanthiopyxis panduraeformis,diatoms,Xanthiopyxis,Xanthiopyxis panduraeformis,panduraeformis,,left_only
Brizalina argentea (q),benthic_forams,Brizalina,Brizalina argentea,argentea,,left_only
Fissurina dominicana,benthic_forams,Fissurina,Fissurina dominicana,dominicana,,left_only
Campylodiscus echeneis,diatoms,Campylodiscus,Campylodiscus echeneis,echeneis,,left_only
Hopkinsina wakimotoensis,benthic_forams,Hopkinsina,Hopkinsina wakimotoensis,wakimotoensis,,left_only
Marthasterites tribrachiatus (q),nannofossils,Marthasterites,Marthasterites tribrachiatus,tribrachiatus,,left_only
Reticulofenestra gartneri (q),nannofossils,Reticulofenestra,Reticulofenestra gartneri,gartneri,,left_only
Acanthoica sp. (q),nannofossils,Acanthoica,Acanthoica sp.,sp.,,left_only
Lagena hexagona,benthic_forams,Lagena,Lagena hexagona,hexagona,,left_only
Dictyocha brachyacantha,silicoflagellates,Dictyocha,Dictyocha brachyacantha,brachyacantha,,left_only
Amphiplecta acrostoma,radiolarians,Amphiplecta,Amphiplecta acrostoma,acrostoma,,left_only
Echiperiporites estelae,pollen,Echiperiporites,Echiperiporites estelae,estelae,,left_only
Epithelion curvatum,diatoms,Epithelion,Epithelion curvatum,curvatum,,left_only
Pontosphaera discopora (q),nannofossils,Pontosphaera,Pontosphaera discopora,discopora,,both
Reophax pilulifer,benthic_forams,Reophax,Reophax pilulifer,pilulifer,,left_only
Dictyophimus crisiae,radiolarians,Dictyophimus,Dictyophimus crisiae,crisiae,,both
Thalassiosira gravida (c0nvex form),diatoms,Thalassiosira,Thalassiosira gravida,gravida,,both
Tholospyris cupula (q),radiolarians,Tholospyris,Tholospyris cupula,cupula,,left_only
Discoaster variabilis pansus,nannofossils,Discoaster,Discoaster variabilis pansus,variabilis,pansus,left_only
Denticulopsis seminae,diatoms,Denticulopsis,Denticulopsis seminae,seminae,,left_only
Cladococcus sp.,radiolarians,Cladococcus,Cladococcus sp.,sp.,,left_only
Thalassionema sp.,diatoms,Thalassionema,Thalassionema sp.,sp.,,left_only
Globigerina hexagona,planktic_forams,Globigerina,Globigerina hexagona,hexagona,,left_only
Triceratium inconspicuum trilobata,diatoms,Triceratium,Triceratium inconspicuum trilobata,inconspicuum,trilobata,left_only
Globorotalia multicamerta,planktic_forams,Globorotalia,Globorotalia multicamerta,multicamerta,,left_only
Theocotyle (theocotylissa) alpha,radiolarians,Theocotyle,Theocotyle (theocotylissa) alpha,(theocotylissa),alpha,left_only
Nitzschia interrupta,diatoms,Nitzschia,Nitzschia interrupta,interrupta,,left_only
Gyroidinoides beisseli,benthic_forams,Gyroidinoides,Gyroidinoides beisseli,beisseli,,both
Cyrtocapsella tetrapera,radiolarians,Cyrtocapsella,Cyrtocapsella tetrapera,tetrapera,,both
Denticulopsis seminae fossilis,diatoms,Denticulopsis,Denticulopsis seminae fossilis,seminae,fossilis,left_only
Glyphodiscus stellatus,diatoms,Glyphodiscus,Glyphodiscus stellatus,stellatus,,left_only
Rouxia antarctica,diatoms,Rouxia,Rouxia antarctica,antarctica,,both
Stilostomella modesta,benthic_forams,Stilostomella,Stilostomella modesta,modesta,,left_only
Globorotalia bolivariana,planktic_forams,Globorotalia,Globorotalia bolivariana,bolivariana,,left_only
Parathranium clathratum (q),ebridians,Parathranium,Parathranium clathratum,clathratum,,left_only
Ammonia ammoniformis,benthic_forams,Ammonia,Ammonia ammoniformis,ammoniformis,,left_only
Coscinodiscus tuberculatus atlantica,diatoms,Coscinodiscus,Coscinodiscus tuberculatus atlantica,tuberculatus,atlantica,left_only
Pulleniatina spectabilis praespectabilis,planktic_forams,Pulleniatina,Pulleniatina spectabilis praespectabilis,spectabilis,praespectabilis,left_only
Gyroidinoides planulatus,benthic_forams,Gyroidinoides,Gyroidinoides planulatus,planulatus,,both
Planorotalites pusillus pusillus,planktic_forams,Planorotalites,Planorotalites pusillus pusillus,pusillus,pusillus,left_only
Hantkenina aragonensis,planktic_forams,Hantkenina,Hantkenina aragonensis,aragonensis,,left_only
Ceratospyris muelleri,radiolarians,Ceratospyris,Ceratospyris muelleri,muelleri,,left_only
Dictyocha crux,silicoflagellates,Dictyocha,Dictyocha crux,crux,,left_only
Hyperammina sp. (q),benthic_forams,Hyperammina,Hyperammina sp.,sp.,,both
Diploneis papula,diatoms,Diploneis,Diploneis papula,papula,,left_only
Braarudosphaera perversus,nannofossils,Braarudosphaera,Braarudosphaera perversus,perversus,,left_only
Corbisema sp.,silicoflagellates,Corbisema,Corbisema sp.,sp.,,left_only
Dracodinium varilongituda,dinoflagellates,Dracodinium,Dracodinium varilongituda,varilongituda,,left_only
Cyrtocapsella eldholmi,radiolarians,Cyrtocapsella,Cyrtocapsella eldholmi,eldholmi,,left_only
Cibicides thiara (q),benthic_forams,Cibicides,Cibicides thiara,thiara,,left_only
Velicucullus magnificum,radiolarians,Velicucullus,Velicucullus magnificum,magnificum,,left_only
Buccinosphaera invaginata,radiolarians,Buccinosphaera,Buccinosphaera invaginata,invaginata,,both
Lithotympanium tuberosum,radiolarians,Lithotympanium,Lithotympanium tuberosum,tuberosum,,left_only
Globotruncana sublaevigata (q),planktic_forams,Globotruncana,Globotruncana sublaevigata,sublaevigata,,left_only
Planorotalites australiformis,planktic_forams,Planorotalites,Planorotalites australiformis,australiformis,,left_only
Mesocena apiculata apiculata,silicoflagellates,Mesocena,Mesocena apiculata apiculata,apiculata,apiculata,left_only
Melonis nicobarense,benthic_forams,Melonis,Melonis nicobarense,nicobarense,,both
Cibicidoides succedens (q),benthic_forams,Cibicidoides,Cibicidoides succedens,succedens,,left_only
Plagiogramma stauroneis,diatoms,Plagiogramma,Plagiogramma stauroneis,stauroneis,,left_only
Gnetum,pollen,Gnetum,Gnetum,,,left_only
Tessarospyris pododendros,radiolarians,Tessarospyris,Tessarospyris pododendros,pododendros,,left_only
Stilostomella basicarinata,benthic_forams,Stilostomella,Stilostomella basicarinata,basicarinata,,left_only
Thalassionema schraderi,diatoms,Thalassionema,Thalassionema schraderi,schraderi,,both
Pseudoparrella exigua (q),benthic_forams,Pseudoparrella,Pseudoparrella exigua,exigua,,both
Globigerina praebulloides,planktic_forams,Globigerina,Globigerina praebulloides,praebulloides,,both
Karreriella biformis,benthic_forams,Karreriella,Karreriella biformis,biformis,,left_only
Cibicides yaqatensis,benthic_forams,Cibicides,Cibicides yaqatensis,yaqatensis,,left_only
Ellipsolithus subdistichus,nannofossils,Ellipsolithus,Ellipsolithus subdistichus,subdistichus,,both
Gyroidina nitida,benthic_forams,Gyroidina,Gyroidina nitida,nitida,,left_only
Turborotalia siakensis,planktic_forams,Turborotalia,Turborotalia siakensis,siakensis,,left_only
Discoaster pseudovariabilis (q),nannofossils,Discoaster,Discoaster pseudovariabilis,pseudovariabilis,,left_only
Quinqueloculina lamarckiana,benthic_forams,Quinqueloculina,Quinqueloculina lamarckiana,lamarckiana,,both
Triceratium chenevieri,diatoms,Triceratium,Triceratium chenevieri,chenevieri,,left_only
Quinqueloculina heidingeri,benthic_forams,Quinqueloculina,Quinqueloculina heidingeri,heidingeri,,left_only
Lucianorhabdus cayeuxii,nannofossils,Lucianorhabdus,Lucianorhabdus cayeuxii,cayeuxii,,both
Turborotalia mckannai,planktic_forams,Turborotalia,Turborotalia mckannai,mckannai,,left_only
Stilostomella midwayensis,benthic_forams,Stilostomella,Stilostomella midwayensis,midwayensis,,left_only
Spongotrochus cruciferus,radiolarians,Spongotrochus,Spongotrochus cruciferus,cruciferus,,left_only
Pterotheca major,diatoms,Pterotheca,Pterotheca major,major,,left_only
Cannopilus diplostaurus,silicoflagellates,Cannopilus,Cannopilus diplostaurus,diplostaurus,,left_only
Cyclococcolithus leptoporus (q),nannofossils,Cyclococcolithus,Cyclococcolithus leptoporus,leptoporus,,left_only
Corbisema triacantha triacantha (plate),silicoflagellates,Corbisema,Corbisema triacantha triacantha,triacantha,triacantha,left_only
Porodiscus sp.,radiolarians,Porodiscus,Porodiscus sp.,sp.,,both
Dictyocha neonautica cocosensis,silicoflagellates,Dictyocha,Dictyocha neonautica cocosensis,neonautica,cocosensis,left_only
Globigerina soldadensis (q),planktic_forams,Globigerina,Globigerina soldadensis,soldadensis,,left_only
Discoaster gemmifer (q),nannofossils,Discoaster,Discoaster gemmifer,gemmifer,,left_only
Uvigerina breviata,benthic_forams,Uvigerina,Uvigerina breviata,breviata,,left_only
Odontochitina operculata,dinoflagellates,Odontochitina,Odontochitina operculata,operculata,,left_only
Marssonella oxycona,benthic_forams,Marssonella,Marssonella oxycona,oxycona,,left_only
Thoracosphaera heimii,nannofossils,Thoracosphaera,Thoracosphaera heimii,heimii,,both
Globigerinatheka subconglobata,planktic_forams,Globigerinatheka,Globigerinatheka subconglobata,subconglobata,,both
Turborotalia semivera,planktic_forams,Turborotalia,Turborotalia semivera,semivera,,left_only
Ericsonia eopelagica (q),nannofossils,Ericsonia,Ericsonia eopelagica,eopelagica,,left_only
Pullenia quinqueloba angusta,benthic_forams,Pullenia,Pullenia quinqueloba angusta,quinqueloba,angusta,left_only
Turborotalia wilsoni pseudomayeri,planktic_forams,Turborotalia,Turborotalia wilsoni pseudomayeri,wilsoni,pseudomayeri,left_only
Plectina dalmatina,benthic_forams,Plectina,Plectina dalmatina,dalmatina,,left_only
Cibicides spiralis,benthic_forams,Cibicides,Cibicides spiralis,spiralis,,both
Dicliptera sp.,pollen,Dicliptera,Dicliptera sp.,sp.,,left_only
Globigerina schachdagica (q),planktic_forams,Globigerina,Globigerina schachdagica,schachdagica,,left_only
Engelhardtia sp.,pollen,Engelhardtia,Engelhardtia sp.,sp.,,left_only
Turborotalia acrostoma,planktic_forams,Turborotalia,Turborotalia acrostoma,acrostoma,,left_only
Clathrocyclas spatiosa,radiolarians,Clathrocyclas,Clathrocyclas spatiosa,spatiosa,,left_only
Coccolithus abisectus (q),nannofossils,Coccolithus,Coccolithus abisectus,abisectus,,both
Dictyocha fibula pumila,silicoflagellates,Dictyocha,Dictyocha fibula pumila,fibula,pumila,left_only
Triloculina arctica,benthic_forams,Triloculina,Triloculina arctica,arctica,,left_only
Globorotalia miotumida miotumida (q),planktic_forams,Globorotalia,Globorotalia miotumida miotumida,miotumida,miotumida,left_only
Braarudosphaera bigelowii,nannofossils,Braarudosphaera,Braarudosphaera bigelowii,bigelowii,,both
Parhabdolithus embergeri,nannofossils,Parhabdolithus,Parhabdolithus embergeri,embergeri,,left_only
Globorotalia obesa,planktic_forams,Globorotalia,Globorotalia obesa,obesa,,left_only
Globigerinatheka howeii,planktic_forams,Globigerinatheka,Globigerinatheka howeii,howeii,,left_only
Trochammina altiformis,benthic_forams,Trochammina,Trochammina altiformis,altiformis,,left_only
