verbatim_name,taxon_group,genus name,_simplified_name,species name,subspecies name,_merge_approved
Lyramula sp.(q),silicoflagellates,Lyramula,Lyramula sp.,sp.,,left_only
Acalypha sp,pollen,Acalypha,Acalypha sp,sp,,left_only
Gyroidina girardana,benthic_foraminfera,Gyroidina,Gyroidina girardana,girardana,,left_only
Suggrunda eekisi,benthic_foraminfera,Suggrunda,Suggrunda eekisi,eekisi,,left_only
Cussia mediopunctata,diatoms,Cussia,Cussia mediopunctata,mediopunctata,,left_only
Theoconus sp.,radiolarians,Theoconus,Theoconus sp.,sp.,,left_only
Trochoaster deflandrei,nannofossils,Trochoaster,Trochoaster deflandrei,deflandrei,,left_only
Denticulopsis seminae fossilis,diatoms,Denticulopsis,Denticulopsis seminae fossilis,seminae,fossilis,left_only
Turborotalia vincentae,planktic_foraminfera,Turborotalia,Turborotalia vincentae,vincentae,,left_only
Alabamina decorata,benthic_foraminfera,Alabamina,Alabamina decorata,decorata,,left_only
Cibicides lobatulus,benthic_foraminfera,Cibicides,Cibicides lobatulus,lobatulus,,both
Triceraspyris sp. (q),radiolarians,Triceraspyris,Triceraspyris sp.,sp.,,left_only
Thecosphaera sp.,radiolarians,Thecosphaera,Thecosphaera sp.,sp.,,left_only
Globoquadrina conglomerata,planktic_foraminfera,Globoquadrina,Globoquadrina conglomerata,conglomerata,,both
Coscinodiscus intersectus,diatoms,Coscinodiscus,Coscinodiscus intersectus,intersectus,,left_only
Nitzschia praereinholdi-fossilis group,diatoms,Nitzschia,Nitzschia praereinholdi-fossilis group,praereinholdi-fossilis,group,left_only
Globigerina soldadoensis,planktic_foraminfera,Globigerina,Globigerina soldadoensis,soldadoensis,,left_only
Glandulina sp.,benthic_foraminfera,Glandulina,Glandulina sp.,sp.,,both
Nodosaria ewaldi (q),benthic_foraminfera,Nodosaria,Nodosaria ewaldi,ewaldi,,left_only
Astrophacus linckiaformis,radiolarians,Astrophacus,Astrophacus linckiaformis,linckiaformis,,left_only
Triceratium alternans,diatoms,Triceratium,Triceratium alternans,alternans,,left_only
Globigerina frontosa,planktic_foraminfera,Globigerina,Globigerina frontosa,frontosa,,left_only
Tricolpites gilli (q),pollen,Tricolpites,Tricolpites gilli,gilli,,left_only
Adnatosphaeridium robustum,dinoflagellates,Adnatosphaeridium,Adnatosphaeridium robustum,robustum,,left_only
Prinsius dimorphosus,nannofossils,Prinsius,Prinsius dimorphosus,dimorphosus,,both
Helicosphaera truncata,nannofossils,Helicosphaera,Helicosphaera truncata,truncata,,left_only
Globorotalia crassaformis crassula,planktic_foraminfera,Globorotalia,Globorotalia crassaformis crassula,crassaformis,crassula,left_only
Valvulina angulosa,benthic_foraminfera,Valvulina,Valvulina angulosa,angulosa,,left_only
Globigerina eugubina,planktic_foraminfera,Globigerina,Globigerina eugubina,eugubina,,left_only
Globoquadrina prasaepis,planktic_foraminfera,Globoquadrina,Globoquadrina prasaepis,prasaepis,,left_only
Cyclogyra involvens,benthic_foraminfera,Cyclogyra,Cyclogyra involvens,involvens,,left_only
Bulimina mexicana,benthic_foraminfera,Bulimina,Bulimina mexicana,mexicana,,both
Neochiastozygus imbrei (q),nannofossils,Neochiastozygus,Neochiastozygus imbrei,imbrei,,left_only
Salix sp. (q),pollen,Salix,Salix sp.,sp.,,left_only
Biddulphia cretacea,diatoms,Biddulphia,Biddulphia cretacea,cretacea,,left_only
Fissurina carteri,benthic_foraminfera,Fissurina,Fissurina carteri,carteri,,left_only
Discoaster neohamatus (q),nannofossils,Discoaster,Discoaster neohamatus,neohamatus,,both
Triloculina oblongata,benthic_foraminfera,Triloculina,Triloculina oblongata,oblongata,,left_only
Globigerina angiporoides (q),planktic_foraminfera,Globigerina,Globigerina angiporoides,angiporoides,,left_only
Cordosphaeridium cantharellum,dinoflagellates,Cordosphaeridium,Cordosphaeridium cantharellum,cantharellum,,left_only
Shenckiella suteri,benthic_foraminfera,Shenckiella,Shenckiella suteri,suteri,,left_only
Actinocyclus divisus,diatoms,Actinocyclus,Actinocyclus divisus,divisus,,left_only
Nannotetrina acanthodes,nannofossils,Nannotetrina,Nannotetrina acanthodes,acanthodes,,left_only
Brightwellia pulchra,diatoms,Brightwellia,Brightwellia pulchra,pulchra,,left_only
Cancris panamensis,benthic_foraminfera,Cancris,Cancris panamensis,panamensis,,left_only
Stichodiscus sp.,diatoms,Stichodiscus,Stichodiscus sp.,sp.,,left_only
Kozloviella meniscosa,diatoms,Kozloviella,Kozloviella meniscosa,meniscosa,,left_only
Globigerina ouachitaensis,planktic_foraminfera,Globigerina,Globigerina ouachitaensis,ouachitaensis,,both
Laguncularia sp.,pollen,Laguncularia,Laguncularia sp.,sp.,,left_only
Krithe sp.,ostracods,Krithe,Krithe sp.,sp.,,left_only
Quinqueloculina heidingeri,benthic_foraminfera,Quinqueloculina,Quinqueloculina heidingeri,heidingeri,,left_only
Globigerinoides inusitatus,planktic_foraminfera,Globigerinoides,Globigerinoides inusitatus,inusitatus,,left_only
Cocconeis disculoides,diatoms,Cocconeis,Cocconeis disculoides,disculoides,,left_only
Sphaeroidinella dehiscens excavata,planktic_foraminfera,Sphaeroidinella,Sphaeroidinella dehiscens excavata,dehiscens,excavata,left_only
Cocconeis scutellum,diatoms,Cocconeis,Cocconeis scutellum,scutellum,,both
Polypodiisporites undulatus,pollen,Polypodiisporites,Polypodiisporites undulatus,undulatus,,left_only
Acarinina broedermanni (q),planktic_foraminfera,Acarinina,Acarinina broedermanni,broedermanni,,left_only
Lychnocanoma bellum (q),radiolarians,Lychnocanoma,Lychnocanoma bellum,bellum,,both
Braarudosphaera perversus,nannofossils,Braarudosphaera,Braarudosphaera perversus,perversus,,left_only
Saccammina diflugiformis,benthic_foraminfera,Saccammina,Saccammina diflugiformis,diflugiformis,,left_only
Globigerina falconensis,planktic_foraminfera,Globigerina,Globigerina falconensis,falconensis,,both
Chiphragmalithus spinosus,nannofossils,Chiphragmalithus,Chiphragmalithus spinosus,spinosus,,left_only
Cocconeis scutellum (q),diatoms,Cocconeis,Cocconeis scutellum,scutellum,,both
Periphaena dupla,radiolarians,Periphaena,Periphaena dupla,dupla,,left_only
Siphonina sp.,benthic_foraminfera,Siphonina,Siphonina sp.,sp.,,both
Cancris oblonga,benthic_foraminfera,Cancris,Cancris oblonga,oblonga,,both
Globorotalia mayeri mayeri,planktic_foraminfera,Globorotalia,Globorotalia mayeri mayeri,mayeri,mayeri,left_only
Globotruncana gagnebini,planktic_foraminfera,Globotruncana,Globotruncana gagnebini,gagnebini,,left_only
Coscinodiscus pseudoincertus,diatoms,Coscinodiscus,Coscinodiscus pseudoincertus,pseudoincertus,,left_only
Globorotalia mayeri continuosa (q),planktic_foraminfera,Globorotalia,Globorotalia mayeri continuosa,mayeri,continuosa,left_only
Stephanastrum rhopaloporum (q),radiolarians,Stephanastrum,Stephanastrum rhopaloporum,rhopaloporum,,left_only
Gaudryina pseudocollinsi,benthic_foraminfera,Gaudryina,Gaudryina pseudocollinsi,pseudocollinsi,,left_only
Alisporites grandis,pollen,Alisporites,Alisporites grandis,grandis,,left_only
Spiroplectammina biformis,benthic_foraminfera,Spiroplectammina,Spiroplectammina biformis,biformis,,left_only
Globorotalia crater,planktic_foraminfera,Globorotalia,Globorotalia crater,crater,,left_only
Graminae,pollen,Graminae,Graminae,,,left_only
Globigerina venezuelana (q),planktic_foraminfera,Globigerina,Globigerina venezuelana,venezuelana,,left_only
Quadrum sp.,nannofossils,Quadrum,Quadrum sp.,sp.,,left_only
Foraminisporis sp.,pollen,Foraminisporis,Foraminisporis sp.,sp.,,left_only
Angulogavelinella becariiformis,benthic_foraminfera,Angulogavelinella,Angulogavelinella becariiformis,becariiformis,,left_only
Rhaphoneis psammicola (q),diatoms,Rhaphoneis,Rhaphoneis psammicola,psammicola,,left_only
Globigerina pseudodruryi,planktic_foraminfera,Globigerina,Globigerina pseudodruryi,pseudodruryi,,both
Globorotalia acostaensis (q),planktic_foraminfera,Globorotalia,Globorotalia acostaensis,acostaensis,,left_only
Globigerina bulbosa (q),planktic_foraminfera,Globigerina,Globigerina bulbosa,bulbosa,,left_only
Polysphaeridium zohari,dinoflagellates,Polysphaeridium,Polysphaeridium zohari,zohari,,left_only
Dictyocha frenguelli (q),silicoflagellates,Dictyocha,Dictyocha frenguelli,frenguelli,,left_only
Neogloboquadrina humerosa dutertrei,planktic_foraminfera,Neogloboquadrina,Neogloboquadrina humerosa dutertrei,humerosa,dutertrei,left_only
Sceptroneis humuncia,diatoms,Sceptroneis,Sceptroneis humuncia,humuncia,,left_only
Theocotyle (theocotylissa) alpha,radiolarians,Theocotyle,Theocotyle (theocotylissa) alpha,(theocotylissa),alpha,left_only
Globigerina calida,planktic_foraminfera,Globigerina,Globigerina calida,calida,,both
Trinacria quadrata,diatoms,Trinacria,Trinacria quadrata,quadrata,,left_only
Tricolpites phillipsii,pollen,Tricolpites,Tricolpites phillipsii,phillipsii,,left_only
Octodendron sp.,radiolarians,Octodendron,Octodendron sp.,sp.,,left_only
Globorotalia cultrata (q),planktic_foraminfera,Globorotalia,Globorotalia cultrata,cultrata,,left_only
Globigerinita glutinata,planktic_foraminfera,Globigerinita,Globigerinita glutinata,glutinata,,both
Cruciplacolithus mutatus,nannofossils,Cruciplacolithus,Cruciplacolithus mutatus,mutatus,,left_only
Gorgospyris perizostra,radiolarians,Gorgospyris,Gorgospyris perizostra,perizostra,,left_only
Triceratium crenulatum,diatoms,Triceratium,Triceratium crenulatum,crenulatum,,left_only
Euchitonia elegans,radiolarians,Euchitonia,Euchitonia elegans,elegans,,left_only
Dorcadospyris triceros,radiolarians,Dorcadospyris,Dorcadospyris triceros,triceros,,left_only
Trochammina sp.,benthic_foraminfera,Trochammina,Trochammina sp.,sp.,,both
Naviculopsis nordica nordica,silicoflagellates,Naviculopsis,Naviculopsis nordica nordica,nordica,nordica,left_only
Rhaphoneis psammicola,diatoms,Rhaphoneis,Rhaphoneis psammicola,psammicola,,left_only
Rhaphoneis gemmifera (q),diatoms,Rhaphoneis,Rhaphoneis gemmifera,gemmifera,,left_only
Globigerina sp.,planktic_foraminfera,Globigerina,Globigerina sp.,sp.,,both
Pemma papillatum,nannofossils,Pemma,Pemma papillatum,papillatum,,left_only
Coscinodiscus aeginensis,diatoms,Coscinodiscus,Coscinodiscus aeginensis,aeginensis,,left_only
Chilostomella fimbricata,benthic_foraminfera,Chilostomella,Chilostomella fimbricata,fimbricata,,left_only
Anomalinoides acuta,benthic_foraminfera,Anomalinoides,Anomalinoides acuta,acuta,,left_only
Discoaster subsurculus,nannofossils,Discoaster,Discoaster subsurculus,subsurculus,,both
Karreriella cheilostoma,benthic_foraminfera,Karreriella,Karreriella cheilostoma,cheilostoma,,left_only
Syracosphaera histrica (q),nannofossils,Syracosphaera,Syracosphaera histrica,histrica,,both
Cordosphaeridium fibrospinosum,dinoflagellates,Cordosphaeridium,Cordosphaeridium fibrospinosum,fibrospinosum,,left_only
Globigerina eggeri multiloba,planktic_foraminfera,Globigerina,Globigerina eggeri multiloba,eggeri,multiloba,left_only
Pseudostictodiscus sp.,diatoms,Pseudostictodiscus,Pseudostictodiscus sp.,sp.,,left_only
Liriospyris mutuaria,radiolarians,Liriospyris,Liriospyris mutuaria,mutuaria,,left_only
Globigerina pseudofoliata,planktic_foraminfera,Globigerina,Globigerina pseudofoliata,pseudofoliata,,left_only
Discoaster druggii s.ampl.,nannofossils,Discoaster,Discoaster druggii s.ampl.,druggii,s.ampl.,left_only
Cibicidoides notocenicus,benthic_foraminfera,Cibicidoides,Cibicidoides notocenicus,notocenicus,,left_only
Peponia barbadensis,diatoms,Peponia,Peponia barbadensis,barbadensis,,left_only
Globigerina gortanii,planktic_foraminfera,Globigerina,Globigerina gortanii,gortanii,,both
Bolivina woodringii,benthic_foraminfera,Bolivina,Bolivina woodringii,woodringii,,left_only
Globorotalia scitula gigantea,planktic_foraminfera,Globorotalia,Globorotalia scitula gigantea,scitula,gigantea,left_only
Lithochytris turgidulum,radiolarians,Lithochytris,Lithochytris turgidulum,turgidulum,,left_only
Phorticium embolum,radiolarians,Phorticium,Phorticium embolum,embolum,,left_only
Globorotalia aculeata,planktic_foraminfera,Globorotalia,Globorotalia aculeata,aculeata,,left_only
Rhizosolenia hebetata inermis (q),diatoms,Rhizosolenia,Rhizosolenia hebetata inermis,hebetata,inermis,left_only
Octopyle stenozona,radiolarians,Octopyle,Octopyle stenozona,stenozona,,both
Rossiella praepaleacea,diatoms,Rossiella,Rossiella praepaleacea,praepaleacea,,both
Quadrum trifidum,nannofossils,Quadrum,Quadrum trifidum,trifidum,,left_only
Pontosphaera excelsa,nannofossils,Pontosphaera,Pontosphaera excelsa,excelsa,,left_only
Catapsydrax unicavus unicavus (q),planktic_foraminfera,Catapsydrax,Catapsydrax unicavus unicavus,unicavus,unicavus,left_only
Planorotalites pseudomenardii,planktic_foraminfera,Planorotalites,Planorotalites pseudomenardii,pseudomenardii,,left_only
Gomphrenia sp. (q),pollen,Gomphrenia,Gomphrenia sp.,sp.,,left_only
Dictyocha subclinata (q),silicoflagellates,Dictyocha,Dictyocha subclinata,subclinata,,left_only
Zeauvigerina tueria,planktic_foraminfera,Zeauvigerina,Zeauvigerina tueria,tueria,,left_only
Amphipyndax sp. (q),radiolarians,Amphipyndax,Amphipyndax sp.,sp.,,left_only
Lithelius foremanae,radiolarians,Lithelius,Lithelius foremanae,foremanae,,left_only
Corbisema apiculata (q),silicoflagellates,Corbisema,Corbisema apiculata,apiculata,,left_only
Guazuma sp. (q),pollen,Guazuma,Guazuma sp.,sp.,,left_only
Globoquadrina altispira altispira,planktic_foraminfera,Globoquadrina,Globoquadrina altispira altispira,altispira,altispira,both
Eucecryphalus sp.,radiolarians,Eucecryphalus,Eucecryphalus sp.,sp.,,both
Coscinodiscus occulus-iridis,diatoms,Coscinodiscus,Coscinodiscus occulus-iridis,occulus-iridis,,left_only
Globotruncana conica,planktic_foraminfera,Globotruncana,Globotruncana conica,conica,,left_only
Karreriella subaccata,benthic_foraminfera,Karreriella,Karreriella subaccata,subaccata,,left_only
Botryostrobus joides,radiolarians,Botryostrobus,Botryostrobus joides,joides,,left_only
Dendrospyris turriturcica turriturcica,radiolarians,Dendrospyris,Dendrospyris turriturcica turriturcica,turriturcica,turriturcica,left_only
Cibicidoides tuxpamensis,benthic_foraminfera,Cibicidoides,Cibicidoides tuxpamensis,tuxpamensis,,left_only
Triloculina gibba,benthic_foraminfera,Triloculina,Triloculina gibba,gibba,,left_only
Globigerinelloides asperus,planktic_foraminfera,Globigerinelloides,Globigerinelloides asperus,asperus,,left_only
Dictyocha transenna,silicoflagellates,Dictyocha,Dictyocha transenna,transenna,,left_only
Thalassiosira praeconvexa (q),diatoms,Thalassiosira,Thalassiosira praeconvexa,praeconvexa,,both
Coscinodiscus sp.(q),diatoms,Coscinodiscus,Coscinodiscus sp.,sp.,,left_only
Discolithina anisotrema,nannofossils,Discolithina,Discolithina anisotrema,anisotrema,,left_only
Alabamina naraensis,benthic_foraminfera,Alabamina,Alabamina naraensis,naraensis,,left_only
Coccolithus staurion,nannofossils,Coccolithus,Coccolithus staurion,staurion,,left_only
Pleurosigma planktonica (q),diatoms,Pleurosigma,Pleurosigma planktonica,planktonica,,left_only
Schizoporis sp.,pollen,Schizoporis,Schizoporis sp.,sp.,,left_only
Anomalinoides pseudogrosserugosa,benthic_foraminfera,Anomalinoides,Anomalinoides pseudogrosserugosa,pseudogrosserugosa,,left_only
Lapideacassis sp.,nannofossils,Lapideacassis,Lapideacassis sp.,sp.,,both
Hanzawaia simplex,benthic_foraminfera,Hanzawaia,Hanzawaia simplex,simplex,,left_only
Calocycletta caepa,radiolarians,Calocycletta,Calocycletta caepa,caepa,,both
Polypodiaceoisporites retirugatus,pollen,Polypodiaceoisporites,Polypodiaceoisporites retirugatus,retirugatus,,left_only
Quercus sp.,pollen,Quercus,Quercus sp.,sp.,,left_only
Micula staurophora,nannofossils,Micula,Micula staurophora,staurophora,,both
Patellina corrugata (q),benthic_foraminfera,Patellina,Patellina corrugata,corrugata,,left_only
Asterolampra areolata,diatoms,Asterolampra,Asterolampra areolata,areolata,,left_only
Oolina lineata,benthic_foraminfera,Oolina,Oolina lineata,lineata,,left_only
Sphenolithus sp. (q),nannofossils,Sphenolithus,Sphenolithus sp.,sp.,,left_only
Globigerina cretacea,planktic_foraminfera,Globigerina,Globigerina cretacea,cretacea,,left_only
Cyclicargolithus reticulatus,nannofossils,Cyclicargolithus,Cyclicargolithus reticulatus,reticulatus,,left_only
Pyrgupyxis sp.,diatoms,Pyrgupyxis,Pyrgupyxis sp.,sp.,,left_only
Nonionella magnalingua,benthic_foraminfera,Nonionella,Nonionella magnalingua,magnalingua,,left_only
Globorotalia praescitula,planktic_foraminfera,Globorotalia,Globorotalia praescitula,praescitula,,both
Theophormis callipilium,radiolarians,Theophormis,Theophormis callipilium,callipilium,,left_only
Hemiaulus malleus,diatoms,Hemiaulus,Hemiaulus malleus,malleus,,left_only
Cerobertina sp.,benthic_foraminfera,Cerobertina,Cerobertina sp.,sp.,,left_only
Globoquadrina pseudofoliata,planktic_foraminfera,Globoquadrina,Globoquadrina pseudofoliata,pseudofoliata,,left_only
Cibicides refulgens,benthic_foraminfera,Cibicides,Cibicides refulgens,refulgens,,both
Eucyrtidium panthea (q),radiolarians,Eucyrtidium,Eucyrtidium panthea,panthea,,left_only
Spiroplectammina mexiaensis,benthic_foraminfera,Spiroplectammina,Spiroplectammina mexiaensis,mexiaensis,,left_only
Fasciculithus tympaniformis,nannofossils,Fasciculithus,Fasciculithus tympaniformis,tympaniformis,,both
Dictyocha brevispina (naviculopsid),silicoflagellates,Dictyocha,Dictyocha brevispina,brevispina,,left_only
Globorotalia broedermanni (q),planktic_foraminfera,Globorotalia,Globorotalia broedermanni,broedermanni,,left_only
Cyclotella hannae,diatoms,Cyclotella,Cyclotella hannae,hannae,,left_only
Francesita advena,benthic_foraminfera,Francesita,Francesita advena,advena,,left_only
Hastigerina adamsi,planktic_foraminfera,Hastigerina,Hastigerina adamsi,adamsi,,left_only
Coscinodiscus excentricus leasareolatus,diatoms,Coscinodiscus,Coscinodiscus excentricus leasareolatus,excentricus,leasareolatus,left_only
Globigerina triloculinoides nana (q),planktic_foraminfera,Globigerina,Globigerina triloculinoides nana,triloculinoides,nana,left_only
Pterycorys ob,radiolarians,Pterycorys,Pterycorys ob,ob,,left_only
Globorotalia binaiensis,planktic_foraminfera,Globorotalia,Globorotalia binaiensis,binaiensis,,left_only
Sphenolithus furcatolithoides,nannofossils,Sphenolithus,Sphenolithus furcatolithoides,furcatolithoides,,both
