Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassionema nitzschioides	Stephanopyxis turris	Paralia sulcata	Nitzschia weaveri	Nitzschia praeinterfrigidaria	Nitzschia interfrigidaria	Nitzschia barronii	Cosmiodiscus insignis	Eucampia antarctica	Actinocyclus ingens	Thalassiosira symbolophora	Thalassiosira lentiginosa var. obovatus	Rhizosolenia hebetata	Thalassiothrix longissima	Thalassiosira oestrupii	Nitzschia kerguelenis	Thalassiosira torokina	Hemidiscus karstenii	Thalassionema nitzschioides  var. parva	Rhizosolenia styliformis	Coscinodiscus vulnificus	Rouxia naviculoides	Rhizosolenia barboi	Nitzschia cylindrus	Asteromphalus (all generic taxa)	Comment
  SR	                 	                 	                  	              	119	 736	C	  7	R	CC	   0.00	    257.2600	Baldauf  	Diatoms                                      	A              	M                 	R                        	F                   	R                  	R                          	C                   	F              	R                	                             	                         	R                 	F                    	                   	                   	                          	                                       	                     	F                        	R                      	                     	                      	                    	                                       	                        	F                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  8	R	 1	  58.00	    265.2800	Baldauf  	Diatoms                                      	A              	M                 	F                        	R                   	                   	A                          	C                   	F              	R                	                             	R                        	R                 	F                    	                   	R                  	R                         	                                       	                     	F                        	R                      	                     	                      	                    	F                                      	                        	R                       	                   	                   	R                  	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  8	R	 2	  58.00	    266.7800	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	C                   	F              	F                	                             	R                        	R                 	R                    	R                  	                   	R                         	                                       	                     	R                        	R                      	rC                   	                      	                    	R                                      	R                       	R                       	                   	R                  	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  8	R	CC	   0.00	    267.4900	Baldauf  	Diatoms                                      	A              	P                 	                         	R                   	F                  	A                          	F                   	               	F                	                             	R                        	R                 	R                    	                   	                   	R                         	                                       	                     	F                        	R                      	                     	                      	                    	                                       	                        	R                       	R                  	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  9	R	 2	  58.00	    276.4800	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	F                   	F              	F                	                             	F                        	F                 	R                    	                   	                   	                          	                                       	R                    	R                        	R                      	                     	                      	                    	                                       	                        	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  9	R	 5	  58.00	    280.9800	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	C                   	F              	F                	                             	R                        	R                 	R                    	                   	                   	R                         	                                       	                     	F                        	R                      	                     	                      	                    	                                       	                        	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 10	R	 2	  58.00	    286.0800	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	F                          	A                   	R              	F                	                             	R                        	R                 	R                    	                   	                   	R                         	                                       	                     	C                        	                       	                     	                      	                    	                                       	                        	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 10	R	 5	  58.00	    290.5800	Baldauf  	Diatoms                                      	A              	M                 	F                        	R                   	F                  	F                          	C                   	R              	F                	                             	R                        	R                 	R                    	                   	                   	R                         	                                       	R                    	R                        	R                      	                     	                      	                    	                                       	R                       	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 11	R	 2	  58.00	    295.7800	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	R                  	A                          	C                   	               	R                	                             	R                        	R                 	R                    	                   	                   	                          	R                                      	                     	R                        	                       	                     	                      	                    	                                       	R                       	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 11	R	 4	  58.00	    298.7800	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	F                  	A                          	C                   	R              	F                	                             	F                        	                  	F                    	                   	R                  	                          	                                       	                     	R                        	R                      	rC                   	                      	                    	                                       	F                       	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 12	R	 1	  30.00	    303.7000	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	F                  	A                          	C                   	               	R                	                             	R                        	                  	F                    	                   	                   	R                         	R                                      	                     	                         	                       	                     	                      	                    	                                       	R                       	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 13	R	 2	  58.00	    315.1800	Baldauf  	Diatoms                                      	A              	P                 	R                        	R                   	F                  	F                          	A                   	R              	R                	R                            	R                        	                  	R                    	F                  	R                  	                          	                                       	                     	R                        	                       	                     	                      	R                   	                                       	R                       	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 13	R	 5	  58.00	    319.6800	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	R                  	F                          	A                   	R              	R                	                             	F                        	                  	R                    	F                  	                   	F                         	R                                      	F                    	R                        	                       	                     	                      	R                   	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 14	R	 2	  58.00	    324.8800	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	R                  	A                          	F                   	F              	F                	                             	F                        	R                 	R                    	                   	                   	R                         	                                       	R                    	R                        	R                      	                     	R                     	R                   	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 14	R	 3	  58.00	    326.3800	Baldauf  	Diatoms                                      	A              	P                 	                         	                    	F                  	A                          	R                   	R              	R                	                             	R                        	R                 	R                    	                   	                   	                          	                                       	R                    	                         	                       	                     	R                     	R                   	R                                      	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 15	R	 2	  58.00	    334.4800	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	C                   	C              	F                	                             	R                        	R                 	F                    	R                  	                   	                          	                                       	R                    	R                        	                       	                     	                      	R                   	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 15	R	 5	  58.00	    338.9800	Baldauf  	Diatoms                                      	A              	M                 	R                        	                    	F                  	A                          	F                   	C              	R                	R                            	R                        	                  	R                    	                   	R                  	                          	                                       	R                    	                         	                       	                     	R                     	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 16	R	 2	  58.00	    344.0800	Baldauf  	Diatoms                                      	A              	M                 	F                        	                    	C                  	A                          	C                   	R              	F                	R                            	                         	R                 	R                    	F                  	                   	R                         	R                                      	R                    	R                        	R                      	rC                   	                      	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 16	R	 4	  57.00	    347.0700	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	C                   	               	R                	F                            	R                        	R                 	F                    	R                  	R                  	R                         	R                                      	R                    	                         	                       	                     	                      	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 17	R	 1	  57.00	    352.1700	Baldauf  	Diatoms                                      	A              	M                 	                         	R                   	F                  	A                          	F                   	R              	R                	R                            	R                        	R                 	R                    	                   	R                  	                          	                                       	                     	                         	                       	                     	                      	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 18	R	 1	  57.00	    361.8700	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	                   	A                          	C                   	R              	R                	                             	R                        	R                 	R                    	R                  	                   	                          	                                       	                     	                         	                       	                     	                      	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	 18	R	 3	  57.00	    364.8700	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	F                  	A                          	F                   	R              	F                	R                            	R                        	R                 	F                    	                   	                   	                          	                                       	                     	                         	                       	                     	                      	                    	                                       	                        	                        	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

