Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina acostaensis	Globorotalia plesiotumida	Globoturborotalita nepenthes	Globorotalia lenguaensis	Globoquadrina dehiscens	Sphaeroidinellopsis seminulina	Menardella miocenica	Dentoglobigerina altispira	Globorotalia pseudomiocenica	Truncorotalia tosaensis	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Comment
  IR	Late Miocene     	Early Pliocene   	PL2               	Pl1a          	194	1192	A	 12	H	CC	  17.00	     97.4500	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	R                           	                        	                       	                              	                    	                          	                            	                       	                          	                              	N19-N18. No Sph.dehiscens.

  IR	Early Pliocene   	Late Miocene     	                  	Pl1a          	194	1192	A	 13	H	CC	  26.00	    106.7900	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	F                      	                              	                    	                          	                            	                       	                          	                              	N18. No Tr.tumida

  IR	                 	Late Miocene     	M13b              	M13           	194	1192	A	 14	H	CC	  17.00	    116.4500	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	R                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N17-N16. N.acost+Gr.plesiotum +no Gr.tumida/P.primalis

  IR	                 	Late Miocene     	M13b              	M13           	194	1192	A	 15	H	CC	  26.00	    125.7000	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	R                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N17-N16

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 16	H	CC	  28.00	    134.8000	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 17	H	CC	   0.00	    144.8900	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N. Acostaensis & pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 18	H	CC	  27.00	    154.4700	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotunmida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 19	H	CC	  25.00	    163.9800	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 20	H	CC	  25.00	    173.4400	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 21	H	CC	   2.00	    182.8500	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 22	H	CC	   2.00	    192.2700	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 24	H	CC	  25.00	    203.0300	planks   	Planktonic Foraminifers                      	A              	G                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 25	H	CC	  24.00	    212.5000	planks   	Planktonic Foraminifers                      	A              	G                 	R                           	F                        	R                           	F                       	                       	                              	                    	                          	                            	                       	                          	                              	N16(Base). Gr.lenguanensis maybe paralenguanensis=N15-N16 border.

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 26	H	CC	  20.00	    222.0200	planks   	Planktonic Foraminifers                      	A              	G                 	P                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16. N.acost=tentative. Gr. paralenguan=abundant

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 27	H	CC	  10.00	    231.4300	planks   	Planktonic Foraminifers                      	A              	M                 	P                           	F                        	F                           	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16. Tentative N.acostaensis

  IR	                 	Late Miocene     	                  	M13           	194	1192	A	 29	H	CC	  10.00	    241.8100	planks   	Planktonic Foraminifers                      	A              	M                 	F                           	F                        	                            	                        	                       	                              	                    	                          	                            	                       	                          	                              	N16 Acostaensis and pleisiotumida present

