Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster binodosus,Reticulofenestra umbilica,Discoaster saipanensis,Dictyococcites bisectus,Coccolithus pelagicus,Thoracosphaera spp.,Sphenolithus radians,Discoaster barbadiensis,Dictyococcites scrippsae,Coccolithus eopelagicus,Chiasmolithus grandis,Sphenolithus obtusus,Ericsonia formosa,Discoaster tanii nodifer,Discoaster tanii,Sphenolithus moriformis,Sphenolithus predistentus,Coronocyclus nitescens,Reticulofenestra spp.,Cyclicargolithus floridanus,Sphenolithus distentus,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera compacta,Ericsonia subdisticha,Ericsonia obruta,Discoaster deflandrei,Bramletteius serraculoides,Helicosphaera recta,Helicosphaera euphratis,Cyclicargolithus abisectus,Sphenolithus pseudoradians,Triquetrorhabdulus carinatus,Lanternithus minutus,Sphenolithus ciperoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP23              ,NP24          ,124, 770,B, 13,R, 3,  29.00,    391.4900,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,R                      ,F                    ,R                  ,                    ,                       ,C                       ,F                      ,                     ,                    ,                 ,R                       ,R               ,C                      ,C                        ,                      ,R                    ,A                          ,F                     ,                     ,                        ,                      ,                     ,R               ,F                    ,VR                        ,                   ,                       ,F                         ,VR                        ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP23              ,NP24          ,124, 770,B, 13,R, 4,  78.00,    393.4800,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,VR                    ,F                      ,F                    ,                   ,                    ,VR                     ,F                       ,F                      ,                     ,                    ,                 ,F                       ,R               ,F                      ,C                        ,VR                    ,VR                   ,A                          ,R                     ,                     ,                        ,                      ,                     ,                ,F                    ,                          ,                   ,                       ,R                         ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP23              ,NP24          ,124, 770,B, 13,R,CC,  11.00,    395.1400,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,C                      ,C                    ,R                  ,                    ,                       ,F                       ,F                      ,                     ,                    ,                 ,                        ,F               ,C                      ,F                        ,F                     ,F                    ,A                          ,C                     ,R                    ,R                       ,F                     ,                     ,F               ,                     ,R                         ,F                  ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP22              ,              ,124, 770,B, 14,R, 1,  30.00,    398.2000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,R                        ,                      ,C                      ,C                    ,F                  ,                    ,VR                     ,F                       ,F                      ,                     ,                    ,                 ,F                       ,                ,C                      ,F                        ,R                     ,R                    ,A                          ,C                     ,F                    ,R                       ,F                     ,                     ,F               ,VR                   ,F                         ,R                  ,R                      ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP22              ,              ,124, 770,B, 14,R, 1,  80.00,    398.7000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,                      ,C                      ,C                    ,R                  ,                    ,                       ,F                       ,F                      ,                     ,                    ,                 ,F                       ,                ,C                      ,F                        ,R                     ,                     ,C                          ,C                     ,R                    ,                        ,F                     ,R                    ,F               ,F                    ,F                         ,R                  ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP22              ,              ,124, 770,B, 14,R, 1, 131.00,    399.2100,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,R                        ,                      ,C                      ,C                    ,VR                 ,                    ,                       ,F                       ,F                      ,                     ,                    ,                 ,F                       ,VR              ,C                      ,F                        ,VR                    ,VR                   ,C                          ,C                     ,VR                   ,VR                      ,R                     ,                     ,R               ,R                    ,F                         ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP22              ,              ,124, 770,B, 14,R, 2,  32.00,    399.7200,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,R                        ,                      ,C                      ,C                    ,R                  ,                    ,                       ,F                       ,F                      ,                     ,                    ,                 ,F                       ,                ,F                      ,F                        ,VR                    ,R                    ,C                          ,C                     ,R                    ,R                       ,F                     ,R                    ,R               ,                     ,F                         ,R                  ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP21              ,              ,124, 770,B, 14,R, 2,  80.00,    400.2000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,                      ,C                      ,C                    ,F                  ,                    ,                       ,F                       ,F                      ,                     ,                    ,F                ,F                       ,                ,C                      ,C                        ,R                     ,R                    ,A                          ,F                     ,                     ,F                       ,F                     ,                     ,                ,R                    ,F                         ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP21              ,              ,124, 770,B, 14,R, 2, 120.00,    400.6000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,                      ,F                      ,C                    ,F                  ,VR                  ,VR                     ,F                       ,F                      ,                     ,                    ,F                ,F                       ,F               ,F                      ,C                        ,                      ,R                    ,C                          ,F                     ,VR                   ,F                       ,F                     ,VR                   ,R               ,VR                   ,F                         ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP21              ,              ,124, 770,B, 14,R, 3,  16.00,    401.0600,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,                      ,F                      ,C                    ,R                  ,                    ,                       ,F                       ,F                      ,                     ,                    ,F                ,R                       ,F               ,C                      ,F                        ,VR                    ,                     ,C                          ,F                     ,VR                   ,R                       ,R                     ,R                    ,R               ,F                    ,F                         ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP21              ,              ,124, 770,B, 14,R,CC,  11.00,    402.8300,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,F                      ,R                    ,                   ,                    ,                       ,                        ,VR                     ,                     ,                    ,                 ,VR                      ,                ,VR                     ,                         ,                      ,VR                   ,F                          ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP18              ,NP19/20       ,124, 770,B, 15,R, 1,  35.00,    407.9500,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,C                     ,R                      ,                     ,                   ,                    ,C                      ,                        ,F                      ,                     ,                    ,C                ,                        ,                ,                       ,R                        ,R                     ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP18              ,NP19/20       ,124, 770,B, 15,R, 2,  38.00,    409.4800,Shyu     ,Nannofossils                                 ,               ,                  ,VR                  ,F                        ,C                     ,R                      ,R                    ,                   ,R                   ,C                      ,F                       ,F                      ,                     ,                    ,C                ,R                       ,VR              ,                       ,F                        ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP18              ,NP19/20       ,124, 770,B, 15,R, 3,  45.00,    411.0500,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,VR                       ,C                     ,F                      ,VR                   ,                   ,VR                  ,F                      ,R                       ,F                      ,                     ,                    ,R                ,R                       ,                ,                       ,R                        ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 15,R, 3, 147.00,    412.0700,Shyu     ,Nannofossils                                 ,               ,                  ,F                   ,R                        ,C                     ,C                      ,F                    ,                   ,C                   ,C                      ,                        ,F                      ,VR                   ,                    ,R                ,F                       ,R               ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 15,R, 4, 131.00,    413.4100,Shyu     ,Nannofossils                                 ,               ,                  ,VR                  ,VR                       ,C                     ,C                      ,F                    ,R                  ,F                   ,C                      ,F                       ,F                      ,R                    ,C                   ,F                ,F                       ,R               ,R                      ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 15,R, 5,  38.00,    413.9800,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,C                     ,C                      ,F                    ,R                  ,F                   ,C                      ,VR                      ,F                      ,F                    ,C                   ,F                ,F                       ,F               ,R                      ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 15,R,CC,   6.00,    414.3500,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,C                        ,C                     ,C                      ,F                    ,F                  ,F                   ,C                      ,R                       ,F                      ,R                    ,C                   ,F                ,F                       ,F               ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 16,R, 1,  39.00,    417.6900,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,C                        ,C                     ,C                      ,R                    ,VR                 ,                    ,C                      ,VR                      ,F                      ,R                    ,R                   ,R                ,R                       ,R               ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 16,R, 1,  79.00,    418.0900,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,F                        ,C                     ,C                      ,                     ,R                  ,F                   ,C                      ,R                       ,F                      ,VR                   ,                    ,                 ,                        ,                ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 16,R, 2,  89.00,    419.6900,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,R                        ,VR                    ,R                      ,VR                   ,                   ,                    ,                       ,                        ,                       ,                     ,                    ,                 ,                        ,                ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,NP17              ,              ,124, 770,B, 16,R, 3,  29.00,    419.9900,Shyu     ,Nannofossils                                 ,               ,                  ,VR                  ,                         ,                      ,                       ,                     ,                   ,                    ,                       ,                        ,                       ,                     ,                    ,                 ,                        ,                ,                       ,                         ,                      ,                     ,                           ,                      ,                     ,                        ,                      ,                     ,                ,                     ,                          ,                   ,                       ,                          ,                          ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
