Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pullenia spp.	Nuttallides umbonifera	Miliolids species	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Oridorsalis umbonatus	Gyroidinoides lamarckianus	Gyroidinoides laevigatus ex. gr.	Dentalina/Nodosaria spp.	Textularia taxa	Ammonia beccarii	Uvigerinid taxa	Pullenia bulloides	Melonis pompilioides	Laticarinina pauperata	Lagena taxa	Globocassidulina subglobosa	Pyrgo spp.	Planulina wuellerstorfi	Hoeglundina elegans	Reussella spinulosa	Nonionella spp.	Hyalina balthica	Gyroidinoides spp.	Cibicidoides bradyi	Buliminid taxa	Buliminella spp.	Bolivinid taxa	Melonis nicobarense	Cibicidoides spp.	Pleurostomella spp.	Lenticulina spp.	Rosalina globularis	Hanzawaia boueana	Fursenkoina spp.	Florilus boueanus	Cassidulina spp.	Stainforthia spp.	Gyroidinoides altiformis	Cibicidoides kullenbergi	Karreriella sp.	Anomalinoides spp.	Gyroidinoides umbonatus ex. gr.	Gyroidinoides neosoldanii	Sphaeroidina bulloides	Heterolepa spp.	Bolivinita quadrilatera	Comment
  SR	                 	                 	                  	              	116	 719	A	 19	X	 1	 112.00	    166.8200	Iaccarino	Benthic Foraminifers                         	               	                  	12           	11                    	                 	1                 	1                   	3               	9                    	                          	1                               	2                       	               	                	               	10                	0                   	                      	           	4                          	          	2                      	                   	                   	               	                	                  	2                  	              	                	              	8                  	                 	                   	                	                   	                 	                	                 	                	                 	2                       	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 19	X	 2	  52.00	    167.7200	Iaccarino	Benthic Foraminifers                         	               	                  	1            	15                    	                 	4                 	                    	1               	3                    	                          	                                	                        	               	                	               	2                 	1                   	1                     	1          	                           	          	3                      	                   	                   	               	                	                  	1                  	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 19	X	CC	  13.00	    169.8200	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	                 	                  	1                   	                	1                    	                          	                                	                        	               	                	               	2                 	1                   	                      	           	2                          	          	1                      	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 20	X	 7	  49.00	    184.6900	Iaccarino	Benthic Foraminifers                         	               	                  	4            	37                    	2                	2                 	6                   	11              	18                   	                          	13                              	1                       	               	                	               	25                	7                   	4                     	12         	1                          	1         	3                      	                   	                   	               	                	1                 	2                  	              	                	1             	5                  	1                	                   	                	                   	                 	                	                 	                	1                	                        	13                      	               	                  	2                              	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 21	X	CC	   9.00	    188.2900	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	                 	                  	                    	1               	                     	                          	                                	                        	               	                	               	                  	                    	                      	           	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	1                	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 22	X	 3	  53.00	    197.7300	Iaccarino	Benthic Foraminifers                         	               	                  	             	17                    	                 	1                 	1                   	                	5                    	                          	3                               	                        	               	                	               	3                 	                    	2                     	           	3                          	          	                       	                   	                   	               	                	1                 	1                  	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	4                       	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 22	X	 6	  77.00	    202.4700	Iaccarino	Benthic Foraminifers                         	               	                  	1            	                      	                 	1                 	1                   	                	                     	                          	                                	                        	               	                	               	1                 	                    	                      	           	                           	          	                       	                   	                   	               	                	1                 	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 26	X	CC	  28.00	    233.3500	Iaccarino	Benthic Foraminifers                         	               	                  	1            	                      	2                	                  	                    	                	                     	                          	                                	                        	5              	                	               	1                 	                    	                      	           	                           	          	                       	                   	                   	               	                	                  	                   	1             	                	14            	                   	                 	                   	                	                   	1                	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

