Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongodiscus sp.	Dictyomitra andersoni	Buryella granulata	Buryella foremanae	Amphisphaera goruna	Amphisphaera coronata s.l.	Bathropyramis sanjoaquinensis s.l.	Amphipyndax stocki	Pterocodon sp.	Buryella tetradica	Lithomespilus coronatus	Microsciadiacapsa sp.	Cornutella californica	Clathrocyclas australis	Rhopalocanium aff. ornatum	Dictyomitra multicostata	Axoprunum sp.	Lithomelissa? aitai	Euchitonia sp.	Sponge spicules	Myllocercion acineton	Dorcadospyris aff. confluens	Dictyophimus sp.	Cyrtocapsa campi	Siphocampe altamontensis	Buryella sp.	Amphisphaera sp.	Comment
  IR	                 	                 	                  	              	181	1121	B	  9	X	CC	  15.00	     71.1800	rads     	Radiolarians                                 	C              	G                 	A               	                     	                  	                  	F                  	R                         	R                                 	R                 	              	R                 	C                      	                     	R                     	                       	F                         	                        	A            	R                  	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 10	X	CC	   0.00	     76.9800	rads     	Radiolarians                                 	C              	VG                	A               	R                    	R                 	R                 	C                  	C                         	F                                 	R                 	R             	A                 	C                      	                     	F                     	                       	F                         	R                       	C            	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 11	X	CC	   0.00	     87.1200	rads     	Radiolarians                                 	C              	VG                	A               	                     	                  	                  	C                  	                          	F                                 	                  	R             	C                 	F                      	A                    	R                     	C                      	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 12	X	CC	   5.00	     94.2600	rads     	Radiolarians                                 	R              	M                 	R               	                     	                  	                  	R                  	                          	                                  	                  	              	                  	C                      	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 13	X	CC	  34.00	    100.4400	rads     	Radiolarians                                 	R              	M                 	                	                     	                  	                  	R                  	                          	                                  	                  	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 14	X	CC	  51.00	    110.2100	rads     	Radiolarians                                 	T              	P                 	                	                     	                  	                  	                   	R                         	                                  	                  	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 15	X	CC	  24.00	    122.2800	rads     	Radiolarians                                 	C              	M                 	C               	                     	                  	R                 	R                  	C                         	R                                 	R                 	R             	R                 	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 16	X	CC	   0.00	    127.2000	rads     	Radiolarians                                 	C              	P                 	C               	R                    	                  	R                 	C                  	F                         	R                                 	R                 	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	 17	X	CC	  25.00	    134.4200	rads     	Radiolarians                                 	F              	P                 	C               	R                    	R                 	F                 	F                  	C                         	                                  	                  	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

