Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus erectus,Watznaueria barnesae,Reinhardtites anthophorus,Quadrum sissinghii,Quadrum gothicum,Micula decussata,Manivitella pemmatoidea,Cylindralithus sp.,Cribrosphaerella ehrenbergii,Cretarhabdus sp.,Ceratolithoides aculeus,Arkhangelskiella specillata,Prediscosphaera honjoi,Prediscosphaera cretacea,Parhabdolithus embergeri,Microrhabdulus decoratus,Eiffellithus turriseiffelii,Zygodiscus diplogrammus,Quadrum trifidum,Discorhabdus rotatorius,Rhagodiscus splendens,Biscutum constans,Vagalapilla stradneri,Eiffellithus eximius,Crucibiscutum salebrosum,Coccosphaera (unspecified taxon),Lithraphidites carniolensis,Chiastozygus litterarius,Ahmuellerella octoradiata,Tranolithus phacelosus,Zygodiscus spiralis,Rucinolithus irregularis,Rhagodiscus asper,Corollithion exiguum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 10,R, 1,  85.00,    218.0500,Erba     ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,                         ,                  ,                ,                ,                       ,                  ,F                           ,F               ,                       ,                           ,C                     ,F                       ,                        ,R                       ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 10,R, 1,  93.00,    218.1300,Mutterlose,Nannofossils                                 ,A              ,P                 ,                  ,44.0%               ,.3%                      ,.2%               ,.2%             ,5.0%            ,.2%                    ,.2%               ,2.0%                        ,43.0%           ,.3%                    ,.2%                        ,.2%                   ,.2%                     ,                        ,.3%                     ,                           ,.3%                    ,3.0%            ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,.2%                      ,                      ,                   ,r                       ,r                ,.2%                 ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 10,R, 2,   9.00,    218.7900,Mutterlose,Nannofossils                                 ,F              ,M                 ,                  ,C                   ,                         ,                  ,R               ,                ,R                      ,                  ,F                           ,C               ,                       ,                           ,F                     ,F                       ,R                       ,R                       ,                           ,F                      ,                ,                       ,                     ,                 ,                     ,                    ,                        ,R                               ,                           ,R                       ,                         ,                      ,R                  ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 10,R, 2,  63.00,    219.3300,Mutterlose,Nannofossils                                 ,A              ,P/M               ,.5%               ,41.0%               ,                         ,1.0%              ,.3%             ,8.0%            ,.3%                    ,.6%               ,6.0%                        ,36.0%           ,1.0%                   ,.3%                        ,1.0%                  ,3.0%                    ,                        ,.3%                     ,                           ,                       ,.4%             ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,.3%                   ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 11,R, 1,  32.00,    227.2200,Mutterlose,Nannofossils                                 ,C              ,P                 ,                  ,C                   ,R                        ,                  ,                ,F               ,                       ,R                 ,                            ,C               ,R                      ,R                          ,R                     ,F                       ,                        ,                        ,R                          ,F                      ,F               ,                       ,                     ,                 ,                     ,R                   ,                        ,                                ,                           ,R                       ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 11,R, 1, 107.00,    227.9700,Mutterlose,Nannofossils                                 ,C              ,M                 ,.6%               ,54.3%               ,.2%                      ,.2%               ,.2%             ,4.0%            ,.2%                    ,.2%               ,.2%                         ,33.0%           ,                       ,.2%                        ,2.0%                  ,3.0%                    ,                        ,.2%                     ,.2%                        ,.3%                    ,                ,                       ,                     ,.2%              ,                     ,.2%                 ,                        ,                                ,.2%                        ,.2%                     ,.2%                      ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 11,R, 2,  61.00,    229.0100,Mutterlose,Nannofossils                                 ,A              ,M                 ,3.0%              ,48.4%               ,.2%                      ,                  ,                ,                ,.2%                    ,.2%               ,15.0%                       ,23.0%           ,                       ,.2%                        ,.5%                   ,4.0%                    ,.2%                     ,.2%                     ,.2%                        ,.2%                    ,                ,.2%                    ,                     ,3.0%             ,.2%                  ,.2%                 ,.2%                     ,.3%                             ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 11,R, 3,  26.00,    230.1600,Mutterlose,Nannofossils                                 ,R              ,P/M               ,                  ,R                   ,                         ,R                 ,                ,R               ,                       ,R                 ,R                           ,R               ,                       ,                           ,                      ,R                       ,                        ,                        ,                           ,                       ,                ,                       ,R                    ,R                ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22(Perch-Nielsen),              ,143, 869,B, 11,R, 4,  71.00,    232.1100,Mutterlose,Nannofossils                                 ,A              ,P/M               ,                  ,48.0%               ,.3%                      ,1.0%              ,3.0%            ,7.0%            ,                       ,.3%               ,2.0%                        ,35.0%           ,.3%                    ,.3%                        ,.2%                   ,1.0%                    ,.3%                     ,.3%                     ,.2%                        ,.3%                    ,.3%             ,.2%                    ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC21(Perch-Nielsen),              ,143, 869,B, 11,R, 5,   9.00,    232.9900,Mutterlose,Nannofossils                                 ,A              ,P/M               ,                  ,A                   ,                         ,                  ,                ,C               ,R                      ,R                 ,R                           ,A               ,R                      ,R                          ,R                     ,R                       ,                        ,R                       ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC21(Perch-Nielsen),              ,143, 869,B, 11,R, 5,  19.00,    233.0900,Mutterlose,Nannofossils                                 ,A              ,P                 ,                  ,A                   ,R                        ,                  ,                ,C               ,R                      ,R                 ,R                           ,A               ,R                      ,R                          ,R                     ,R                       ,R                       ,R                       ,R                          ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC21(Perch-Nielsen),              ,143, 869,B, 11,R,CC,   7.00,    233.1900,Mutterlose,Nannofossils                                 ,A              ,P                 ,.2%               ,38.0%               ,.3%                      ,.5%               ,2.0%            ,40.0%           ,.2%                    ,.2%               ,.2%                         ,18.0%           ,.2%                    ,.2%                        ,                      ,                        ,                        ,                        ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
