Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudohastigerina sp.	Globigerinatheka sp.	Dentoglobigerina galavisi	Chiloguembelina cubensis	Cassigerinella chipolensis	Acarinina bullbrooki	Subbotina utilisindex	Paragloborotalia acrostoma	Acarinina pentacamerata	Globoquadrina dehiscens	Subbotina angiporoides	Globigerina ciperoensis	Acarinina sp.	Paragloborotalia pseudokugleri	Zeaglobigerina ampliapertura	Turborotalia griffinae	Planorotalites pseudoscitulus	Praeorbulina transitoria	Acarinina soldadoensis	Paragloborotalia kugleri	Paragloborotalia opima	Zeaglobigerina woodi	Zeaglobigerina nepenthes group	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Turborotalita quinqueloba	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis spp.	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Orbulina universa	Neogloboquadrina acostaensis (dextral)	Globigerinoides trilobus	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinita uvula	Globigerinita juvenilis	Globigerinita glutinata	Globigerinella siphonifera	Globigerinella obesa	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinoides sacculifer	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina acostaensis (sinistral)	Globigerinoides gomitulus	Streptochilus globigerum	Tenuitella anfracta	Globorotalia margaritae	Globigerina venezuelana	Globorotalia menardii group	Globigerina bulbosa	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Beella digitata	Comment

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 1	 107.00	    114.8700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	1                   	22                            	2                       	                          	+                        	                                	                        	                              	                         	23               	50                                    	31                      	3                    	12                           	42                      	+                  	19                     	23                     	2                         	4                   	33                     	                     	                                     	1                   	8                         	                                       	4                                       	                         	                        	                   	26                     	                       	                           	4                  	                         	                          	               	Species abundance = 21. Total specimens = 310. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 1	 117.00	    114.9700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	4                   	28                            	1                       	5                         	+                        	+                               	10                      	+                             	+                        	19               	10                                    	19                      	                     	4                            	69                      	1                  	25                     	35                     	+                         	5                   	60                     	                     	                                     	                    	7                         	                                       	1                                       	1                        	                        	                   	11                     	                       	                           	                   	                         	                          	               	Species abundance = 23. Total specimens = 315. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 2	  19.00	    115.4900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	4                   	22                            	3                       	8                         	+                        	                                	                        	                              	                         	21               	23                                    	15                      	                     	13                           	55                      	5                  	34                     	22                     	4                         	3                   	42                     	                     	                                     	1                   	8                         	                                       	2                                       	                         	                        	                   	20                     	                       	1                          	                   	+                        	                          	               	Species abundance = 22. Total specimens = 306. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 2	  35.00	    115.6500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	4                   	26                            	2                       	6                         	3                        	                                	                        	+                             	+                        	19               	42                                    	36                      	                     	25                           	56                      	2                  	17                     	19                     	1                         	1                   	29                     	1                    	+                                    	+                   	11                        	                                       	                                        	                         	                        	                   	                       	                       	4                          	3                  	                         	                          	               	Species abundance = 24. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 2	  67.00	    115.9700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	5                   	18                            	2                       	6                         	2                        	                                	                        	                              	                         	70               	6                                     	8                       	                     	                             	66                      	+                  	16                     	28                     	                          	1                   	77                     	                     	+                                    	+                   	1                         	                                       	1                                       	                         	                        	                   	                       	+                      	                           	                   	                         	                          	               	Species abundance = 19. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 2	  94.00	    116.2400	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	11                  	36                            	8                       	5                         	1                        	                                	                        	                              	                         	43               	8                                     	4                       	1                    	9                            	61                      	1                  	20                     	28                     	1                         	7                   	48                     	9                    	                                     	1                   	5                         	                                       	                                        	                         	                        	+                  	?                      	                       	                           	                   	                         	                          	               	Species abundance = 23. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 2	 106.00	    116.3600	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	1                   	12                            	2                       	1                         	+                        	                                	                        	                              	                         	13               	89                                    	38                      	1                    	19                           	52                      	+                  	17                     	16                     	2                         	4                   	15                     	6                    	+                                    	+                   	12                        	                                       	+                                       	1                        	                        	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 23. Total specimens = 301. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 3	  25.00	    117.0500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	6                   	23                            	6                       	6                         	1                        	+                               	71                      	+                             	+                        	53               	3                                     	3                       	                     	                             	47                      	+                  	20                     	10                     	+                         	2                   	54                     	2                    	                                     	+                   	                          	                                       	                                        	                         	+                       	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 21. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	Sphaer. acme subzone	              	160	 967	A	 13	H	 3	  33.00	    117.1300	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	4                   	6                             	2                       	4                         	2                        	+                               	74                      	+                             	+                        	34               	15                                    	14                      	3                    	14                           	70                      	1                  	29                     	11                     	2                         	3                   	9                      	2                    	                                     	+                   	6                         	                                       	                                        	1                        	                        	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 24. Total specimens = 306. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	Sphaer. acme subzone	              	160	 967	A	 13	H	 3	  69.00	    117.4900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	11                  	30                            	4                       	10                        	1                        	+                               	78                      	+                             	+                        	38               	19                                    	8                       	3                    	3                            	38                      	2                  	21                     	14                     	4                         	7                   	5                      	2                    	                                     	2                   	1                         	+                                      	3                                       	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 26. Total specimens = 304. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	Sphaer. acme subzone	              	160	 967	A	 13	H	 3	 105.00	    117.8500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	5                   	12                            	4                       	6                         	+                        	+                               	73                      	+                             	+                        	56               	12                                    	8                       	                     	12                           	49                      	3                  	23                     	9                      	6                         	13                  	4                      	4                    	+                                    	4                   	4                         	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 23. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	Sphaer. acme subzone	              	160	 967	A	 13	H	 3	 113.00	    117.9300	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	5                   	21                            	2                       	5                         	+                        	+                               	87                      	+                             	+                        	56               	4                                     	3                       	1                    	6                            	61                      	+                  	26                     	23                     	2                         	2                   	16                     	1                    	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Species abundance = 22. Total specimens = 321. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 4	  25.00	    118.5500	Spezzaferri	Planktonic Foraminifers                      	               	                  	+                    	                    	                         	                        	                          	                    	+                    	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	+                     	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Terrigenous grains abundant. Pliocene forms rare. from Leg 160SR Ch 2 Table 5..

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 4	  43.00	    118.7300	Spezzaferri	Planktonic Foraminifers                      	               	                  	+                    	                    	                         	+                       	                          	                    	                     	                          	                       	                       	                      	                       	             	+                             	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Terrigenous grains abundant. Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Early Pliocene   	                 	MPL1              	              	160	 967	A	 13	H	 4	  78.00	    119.0800	Spezzaferri	Planktonic Foraminifers                      	               	                  	+                    	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Dwarf forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 13	H	 6	  24.00	    121.5400	Spezzaferri	Planktonic Foraminifers                      	               	                  	+                    	                    	                         	+                       	                          	                    	                     	                          	                       	                       	                      	                       	             	+                             	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Terrigenous grains abundant. Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 13	H	 7	  12.00	    122.9200	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	+                       	                          	                    	+                    	                          	                       	                       	                      	+                      	+            	                              	                            	                      	                             	                        	                      	+                       	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 13	H	 7	  29.00	    123.0900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	+                   	                     	                          	+                      	                       	                      	                       	             	                              	                            	+                     	                             	                        	+                     	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 1	 101.00	    124.3100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	+                        	+                       	+                         	                    	+                    	+                         	                       	+                      	+                     	                       	             	                              	+                           	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 2	  21.00	    125.0100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	+                           	                      	                             	+                       	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms rare. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 2	 114.00	    125.9400	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	+                         	                    	                     	                          	                       	                       	                      	+                      	+            	                              	+                           	                      	+                            	+                       	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 3	  40.00	    126.7000	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	+                            	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 4	 120.00	    129.0000	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	                          	+                   	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms present. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 14	X	 5	  19.00	    129.4900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms very rare. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	 1	  73.00	    129.8300	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	+                    	+                         	                       	                       	                      	                       	+            	+                             	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms rare. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	 1	 131.00	    130.4100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	+                       	                          	                    	                     	+                         	                       	                       	                      	+                      	             	                              	+                           	+                     	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	 2	 129.00	    131.8900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	+                    	+                         	                       	+                      	                      	+                      	             	+                             	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	 3	  29.00	    132.3900	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	+                         	                    	                     	+                         	                       	+                      	+                     	+                      	+            	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	Pliocene forms rare. from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	 3	  75.00	    132.8500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	                          	+                   	                     	                          	+                      	+                      	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 15	X	CC	  15.00	    134.2100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	+                   	                         	                        	                          	                    	+                    	+                         	+                      	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

  SR	Late Miocene     	                 	                  	              	160	 967	A	 16	X	 1	  84.00	    139.5400	Spezzaferri	Planktonic Foraminifers                      	               	                  	+                    	+                   	+                        	+                       	+                         	+                   	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	                    	                              	                        	                          	                         	                                	                        	                              	                         	                 	                                      	                        	                     	                             	                        	                   	                       	                       	                          	                    	                       	                     	                                     	                    	                          	                                       	                                        	                         	                        	                   	                       	                       	                           	                   	                         	                          	               	from Leg 160SR Ch 2 Table 5.

