Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongasteriscus marylandicus,Lychnocanoma elongata,Artophormis gracilis,Theocyrtis annosa,Eucyrtidium diaphanes,Dorcadospyris ateuchus,Theocorys spongoconus,Eucyrtidium sp.,Calocycletta robusta,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Stichocorys wolffii,Stichocorys delmontensis,Didymocyrtis violina,Didymocyrtis tubaria,Cyrtocapsella japonica,Calocycletta virginis,Phormostichoartus corbula,Diartus petterssoni,Didymocyrtis laticonus,Didymocyrtis mammifera,Lithopera neotera,Didymocyrtis antepenultima,Comment
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 19,R, 3,  60.00,    759.8000,Nigrini  ,Radiolarians                                 ,R              ,M                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,+                      ,+                    ,                   ,                        ,                    ,                    ,+                     ,                     ,+                        ,+                  ,+                     ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 21,R, 3,  60.00,    778.6800,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,+                      ,                     ,                   ,+                       ,                    ,                    ,                      ,                     ,                         ,+                  ,+                     ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 22,R, 3,  60.00,    788.8000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,R                       ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 23,R, 3,  60.00,    798.5000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,+                    ,                   ,+                       ,                    ,                    ,                      ,                     ,+                        ,+                  ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,150, 903,C, 39,R, 3,  58.00,    952.1800,Nigrini  ,Radiolarians                                 ,F              ,M                 ,+                           ,                     ,                    ,                 ,+                    ,                      ,                     ,               ,+                   ,+                      ,T                    ,+                  ,+                       ,+                   ,+                   ,+                     ,+                    ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,150, 903,C, 40,R, 3,  60.00,    961.8000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,T                           ,-                    ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,150, 903,C, 41,R, 3,  61.00,    971.1100,Nigrini  ,Radiolarians                                 ,F              ,M                 ,?                           ,-                    ,-                   ,                 ,+                    ,                      ,                     ,               ,+                   ,+                      ,T                    ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,L. elongata (RP22),              ,150, 903,C, 45,R, 3,  60.00,   1009.8000,Nigrini  ,Radiolarians                                 ,F              ,M                 ,+                           ,-                    ,+                   ,                 ,+                    ,T                     ,?                    ,+              ,+                   ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,L. elongata (RP22),              ,150, 903,C, 48,R, 3,  60.00,   1032.7000,Nigrini  ,Radiolarians                                 ,B              ,                  ,                            ,-                    ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,L. elongata (RP22),              ,150, 903,C, 49,R, 3,  58.00,   1037.3700,Nigrini  ,Radiolarians                                 ,R              ,P                 ,+                           ,-                    ,+                   ,T                ,+                    ,+                     ,                     ,               ,                    ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,L. elongata (RP22),              ,150, 903,C, 51,R, 3,  59.00,   1056.7100,Nigrini  ,Radiolarians                                 ,R              ,P                 ,+                           ,-                    ,+                   ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
