taxon_group,verbatim_name,name,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor
Pollen and Spores,Celtis sp.,,,Celtis,,sp.,,,
Pollen and Spores,Centaurea sp.,,,Centaurea,,sp.,,,
Pollen and Spores,Cephalotaxus,,,Cephalotaxus,,,,,
Pollen and Spores,Cephalotaxus (q),? Cephalotaxus,?,Cephalotaxus,,,,,
Pollen and Spores,Ceratophyllum,,,Ceratophyllum,,,,,
Pollen and Spores,Ceratosporites equalis,,,Ceratosporites,,equalis,,,
Pollen and Spores,Certonia sp.,,,Certonia,,sp.,,,
Pollen and Spores,Chenopodiaceae,,,Chenopodiaceae,,,,,
Pollen and Spores,Chenopodiaceae sp.,,,Chenopodiaceae,,sp.,,,
Pollen and Spores,Chenopodipollis sp.,,,Chenopodipollis,,sp.,,,
Pollen and Spores,Chenopodium sp.,,,Chenopodium,,sp.,,,
Pollen and Spores,Cicatricosisporites australiensis,,,Cicatricosisporites,,australiensis,,,
Pollen and Spores,Cicatricosisporites sp.,,,Cicatricosisporites,,sp.,,,
Pollen and Spores,Cingutriletes australis,,,Cingutriletes,,australis,,,
Pollen and Spores,Cingutriletes clavus,,,Cingutriletes,,clavus,,,
Pollen and Spores,Cistaceae,,,Cistaceae,,,,,
Pollen and Spores,Clavatipollenites sp.,,,Clavatipollenites,,sp.,,,
Pollen and Spores,Clavifera triplex,,,Clavifera,,triplex,,,
Pollen and Spores,Cnemidaria sp.,,,Cnemidaria,,sp.,,,
Pollen and Spores,Compositae,,,Compositae,,,,,
Pollen and Spores,Compositae (high-spined),,,Compositae,,,,,high-spined
Pollen and Spores,Compositae (low-spined),,,Compositae,,,,,low-spined
Pollen and Spores,Concavisporites sp.,,,Concavisporites,,sp.,,,
Pollen and Spores,Concavissimisporites granulatus,,,Concavissimisporites,,granulatus,,,
Pollen and Spores,Concavissimisporites punctatus,,,Concavissimisporites,,punctatus,,,
Pollen and Spores,Convolvulaceae,,,Convolvulaceae,,,,,
Pollen and Spores,Cordia sp.,,,Cordia,,sp.,,,
Pollen and Spores,Cornus,,,Cornus,,,,,
Pollen and Spores,Corollina sp.,,,Corollina,,sp.,,,
Pollen and Spores,Corylus sp.,,,Corylus,,sp.,,,
Pollen and Spores,Crotonoideae,,,Crotonoideae,,,,,
Pollen and Spores,Cruciferae,,,Cruciferae,,,,,
Pollen and Spores,Crytomeria,,,Crytomeria,,,,,
Pollen and Spores,Cupanieidites orthoteichus,,,Cupanieidites,,orthoteichus,,,
Pollen and Spores,Cupressaceae,,,Cupressaceae,,,,,
Pollen and Spores,Cyathea sp.,,,Cyathea,,sp.,,,
Pollen and Spores,Cyathidites australis,,,Cyathidites,,australis,,,
Pollen and Spores,Cyathidites minor,,,Cyathidites,,minor,,,
Pollen and Spores,Cyathidites patagonicus,,,Cyathidites,,patagonicus,,,
Pollen and Spores,Cyathidites punctatus,,,Cyathidites,,punctatus,,,
Pollen and Spores,Cyathidites sp.,,,Cyathidites,,sp.,,,
Pollen and Spores,Cyperaceae,,,Cyperaceae,,,,,
Pollen and Spores,Cystheacidites sp.,,,Cystheacidites,,sp.,,,
Pollen and Spores,Dacrydium cupressinum,,,Dacrydium,,cupressinum,,,
Pollen and Spores,Dacrydium cupressinum (q),? Dacrydium cupressinum,?,Dacrydium,,cupressinum,,,
Pollen and Spores,Dacrydiumites lawsonii,,,Dacrydiumites,,lawsonii,,,
Pollen and Spores,Dacrydiumites sp.,,,Dacrydiumites,,sp.,,,
Pollen and Spores,Deltoidospora delicata (q),? Deltoidospora delicata,?,Deltoidospora,,delicata,,,
Pollen and Spores,Deltoidospora sp.,,,Deltoidospora,,sp.,,,
Pollen and Spores,Densosporites velatus,,,Densosporites,,velatus,,,
Pollen and Spores,Dicksonia sp.,,,Dicksonia,,sp.,,,
Pollen and Spores,Dicksonia squarrosa,,,Dicksonia,,squarrosa,,,
Pollen and Spores,Dicliptera sp.,,,Dicliptera,,sp.,,,
Pollen and Spores,Dicolpopollis sp.,,,Dicolpopollis,,sp.,,,
Pollen and Spores,Dictyophyllidites sp.,,,Dictyophyllidites,,sp.,,,
Pollen and Spores,Dipsaceae,,,Dipsaceae,,,,,
Pollen and Spores,Dorstenia sp. (q),? Dorstenia sp.,?,Dorstenia,,sp.,,,
Pollen and Spores,Drimys sp.,,,Drimys,,sp.,,,
Pollen and Spores,Echiperiporites estelae,,,Echiperiporites,,estelae,,,
Pollen and Spores,Echitricolporites sp. (q),? Echitricolporites sp.,?,Echitricolporites,,sp.,,,
Pollen and Spores,Engelhardtia sp.,,,Engelhardtia,,sp.,,,
Pollen and Spores,Engelhardtia sp.(q),? Engelhardtia sp.,?,Engelhardtia,,sp.,,,
Pollen and Spores,Ephedra sp.,,,Ephedra,,sp.,,,
Pollen and Spores,Equisetales sp.,,,Equisetales,,sp.,,,
Pollen and Spores,Ericaceae,,,Ericaceae,,,,,
Pollen and Spores,Ericales sp.,,,Ericales,,sp.,,,
Pollen and Spores,Eucommia,,,Eucommia,,,,,
Pollen and Spores,Eugenia sp.,,,Eugenia,,sp.,,,
Pollen and Spores,Euphorbia sp.,,,Euphorbia,,sp.,,,
Pollen and Spores,Euphorbiaceae,,,Euphorbiaceae,,,,,
Pollen and Spores,Fagus sp.,,,Fagus,,sp.,,,
Pollen and Spores,Fenestrites spinosus,,,Fenestrites,,spinosus,,,
Pollen and Spores,Ficus sp.,,,Ficus,,sp.,,,
Pollen and Spores,Filicales sp.,,,Filicales,,sp.,,,
Pollen and Spores,Foraminisporis dailyi,,,Foraminisporis,,dailyi,,,
Pollen and Spores,Foraminisporis sp.,,,Foraminisporis,,sp.,,,
Pollen and Spores,Foraminisporis wontaggiensis,,,Foraminisporis,,wontaggiensis,,,
Pollen and Spores,Foveosporites canalis,,,Foveosporites,,canalis,,,
Pollen and Spores,Foveotriletes palaequetrus (q),? Foveotriletes palaequetrus,?,Foveotriletes,,palaequetrus,,,
Pollen and Spores,Fraxinus sp.,,,Fraxinus,,sp.,,,
Pollen and Spores,Galium sp.,,,Galium,,sp.,,,
Pollen and Spores,Gambierina edwardsii,,,Gambierina,,edwardsii,,,
Pollen and Spores,Geraniaceae,,,Geraniaceae,,,,,
Pollen and Spores,Ginkgo sp.,,,Ginkgo,,sp.,,,
Pollen and Spores,Ginkgo sp. (q),? Ginkgo sp.,?,Ginkgo,,sp.,,,
Pollen and Spores,Gleicheniidites circinidites,,,Gleicheniidites,,circinidites,,,
Pollen and Spores,Gleicheniidites senonicus,,,Gleicheniidites,,senonicus,,,
Pollen and Spores,Gleicheniidites trijugatus (q),? Gleicheniidites trijugatus,?,Gleicheniidites,,trijugatus,,,
Pollen and Spores,Gnetum,,,Gnetum,,,,,
Pollen and Spores,Gomphrenia sp. (q),? Gomphrenia sp.,?,Gomphrenia,,sp.,,,
Pollen and Spores,Graminae,,,Graminae,,,,,
Pollen and Spores,Graminidites media,,,Graminidites,,media,,,
Pollen and Spores,Graminidites media (q),? Graminidites media,?,Graminidites,,media,,,
Pollen and Spores,Guazuma sp. (q),? Guazuma sp.,?,Guazuma,,sp.,,,
Pollen and Spores,Guttifere,,,Guttifere,,,,,
Pollen and Spores,Halorhagacidites harrisii,,,Halorhagacidites,,harrisii,,,
Pollen and Spores,Hamamelidaceae,,,Hamamelidaceae,,,,,
Pollen and Spores,Hedyosmum sp.,,,Hedyosmum,,sp.,,,
Pollen and Spores,Helianthemum sp.,,,Helianthemum,,sp.,,,
Pollen and Spores,Hibiscus sp. (q),? Hibiscus sp.,?,Hibiscus,,sp.,,,
Pollen and Spores,Hydrocharis,,,Hydrocharis,,,,,
Pollen and Spores,Hygrophyla sp. (q),? Hygrophyla sp.,?,Hygrophyla,,sp.,,,
Pollen and Spores,Hymenophyllaceae,,,Hymenophyllaceae,,,,,
Pollen and Spores,Hypericum,,,Hypericum,,,,,
Pollen and Spores,Hypoestes sp.,,,Hypoestes,,sp.,,,
Pollen and Spores,Ilex sp.,,,Ilex,,sp.,,,
Pollen and Spores,Iriartea sp. (q),? Iriartea sp.,?,Iriartea,,sp.,,,
Pollen and Spores,Itea sp.,,,Itea,,sp.,,,
Pollen and Spores,Juglans sp.,,,Juglans,,sp.,,,
Pollen and Spores,Juncaginaceae,,,Juncaginaceae,,,,,
Pollen and Spores,Juniperus sp.,,,Juniperus,,sp.,,,
Pollen and Spores,Keteeleria sp.,,,Keteeleria,,sp.,,,
Pollen and Spores,Keteleeria (q),? Keteleeria,?,Keteleeria,,,,,
Pollen and Spores,Klukisporites,,,Klukisporites,,,,,
Pollen and Spores,Klukisporites pseudoreticulatus,,,Klukisporites,,pseudoreticulatus,,,
Pollen and Spores,Krauselisporites papillatus,,,Krauselisporites,,papillatus,,,
Pollen and Spores,Labiatae,,,Labiatae,,,,,
Pollen and Spores,Laevigatosporites major,,,Laevigatosporites,,major,,,
Pollen and Spores,Laevigatosporites ovatus,,,Laevigatosporites,,ovatus,,,
Pollen and Spores,Laguncularia sp.,,,Laguncularia,,sp.,,,
Pollen and Spores,Larix,,,Larix,,,,,
Pollen and Spores,Laurus sp.,,,Laurus,,sp.,,,
Pollen and Spores,Leguminosae,,,Leguminosae,,,,,
Pollen and Spores,Leiotriletes microadriennis,,,Leiotriletes,,microadriennis,,,
Pollen and Spores,Leiotriletes sp.,,,Leiotriletes,,sp.,,,
Pollen and Spores,Lemna,,,Lemna,,,,,
Pollen and Spores,Leptolepidites sp.,,,Leptolepidites,,sp.,,,
Pollen and Spores,Leptolepidites verrucatus,,,Leptolepidites,,verrucatus,,,
Pollen and Spores,Libocedrus sp.,,,Libocedrus,,sp.,,,
Pollen and Spores,Liguliflores sp.,,,Liguliflores,,sp.,,,
Pollen and Spores,Liliaceace,,,Liliaceace,,,,,
Pollen and Spores,Liliacidites sp.,,,Liliacidites,,sp.,,,
Pollen and Spores,Liliacidites variegatus,,,Liliacidites,,variegatus,,,
Pollen and Spores,Liquidambar sp.,,,Liquidambar,,sp.,,,
Pollen and Spores,Luehea sp. (q),? Luehea sp.,?,Luehea,,sp.,,,
Pollen and Spores,Lycopodiaceae,,,Lycopodiaceae,,,,,
Pollen and Spores,Lycopodium,,,Lycopodium,,,,,
Pollen and Spores,Lycopodiumsporites austroclavatidites,,,Lycopodiumsporites,,austroclavatidites,,,
Pollen and Spores,Lycopodiumsporites eminulus (q),? Lycopodiumsporites eminulus,?,Lycopodiumsporites,,eminulus,,,
Pollen and Spores,Lycopodiumsporites rosewoodensis,,,Lycopodiumsporites,,rosewoodensis,,,
Pollen and Spores,Lycopodiumsporites sp.,,,Lycopodiumsporites,,sp.,,,
