verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name,_merge_approved
Acarinina abundocamerata,planktic_forams,Acarinina,Acarinina abundocamerata,abundocamerata,,left_only
Acarinina angulata,planktic_forams,Acarinina,Acarinina angulata,angulata,,left_only
Acarinina angulosa,planktic_forams,Acarinina,Acarinina angulosa,angulosa,,both
Acarinina apanthesma,planktic_forams,Acarinina,Acarinina apanthesma,apanthesma,,left_only
Acarinina aspensis,planktic_forams,Acarinina,Acarinina aspensis,aspensis,,both
Acarinina boudreauxi,planktic_forams,Acarinina,Acarinina boudreauxi,boudreauxi,,left_only
Acarinina broedermanni,planktic_forams,Acarinina,Acarinina broedermanni,broedermanni,,left_only
Acarinina broedermanni (q),planktic_forams,Acarinina,Acarinina broedermanni,broedermanni,,left_only
Acarinina bullbrooki,planktic_forams,Acarinina,Acarinina bullbrooki,bullbrooki,,both
Acarinina chascanoma,planktic_forams,Acarinina,Acarinina chascanoma,chascanoma,,left_only
Acarinina coalingensis,planktic_forams,Acarinina,Acarinina coalingensis,coalingensis,,both
Acarinina convexa,planktic_forams,Acarinina,Acarinina convexa,convexa,,left_only
Acarinina decepta,planktic_forams,Acarinina,Acarinina decepta,decepta,,left_only
Acarinina densa,planktic_forams,Acarinina,Acarinina densa,densa,,both
Acarinina esnaensis,planktic_forams,Acarinina,Acarinina esnaensis,esnaensis,,left_only
Acarinina mathewsae,planktic_forams,Acarinina,Acarinina mathewsae,mathewsae,,left_only
Acarinina mattseensis alticonica,planktic_forams,Acarinina,Acarinina mattseensis alticonica,mattseensis,alticonica,left_only
Acarinina mattseensis mattseensis,planktic_forams,Acarinina,Acarinina mattseensis mattseensis,mattseensis,mattseensis,left_only
Acarinina mattseensis wartsteinensis,planktic_forams,Acarinina,Acarinina mattseensis wartsteinensis,mattseensis,wartsteinensis,left_only
Acarinina mattseensis wartsteinensis (q),planktic_forams,Acarinina,Acarinina mattseensis wartsteinensis,mattseensis,wartsteinensis,left_only
Acarinina mckannai,planktic_forams,Acarinina,Acarinina mckannai,mckannai,,both
Acarinina nicoli (q),planktic_forams,Acarinina,Acarinina nicoli,nicoli,,left_only
Acarinina nitida (q),planktic_forams,Acarinina,Acarinina nitida,nitida,,both
Acarinina pentacamerata,planktic_forams,Acarinina,Acarinina pentacamerata,pentacamerata,,both
Acarinina pentacamerata pentacamerata,planktic_forams,Acarinina,Acarinina pentacamerata pentacamerata,pentacamerata,pentacamerata,left_only
Acarinina planodorsalis,planktic_forams,Acarinina,Acarinina planodorsalis,planodorsalis,,left_only
Acarinina primitiva,planktic_forams,Acarinina,Acarinina primitiva,primitiva,,both
Acarinina primitiva (q),planktic_forams,Acarinina,Acarinina primitiva,primitiva,,both
Acarinina pseudotopilensis,planktic_forams,Acarinina,Acarinina pseudotopilensis,pseudotopilensis,,both
Acarinina punctocarinata,planktic_forams,Acarinina,Acarinina punctocarinata,punctocarinata,,both
Acarinina quetra,planktic_forams,Acarinina,Acarinina quetra,quetra,,both
Acarinina rotundimarginata,planktic_forams,Acarinina,Acarinina rotundimarginata,rotundimarginata,,left_only
Acarinina rugosoaculeata,planktic_forams,Acarinina,Acarinina rugosoaculeata,rugosoaculeata,,left_only
Acarinina soldadoensis,planktic_forams,Acarinina,Acarinina soldadoensis,soldadoensis,,both
Acarinina soldadoensis angulosa,planktic_forams,Acarinina,Acarinina soldadoensis angulosa,soldadoensis,angulosa,left_only
Acarinina soldadoensis soldadoensis,planktic_forams,Acarinina,Acarinina soldadoensis soldadoensis,soldadoensis,soldadoensis,left_only
Acarinina sp.,planktic_forams,Acarinina,Acarinina sp.,sp.,,left_only
Acarinina spinuloinflata,planktic_forams,Acarinina,Acarinina spinuloinflata,spinuloinflata,,left_only
Acarinina spiralis,planktic_forams,Acarinina,Acarinina spiralis,spiralis,,left_only
Acarinina subsphaerica,planktic_forams,Acarinina,Acarinina subsphaerica,subsphaerica,,both
Acarinina uncinata,planktic_forams,Acarinina,Acarinina uncinata,uncinata,,left_only
Acarinina velascoensis,planktic_forams,Acarinina,Acarinina velascoensis,velascoensis,,left_only
Acarinina wilcoxensis,planktic_forams,Acarinina,Acarinina wilcoxensis,wilcoxensis,,both
Acer sp.,pollen,Acer,Acer sp.,sp.,,left_only
Achilleodinium biformoides,dinoflagellates,Achilleodinium,Achilleodinium biformoides,biformoides,,left_only
Achnanthes brevipes,diatoms,Achnanthes,Achnanthes brevipes,brevipes,,both
Achnanthes fimbriata,diatoms,Achnanthes,Achnanthes fimbriata,fimbriata,,left_only
Achnanthes groenlandica,diatoms,Achnanthes,Achnanthes groenlandica,groenlandica,,left_only
Achnanthes lanceolata,diatoms,Achnanthes,Achnanthes lanceolata,lanceolata,,both
Achnanthes sp.,diatoms,Achnanthes,Achnanthes sp.,sp.,,both
Achomosphaera alcicornu,dinoflagellates,Achomosphaera,Achomosphaera alcicornu,alcicornu,,left_only
Achomosphaera andalouisiense,dinoflagellates,Achomosphaera,Achomosphaera andalouisiense,andalouisiense,,left_only
Achomosphaera crassipellis,dinoflagellates,Achomosphaera,Achomosphaera crassipellis,crassipellis,,left_only
Achomosphaera ramulifera,dinoflagellates,Achomosphaera,Achomosphaera ramulifera,ramulifera,,left_only
Acratia sp.,ostracods,Acratia,Acratia sp.,sp.,,left_only
Acrobotrys disolenia,radiolarians,Acrobotrys,Acrobotrys disolenia,disolenia,,left_only
Acrobotrys sp.,radiolarians,Acrobotrys,Acrobotrys sp.,sp.,,left_only
Acrobotrys sphaerothorax (q),radiolarians,Acrobotrys,Acrobotrys sphaerothorax,sphaerothorax,,left_only
Acrobotrys tritubus,radiolarians,Acrobotrys,Acrobotrys tritubus,tritubus,,both
Acrocubus octopylus,radiolarians,Acrocubus,Acrocubus octopylus,octopylus,,both
Acrocythere sp.,ostracods,Acrocythere,Acrocythere sp.,sp.,,left_only
Acrocythere sp.(q),ostracods,Acrocythere,Acrocythere sp.,sp.,,left_only
Acrosphaera cyrtodon,radiolarians,Acrosphaera,Acrosphaera cyrtodon,cyrtodon,,both
Acrosphaera lappacea,radiolarians,Acrosphaera,Acrosphaera lappacea,lappacea,,both
Acrosphaera murrayana,radiolarians,Acrosphaera,Acrosphaera murrayana,murrayana,,both
Acrosphaera spinosa,radiolarians,Acrosphaera,Acrosphaera spinosa,spinosa,,both
Acrosphaera trepanata,radiolarians,Acrosphaera,Acrosphaera trepanata,trepanata,,both
Actiniscus elongatus,dinoflagellates,Actiniscus,Actiniscus elongatus,elongatus,,left_only
Actiniscus elongatus (q),ebridians,Actiniscus,Actiniscus elongatus,elongatus,,left_only
Actiniscus laciniatus (q),ebridians,Actiniscus,Actiniscus laciniatus,laciniatus,,left_only
Actiniscus pentaradiatus,dinoflagellates,Actiniscus,Actiniscus pentaradiatus,pentaradiatus,,left_only
Actiniscus pentasterias,ebridians,Actiniscus,Actiniscus pentasterias,pentasterias,,left_only
Actiniscus pentasterias,dinoflagellates,Actiniscus,Actiniscus pentasterias,pentasterias,,both
Actiniscus radicula,dinoflagellates,Actiniscus,Actiniscus radicula,radicula,,left_only
Actiniscus sp.,ebridians,Actiniscus,Actiniscus sp.,sp.,,left_only
Actiniscus squamosus,ebridians,Actiniscus,Actiniscus squamosus,squamosus,,left_only
Actiniscus tetrasterias,ebridians,Actiniscus,Actiniscus tetrasterias,tetrasterias,,left_only
Actiniscus tetrasterias,dinoflagellates,Actiniscus,Actiniscus tetrasterias,tetrasterias,,left_only
Actinocyclus bisenarius (q),diatoms,Actinocyclus,Actinocyclus bisenarius,bisenarius,,left_only
Actinocyclus cubitus,diatoms,Actinocyclus,Actinocyclus cubitus,cubitus,,left_only
Actinocyclus curvatulus,diatoms,Actinocyclus,Actinocyclus curvatulus,curvatulus,,both
Actinocyclus curvatulus (q),diatoms,Actinocyclus,Actinocyclus curvatulus,curvatulus,,both
Actinocyclus divisus,diatoms,Actinocyclus,Actinocyclus divisus,divisus,,left_only
Actinocyclus ehrenbergii,diatoms,Actinocyclus,Actinocyclus ehrenbergii,ehrenbergii,,left_only
Actinocyclus ehrenbergii (q),diatoms,Actinocyclus,Actinocyclus ehrenbergii,ehrenbergii,,left_only
Actinocyclus ehrenbergii crassa,diatoms,Actinocyclus,Actinocyclus ehrenbergii crassa,ehrenbergii,crassa,left_only
Actinocyclus ehrenbergii tenella,diatoms,Actinocyclus,Actinocyclus ehrenbergii tenella,ehrenbergii,tenella,left_only
Actinocyclus ehrenbergii var.,diatoms,Actinocyclus,Actinocyclus ehrenbergii var.,ehrenbergii,var.,left_only
Actinocyclus ellipticus,diatoms,Actinocyclus,Actinocyclus ellipticus,ellipticus,,both
Actinocyclus ellipticus (q),diatoms,Actinocyclus,Actinocyclus ellipticus,ellipticus,,both
Actinocyclus ellipticus elongatus,diatoms,Actinocyclus,Actinocyclus ellipticus elongatus,ellipticus,elongatus,left_only
Actinocyclus ellipticus javanica,diatoms,Actinocyclus,Actinocyclus ellipticus javanica,ellipticus,javanica,left_only
Actinocyclus ellipticus lanceolata,diatoms,Actinocyclus,Actinocyclus ellipticus lanceolata,ellipticus,lanceolata,both
Actinocyclus ellipticus moronensis,diatoms,Actinocyclus,Actinocyclus ellipticus moronensis,ellipticus,moronensis,left_only
Actinocyclus ellipticus spiralis,diatoms,Actinocyclus,Actinocyclus ellipticus spiralis,ellipticus,spiralis,left_only
Actinocyclus elongatus,diatoms,Actinocyclus,Actinocyclus elongatus,elongatus,,both
Actinocyclus ingens,diatoms,Actinocyclus,Actinocyclus ingens,ingens,,both
Actinocyclus ingens (q),diatoms,Actinocyclus,Actinocyclus ingens,ingens,,both
Actinocyclus ingens (undulated),diatoms,Actinocyclus,Actinocyclus ingens,ingens,,both
Actinocyclus ingens ingens,diatoms,Actinocyclus,Actinocyclus ingens ingens,ingens,ingens,both
Actinocyclus ingens nodus,diatoms,Actinocyclus,Actinocyclus ingens nodus,ingens,nodus,both
Actinocyclus lanceolatus,diatoms,Actinocyclus,Actinocyclus lanceolatus,lanceolatus,,left_only
Actinocyclus lanceolatus (q),diatoms,Actinocyclus,Actinocyclus lanceolatus,lanceolatus,,left_only
Actinocyclus moronensis,diatoms,Actinocyclus,Actinocyclus moronensis,moronensis,,both
Actinocyclus neogradensis (q),diatoms,Actinocyclus,Actinocyclus neogradensis,neogradensis,,left_only
Actinocyclus normannii,diatoms,Actinocyclus,Actinocyclus normannii,normannii,,left_only
Actinocyclus ochotensis,diatoms,Actinocyclus,Actinocyclus ochotensis,ochotensis,,both
Actinocyclus octonarius,diatoms,Actinocyclus,Actinocyclus octonarius,octonarius,,both
Actinocyclus octonarius crassa,diatoms,Actinocyclus,Actinocyclus octonarius crassa,octonarius,crassa,left_only
Actinocyclus octonarius minuta,diatoms,Actinocyclus,Actinocyclus octonarius minuta,octonarius,minuta,left_only
Actinocyclus octonarius tenella,diatoms,Actinocyclus,Actinocyclus octonarius tenella,octonarius,tenella,left_only
Actinocyclus oculatus,diatoms,Actinocyclus,Actinocyclus oculatus,oculatus,,both
Actinocyclus oculatus (q),diatoms,Actinocyclus,Actinocyclus oculatus,oculatus,,both
Actinocyclus radionovae,diatoms,Actinocyclus,Actinocyclus radionovae,radionovae,,left_only
Actinocyclus sp.,diatoms,Actinocyclus,Actinocyclus sp.,sp.,,both
Actinocyclus subtilis,diatoms,Actinocyclus,Actinocyclus subtilis,subtilis,,both
Actinocyclus tsugaruensis,diatoms,Actinocyclus,Actinocyclus tsugaruensis,tsugaruensis,,left_only
Actinocyclus undulatus,diatoms,Actinocyclus,Actinocyclus undulatus,undulatus,,both
Actinomma antarcticum,radiolarians,Actinomma,Actinomma antarcticum,antarcticum,,both
Actinomma archadophorum,radiolarians,Actinomma,Actinomma archadophorum,archadophorum,,left_only
Actinomma beroes,radiolarians,Actinomma,Actinomma beroes,beroes,,left_only
Actinomma golownini,radiolarians,Actinomma,Actinomma golownini,golownini,,left_only
Actinomma hexaconthium arachinoidale (q),radiolarians,Actinomma,Actinomma hexaconthium arachinoidale,hexaconthium,arachinoidale,left_only
Actinomma medianum,radiolarians,Actinomma,Actinomma medianum,medianum,,both
Actinomma mediterranensis,radiolarians,Actinomma,Actinomma mediterranensis,mediterranensis,,left_only
Actinomma medusa,radiolarians,Actinomma,Actinomma medusa,medusa,,left_only
Actinomma popopski,radiolarians,Actinomma,Actinomma popopski,popopski,,left_only
Actinomma sp.,radiolarians,Actinomma,Actinomma sp.,sp.,,both
Actinomma tanyacantha,radiolarians,Actinomma,Actinomma tanyacantha,tanyacantha,,left_only
Actinomma tetrapila,radiolarians,Actinomma,Actinomma tetrapila,tetrapila,,left_only
Actinomma yosii,radiolarians,Actinomma,Actinomma yosii,yosii,,left_only
Actinommura sp.,radiolarians,Actinommura,Actinommura sp.,sp.,,left_only
Actinoptychus bipunctatus,diatoms,Actinoptychus,Actinoptychus bipunctatus,bipunctatus,,left_only
Actinoptychus heliopleta,diatoms,Actinoptychus,Actinoptychus heliopleta,heliopleta,,left_only
Actinoptychus intermedius,diatoms,Actinoptychus,Actinoptychus intermedius,intermedius,,left_only
Actinoptychus marylandicus (q),diatoms,Actinoptychus,Actinoptychus marylandicus,marylandicus,,left_only
Actinoptychus minutus,diatoms,Actinoptychus,Actinoptychus minutus,minutus,,left_only
Actinoptychus packi,diatoms,Actinoptychus,Actinoptychus packi,packi,,left_only
Actinoptychus reinholdii,diatoms,Actinoptychus,Actinoptychus reinholdii,reinholdii,,left_only
Actinoptychus senarius,diatoms,Actinoptychus,Actinoptychus senarius,senarius,,left_only
Actinoptychus senarius minor,diatoms,Actinoptychus,Actinoptychus senarius minor,senarius,minor,left_only
Actinoptychus sp.,diatoms,Actinoptychus,Actinoptychus sp.,sp.,,left_only
Actinoptychus splendens,diatoms,Actinoptychus,Actinoptychus splendens,splendens,,left_only
Actinoptychus splendens (q),diatoms,Actinoptychus,Actinoptychus splendens,splendens,,left_only
Actinoptychus stella,diatoms,Actinoptychus,Actinoptychus stella,stella,,left_only
Actinoptychus thumii,diatoms,Actinoptychus,Actinoptychus thumii,thumii,,left_only
Actinoptychus undulatus,diatoms,Actinoptychus,Actinoptychus undulatus,undulatus,,left_only
Actinoptychus undulatus (q),diatoms,Actinoptychus,Actinoptychus undulatus,undulatus,,left_only
Actinoptychus undulatus s. l.,diatoms,Actinoptychus,Actinoptychus undulatus s. l.,undulatus,,left_only
Actinoptychus vulgaris,diatoms,Actinoptychus,Actinoptychus vulgaris,vulgaris,,left_only
Actinoptychus vulgaris (q),diatoms,Actinoptychus,Actinoptychus vulgaris,vulgaris,,left_only
Actinoptychus vulgaris monicae,diatoms,Actinoptychus,Actinoptychus vulgaris monicae,vulgaris,monicae,left_only
Actinoptychus wittii,diatoms,Actinoptychus,Actinoptychus wittii,wittii,,left_only
Actinosphaera acanthophora,radiolarians,Actinosphaera,Actinosphaera acanthophora,acanthophora,,left_only
Actinosphaera haackei (q),radiolarians,Actinosphaera,Actinosphaera haackei,haackei,,left_only
Actinozygus regularis,nannofossils,Actinozygus,Actinozygus regularis,regularis,,left_only
Adercotryma glomeratum,benthic_forams,Adercotryma,Adercotryma glomeratum,glomeratum,,left_only
Adercotryma sp.,benthic_forams,Adercotryma,Adercotryma sp.,sp.,,left_only
Adnatosphaeridium multispinosum,dinoflagellates,Adnatosphaeridium,Adnatosphaeridium multispinosum,multispinosum,,left_only
Adnatosphaeridium robustum,dinoflagellates,Adnatosphaeridium,Adnatosphaeridium robustum,robustum,,left_only
Adnatosphaeridium sp.,dinoflagellates,Adnatosphaeridium,Adnatosphaeridium sp.,sp.,,left_only
Adnatosphaeridium vittatum (q),dinoflagellates,Adnatosphaeridium,Adnatosphaeridium vittatum,vittatum,,left_only
Aequitriradites sp.,pollen,Aequitriradites,Aequitriradites sp.,sp.,,left_only
Agrenocythere gosnoldi,ostracods,Agrenocythere,Agrenocythere gosnoldi,gosnoldi,,left_only
Agrenocythere hazelae,ostracods,Agrenocythere,Agrenocythere hazelae,hazelae,,left_only
Agrenocythere pliocenica,ostracods,Agrenocythere,Agrenocythere pliocenica,pliocenica,,left_only
Agrenocythere radula,ostracods,Agrenocythere,Agrenocythere radula,radula,,left_only
Agrenocythere sp.,ostracods,Agrenocythere,Agrenocythere sp.,sp.,,left_only
Ahmuellerella octoradiata,nannofossils,Ahmuellerella,Ahmuellerella octoradiata,octoradiata,,both
Aiora fenestrata,dinoflagellates,Aiora,Aiora fenestrata,fenestrata,,left_only
Alabamina creta,benthic_forams,Alabamina,Alabamina creta,creta,,both
Alabamina decorata,benthic_forams,Alabamina,Alabamina decorata,decorata,,left_only
Alabamina dissonata,benthic_forams,Alabamina,Alabamina dissonata,dissonata,,both
Alabamina dissonata (q),benthic_forams,Alabamina,Alabamina dissonata,dissonata,,both
Alabamina haitiensis,benthic_forams,Alabamina,Alabamina haitiensis,haitiensis,,left_only
Alabamina marginata,benthic_forams,Alabamina,Alabamina marginata,marginata,,left_only
Alabamina midwayensis,benthic_forams,Alabamina,Alabamina midwayensis,midwayensis,,left_only
Alabamina naraensis,benthic_forams,Alabamina,Alabamina naraensis,naraensis,,left_only
Alabamina obtusa,benthic_forams,Alabamina,Alabamina obtusa,obtusa,,left_only
Alabamina polita,benthic_forams,Alabamina,Alabamina polita,polita,,left_only
Alabamina sp.,benthic_forams,Alabamina,Alabamina sp.,sp.,,both
Alabamina wilcoxensis,benthic_forams,Alabamina,Alabamina wilcoxensis,wilcoxensis,,left_only
Alabaminoides exiguus,benthic_forams,Alabaminoides,Alabaminoides exiguus,exiguus,,left_only
Alabinella wedellensis,benthic_forams,Alabinella,Alabinella wedellensis,wedellensis,,left_only
Alangium sp.,pollen,Alangium,Alangium sp.,sp.,,left_only
Alatacythere sp.,ostracods,Alatacythere,Alatacythere sp.,sp.,,left_only
Alchornea cordifolia,pollen,Alchornea,Alchornea cordifolia,cordifolia,,left_only
Alchornea sp.,pollen,Alchornea,Alchornea sp.,sp.,,left_only
Alfaroa sp.,pollen,Alfaroa,Alfaroa sp.,sp.,,left_only
Alievium gallowayi,radiolarians,Alievium,Alievium gallowayi,gallowayi,,left_only
Alisma,pollen,Alisma,Alisma,,,left_only
Alisocysta ornata,dinoflagellates,Alisocysta,Alisocysta ornata,ornata,,left_only
Alisporites grandis,pollen,Alisporites,Alisporites grandis,grandis,,left_only
Alisporites sp.,pollen,Alisporites,Alisporites sp.,sp.,,left_only
Allomorphina pacifica,benthic_forams,Allomorphina,Allomorphina pacifica,pacifica,,both
Allomorphinella sp.,benthic_forams,Allomorphinella,Allomorphinella sp.,sp.,,left_only
Allomorphinella sp.(q),benthic_forams,Allomorphinella,Allomorphinella sp.,sp.,,left_only
Alnus sp.,pollen,Alnus,Alnus sp.,sp.,,left_only
Alterbia distincta,dinoflagellates,Alterbia,Alterbia distincta,distincta,,left_only
Alternanthera sp. (q),pollen,Alternanthera,Alternanthera sp.,sp.,,left_only
Alveolophraginium crassimargo,benthic_forams,Alveolophraginium,Alveolophraginium crassimargo,crassimargo,,left_only
Amaranthaceae,pollen,Amaranthaceae,Amaranthaceae,,,left_only
Amaryllidaceae,pollen,Amaryllidaceae,Amaryllidaceae,,,left_only
Amaurolithus amplificus,nannofossils,Amaurolithus,Amaurolithus amplificus,amplificus,,both
Amaurolithus amplificus (q),nannofossils,Amaurolithus,Amaurolithus amplificus,amplificus,,both
Amaurolithus bizzarus,nannofossils,Amaurolithus,Amaurolithus bizzarus,bizzarus,,left_only
Amaurolithus delicatus,nannofossils,Amaurolithus,Amaurolithus delicatus,delicatus,,both
Amaurolithus ninae,nannofossils,Amaurolithus,Amaurolithus ninae,ninae,,left_only
Amaurolithus primus,nannofossils,Amaurolithus,Amaurolithus primus,primus,,both
Amaurolithus sp.,nannofossils,Amaurolithus,Amaurolithus sp.,sp.,,left_only
Amaurolithus tricorniculatus,nannofossils,Amaurolithus,Amaurolithus tricorniculatus,tricorniculatus,,both
Amaurolithus tricorniculatus (q),nannofossils,Amaurolithus,Amaurolithus tricorniculatus,tricorniculatus,,both
Ammobaculites agglutinans,benthic_forams,Ammobaculites,Ammobaculites agglutinans,agglutinans,,both
Ammobaculites coprolithiformis,benthic_forams,Ammobaculites,Ammobaculites coprolithiformis,coprolithiformis,,left_only
Ammobaculites expansus,benthic_forams,Ammobaculites,Ammobaculites expansus,expansus,,left_only
Ammobaculites expansus (q),benthic_forams,Ammobaculites,Ammobaculites expansus,expansus,,left_only
Ammobaculoides navarroensis (q),benthic_forams,Ammobaculoides,Ammobaculoides navarroensis,navarroensis,,left_only
Ammodiscus cretaceous,benthic_forams,Ammodiscus,Ammodiscus cretaceous,cretaceous,,left_only
Ammodiscus glabratus (q),benthic_forams,Ammodiscus,Ammodiscus glabratus,glabratus,,left_only
Ammodiscus incertus,benthic_forams,Ammodiscus,Ammodiscus incertus,incertus,,left_only
Ammodiscus incertus (q),benthic_forams,Ammodiscus,Ammodiscus incertus,incertus,,left_only
Ammodiscus peruvianus,benthic_forams,Ammodiscus,Ammodiscus peruvianus,peruvianus,,left_only
Ammodiscus sp.,benthic_forams,Ammodiscus,Ammodiscus sp.,sp.,,both
Ammodochium ampulla,ebridians,Ammodochium,Ammodochium ampulla,ampulla,,left_only
Ammodochium rectangulare,ebridians,Ammodochium,Ammodochium rectangulare,rectangulare,,both
Ammodochium serotinum,ebridians,Ammodochium,Ammodochium serotinum,serotinum,,left_only
Ammodochium sp.(q),ebridians,Ammodochium,Ammodochium sp.,sp.,,left_only
Ammodochium speciosum,ebridians,Ammodochium,Ammodochium speciosum,speciosum,,left_only
Ammoglobigerina sp.,benthic_forams,Ammoglobigerina,Ammoglobigerina sp.,sp.,,both
Ammolagena clavata,benthic_forams,Ammolagena,Ammolagena clavata,clavata,,left_only
Ammomassilina alveoliniformis,benthic_forams,Ammomassilina,Ammomassilina alveoliniformis,alveoliniformis,,left_only
Ammomassilina alveoliniformis (q),benthic_forams,Ammomassilina,Ammomassilina alveoliniformis,alveoliniformis,,left_only
Ammonia ammoniformis,benthic_forams,Ammonia,Ammonia ammoniformis,ammoniformis,,left_only
Ammonia beccarii,benthic_forams,Ammonia,Ammonia beccarii,beccarii,,both
Ammonia beccarii (q),benthic_forams,Ammonia,Ammonia beccarii,beccarii,,both
Ammonia hatatensis,benthic_forams,Ammonia,Ammonia hatatensis,hatatensis,,left_only
Ammonia parkinsoniana,benthic_forams,Ammonia,Ammonia parkinsoniana,parkinsoniana,,left_only
Ammonia perlucida,benthic_forams,Ammonia,Ammonia perlucida,perlucida,,left_only
Ammonia sikokuensis,benthic_forams,Ammonia,Ammonia sikokuensis,sikokuensis,,left_only
Ammonia sp.,benthic_forams,Ammonia,Ammonia sp.,sp.,,both
Ammonia tepida,benthic_forams,Ammonia,Ammonia tepida,tepida,,both
Ammonia viennensis-compacta,benthic_forams,Ammonia,Ammonia viennensis-compacta,viennensis-compacta,,left_only
Ammopalmula sp.,benthic_forams,Ammopalmula,Ammopalmula sp.,sp.,,left_only
Ammoscalaria pseudospiralis,benthic_forams,Ammoscalaria,Ammoscalaria pseudospiralis,pseudospiralis,,left_only
Ammoscalaria pseudospiralis (q),benthic_forams,Ammoscalaria,Ammoscalaria pseudospiralis,pseudospiralis,,left_only
Ammosphaeroidina (q),benthic_forams,Ammosphaeroidina,Ammosphaeroidina,,,left_only
Ammotium cassis,benthic_forams,Ammotium,Ammotium cassis,cassis,,left_only
Ampelidaceae,pollen,Ampelidaceae,Ampelidaceae,,,left_only
Amphibrachium sp.,radiolarians,Amphibrachium,Amphibrachium sp.,sp.,,left_only
Amphicoryna scalaris sagamiensis,benthic_forams,Amphicoryna,Amphicoryna scalaris sagamiensis,scalaris,sagamiensis,left_only
Amphicoryna sp.,benthic_forams,Amphicoryna,Amphicoryna sp.,sp.,,both
Amphicraspedum murrayanum,radiolarians,Amphicraspedum,Amphicraspedum murrayanum,murrayanum,,both
Amphicraspedum murrayanum (q),radiolarians,Amphicraspedum,Amphicraspedum murrayanum,murrayanum,,both
Amphicraspedum prolixum,radiolarians,Amphicraspedum,Amphicraspedum prolixum,prolixum,,both
Amphileberis nipponica,ostracods,Amphileberis,Amphileberis nipponica,nipponica,,left_only
Amphimorphina lessonii,benthic_forams,Amphimorphina,Amphimorphina lessonii,lessonii,,left_only
Amphiplecta acrostoma,radiolarians,Amphiplecta,Amphiplecta acrostoma,acrostoma,,left_only
Amphiplecta acrostoma (q),radiolarians,Amphiplecta,Amphiplecta acrostoma,acrostoma,,left_only
Amphiplecta cylindrocephala,radiolarians,Amphiplecta,Amphiplecta cylindrocephala,cylindrocephala,,left_only
Amphiplecta sp.,radiolarians,Amphiplecta,Amphiplecta sp.,sp.,,left_only
Amphiprora palludosa,diatoms,Amphiprora,Amphiprora palludosa,palludosa,,left_only
Amphipternis alamedaensis,radiolarians,Amphipternis,Amphipternis alamedaensis,alamedaensis,,left_only
Amphipternis alamedaensis (q),radiolarians,Amphipternis,Amphipternis alamedaensis,alamedaensis,,left_only
Amphipternis clava,radiolarians,Amphipternis,Amphipternis clava,clava,,left_only
Amphipternis sp. (q),radiolarians,Amphipternis,Amphipternis sp.,sp.,,left_only
Amphipyndax enesseffi,radiolarians,Amphipyndax,Amphipyndax enesseffi,enesseffi,,left_only
