Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Sphenolithus gr. moriformis/abies,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Discoaster surculus,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera intermedia,Discoaster gr. variabilis,Syracosphaera spp.,Scyphosphaera spp.,Rhabdosphaera spp.,Pontosphaera spp.,Florisphaera profunda,Discoaster spp.,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster brouweri,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Scapholithus fossilis,Calcidiscus macintyrei,Reticulofenestra pseudoumbilicus (circular outline),Ceratolithus sp.,Umbilicosphaera spp.,Thoracosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 2,  94.00,    116.2400,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,A                                ,F/C                             ,F                    ,80                 ,R/F                ,R                    ,C/A                   ,                        ,130                      ,R                 ,F/C               ,F/C               ,F/C              ,70                   ,               ,50                      ,                       ,90                 ,10                                 ,20                    ,                     ,R                     ,R                                                  ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =350; Rare gypsum crystals. Rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 3,  25.00,    117.0500,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,A                                ,C                               ,C                    ,80                 ,F                  ,F                    ,C                     ,                        ,270                      ,F                 ,C/A               ,F/C               ,F/C              ,50                   ,10             ,                        ,                       ,80                 ,20                                 ,10                    ,R                    ,R                     ,R                                                  ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =440; Rare gypsum crystals. Rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 3,  69.00,    117.4900,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,A                                ,F/C                             ,C                    ,110                ,F                  ,F/C                  ,C                     ,R                       ,430                      ,F                 ,C/A               ,F/C               ,F/C              ,140                  ,10             ,40                      ,                       ,270                ,40                                 ,10                    ,R                    ,                      ,C                                                  ,RR              ,R                   ,R                  ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =860; Sparce foraminifers. Rare gypsum crystals. Rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 3, 113.00,    117.9300,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,A                                ,A                               ,C                    ,90                 ,C                  ,C                    ,C                     ,F                       ,320                      ,R                 ,C                 ,C                 ,F/C              ,130                  ,               ,10                      ,                       ,220                ,40                                 ,20                    ,R                    ,                      ,C/A                                                ,RR              ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =640; Rare reworked Cenozoic taxa. Rare gypsum crystals. Sparce dolomite. Rare foraminifers.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 4,  25.00,    118.5500,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,C                                ,F/C                             ,C                    ,1                  ,F                  ,A                    ,F                     ,F                       ,11                       ,R                 ,RR                ,                  ,F                ,F                    ,2              ,                        ,1                      ,2                  ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =17; Base of primary marine assemblages. Sparce reworked Cretaceous taxa. Abundant reworked Cenozoic taxa. Rare foraminifers. Sparce gypsum crystals. Common dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 4,  78.00,    119.0800,Castradori,Nannofossils                                 ,A              ,P                 ,C                      ,C                                ,R                               ,R                    ,                   ,F                  ,F/C                  ,R                     ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cretaceous taxa. Abundant reworked Cenozoic taxa. Abundant gypsum crystals. Rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 4, 109.00,    119.3900,Castradori,Nannofossils                                 ,C              ,P                 ,R/F                    ,C                                ,F                               ,                     ,                   ,F                  ,F                    ,R                     ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cretaceous taxa. Common reworked Cenozoic taxa. Very abundant gypsum crystals. Sparce dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 5,  13.00,    119.9300,Castradori,Nannofossils                                 ,C/A            ,P                 ,F                      ,F                                ,F                               ,F                    ,                   ,F                  ,F                    ,                      ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cretaceous taxa. Common reworked Cenozoic taxa. Abundant gypsum crystals. Common dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 5,  79.00,    120.5900,Castradori,Nannofossils                                 ,F/C            ,P                 ,R                      ,R                                ,R                               ,R                    ,                   ,                   ,R                    ,                      ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cretaceous taxa. Rare reworked Cenozoic taxa. Very abundant gypsum crystals. Sparce dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 5, 103.00,    120.8300,Castradori,Nannofossils                                 ,C              ,P                 ,R/F                    ,F/C                              ,R                               ,R                    ,                   ,R                  ,R/F                  ,                      ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cretaceous taxa. Sparce reworked Cenozoic taxa. Very abundant gypsum crystals. Sparce dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 6,  37.00,    121.6700,Castradori,Nannofossils                                 ,A              ,M                 ,C/A                    ,C/A                              ,C/A                             ,F                    ,                   ,F                  ,C                    ,F                     ,R                       ,                         ,                  ,                  ,F                 ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,RR                    ,R                    ,F                     ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Sparce reworked Cretaceous taxa. Common/Abundant reworked Cenozoic taxa. Sparce gypsum crystals. Common dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 6,  79.00,    122.0900,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,A                                ,C/A                             ,C                    ,8                  ,F                  ,C/A                  ,F/C                   ,R                       ,17                       ,R                 ,F/C               ,F                 ,F/C              ,                     ,2              ,                        ,1                      ,4                  ,1                                  ,3                     ,R                    ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =32; Zanclean assemblage (drilling disturbances). Abundant reworked Cretaceous taxa. Abundant reworked Cenozoic taxa. Rare foraminifers. Common gypsum crystals. Common dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 6,  99.00,    122.2900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,A                                ,C                               ,C                    ,8                  ,F                  ,C/A                  ,R/F                   ,R                       ,46                       ,R                 ,R/F               ,R                 ,F                ,C/A                  ,2              ,2                       ,1                      ,27                 ,3                                  ,11                    ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR.Ch 9.Table 2. Sample designated by author as b. Discoaster total abundance =86; Zanclean assemblage (drilling distrubances).Common reworked Cretaceous taxa.Common reworked Cenozoic taxa.Rare gypsum crystals.Common dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 6,  99.00,    122.2900,Castradori,Nannofossils                                 ,F              ,P                 ,F                      ,R/F                              ,R/F                             ,R                    ,                   ,F                  ,R                    ,R                     ,                        ,                         ,                  ,                  ,                  ,R                ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR.Ch 9.Table 2. Sample designated by author as a. Sparce reworked Cenozoic taxa. Abundant gypsum crystals.Sparse dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 7,  29.00,    123.0900,Castradori,Nannofossils                                 ,F              ,P                 ,F                      ,F                                ,R                               ,R                    ,                   ,F                  ,R                    ,F                     ,RR                      ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Sparce reworked Cenozoic taxa. Very abundant gypsum crystals. Sparce dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 14,X, 1,  54.00,    123.8400,Castradori,Nannofossils                                 ,C/A            ,P                 ,F                      ,A                                ,R                               ,R                    ,                   ,F                  ,F                    ,F/C                   ,RR                      ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Rare reworked Cenozoic taxa. Abundant gypsum crystals. Common dolomite. Anomalous abundance of sphenoliths
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 14,X, 1,  72.00,    124.0200,Castradori,Nannofossils                                 ,C              ,P                 ,F                      ,A                                ,R                               ,R                    ,                   ,R                  ,R                    ,R                     ,RR                      ,RR                       ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Sparce reworked Cenozoic taxa. Abundant gypsum crystals. Common dolomite. Anomalous abundance of sphenoliths
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 14,X, 1, 119.00,    124.4900,Castradori,Nannofossils                                 ,C              ,P                 ,C                      ,C/A                              ,F                               ,R                    ,RR                 ,F                  ,F                    ,R                     ,                        ,                         ,                  ,                  ,                  ,                 ,                     ,               ,                        ,                       ,                   ,                                   ,                      ,                     ,                      ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Sparce/Common reworked Cenozoic taxa. Common gypsum crystals. Abundant dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
