Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ammonia sp.,Elphidium sp.,Valvulineria marmorea,Quinqueloculina laevigata,Pullenia quadriloba,Oridorsalis stellatus,Gyroidinoides laevigatus,Globocassidulina subglobosa,Uvigerina peregrina,Pleurostomella alternans,Karreriella bradyi,Cibicidoides pachyderma,Brizalina punctata,Pullenia quinqueloba,Planulina ariminensis,Uvigerina rutila,Uvigerina pygmaea,Stilostomella monilis,Stilostomella antillea,Eponides pusillus,Cibicidoides ungerianus,Cibicidoides italicus,Bigenerina nodosaria,Anomalinoides helicinus,Sigmoilopsis schlumbergeri,Lobatula lobatula,Brizalina dilatata,Siphonina reticulata,Pullenia salisburyi,Pullenia bulloides,Pseudoparrella  exigua,Parrelloides robertsonianus,Oolina faveolata,Lenticulina inornata,Gyroidina soldanii,Eggerella bradyi,Dentalina leguminiformis,Parrelloides bradyi,Lenticulina rotulata,Lenticulina gibba,Cribrobulimina serpens,Astrononion stelligerum,Sigmoilinita tenuis,Martinottiella perparva,Vaginulinopsis carinata,Lagena clavata,Bolivina subspinescens,Vulvulina pennatula,Siphonina  planoconvexa,Martinottiella communis,Lenticulina  cultrata,Vaginulina sulcata,Stilostomella hispida,Sphaeroidina bulloides,Quinqueloculina viennesis,Quinqueloculina bicarinata,Pullenia osloensis,Marginulina sp.,Cibicidoides omatus,Cyclindroclavulina rudis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 1, 107.00,    114.8700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,+                       ,                           ,                   ,+                       ,+                 ,                       ,+                 ,                    ,+                    ,+               ,+                ,+                    ,+                     ,                 ,+                      ,+                    ,                    ,                       ,                          ,+                ,+                 ,+                   ,                   ,                  ,                      ,+                          ,                ,                    ,+                 ,                ,+                       ,+                  ,                    ,+                ,                      ,+                      ,                   ,                       ,                       ,              ,+                     ,                   ,                       ,                       ,+                    ,?                 ,+                    ,+                     ,+                        ,+                         ,+                 ,+              ,+                  ,                        ,Species abundance = 32. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 1, 117.00,    114.9700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,+                       ,                           ,                   ,                        ,+                 ,+                      ,+                 ,                    ,+                    ,                ,                 ,                     ,                      ,                 ,+                      ,+                    ,                    ,+                      ,                          ,                 ,                  ,+                   ,                   ,                  ,                      ,                           ,                ,                    ,+                 ,                ,+                       ,                   ,+                   ,                 ,                      ,                       ,+                  ,                       ,                       ,              ,                      ,+                  ,+                      ,+                      ,+                    ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 20. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 2,  19.00,    115.4900,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,+                       ,+                          ,                   ,+                       ,                  ,                       ,                  ,                    ,+                    ,                ,                 ,+                    ,+                     ,                 ,+                      ,+                    ,+                   ,+                      ,+                         ,                 ,                  ,+                   ,                   ,                  ,                      ,+                          ,+               ,+                   ,+                 ,+               ,+                       ,                   ,                    ,+                ,+                     ,+                      ,                   ,                       ,                       ,              ,                      ,+                  ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 24. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 2,  35.00,    115.6500,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,+                       ,+                          ,                   ,+                       ,+                 ,                       ,+                 ,                    ,+                    ,+               ,                 ,                     ,+                     ,                 ,                       ,+                    ,+                   ,                       ,+                         ,                 ,                  ,+                   ,                   ,                  ,                      ,                           ,                ,                    ,+                 ,                ,                        ,+                  ,                    ,                 ,                      ,                       ,                   ,                       ,cf                     ,+             ,+                     ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 20. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 2,  67.00,    115.9700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,                     ,                         ,                   ,+                    ,+                       ,+                          ,+                  ,                        ,+                 ,cf                     ,                  ,                    ,+                    ,                ,                 ,                     ,                      ,                 ,+                      ,+                    ,+                   ,+                      ,+                         ,+                ,                  ,+                   ,                   ,                  ,                      ,                           ,                ,                    ,+                 ,+               ,+                       ,                   ,+                   ,+                ,                      ,                       ,+                  ,+                      ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 21. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 2,  94.00,    116.2400,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,                     ,+                        ,                   ,+                    ,+                       ,+                          ,+                  ,+                       ,                  ,+                      ,                  ,                    ,                     ,                ,                 ,                     ,+                     ,                 ,+                      ,+                    ,                    ,+                      ,                          ,                 ,                  ,+                   ,                   ,                  ,                      ,                           ,+               ,+                   ,+                 ,+               ,+                       ,VR                 ,+                   ,+                ,+                     ,+                      ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 22. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 2, 106.00,    116.3600,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,                     ,                         ,+                  ,+                    ,+                       ,+                          ,+                  ,+                       ,+                 ,                       ,                  ,                    ,+                    ,                ,+                ,                     ,+                     ,+                ,+                      ,+                    ,+                   ,                       ,+                         ,                 ,                  ,+                   ,+                  ,+                 ,+                     ,VR                         ,+               ,+                   ,+                 ,+               ,+                       ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 26. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 3,  25.00,    117.0500,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,+                        ,                   ,+                    ,+                       ,+                          ,                   ,                        ,+                 ,                       ,                  ,                    ,                     ,+               ,+                ,                     ,                      ,                 ,+                      ,                     ,                    ,+                      ,+                         ,+                ,+                 ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 13. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 3,  33.00,    117.1300,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,+                        ,                   ,+                    ,+                       ,+                          ,+                  ,+                       ,+                 ,                       ,                  ,+                   ,                     ,+               ,+                ,+                    ,+                     ,+                ,+                      ,+                    ,+                   ,+                      ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 18. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 3,  69.00,    117.4900,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,+                        ,                   ,+                    ,+                       ,+                          ,+                  ,                        ,                  ,                       ,                  ,+                   ,+                    ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 8. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 3, 105.00,    117.8500,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,                     ,+                        ,                   ,+                    ,+                       ,+                          ,+                  ,+                       ,+                 ,+                      ,+                 ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 9. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 3, 113.00,    117.9300,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,+                        ,+                  ,+                    ,+                       ,C                          ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 6. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 4, 109.00,    119.3900,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,+            ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms present. Paratethian ostracods present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 5,  13.00,    119.9300,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Fragments of Cyprideis pannonica. Dwarf forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 5,  79.00,    120.5900,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Dwarf forms present. Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 5, 103.00,    120.8300,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Dwarf forms present. Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 6,  24.00,    121.5400,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,R          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Terrigenous grains abundant. Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 7,  12.00,    122.9200,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 7,  29.00,    123.0900,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 1,  50.00,    123.8000,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms very rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 2,  21.00,    125.0100,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,A          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 2, 114.00,    125.9400,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,+          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 3,  40.00,    126.7000,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,R          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 4,  14.00,    127.9400,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,R          ,             ,                     ,                         ,                   ,                     ,                        ,                           ,                   ,                        ,                  ,                       ,                  ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,                     ,                    ,                       ,                          ,                 ,                  ,                    ,                   ,                  ,                      ,                           ,                ,                    ,                  ,                ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Pliocene forms very rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
