Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Morozovella conicotruncata,Acarinina pentacamerata,Planorotalites pseudomenardii,Morozovella aequa,Chiloguembelina sp.,Planorotalites imitata,Globigerina inaequispira,Chiloguembelina martini,Morozovella occlusa,Globigerina senni,Guembelitria columbiana,Pseudohastigerina wilcoxensis,Globigerina cryptomphala,Subbotina angiporoides,Globigerinella obesa,Turborotalia pomeroli,Turborotalia increbescens,Jenkinsella nana,Jenkinsella mayeri,Globigerina sellii,Globigerina ciperoensis,Globigerina binaiensis,Globigerina angulisuturalis,Fohsella kugleri,Comment
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 13,X, 3, 110.00,    117.0000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,.5%                    ,                   ,                 ,.4%                    ,2.1%                         ,1.6%                    ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 14,X, 3, 110.00,    126.7000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,.4%                ,                      ,                        ,.5%                    ,                   ,                 ,.4%                    ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 14,X,CC,  25.00,    129.1600,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,3.2%             ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 17,X, 3, 110.00,    155.8000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,.5%                    ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 18,X,CC,  33.00,    164.1100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,1.6%               ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 19,X,CC,  43.00,    177.2500,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,1.1%                  ,                        ,.5%                    ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 21,X, 1, 110.00,    191.5000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,.4%                ,1.1%                  ,2.1%                    ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,Middle Eocene    ,                  ,              ,121, 752,A, 21,X,CC,  28.00,    193.3300,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,.4%                ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,121, 752,A, 22,X,CC,  40.00,    205.7500,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,1.2%                         ,1.2%             ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,121, 752,A, 27,X,CC,  16.00,    253.9300,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,6.7%                   ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,121, 752,A, 30,X, 1, 133.00,    278.7300,van Eijden,Planktonic Foraminifers                      ,               ,                  ,25.0%                     ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
