Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Tritaxia paleocenica,Stensioina beccariiformis,Spiroplectammina spp.,Saccammina ? sp.,Quadrimorphina allomorphinoides,Pullenia cretacea,Pullenia coryelli,Pullenia americana,Praebulimina spp.,Orthomorphina ? sp.,Orthomorphina spp.,Oridorsalis sp. 1,Nodosaria vertebralis,Nodosaria spp.,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Lagena spp.,Gyroidinoides spp.,Gyroidinoides planulatus,Gyroidina soldanii,Guttulina sp.,Guttulina problema,Guttulina cf. trigonula,Globulina gibba,Gaudryina cf. laevigata,Frondicularia spp.,Ellipsoidella spp.,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides hyphalus,Astacolus spp.,Anomalinoides semicribratus,Anomalinoides capitatus/danicus,Alabamina creta,Saracenaria spp.,Pullenia reussi,Oolina spp.,Cibicidoides velascoensis,Cibicidoides cf. pseudoperlucidus,Bulimina trinitatensis,Anomalina praeacuta,Ammodiscus sp.,Allomorphina sp.,Tritaxia ? sp.,Ramulina globulifera,Vaginulina spp.,Pleurostomella spp.,Oridorsalis sp.,Gaudryina sp.,Tritaxia cf. globulifera,Pyramidina sp.,Pleurostomella alternans,Oridorsalis umbonatus,Ammodiscus glabratus,Nodosaria soluta,Nodosarella spp.,Cibicidoides spp.,Bulimina triangularis,Bulimina sp.,Vulvulina mexicana,Tritaxia globulifera,Stilostomella gracillima,Nuttallides truempyi,Gyroidinoides globulosus,Gaudryina pyramidata,Sphaeroidina sp.,Nonion havanensis,Clavulina spp.,Bathysiphon sp. ,Spiroplectammina spectabilis,Pyramidina rudita,Nuttallinella cf. florealis,Dorothia spp.,Stilostomella spp.,Pseudonodosaria sp.,Lenticulina callifera,Karreriella ? sp.,Dorothia trochoides,Remesella varians,Massilina sp.,Gyroidinoides cf. quadratus,Cribrostomoides? sp.,Nonionella unspecified taxon,Neoflabellina reticulata,Osangularia velascoensis,Eggerella sp.,Bulimina tuxpamensis,Anomalinoides spp.,Nuttallinella florealis,Nonion spp.,Dorothia beloides,Bolivina ? sp.,Cibicidoides sp. 6,Pullenia quadriloba,Cibicidoides sp. 12,Lenticulina occidentalis,Gyroidinoides cf. globulosus,Nodosaria gracillima,Buliminella grata,Planulina spp.,Lenticulina chambersi,Lenticulina caroliniana,Glabratella sp.,Gaudryina cf. pyramidata,Bolivinoides delicatulus,Pullenia quinqueloba,Pullenia eocaenica,Pleurostomella acuta,Orthomorphina heterosculpta,Gyroidina orbicularis,Cibicidoides sp. 8,Cibicidoides sp. 13,Cibicidoides sp. 11,Cibicidoides grimsdalei,Cibicidoides cf. velascoensis,Bulimina jarvisi,Alabamina sp.,Pullenia spp.,Pleurostomella acuminata,Planulina sp. 1,Lenticulina convergens,Gravellina sp.,Anomalinoides spissiformis,Osangularia mexicana,Orthomorphina challengeriana,Bulimina macilenta,Turrilina brevispira,Ellipsoidina sp.,Bulimina bradburyi,Bolivinoides sp.,Pullenia subcarinata,Lenticulina alato-limbata,Alabamina sp. 1,Lenticulina occidentalis torridus,Hemicristellaria sp.,Cibicidoides subspiratus,Cibicidoides eocaenus,Neoeponides sp. 1,Lenticulina pseudovortex,Cibicidoides sp. 10,Aragonia aragonensis,Alabamina dissonata,Globocassidulina globosa (s.l.),Trifarina wilcoxensis,Orthomorphina annulifera,Hemicristellaria fragaria,Bulimina impendens,Pyrulina sp.,Tritaxia amorpha,Heronallenia sp.,Buliminella sp.,Bulimina alazanensis,Osangularia sp. 1,Hanzawaia ammophila,Ehrenbergina sp.,Cibicidoides laurisae,Cibicidina walli,Cibicides spp.,Vulvulina spinosa,Planulina costata,Baggina ? sp.,Uvigerina sp. 1,Stomatorbina sp.,Stilostomella aculeata,Hanzawaia sp. 1,Fissurina spp.,Cibicidoides truncanus,Cibicidoides sp. 3,Uvigerina spp.,Stilostomella lepidula,Quadrimorphina sp.,Pullenia osloensis,Orthomorphina havanensis,Cibicidoides sp. 1,Cibicidoides havanensis,Bulimina callahani,Amphistegina sp.,Uvigerina resurgens,Uvigerina finelineata,Orthomorphina antillea,Nodosaria hispida,Lenticulina lucidus,Karreriella subglabra,Globocassidulina sp. 1,Cibicidoides bradyi,Bulimina mexicana,Astrononion sp.,Rectuvigerina ? unspecified taxon,Quinqueloculina sp.,Pullenia bulloides,Planulina renzi,Orthomorphina modesta,Nodosaria pyrula,Lenticulina rotulata,Lenticulina nuttalli,Laticarinina pauperata,Globocassidulina sp. 2,Cibicidoides mundulus,Bolivina cf. thalmanni,Bolivina cf. silvestrina,Astrononion stelligerum,Uvigerina cf. mantaensis,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella rimosa,Pleurostomella brevis,Plectofrondicularia parri,Dyocibicides perforatus,Cibicides lobatulus,Anomalinoides grosserugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 21,X, 1,  70.00,    191.1000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,41                       ,                     ,                ,                               ,                 ,11               ,1                 ,34               ,                   ,                  ,6                ,                     ,1             ,                ,                  ,9               ,2          ,                  ,                        ,5                 ,2            ,1                 ,                       ,               ,1                      ,                  ,                  ,8             ,                        ,23                   ,3             ,3                          ,22                             ,3              ,2               ,               ,           ,16                       ,49                               ,15                    ,6                  ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,2             ,                        ,16                   ,                    ,                ,                ,1                ,                     ,            ,                  ,                    ,                        ,                    ,                        ,4                   ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,5          ,                 ,              ,                  ,                   ,                   ,                        ,5                           ,                    ,                 ,1             ,4                    ,4                      ,1              ,3                       ,1                       ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 309 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 22,X, 1,  70.00,    200.8000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,21                       ,                     ,                ,                               ,                 ,2                ,                  ,33               ,                   ,                  ,6                ,                     ,5             ,                ,                  ,11              ,           ,                  ,                        ,4                 ,4            ,                  ,1                      ,               ,                       ,1                 ,                  ,              ,1                       ,16                   ,              ,12                         ,                               ,               ,                ,               ,           ,8                        ,23                               ,                      ,3                  ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,                     ,                    ,                ,                ,                 ,                     ,            ,                  ,                    ,                        ,5                   ,                        ,6                   ,                ,1                ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,           ,                 ,              ,1                 ,                   ,                   ,                        ,2                           ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 165 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 22,X, 3,  70.00,    203.8000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,25                       ,                     ,                ,1                              ,                 ,2                ,4                 ,21               ,                   ,                  ,1                ,                     ,3             ,                ,                  ,9               ,           ,                  ,2                       ,1                 ,             ,                  ,1                      ,               ,                       ,                  ,                  ,1             ,                        ,5                    ,              ,5                          ,5                              ,               ,1               ,               ,1          ,6                        ,10                               ,                      ,2                  ,              ,                ,              ,1                   ,               ,                   ,               ,             ,                        ,              ,                        ,1                    ,                    ,                ,                ,                 ,                     ,            ,                  ,                    ,                        ,2                   ,                        ,1                   ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,           ,                 ,              ,                  ,                   ,                   ,                        ,3                           ,1                   ,1                ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 117 miscellaneous species 2 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 23,X, 1,  54.00,    210.3400,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,26                       ,                     ,                ,                               ,                 ,16               ,2                 ,17               ,                   ,                  ,                 ,1                    ,              ,                ,                  ,14              ,1          ,                  ,                        ,1                 ,             ,                  ,                       ,               ,                       ,1                 ,                  ,1             ,                        ,10                   ,1             ,1                          ,18                             ,1              ,1               ,               ,           ,7                        ,19                               ,4                     ,2                  ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,                     ,                    ,                ,                ,                 ,                     ,1           ,                  ,                    ,                        ,31                  ,                        ,1                   ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,5                    ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,5          ,                 ,              ,                  ,                   ,                   ,2                       ,8                           ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 200 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 24,X, 1,  70.00,    220.2000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,53                       ,1                    ,                ,                               ,                 ,11               ,1                 ,2                ,                   ,                  ,2                ,                     ,1             ,                ,2                 ,8               ,           ,                  ,3                       ,4                 ,6            ,                  ,                       ,               ,                       ,                  ,                  ,              ,3                       ,5                    ,              ,2                          ,2                              ,1              ,2               ,               ,           ,2                        ,12                               ,5                     ,2                  ,              ,                ,2             ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,1                    ,                    ,1               ,                ,                 ,                     ,2           ,                  ,                    ,1                       ,1                   ,                        ,                    ,                ,2                ,              ,                ,1                           ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,1            ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,           ,                 ,              ,                  ,1                  ,1                  ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 143 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 25,X, 1,  79.00,    229.8900,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,                    ,65                       ,                     ,                ,                               ,                 ,4                ,2                 ,1                ,                   ,                  ,                 ,                     ,              ,                ,3                 ,2               ,1          ,                  ,3                       ,1                 ,11           ,                  ,                       ,               ,                       ,                  ,                  ,2             ,3                       ,26                   ,              ,10                         ,                               ,4              ,                ,               ,           ,                         ,6                                ,15                    ,2                  ,              ,                ,1             ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,                     ,                    ,1               ,1               ,1                ,                     ,            ,1                 ,                    ,                        ,11                  ,                        ,                    ,                ,4                ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,2                       ,             ,                    ,                  ,                       ,           ,                 ,              ,2                 ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 182 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 25,X, 3,  79.00,    232.8900,Nomura   ,Benthic Foraminifers                         ,               ,                  ,2                ,                    ,21                       ,1                    ,                ,                               ,                 ,4                ,1                 ,10               ,                   ,                  ,                 ,                     ,1             ,                ,4                 ,7               ,           ,                  ,                        ,                  ,8            ,                  ,                       ,               ,1                      ,                  ,                  ,1             ,                        ,4                    ,              ,4                          ,                               ,               ,                ,               ,           ,                         ,4                                ,14                    ,4                  ,              ,                ,1             ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,                     ,                    ,                ,                ,1                ,                     ,            ,                  ,                    ,                        ,1                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,3            ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,                       ,           ,1                ,              ,                  ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 97 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 26,X, 1,  97.00,    239.7700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,28                  ,39                       ,                     ,                ,                               ,                 ,9                ,2                 ,11               ,                   ,                  ,2                ,                     ,3             ,                ,7                 ,7               ,           ,                  ,8                       ,                  ,11           ,1                 ,                       ,               ,1                      ,                  ,                  ,1             ,7                       ,38                   ,3             ,12                         ,11                             ,1              ,4               ,               ,2          ,2                        ,31                               ,23                    ,9                  ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,                     ,                    ,                ,1               ,                 ,                     ,            ,                  ,                    ,                        ,13                  ,                        ,3                   ,                ,                 ,              ,                ,5                           ,                 ,                           ,             ,2                 ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,3                       ,             ,                    ,                  ,                       ,1          ,2                ,1             ,                  ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 310 miscellaneous species 3 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 26,X, 5,  97.00,    245.7700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,8                        ,                     ,                ,                               ,                 ,5                ,1                 ,6                ,                   ,                  ,9                ,                     ,3             ,                ,4                 ,1               ,           ,2                 ,6                       ,4                 ,11           ,2                 ,                       ,2              ,                       ,                  ,                  ,4             ,4                       ,13                   ,3             ,12                         ,1                              ,               ,1               ,               ,           ,                         ,21                               ,30                    ,7                  ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,1                    ,                    ,                ,                ,                 ,                     ,            ,                  ,7                   ,4                       ,                    ,                        ,                    ,                ,                 ,              ,                ,3                           ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,                    ,                  ,1                      ,1          ,4                ,              ,                  ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 183 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
