Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data
354-U1453A-13F-CC-PAL-FORAM-FORAM(>150),0,10,71.9,72,,,,,,,,,VR [101],G [P38],L [F02],77,1,,,,R [A102],,,,,,,R [A102],,,,,,,,R [A102],R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-14F-CC-PAL,0,5,76.8,76.85,,,,,,,,,C [A101],M [P38],M [F02],,2,,,,,,,,,R [A102],,F [A102],,R [A102],,R [A102],R [A102],,F [A102],,F [A102],A [A102],A [A102],,,R [A102],R [A102],,,,,,,,,,,,R [A102],,,,,,,,R [A102],,,,,R [A102],,,,C [A102],,R [A102],,,,,R [A102],,,,,,,,,,,,,
354-U1453A-15F-CC-PAL-FORAM,0,5,80.99,81.04,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-16F-CC-PAL,0,7,85.99,86.06,,,,,,,,,F [A101],G [P38],L [F02],,1,,,,,,,,,,,,,R [A102],R [A102],,,,,,R [A102],,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,F [A102],,,,,R [A102],,,R [A102],,,,,,present [A79],,,,
354-U1453A-17F-CC-PAL-FORAM,0,5,90.93,90.98,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-18F-CC-PAL-FORAM,0,9,94.57,94.66,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-19F-CC-PAL-FORAM,0,5,100.39,100.44,,,,,,,,,VR [101],M [P38],L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-20F-CC-PAL-FORAM,0,6,104.06,104.12,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-21F-CC-PAL-FORAM,0,8,108.7,108.78,,,,,,,,,R [A101],M [P38],L [F02],98,1,,,,,,,,,,,R [A102],,,R [A102],,,,,R [A102],,C [A102],,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,R [A102],,,,,,,R [A102],,,,,,,,,,,,,
354-U1453A-22F-CC-PAL-FORAM,0,7,113.68,113.75,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-23F-CC-PAL-FORAM,0,5,119.13,119.18,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],G [P38],L [F02],100,1,,,,,,,,,R [A102],,,,R [A102],,,,,,R [A102],,R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,R [A102],,R [A102],,,,,,,,,R [A102],,,,,,,F [A102],,,,,,,,,,,,,
354-U1453A-24F-CC-PAL-FORAM-FORAM(>63),0,5,123.21,123.26,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-25F-CC-PAL-FORAM-FORAM(63-150),0,5,127.42,127.47,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-26F-CC-PAL,0,5,132.2,132.25,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-27F-CC-PAL,0,5,137.32,137.37,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-28F-CC-PAL-FORAM,0,5,142.27,142.32,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-29H-7-PAL,0,5,148.98,149.03,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],M [P38],S [F02],90,3,,,tiny bugs,,,,,,R [A102],,,,R [A102],,,,,,C [A102],,C [A102],,,,,,,,,,,,,,,,,,,,,,,R [A102],R [A102],,,,,,,,,,A [A102],,,,,,,A [A102],,,,,,,,,,,,,
354-U1453A-30F-CC-PAL,0,5,154.14,154.19,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],M [P38],VS [F02],95,4,,,lots of rads,,,,,,,,,,,,R [A102],,,,F [A102],,C [A102],R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,R [A102],,C [A102],R [A102],,,,,,,,F [A102],,R [A102],,,,,A [A102],,,F [A102],,,,,,,,,,
354-U1453A-31F-CC-PAL-FORAM,0,10,158.74,158.84,,,,,,,,,A [A101],M [P38],S [F02],,3,,,,,,,,,,,,,R [A102],,,,,,,,,C [A102],,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,F [A102],,,,,,,C [A102],,,F [A102],,,,,,,,,,
354-U1453A-32F-CC-PAL,0,4,160.29,160.33,,,,,,,,,VR [101],M [P38],M [F02],93,2,,,,,,,,,,,,,,,,,,,,F [A102],,F [A102],,,,,,,,,,,,,,,,R [A102],,,,,,,,R [A102],,,,,,,,,C [A102],,,,,,,R [A102],,,,,,,,,,,,,
354-U1453A-33F-CC-PAL,0,5,168.18,168.23,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent [A79],absent [A79],,,
354-U1453A-36F-CC-PAL-FORAM,0,5,182.29,182.34,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-38F-CC-PAL-FORAM,0,5,189.3,189.35,,,,,,,,,VR [101],G [P38],,100,,,,only 3 planktics,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-40F-CC-PAL,0,5,201.53,201.58,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F [A101],G [P38],L [F02],95,1,,,,,,,,,,,,,R [A102],,,,,,,R [A102],C [A102],C [A102],,,,R [A102],,,,,,,,,,,,,,,,,,R [A102],,R [A102],,,,,,,,,F [A102],,F [A102],,,,,R [A102],,,R [A102],,,,,,present [A79],absent [A79],,,
354-U1453A-42F-CC-PAL-FORAM,0,5,210.42,210.47,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],VG [P38],L [F02],100,1,,,G.uvula R,R [A102],,,,,,,,,,C [A102],R [A102],,,,F [A102],,C [A102],R [A102],,,,R [A102],,,,,,,,,,,,,,,,,,R [A102],,F [A102],R [A102],,,,,,,,C [A102],,R [A102],,,,,C [A102],,,R [A102],,,,,,,,,,
