Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp. ,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa ,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1506A-12R-CC-PAL-OSTRA,0,10,107.61,107.71,5.3,5,,,,,3,,,,5,,,,14,,,,,3,,,,,,,371,U1506,A,12,R,CC,PAL,OSTRA
371-U1506A-13R-CC-PAL-OSTRA,0,10,116.72,116.82,4.8,5,,2,,,1,,,,4,,,,16,,,,,1,,,,,,,371,U1506,A,13,R,CC,PAL,OSTRA
371-U1506A-14R-CC-PAL-OSTRA,0,10,127.2,127.3,13.4,5,,1,,,4,,,,4,,,,30,,,,,20,,,,,,,371,U1506,A,14,R,CC,PAL,OSTRA
371-U1506A-15R-CC-PAL-OSTRA,0,10,129.34,129.44,5.8,5,,2,,,2,,,,2,,,,9,,,,,8,,,,,,,371,U1506,A,15,R,CC,PAL,OSTRA
371-U1506A-16R-CC-PAL-OSTRA,0,10,146.01,146.11,9,5,,,,,2,,,,,,,,21,,,,,7,,,,,,,371,U1506,A,16,R,CC,PAL,OSTRA
371-U1506A-17R-CC-PAL-OSTRA,0,9,154.92,155.01,9.6,5,,,,,2,,,,3,,,,33,,,,,6,,,,,,,371,U1506,A,17,R,CC,PAL,OSTRA
371-U1506A-18R-CC-PAL-OSTRA,0,10,164.83,164.93,10.4,5,,1,,,5,,,,5,,,,18,,,,,19,,,,,,,371,U1506,A,18,R,CC,PAL,OSTRA
371-U1506A-19R-CC-PAL-OSTRA,0,10,173.95,174.05,10.4,5,,,,,5,,,,8,,,,29,,,,,11,,,,,,,371,U1506,A,19,R,CC,PAL,OSTRA
371-U1506A-20R-CC-PAL-OSTRA,0,8,184.16,184.24,6.8,5,,3,,,2,,,,3,,,,16,,,,,7,,,,,,,371,U1506,A,20,R,CC,PAL,OSTRA
371-U1506A-21R-CC-PAL-OSTRA,0,10,193.32,193.42,4.4,6,,,,,1,,,,4,,,,9,,,,,4,,,,,,,371,U1506,A,21,R,CC,PAL,OSTRA
371-U1506A-22R-CC-PAL-OSTRA,0,10,203.52,203.62,6.8,5,,1,,,1,,,,1,,,,13,,,,,9,,,,,,,371,U1506,A,22,R,CC,PAL,OSTRA
371-U1506A-23R-CC-PAL-OSTRA,0,10,210.76,210.86,2.4,6,,,,,2,,,,1,,,,6,,,,,3,,,,,,,371,U1506,A,23,R,CC,PAL,OSTRA
371-U1506A-24R-CC-PAL-OSTRA,0,10,223.23,223.33,3.2,6,,,,,1,,,,2,,,,9,,,,,5,,,,,,,371,U1506,A,24,R,CC,PAL,OSTRA
371-U1506A-25R-CC-PAL-OSTRA,0,6,233.5,233.56,1.2,6,,,,,1,,,1,2,,,,2,,,,,4,,,,,,,371,U1506,A,25,R,CC,PAL,OSTRA
371-U1506A-26R-CC-PAL-OSTRA,0,10,240.05,240.15,2.2,5,,,,,1,,,,,,,,3,,,,,5,,,,,,,371,U1506,A,26,R,CC,PAL,OSTRA
371-U1506A-27R-CC-PAL-OSTRA,0,10,253.32,253.42,2.1,6,,,,,3,,,,3,,,,10,,,,,9,,,,,,,371,U1506,A,27,R,CC,PAL,OSTRA
371-U1506A-28R-2-W 74/76-OSTRA,0,2,255.74,255.76,1.2,6,,,,,2,,,3,4,,,,27,,,,,13,,,,,,,371,U1506,A,28,R,2,W,74/76-OSTRA
371-U1506A-28R-4-W 72/73-OSTRA,0,1,258.72,258.73,1.5,6,,1,,,1,,,,,,,,5,,,,,,,,,,,,371,U1506,A,28,R,4,W,72/73-OSTRA
371-U1506A-28R-CC-PAL-OSTRA,0,5,261.9,261.95,4.8,6,,,,,,,,,,,,,1,,,,,1,,,,,,,371,U1506,A,28,R,CC,PAL,OSTRA
371-U1506A-29R-2-W 78/84-OSTRA,0,6,264.44,264.5,5.2,7,,2,,,4,1,8,2,1,,,,,,2,,,2,,,,,,,371,U1506,A,29,R,2,W,78/84-OSTRA
371-U1506A-29R-2-W 88/91-OSTRA,0,3,264.54,264.57,8.3,7,,13,,,3,5,9,31,,,,35,10,,,,,,,,3,,,,371,U1506,A,29,R,2,W,88/91-OSTRA
