Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1520D-19F-CC-PAL-FORAM,0,10,169.36,169.46,G,D,,,,,C,,,F,,,F,,,,F,,,,,F,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,F,1,5,,,,,,,,,,,,,,,,C,5,27,,,,,,,,,,,,,,375,U1520,D,19,F,CC,P
375-U1520D-21F-CC-PAL-FORAM,0,10,180.14,180.24,G,A,,,,,C,,,F,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,0,2,,,,,,,,,,,F,0,6,,,F,13,6,,,,,,,,,,,,,,375,U1520,D,21,F,CC,P
375-U1520D-23F-CC-PAL-FORAM,0,10,189.58,189.68,G,A,,,,,A,,,F,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,5,41,,F,,,,,,,,,,,,375,U1520,D,23,F,CC,P
375-U1520D-25F-CC-PAL-FORAM,0,10,224.98,225.08,G,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,5,0,5,,,,,,,,,,,,,,375,U1520,D,25,F,CC,P
375-U1520D-28F-1-PAL(144-154)-FORAM,0,10,235.54,235.64,G,F,,,,,A,,,F,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,(F),,,,375,U1520,D,28,F,1,P
375-U1520D-30F-CC-PAL-FORAM,0,10,248.43,248.53,G,D,,,,,A,,,F,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,3,53,,F,,,,,,,,,,,,375,U1520,D,30,F,CC,P
375-U1520D-33X-CC-PAL-FORAM,0,10,270.32,270.42,G,C,,,,,C,,,R,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,5,24,,,,,,,,,,(R),,,,375,U1520,D,33,X,CC,P
375-U1520D-35X-CC-PAL-FORAM,0,10,376.22,376.32,G,A,,,,,C,,,R,,,F,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,,,,,,A,,,,F,,,,,R,,,R,,,,,,,,,F,0,14,,,,,,,,,,F,F,0,7,,,F,21,2,,,,,,,,,,,,,,375,U1520,D,35,X,CC,P
375-U1520D-38X-CC-PAL-FORAM,0,10,399.29,399.39,G,C,,,,,C,,,F,,,R,,,,,,,,,R,X,X,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,F,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,18,2,,,,,,,,,,,,,,375,U1520,D,38,X,CC,P
375-U1520D-40X-CC-PAL-FORAM,0,10,415.54,415.64,G,D,,,,,A,,,F,,,R,,,,,,,,,C,X,R,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,A,R,,,R,,,,,A,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,22,3,,,,,,,,,,,,,,375,U1520,D,40,X,CC,P
375-U1520D-41X-CC-PAL-FORAM,0,10,422.59,422.69,G,D,,,,,F,,,A,,,,,,,F,,,,,A,X,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,F,0,20,,,,,,,,,,,,,,375,U1520,D,41,X,CC,P
375-U1520D-42X-CC-PAL-FORAM,0,10,429.81,429.91,G,A,,,,,C,,,F,,,,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,1,2,,,C,11,2,,,,,,,,,,,,,,375,U1520,D,42,X,CC,P
375-U1520D-44X-CC-PAL-FORAM,0,10,446.84,446.94,G,D,,R,,,A,,,F,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,1,18,,,,,,,,,,,,,,375,U1520,D,44,X,CC,P
375-U1520D-45X-CC-PAL-FORAM,0,10,453.53,453.63,G,C,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,R,9,1,,,,,,,,,,,,,,375,U1520,D,45,X,CC,P
375-U1520D-46X-CC-PAL-FORAM,0,10,464.95,465.05,g,C,,,,,C,,,R,,,,,,,R,,,,,R,,,,,,,,A,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,F,0,10,,R,,,,,,,,,,,,375,U1520,D,46,X,CC,P
375-U1520D-47X-CC-PAL(18-28)-FORAM,0,10,477.23,477.33,G,A,,,,,F,,,R,,,,,,,,,,,R,R,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,0,1,,,,,,,,,,(R),,,,375,U1520,D,47,X,CC,P
375-U1520D-49X-CC-PAL-FORAM,0,10,494.8,494.9,G-M,A,,,,,A,,,R,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,R,3,0,,,,,,,,,,,,,,375,U1520,D,49,X,CC,P
375-U1520D-51X-CC-PAL-FORAM,0,5,511.84,511.89,G,D,,,,,X,,,,,,,(R),,,,,,(X),,R,X,,,,,,,A,,,,,(R),,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,(R),3,2,F,R,,,,(R),R,7,2,,,,,,,,,,(R),,,,375,U1520,D,51,X,CC,P
375-U1520D-52X-CC-PAL-FORAM,0,10,525.49,525.59,G,D,,,,,A,,,,,,,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,1,0,,,,,,,,,,(R),,,,375,U1520,D,52,X,CC,P
375-U1520D-53X-CC-PAL-FORAM,0,10,532.17,532.27,G,F,,,,,X,,,,,,,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,(C),29,0,F,R,,,,,R,5,0,,,,,,,,,,(R),,,,375,U1520,D,53,X,CC,P
375-U1520D-54X-CC-PAL-FORAM,0,10,537.11,537.21,G,D,,,,,C,,,R,,,,,,,,,R,,,R,,,,,,,,A,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,38,0,F,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,54,X,CC,P
375-U1520D-55X-CC-PAL-FORAM,0,10,543.45,543.55,G,A,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,20,27,R,,,,,R,,,,,,,,,,,,,,,,,375,U1520,D,55,X,CC,P
375-U1520D-56X-CC-PAL-FORAM,0,10,548.88,548.98,G-M,F,,,,,,,,,,,,,,,,,,,R,R,,,,R,,,,A,,,,,,,,R,R,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,4,0,F,0,5,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,56,X,CC,P
375-U1520D-58X-CC-PAL-FORAM,0,5,569.75,569.8,G-M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,0,1,,,R,0,3,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,58,X,CC,P
375-U1520D-59X-CC-PAL-FORAM,0,3,577.32,577.35,G,F,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,8,,,,,,,,,,,,,,,,,,,F,,,,375,U1520,D,59,X,CC,P
375-U1520D-60X-CC-PAL-FORAM,0,10,587.74,587.84,M,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,C,,(A),,,R,R,,,,,R,,,,(C),,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(A),,,C,,,,375,U1520,D,60,X,CC,P
375-U1520D-63X-CC-PAL-FORAM,0,11,609.71,609.82,M-P,R,,,,,R,,,,,,,,,,,,,,R,,,,,,,,C,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,375,U1520,D,63,X,CC,P
375-U1520D-64X-CC-PAL-FORAM,0,10,619.44,619.54,G-M,D,,,,,C,,,,,,,,,,R,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,375,U1520,D,64,X,CC,P
375-U1520D-65X-CC-PAL-FORAM,0,5,622.95,623.0,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,375,U1520,D,65,X,CC,P
375-U1520D-66X-CC-PAL-FORAM,0,5,631.48,631.53,M,D,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,375,U1520,D,66,X,CC,P
375-U1520D-67X-CC-PAL-FORAM,0,5,635.92,635.97,M,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,375,U1520,D,67,X,CC,P
