Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1433B-16R-CC-PAL-NANNO,0,5,328.43,328.48,,M [P33],A,F [A89],R [A89],,,,,,,,,,,C [A89],,,,,,,,,,,C [A89],,,R [A89],R [A89],R [A89],,,,D,F [A89],R [A89],,,R [A89],,C [A89],,F [A89],,R [A89],R [A89],,R [A89],,F [A89],,,Frequent reworked Miocene fossils,,,349,U1433,B,16,R,CC,P
349-U1433B-17R-CC-PAL-NANNO,0,6,338.3,338.36,,M [P33],A [A12],R [A89],R [A89],,,,,,,,,,,C [A89],,,,,,,,,,,C [A89],,,R [A89],,F [A89],,,R [A89],A [A89],F [A89],F [A89],,,,,C [A89],,F [A89],,R [A89],,,,,F [A89],,R [A89],Medium to good preservation,,,349,U1433,B,17,R,CC,P
349-U1433B-18R-CC-PAL-NANNO,0,5,345.76,345.81,,M [P33],D,,F [A89],,,,,,,R [A89],,,,C [A89],,,,,,,,,,,C [A89],,,R [A89],R [A89],F [A89],,R [A89],R [A89],A [A89],C [A89],R [A89],,,,,C [A89],,C [A89],,R [A89],,,,,C [A89],,F [A89],Medium to good preservation,,,349,U1433,B,18,R,CC,P
349-U1433B-19R-CC-PAL-NANNO,0,5,355.91,355.96,,M [P33],A [A12],F,F [A89],,,R [A89],,,R [A89],R [A89],,F [A89],,C [A89],,,,,,,,,,,C [A89],,,F [A89],F [A89],F [A89],,,F [A89],C [A89],F [A89],R [A89],,,F [A89],C [A89],C [A89],,F [A89],F [A89],C [A89],,,F [A89],C [A89],F [A89],,,Nannofossil ooze with common reworked Miocene fossils,,,349,U1433,B,19,R,CC,P
349-U1433B-20R-CC-PAL-NANNO,0,5,367.31,367.36,,M [P33],R [A12],,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,R [A89],,,,,,,,,,,,Almost barren of nannofossils,,,349,U1433,B,20,R,CC,P
349-U1433B-21R-CC-PAL-NANNO,0,5,377.54,377.59,NN16 [G12],M [P33],A [A12],C [A89],F [A89],,,,,,,R [A89],,,,C [A89],,,,,,,,,,,C [A89],,,,F [A89],F [A89],,R [A89],R [A89],A [A89],C [A89],C [A89],,,F [A89],,C [A89],,F [A89],,F [A89],,,,R [A89],F [A89],,,,,,349,U1433,B,21,R,CC,P
349-U1433B-22R-CC-PAL-NANNO,0,5,383.07,383.12,,M [P33],A [A12],F [A89],F [A89],,,,,F [A89],,,,,,C [A89],,,,,,,,,,,C [A89],,,C [A89],F [A89],F [A89],,,R [A89],F [A89],,,,,,C [A89],C [A89],,,,C [A89],,,F [A89],F [A89],,,,Nannofossil ooze with common reworked Miocene fossils,,,349,U1433,B,22,R,CC,P
349-U1433B-23R-CC-PAL-NANNO,0,5,393.59,393.64,,M [P33],R [A12],,R [A89],,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,349,U1433,B,23,R,CC,P
349-U1433B-24R-CC-PAL-NANNO,0,5,404.18,404.23,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,24,R,CC,P
349-U1433B-25R-CC-PAL-NANNO,0,5,415.69,415.74,,M [P33],A [A12],,F [A89],,,,,F [A89],,,,C [A89],,C [A89],,,,,,,,,,,C [A89],,,,,,,,,,,,,,,C [A89],C [A89],,,,A [A89],,,,,,,,,,,349,U1433,B,25,R,CC,P
349-U1433B-26R-CC-PAL-NANNO,0,12,424.82,424.94,,M [P33],A [A12],,R [A89],,,,,F [A89],,R [A89],,,,C [A89],,,,,,,,,,,C [A89],,,R [A89],,R [A89],,,,,,,,,,C [A89],F [A89],,,,C [A89],,,,,,,,,,,349,U1433,B,26,R,CC,P
349-U1433B-27R-CC-PAL-NANNO,0,12,431.91,432.03,,P [P33],A [A12],,,,,,,C [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A89],C [A89],,,,A [A89],,,R [A89],,,,,Discoasters are heavily overgrown,,,349,U1433,B,27,R,CC,P
349-U1433B-28R-CC-PAL-NANNO,0,12,441.87,441.99,NN13 [G12],M [P33],A [A12],,F [A89],,,,,C [A89],,,,F [A89],,C [A89],,,,,,,,,,,F [A89],,,,,F [A89],,,,,,,,,,C [A89],C [A89],,,,C [A89],,,R [A89],,,,,,,,349,U1433,B,28,R,CC,P
349-U1433B-29R-CC-PAL-NANNO,0,12,453.36,453.48,NN12 [G12],M [P33],A [A12],,F [A89],,R [A89],,,C [A89],,C [A89],,,,C [A89],,,,,,,,,,,F [A89],,,C [A89],,F [A89],,,,,,,,,,F [A89],C [A89],,,,A [A89],,,R [A89],,,R [A89],,,,,349,U1433,B,29,R,CC,P
349-U1433B-30R-CC-PAL-NANNO,0,10,463.43,463.53,NN12 [G12],M [P33],A [A12],,F [A89],,,,,C [A89],,C [A89],,,,C [A89],,,,,,,,,,,F [A89],,,F [A89],,,,,,,,,,,,F [A89],C [A89],,,,A [A89],,,,,,R [A89],,,,,349,U1433,B,30,R,CC,P
349-U1433B-31R-CC-PAL-NANNO,0,12,474.31,474.43,NN12 [G12],M [P33],A [A12],,F [A89],,,,,C [A89],,C [A89],,,,F [A89],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,F [A89],A [A89],,,,A [A89],,,,,,R [A89],,,,,349,U1433,B,31,R,CC,P
349-U1433B-32R-CC-PAL-NANNO,0,13,482.79,482.92,NN12 [G12],P [P33],A [A12],,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,F [A89],C [A89],,,,A [A89],,,,,,R [A89],,Discoasters are heavily overgrown; abundant ascidian spicules,,,349,U1433,B,32,R,CC,P
349-U1433B-33R-CC-PAL-NANNO,0,11,491.59,491.7,NN12 [G12],M [P33],A [A12],F [A89],F [A89],,,,,,,,,F [A89],,F [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],R [A89],,,F [A89],F [A89],,,,,,F [A89],C [A89],,,F [A89],A [A89],,,R [A89],,,,,Nannofossil ooze with common reworked Miocene fossils; ascidian spicules present,,,349,U1433,B,33,R,CC,P
349-U1433B-34R-CC-PAL-NANNO,0,11,499.3,499.41,,M [P33],A [A12],F [A89],F [A89],,,,,,,R [A89],,F [A89],,F [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],F [A89],,,F [A89],C [A89],F [A89],F [A89],,R [A89],,F [A89],C [A89],,R [A89],,C [A89],,,,,,R [A89],,,,,349,U1433,B,34,R,CC,P
349-U1433B-35R-CC-PAL-NANNO,0,7,510.44,510.51,,M [P33],A [A12],F [A89],F [A89],,,,,,,,,F [A89],,,,,,,,,,,,,C [A89],,,C [A89],,F [A89],,R [A89],F [A89],C [A89],C [A89],,,,R [A89],C [A89],C [A89],,,R [A89],C [A89],,,,F [A89],R [A89],R [A89],,Nannofossil ooze with common reworked Miocene fossils,,,349,U1433,B,35,R,CC,P
349-U1433B-36R-CC-PAL-NANNO,0,7,520.74,520.81,,M [P33],A [A12],F [A89],F [A89],,,R [A89],,,,R [A89],,R [A89],,F [A89],,,,,,,,,,R [A89],C [A89],,,C [A89],C [A89],F [A89],,R [A89],R [A89],C [A89],C [A89],R [A89],,R [A89],,F [A89],A [A89],,,,C [A89],,,,R [A89],,R [A89],,Medium to good preservation,,,349,U1433,B,36,R,CC,P
349-U1433B-37R-CC-PAL-NANNO,0,8,530.51,530.59,,G [P33],A [A12],F [A89],F [A89],,,F [A89],,,,R [A89],,C [A89],,F [A89],,,,,,R [A89],,,,,C [A89],,,C [A89],C [A89],F [A89],,,R [A89],C [A89],F [A89],,,,,F [A89],C [A89],,R [A89],,C [A89],,,,R [A89],,R [A89],,"Medium to poor preservation, abundant fragments",,,349,U1433,B,37,R,CC,P
349-U1433B-38R-CC-PAL-NANNO,0,6,539.46,539.52,NN11 [G12],M [P33],A [A12],F [A89],F [A89],,,,,,,R [A89],,F [A89],,F [A89],,,,,,,,,,R [A89],C [A89],,,C [A89],C [A89],F [A89],,,F [A89],C [A89],F [A89],,,R [A89],,F [A89],C [A89],,R [A89],,C [A89],,,,R [A89],,R [A89],,"Medium to poor preservation, abundant fragments",,,349,U1433,B,38,R,CC,P
349-U1433B-39R-CC-PAL-NANNO,0,7,551.47,551.54,NN11 [G12],M [P33],A [A12],F [A89],F [A89],,,,,,,R [A89],,F [A89],,F [A89],,,,,,,,,,R [A89],C [A89],,,F [A89],C [A89],F [A89],,,F [A89],C [A89],F,,,,R [A89],C [A89],C [A89],,,,A [A89],,,,F [A89],,R [A89],,"Nannofossil ooze with common reworked Miocene fossils,
Overgrown and fragmented",,,349,U1433,B,39,R,CC,P
349-U1433B-40R-CC-PAL-NANNO,0,9,561.73,561.82,NN11 [G12],M [P33],A [A12],F [A89],F [A89],,,,,,,R [A89],,F [A89],,F [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],F [A89],,,F [A89],A [A89],C [A89],,,,R [A89],C [A89],C [A89],,R [A89],,C [A89],,,,F [A89],,R [A89],,"Medium to poor preservation, abundant fragments",,,349,U1433,B,40,R,CC,P
349-U1433B-41R-CC-PAL-NANNO,0,12,569.82,569.94,NN11 [G12],M [P33],A [A12],,,,,R [A89],,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A89],,,,C [A89],C [A89],,,,A [A89],,,,,,,,light gray nannofossil ooze; overgrown discoasters,,,349,U1433,B,41,R,CC,P
349-U1433B-42R-CC-PAL-NANNO,0,9,580.86,580.95,NN11 [G12],P [P33],F [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],,,,,,,,silty-sandy samples; overgrown discoasters and sphenoliths,,,349,U1433,B,42,R,CC,P
349-U1433B-43R-CC-PAL-NANNO,0,6,590.68,590.74,NN11 [G12],G [P33],A [A12],,,,R [A89],,,,,,,F [A89],,F [A89],F [A89],,,,,,,,,F [A89],,,,C [A89],,F [A89],,,,,F [A89],,,,F [A89],C [A89],C [A89],,,F [A89],A [A89],,,,,,,,better preserved nannos,,,349,U1433,B,43,R,CC,P
349-U1433B-44R-CC-PAL-NANNO,0,13,598.24,598.37,NN11 [G12],M [P33],C [A12],,,,R [A89],,,,,R [A89],,F [A89],,C [A89],,,,,,,,,,,F [A89],,,C [A89],,,,,,,,,,,,C [A89],C [A89],,,,A [A89],,,,,,,,abundant non-calcareous particles,,,349,U1433,B,44,R,CC,P
349-U1433B-45R-2-W 44/44-NANNO,0,0,603.44,603.44,NN11 [G12],G [P33],C [A12],C [A89],F [A89],R [A89],,F [A89],R [A89],,,,,C [A89],,F [A89],,,,,,F [A89],,F [A89],,F [A89],,,,C [A89],,F [A89],,,,,F [A89],,,,,F [A89],C [A89],,,,A [A89],,,,,,F [A89],,Well preserved nannofossils,,,349,U1433,B,45,R,2,W
349-U1433B-45R-CC-PAL-NANNO,0,12,608.42,608.54,NN11 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of clay minerals,,,349,U1433,B,45,R,CC,P
349-U1433B-46R-2-W 72/72-NANNO,0,0,613.42,613.42,NN11 [G12],G [P33],A [A12],,,F [A89],,,,,,,,C [A89],,C [A89],,,,,,,,,,F [A89],F [A89],,,F [A89],,F [A89],,,,,,,,,,F [A89],A [A89],,,,A [A89],,,,,,F [A89],,Well preserved nannofossils,,,349,U1433,B,46,R,2,W
349-U1433B-46R-3-W 33/33-NANNO,0,0,614.53,614.53,NN11 [G12],M [P33],F [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,46,R,3,W
349-U1433B-46R-CC-PAL-NANNO,0,10,617.31,617.41,NN11 [G12],M [P33],C [A12],,,,,,,,,,,C [A89],,F [A89],F [A89],,,,,,,,,,,,,C [A89],,,,,,,F [A89],F [A89],,,,C [A89],C [A89],,,,A [A89],,,,,,,,very dark gray lithified rock; wood fragments found in sieved samples; overgrown discoasters present,,,349,U1433,B,46,R,CC,P
349-U1433B-47R-CC-PAL-NANNO,0,8,622.65,622.73,NN11 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calcarenite-calcisiltite; lots of non-nannofossil calcareous particles,,,349,U1433,B,47,R,CC,P
349-U1433B-48R-CC-PAL-NANNO,0,12,633.22,633.34,NN11 [G12],P [P33],F [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A89],,,,,,,,,overgrown sphenoliths and discoasters,,,349,U1433,B,48,R,CC,P
349-U1433B-49R-CC-PAL-NANNO,0,9,643.67,643.76,NN11 [G12],M [P33],C [A12],,R [A89],,,F [A89],,,,,,C [A89],,C [A89],F [A89],,,,,,,,,,F [A89],,,F [A89],,F [A89],,,F [A89],,F [A89],R [A89],,,F [A89],F [A89],,,,F [A89],A [A89],,,,,,,,large calcareous particles; ascidian spicules,,,349,U1433,B,49,R,CC,P
349-U1433B-50R-CC-PAL-NANNO,0,17,653.47,653.64,NN11 [G12],M [P33],C [A12],F [A89],F [A89],,,,,,R [A89],R [A89],R [A89],C [A89],,C [A89],,R [A89],,,,,,F [A89],,R [A89],F [A89],,,C [A89],C [A89],R [A89],,,F [A89],C [A89],F [A89],,,,F [A89],F [A89],F [A89],,F [A89],,A [A89],,,,F [A89],,,,"Medium to poor preservation, abundant fragments",,,349,U1433,B,50,R,CC,P
349-U1433B-51R-CC-PAL-NANNO,0,21,664.3,664.51,NN11 [G12],M [P33],C [A12],R [A89],R [A89],,F [A89],,F [A89],,,R [A89],,C [A89],,C [A89],,R [A89],,,,,,F [A89],,,C [A89],,,C [A89],C [A89],F [A89],,,F [A89],A [A89],C [A89],,,,F [A89],F [A89],F [A89],,F [A89],,A [A89],,,,F [A89],,,,"Medium to poor preservation, abundant fragments",,,349,U1433,B,51,R,CC,P
349-U1433B-52R-CC-PAL-NANNO,0,6,672.0,672.06,NN11 [G12],M [P33],C [A12],R [A89],R [A89],,F [A89],,F [A89],,,R [A89],F [A89],C [A89],,C [A89],,,,,,,,R [A89],,R [A89],C [A89],,,C [A89],C [A89],F [A89],,,F [A89],A [A89],C [A89],,,,R [A89],R [A89],F [A89],,F [A89],,A [A89],,,,C [A89],,,,"Medium to poor preservation, abundant fragments",,,349,U1433,B,52,R,CC,P
349-U1433B-53R-CC-PAL-NANNO,0,6,687.25,687.31,NN11 [G12],M [P33],C [A12],R [A89],R [A89],,R [A89],,,,,,,F [A89],,C [A89],,,,,,,,F [A89],,R [A89],C [A89],,,C [A89],C [A89],R [A89],,,F [A89],C [A89],C [A89],,,,,F [A89],F [A89],,R [A89],,C [A89],,,,F [A89],,R [A89],,"Medium to poor preservation, abundant fragments",,,349,U1433,B,53,R,CC,P
349-U1433B-54R-CC-PAL-NANNO,0,6,697.73,697.79,NN10 - NN11 [G12],M [P33],C [A12],R [A89],R [A89],,F [A89],,,,,,,R [A89],R [A89],F [A89],,,,R [A89],,,,F [A89],,R [A89],C [A89],,,R [A89],C [A89],,,,F [A89],C [A89],F [A89],,,,,C [A89],C [A89],,,,C [A89],,,,F  ,,,,"Medium to poor preservation, abundant fragments",,,349,U1433,B,54,R,CC,P
349-U1433B-55R-CC-PAL-NANNO,0,6,707.65,707.71,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,R [A89],,,,,,,349,U1433,B,55,R,CC,P
349-U1433B-56R-CC-PAL-NANNO,0,10,710.98,711.08,,P [P33],C [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A89],C [A89],,,,C [A89],,,,F [A89],,,,,,,349,U1433,B,56,R,CC,P
349-U1433B-57R-CC-PAL-NANNO,0,11,726.59,726.7,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,349,U1433,B,57,R,CC,P
349-U1433B-58R-CC-PAL-NANNO,0,12,736.18,736.3,,P [P33],C [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A89],C [A89],,,,C [A89],,,,C [A89],,,,"Discoasters are common, but heavily overgrown",,,349,U1433,B,58,R,CC,P
349-U1433B-59R-3-W 115/115-NANNO,0,0,741.45,741.45,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full of clay minerals,,,349,U1433,B,59,R,3,W
349-U1433B-59R-7-W 40/40-NANNO,0,0,746.7,746.7,,M [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,almost barren of nannofossils; full of clay minerals,,,349,U1433,B,59,R,7,W
349-U1433B-59R-CC-PAL-NANNO,0,10,747.11,747.21,NN10 [G12],P [P33],C [A12],,R [A89],R [A89],R [A89],,,,,,F [A89],,,,,,,,,,,R [A89],,R [A89],,,,,,,,,,,,,,,,C [A89],,,,,C [A89],,,,C [A89],,,,"Discoasters are common, but heavily overgrown",,,349,U1433,B,59,R,CC,P
349-U1433B-60R-3-W 139/139-NANNO,0,0,751.29,751.29,,P [P33],R [A12],,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full of clay minerals; reworked nannofossils,,,349,U1433,B,60,R,3,W
349-U1433B-60R-6-W 66/66-NANNO,0,0,755.06,755.06,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full of clay minerals,,,349,U1433,B,60,R,6,W
349-U1433B-60R-CC-PAL-NANNO,0,10,756.18,756.28,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,60,R,CC,P
349-U1433B-61R-1-W 0/1-NANNO,0,1,756.7,756.71,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full of clay minerals like Sample 61R-3W,,,349,U1433,B,61,R,1,W
349-U1433B-61R-3-W 69/69-NANNO,0,0,760.33,760.33,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"full of clay minerals like Sample 59R-7W, 40cm",,,349,U1433,B,61,R,3,W
349-U1433B-61R-CC-PAL-NANNO,0,6,761.85,761.91,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,61,R,CC,P
349-U1433B-62R-1-W 45/45-NANNO,0,0,766.85,766.85,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Common unidentified calcite grains or debris,
abundant sponge needles and volcanic glass",,,349,U1433,B,62,R,1,W
349-U1433B-62R-4-W 91/91-NANNO,0,0,771.83,771.83,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,62,R,4,W
349-U1433B-62R-CC-PAL-NANNO,0,8,775.24,775.32,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,R [A89],,,,,,,,,,,,Contaminated?,,,349,U1433,B,62,R,CC,P
349-U1433B-63R-4-W 105/105-NANNO,0,0,781.59,781.59,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenish clay, barren of calcite grains, abundant sponge needles and volcanic glass",,,349,U1433,B,63,R,4,W
349-U1433B-63R-5-W 67/67-NANNO,0,0,782.68,782.68,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenish clay, barren of calcite grains, abundant volcanic glass",,,349,U1433,B,63,R,5,W
349-U1433B-63R-CC-PAL-NANNO,0,8,785.09,785.17,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,63,R,CC,P
349-U1433B-64R-2-W 35/35-NANNO,0,0,787.39,787.39,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenish clay, few unidentified calcite grains, common sponge needles and volcanic glass",,,349,U1433,B,64,R,2,W
