Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data
367-U1499A-11H-CC,0,48,102.66,103.14,,,,,,,,,,,,,,G,C,95,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,P,,P,,,,,,A,F,,,,,,A,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,P,,,,,,P,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,
367-U1499A-12H-CC-PAL-FORAM,0,5,112.56,112.61,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,R,,,,,R,,,,,P,,,,,,,,R,,R,,,,,,P,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-13H-CC-PAL-FORAM,0,5,121.28,121.33,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,P,,,,,R,,,,,P,,,,,,,,P,,R,,,P,,,F,F,,,P,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-14H-CC,0,36,130.88,131.24,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-15H-CC,0,5,138.8,138.85,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-16H-CC-PAL-FORAM,0,5,148.28,148.33,,,,,,,,,,,,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,P,R,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
367-U1499A-17H-CC,0,40,156.18,156.58,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,,0.61,,,1.88,,G,R,99,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,,,A,D,,,,,,,,,,,P,,,,,,,,D,,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,P,,,,,,P,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,
367-U1499A-18H-CC-PAL-FORAM,0,5,162.32,162.37,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,,P,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,
367-U1499A-19X-CC-PAL-FORAM,0,5,170.93,170.98,,,,,,,,,,,,,,M,C,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,P,,,,,F,,,F,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,P,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,
367-U1499A-20X-CC,0,54,181.21,181.75,,,,,,,,,,,,,,P,P,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,
367-U1499A-21X-CC,0,53,189.63,190.16,,,,,,,,,,,,,,P,R,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,F,F,,,,F,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,P,,,,,,P,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,
367-U1499A-22X-CC,0,55,200.56,201.11,,,,,,,,,,,,,,VG,C,98,P,,,,,,,F,P,,,A,,,,,,,,,,,,,,,,,,A,,P,F,,F,,,D,D,,,,F,,,,,,,P,P,,,,,,,P,,,,P,F,,,,,,,,,,,,,P,F,,,P,,R,,,,,R,,,,,,P,,,R,,P,,,,,,P,,,,,,,,,,,F,P,,,F,,P,,,,,,,,,,,,,,,,,,,
367-U1499A-23X-CC,0,41,210.58,210.99,,,,,,,,,,,,,,P,P,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-24X-CC,0,37,220.4,220.77,,,,,,,,,,,,,,P,P,30,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,P,,,,,,,,,,,,,,,R,lot of shallow water benthic forams,,,
367-U1499A-25X-CC,0,2,220.6,220.62,,,,,,,,,,,,,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-26X-CC,0,40,239.79,240.19,,,,,,,,,,,,,,P,P,40,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-27X-CC,0,33,249.49,249.82,,,,,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.16,,,3.47,,P,P,40,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,A,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,P,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-28X-CC,0,11,259.17,259.28,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-29X-CC,0,38,268.77,269.15,,,,,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,,3.85,,,4.37,,R,R,95,P,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,P,A,,F,,,R,D,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,D,,,,,,,,,,,,,,,,,,,
367-U1499A-30X-CC-PAL-FORAM,0,5,278.91,278.96,,,,,,,,,,,,,,M,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,F,F,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-31X-CC-PAL-FORAM,0,5,288.54,288.59,,,,,,,,,,,,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,
367-U1499A-32X-CC,0,29,298.06,298.35,,,,,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,,4.37,,,5.72,,P,R,95,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,
367-U1499A-33X-CC-PAL-FORAM,0,5,306.84,306.89,,,,,,,,,,,,,,M,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,P,,,P,,,P,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,
367-U1499A-34X-CC,0,7,317.38,317.45,,,,,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,,4.37,,,5.72,,R,P,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,D,A,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
367-U1499A-35X-CC-PAL-FORAM,0,5,327.34,327.39,,,,,,,,,,,,,,M,C,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,F,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
367-U1499A-36X-CC,0,40,333.35,333.75,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-37X-CC,0,6,337,337.06,,,,,,,,,,,,,,G,C,90,,,,,,,,A,R,,,D,,,,,,,,,P,,,,,,,,,,,R,F,,R,,,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,P,,R,,,,,,,,,A,,P,,,,,,R,,,,,,,,,,,,P,,,,,A,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-38X-CC,0,5,346.7,346.75,,,,,,,,,,,,,,G,R,90,,,,,,,,R,P,,,F,,,,,,,,,,,,,,,,,,,,P,F,,,,,,D,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,R,,,P,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-39X-CC,0,50,357.09,357.59,,,,,,,,,,,,,,G,R,92,,,,,,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,P,F,,F,,,,D,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-43X-CC,0,7,395.2,395.27,,,,,,,,,,,,,,G,R,95,,,,,,,,F,R,,,A,,,,,,,,,,,,,,,,,P,,,,F,,,,,,D,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,F,F,,,,,,,,A,,P,,,,,,F,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,
367-U1499A-44X-CC-PAL-FORAM,0,5,414.05,414.1,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-45X-CC-PAL-FORAM,0,5,424.45,424.5,,,,,,,,,,,,,,M,P,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
367-U1499A-46X-CC-PAL-FORAM,0,5,434.08,434.13,,,,,,,,,,,,,,M,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-47X-CC,0,38,443.48,443.86,,,,,,,,,,,,,,R,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,D,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-48X-CC,0,44,453.22,453.66,,,,,,,,,,,,,,VG,R,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,P,,,,,,P?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,
367-U1499A-49X-CC-PAL-FORAM,0,5,463.38,463.43,,,,,,,,,,,,,,M,C,70,,,,,,,,R,P,P,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,P,P,,,,F,,,,,,,,,F,,,,,,,,,,,,,,P,,,,,R,,,,,P,,,,,,,,F,B,,P,P,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,
367-U1499A-50X-CC,0,45,469.06,469.51,,,,,,,,,,,,,,G,R,95,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,D,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,R,,,,,,,,,F,,A,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,,,,,,,,
367-U1499A-54X-CC,0,24,501.9,502.14,,,,,,,,,,,,,,P,R,40,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,D,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,F,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,
