Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1423A-9H-CC-PAL,0,4,83.6,83.64,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,9,H,CC,PAL,
346-U1423A-10H-5-W 18/19-FORAM,0,1,89.48,89.49,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,10,H,5,W,
346-U1423A-10H-CC-PAL,0,4,93.17,93.21,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,10,H,CC,PAL,
346-U1423A-11H-5-W 91/92-FORAM,0,1,99.71,99.72,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,11,H,5,W,
346-U1423A-11H-7-W 36/37-FORAM,0,1,102.16,102.17,,,,P ,R ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,346,U1423,A,11,H,7,W,
346-U1423A-11H-CC-PAL,0,5,102.55,102.6,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,11,H,CC,PAL,
346-U1423A-12H-6-W 119/120-FORAM,0,1,110.99,111.0,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,12,H,6,W,
346-U1423A-12H-CC-PAL,0,5,112.06,112.11,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,12,H,CC,PAL,
346-U1423A-13H-3-W 70/71-FORAM,0,1,115.5,115.51,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,13,H,3,W,
346-U1423A-13H-CC-PAL,0,4,121.7,121.74,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,13,H,CC,PAL,
346-U1423A-14H-CC-PAL,0,5,131.19,131.24,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,14,H,CC,PAL,
346-U1423A-15H-CC-PAL,0,5,140.51,140.56,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,15,H,CC,PAL,
346-U1423A-16H-2-W 98/99-FORAM,0,1,142.78,142.79,,,,M ,R ,100,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,R ,R ,R ,R ,,,,,,,,,,,,,,,,,,,63 microns picked,,,,346,U1423,A,16,H,2,W,
346-U1423A-16H-CC-PAL,0,4,150.2,150.24,,,,G ,A ,70,,,,,,A ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,,,,,D ,,A ,,,,,,R ,,,,,,,,,,,,,,,,,,346,U1423,A,16,H,CC,PAL,
346-U1423A-17H-1-A 20/21-FORAM,0,1,150.0,150.01,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,17,H,1,A,
346-U1423A-17H-CC-PAL,0,5,159.12,159.17,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,17,H,CC,PAL,
346-U1423A-18H-CC-PAL,0,5,168.88,168.93,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,18,H,CC,PAL,
346-U1423A-19H-CC-PAL,0,5,178.34,178.39,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,19,H,CC,PAL,
346-U1423A-20H-CC-PAL,0,4,187.73,187.77,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,20,H,CC,PAL,
346-U1423A-21H-CC-PAL,0,5,197.22,197.27,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,21,H,CC,PAL,
346-U1423A-22H-CC-PAL,0,5,206.97,207.02,,,,G ,R ,18,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,22,H,CC,PAL,
