Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1464D-10H-CC-PAL-NANNO,0,5,89.35,89.4,NN17 [G12],"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,R [A30],,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,,R [A30],,,,F [A30],,,,F [A30],,,,,,,,,R [A30],,,,R [A30],,R [A30],reworked R. pseudoumbilicus,,,
356-U1464D-11H-CC-PAL-NANNO,0,5,98.93,98.98,NN17 [G12],"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,,,A [A23],A [A23],,,,,R [A30],,,,,,,,F [A30],,,,R [A30],,,,,P [A30],,,,,,R [A30],reworked R. pseudoumbilicus and R. gelida,,,
356-U1464D-12H-CC-PAL-NANNO,0,5,108.24,108.29,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],C [A22],,,P [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,C [A04],,,,A [A23],,P [A30],,,,,,,,,,,F [A30],,,,R [A30],,,,,,F [A30],,,,,,,,,
356-U1464D-13H-CC-PAL-NANNO,0,5,117.82,117.87,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,R [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,,,,A [A23],A [A23],,,,R [A30],R [A30],,,,,,,,F [A30],,,,R [A30],,R [A30],,,P [A30],,,,,,,,,,
356-U1464D-14H-CC-PAL-NANNO,0,5,127.42,127.47,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",M [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,C [A04],,,V [A94],A [A23],,,,,,,R [A30],,,,,,R [A30],,,,,,,,,,,,R [A30],,,,,,,
356-U1464D-15H-CC-PAL-NANNO,0,5,136.87,136.92,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",M [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,R [A30],,,V [A94],C [A04],,,,,,,,,,,,,C [A04],,,F [A30],,,,,,P [A30],R [A30],,,,,,calcispheres present,,,
356-U1464D-16H-CC-PAL-NANNO,0,5,146.48,146.53,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,F [A30],,,A [A23],A [A23],,,,,R [A30],,,,,,,,R [A30],,,,,,,,,,P [A30],,,,,,,,,
356-U1464D-17H-CC-PAL-NANNO,0,5,155.85,155.9,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",M [P33],A [A22],,,R [A30],,,,,,,,,,R [A30],,,,R [A30],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,F [A30],,,,C [A04],,R [A30],,,,,,,,,,,F [A30],,,,F [A30],,,,,,,,,,,,calcispheres present,,,
356-U1464D-19H-6-PAL-NANNO,0,5,173.18,173.23,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,R [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,R [A30],,A [A23],A [A23],,C [A04],,,,,F [A30],,,,,,F [A30],,,,R [A30],,R [A30],,,R [A30],R [A30],,,,,,,,,
356-U1464D-21H-CC-PAL-NANNO,0,5,189.65,189.7,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,R [A30],R [A30],,A [A23],C [A04],,C [A04],,,,,,,,,,,F [A30],,,,,,,,,P [A30],,,,,,,,,,
356-U1464D-23H-CC-PAL-NANNO,0,5,211.46,211.51,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,R [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,F [A30],F [A30],,A [A23],C [A04],,C [A04],,,R [A30],,R [A30],,,,,,F [A30],,,P [A30],P [A30],,,,,R [A30],P [A30],,,,,,,,,
356-U1464D-25H-CC-PAL-NANNO,0,5,228.35,228.4,NN13 [G12],"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,F [A30],R [A30],,P [A30],F [A30],,,,,,,,,,,,,,,,,,P [A30],,,C [A04],F [A30],,V [A94],A [A23],,A [A23],,,R [A30],,R [A30],,,,,,F [A30],,,,P [A30],,R [A30],,,R [A30],,,,,,,,,,
356-U1464D-27H-CC-PAL-NANNO,0,5,245.64,245.69,,,G [P33],D [A22],,P [A30],,,,,,,,,,,,,,,F [A30],,,,,,,R [A30],F [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,V [A94],A [A23],,A [A23],,,,,R [A30],,,,,,F [A30],,,,R [A30],P [A30],F [A30],,,R [A30],,,,R [A30],,,,,,
356-U1464D-29H-4-PAL-NANNO,0,5,264.6,264.65,,,G [P33],D [A22],P [A30],,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,R [A30],R [A30],,P [A30],F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,,V [A94],F [A30],,A [A23],,P [A30],R [A30],,R [A30],,R [A30],,,,F [A30],,,,P [A30],,R [A30],,,R [A30],,,,,,,,,,
356-U1464D-31H-CC-PAL-NANNO,0,3,281.36,281.39,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,R [A30],,R [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,C [A04],A [A23],,A [A23],,,R [A30],,,,R [A30],,,,F [A30],,,,,,R [A30],,,R [A30],,,,,,,,,,
356-U1464D-33X-CC-PAL-NANNO,0,6,302.44,302.5,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,F [A30],R [A30],R [A30],,P [A30],F [A30],,,,,,,,,,,,,,,,,P [A30],,,,F [A30],F [A30],,V [A94],A [A23],,A [A23],,,R [A30],,R [A30],,R [A30],,,,F [A30],,,,,,R [A30],,P [A30],,,,,,,,,,,
356-U1464D-34X-CC-PAL-NANNO,0,5,309.05,309.1,,,G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,C [A04],,R [A30],,,C [A04],,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,V [A94],,,A [A23],,,R [A30],,,,F [A30],,,,F [A30],,,,R [A30],,,,,R [A30],F [A30],,F [A30],,,,,,,
356-U1464D-35X-CC-PAL-NANNO,0,6,309.53,309.59,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,V [A94],C [A04],,A [A23],,,,,,,F [A30],,,,R [A30],,,,,,,,,,,,,,,,,,,
356-U1464D-37X-CC-PAL-NANNO,0,5,328.47,328.52,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-38X-CC-PAL-NANNO,0,5,338.94,338.99,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-39X-CC-PAL-NANNO,0,5,348.14,348.19,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-41X-CC-PAL-NANNO,0,6,367.2,367.26,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-43X-CC-PAL-NANNO,0,5,386.76,386.81,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-45X-CC-PAL-NANNO,0,5,406.25,406.3,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-47X-CC-PAL-NANNO,0,10,425.4,425.5,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-49X-CC-PAL-NANNO,0,3,445.3,445.33,,,G [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-51X-CC-PAL-NANNO,0,4,464.41,464.45,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-53X-CC-PAL-NANNO,0,8,483.6,483.68,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-55X-CC-PAL-NANNO,0,5,506.8,506.85,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-57X-CC-PAL-NANNO,0,3,513.3,513.33,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1464D-58X-CC-PAL-NANNO,0,5,523.92,523.97,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
