Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1450A-16F-CC-PAL-FORAM,0,8,81.32,81.4,,,,,,,,,R [A101],G [P38],L,,1,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,F,,,,,,,,,,,,,,354,U1450,A,16,F,CC,PAL
354-U1450A-17F-1-W 73/79-FORAM,0,6,82.33,82.39,,,,,,,,,R [A101],G [P38],L,,1,3,,"presence of limonite, pyrite, forams with difernts sizes and colours.",,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,present,,,,354,U1450,A,17,F,1,W
354-U1450A-17F-CC-PAL-FORAM,0,8,86.31,86.39,,,,,,,,,R [A101],G [P38],L,,1,3,,,,,,,,,,,,R,,R,,,,,,C,R,R,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,C,,R,,,,,F,,,,,,,,,,,,,,354,U1450,A,17,F,CC,PAL
354-U1450A-20F-2-W 60/66-FORAM,0,6,97.9,97.96,,,,,,,,,C [A101],M [P38],M,95,2,,,,,,,,,,,F,,R,,R,,,,C,R,A,C,,,,F,,,,,,,,,,,,,,,,,,,,C,C,,,,,R,,,A,,F,,,,,R,,,,R,,,,,,,,,,354,U1450,A,20,F,2,W
354-U1450A-22H-1-W 101/106-FORAM,0,5,105.51,105.56,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,22,H,1,W
354-U1450A-27F-CC-PAL-FORAM,0,10,132.99,133.09,,,,,,,,,R [A101],G [P38],L,100,1,,,,,,,,,,,R,,F,,R,,,R,,R,A,R,,,,C,,,,,,,,,,,,,,,,,,,,C,R,,,,R,,,,C,,R,,,,,F,,,R,,,,,,,,,,,354,U1450,A,27,F,CC,PAL
354-U1450A-30F-CC-PAL-FORAM,0,6,146.59,146.65,,,,,,,,,R [A101],G [P38],M,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,354,U1450,A,30,F,CC,PAL
354-U1450A-32F-1-W 70/75-FORAM,0,5,152.6,152.65,,,,,,,,,R [A101],G [P38],L,,1,,,,,,,,,,,,,,,R,,,R,,,R,R,R,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,354,U1450,A,32,F,1,W
354-U1450A-32F-CC-PAL-FORAM-FORAM,0,5,156.66,156.71,,,,,,,,,B [A101],,,,,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,32,F,CC,PAL
354-U1450A-34F-CC-PAL,0,8,166.46,166.54,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],M [P38],S,90,3,,,,,,,,,,,,,R,,R,,,R,F,,C,F,,,,F,,,,,,,,,,,,R,,,,,,R,R,C,R,,,,R,R,,,C,,C,,,,,A,,,R,,,,,,,,,,,354,U1450,A,34,F,CC,PAL
354-U1450A-36F-3-W 78/84-FORAM,0,6,174.68,174.74,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],M [P38],S,,3,,,"some benthics, Melonis pompiolinoides",,,,,,,,,,R,,R,,,R,,,F,R,F,,,,,,,,,,,,,,,R,,,,,,R,,F,,,,,,,,,F,,R,,,,,A,,,R,R,,,,,,present,,,,354,U1450,A,36,F,3,W
354-U1450A-36F-CC-PAL,0,10,175.63,175.73,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],P [P38],S,,3,,"chemical solution, fragile specimens","some benthics, Melonis pompioloides",,,,,,,,,,R,,R,,,R,,,F,R,F,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,C,,F,,,,,C,,,R,,,,,,,present,,,,354,U1450,A,36,F,CC,PAL
354-U1450A-38F-CC-PAL,0,10,184.53,184.63,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],G [P38],L,,1,,,,,,,,,,,,,R,,R,,,,,,R,R,C,,,,,,,,,,,,,,,C,,,,,,R,,,,,,,,,,,C,,R,,,,,C,,,,,,,R,,,,,,,354,U1450,A,38,F,CC,PAL
354-U1450A-40F-1-W 125/131-FORAM,0,6,191.15,191.21,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,40,F,1,W
354-U1450A-40F-CC-PAL-FORAM-FORAM(63-150),0,5,194.66,194.71,,,,,,,,,B [A101],,,,,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,40,F,CC,PAL
354-U1450A-42F-1-W 61/67-FORAM,0,6,200.01,200.07,,,,,,,,,R [A101],M [P38],L,100,1,,,tiny sample!,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,42,F,1,W
354-U1450A-42F-CC-PAL-FORAM,0,8,204.22,204.3,,,,,,,,,B [A101],,,,,,,1 tiny specimen of Globigerinoides sp. juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,42,F,CC,PAL
354-U1450A-44F-CC-PAL,0,10,213.65,213.75,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],M [P38],L,100,1,,,,,,,,,,,,,R,,R,,,,,,C,F,,,,F,,,,,,,,,,,,,,,,,,R,,F,R,,,,,,,,C,,F,,,,,C,,,R,,,,,,,,,,,354,U1450,A,44,F,CC,PAL
354-U1450A-48F-CC-PAL-FORAM,0,10,232.79,232.89,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,48,F,CC,PAL
354-U1450A-52F-2-W 17/22-FORAM,0,5,248.52,248.57,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],M [P38],VS,61,4,,,"pelagic sedimentation, test with taphonomic process, calcite overgrowth",,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,F,,,,,,R,,R,,,,,,,,,R,,,,,,,R,,,A,,,,,,,,,,,354,U1450,A,52,F,2,W
354-U1450A-52F-CC-PAL-FORAM,0,10,251.81,251.91,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],M [P38],L,61,1,,,,,,,,,,,R,,,,,,,,R,,A,R,,,,C,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,F,R,A,,,,,F,,,,,,,,,,,,,,354,U1450,A,52,F,CC,PAL
354-U1450A-54F-1-W 75/80-NANNO,0,5,257.15,257.2,,,,,,,,,R [A101],M [P38],M,86,2,,,tiny sample,,,,,,,,,,R,,,,,R,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,C,,,R,,,,,,,,,,,354,U1450,A,54,F,1,W
354-U1450A-54F-CC-PAL-FORAM,0,10,261.05,261.15,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,54,F,CC,PAL
354-U1450A-56F-1-W 112/117-FORAM,0,5,267.02,267.07,,,,,,,,,R [A101],,,,,,,only 1 speciman found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,56,F,1,W
354-U1450A-56F-CC-PAL-FORAM,0,15,270.64,270.79,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,56,F,CC,PAL
354-U1450A-58F-1-W 29/34-FORAM,0,5,275.69,275.74,,,,,,,,,R [A101],G [P38],L,,1,,,"ltos of mica, barren",,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,R,,,,,,,R,,,A,,,,,,,present,,,,354,U1450,A,58,F,1,W
354-U1450A-60F-CC-PAL,0,10,289.82,289.92,,,,,,,,,R [A101],G [P38],L,100,1,,,,,,,,,,,,,,,,,,,R,,R,R,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,354,U1450,A,60,F,CC,PAL
354-U1450A-62F-CC-PAL,0,10,299.28,299.38,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],M [P38],M,100,2,,,small sample,,,,,,,,R,,R,,,,,R,R,,A,,,,,C,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,R,,,,,,,C,,,R,,,,,,,,,,,354,U1450,A,62,F,CC,PAL
354-U1450A-68F-CC-PAL-FORAM,0,8,327.29,327.37,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,68,F,CC,PAL
354-U1450A-70F-2-W 43/49-FORAM,0,6,333.73,333.79,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],G [P38],L,,1,,,"lots of OM carbonizes - vascular plants - terrestrial input, planktic juveniles forms, lots of purite",,,,,,,,,,R,,,,,,,,A,F,C,,F,,,,,,,,,,,,,F,,,,,,R,,F,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1450,A,70,F,2,W
354-U1450A-74F-2-W 26/32-FORAM-FORAM(>63),0,6,353.12,353.18,,,,,,,,,R [A101],M [P38],S,,3,,,"lots of mica, tiny specimens, fragments of Globorotalia, few benthic Melonis pompilioides",,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,present,present,,,,354,U1450,A,74,F,2,W
354-U1450A-76F-1-W 54/59-FORAM,0,5,361.44,361.49,,,,,,,,,R [A101],G [P38],L,100,1,,,Very small sample/low abundance,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,354,U1450,A,76,F,1,W
354-U1450A-76F-CC-PAL,0,10,365.61,365.71,,,,,,,,,R [A101],G [P38],L,,1,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,354,U1450,A,76,F,CC,PAL
354-U1450A-82F-CC-PAL-FORAM,0,10,394.14,394.24,,,,,,,,,C [A101],M [P38],S,91,3,,,"pelagic sediments, tiny specimens",,,,,,,,,,,,R,,,R,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,R,,,,,,,,R,R,,F,,,present,absent,,,,354,U1450,A,82,F,CC,PAL
354-U1450A-84F-CC-PAL-FORAM,0,10,403.58,403.68,,,,,,,,,A [A101],M [P38],M,95,2,,,,,,,,,,,,,R,,,,,R,,,C,R,,,,C,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,R,,R,,,,,R,,,R,,,,,,,,,,,354,U1450,A,84,F,CC,PAL
354-U1450A-92F-CC-PAL-FORAM,0,10,441.64,441.74,,,,,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.47,3.59,C [A101],M [P38],S,75,3,,,,,,,R,,,,,,,,,,,,,,C,F,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,C,,,,,F,,,A,,,,,,,,,,,354,U1450,A,92,F,CC,PAL
354-U1450A-94F-CC-PAL-FORAM,0,10,450.64,450.74,,,,,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.47,3.59,R [A101],M [P38],L,98,1,,,,,,,R,,,,,,F,,,R,,R,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,C,,,,,,,,,,,354,U1450,A,94,F,CC,PAL
354-U1450A-96F-CC-PAL-FORAM,0,10,459.15,459.25,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,96,F,CC,PAL
354-U1450A-98F-1-W 15/20-FORAM,0,5,465.35,465.4,,,,,,,,,C [A101],M [P38],S,93,3,3,,Paragloborotalia Nana present - reworking,,,,R,,,,,,,,,R,,R,R,,,,,R,,C,,,,,,R,,,,,,R,,,,,,,,R,R,,,,,,C,R,,,,,,,,,,,r,,,R,,,present,absent,,,,354,U1450,A,98,F,1,W
354-U1450A-98F-CC-PAL-FORAM,0,9,469.77,469.86,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,98,F,CC,PAL
354-U1450A-100F-CC-FORAM,0,5,478.19,478.24,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,354,U1450,A,100,F,CC,FORAM
354-U1450A-102F-CC-PAL-FORAM,0,5,484.2,484.25,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,102,F,CC,PAL
354-U1450A-104F-CC-PAL-FORAM,0,5,497.28,497.33,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,104,F,CC,PAL
354-U1450A-110F-CC-PAL-FORAM,0,10,524.65,524.75,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,110,F,CC,PAL
354-U1450A-114F-CC-PAL-FORAM,0,10,541.23,541.33,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,A [A101],P [P38],VS,87,4,,,,,,,C,,,,,,,,,,,R,,R,,R,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,C,F,,R,,,,,R,,,R,,,C,,,,,,,,354,U1450,A,114,F,CC,PAL
354-U1450A-115F-CC-PAL-FORAM,0,10,542.11,542.21,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,C [A101],M [P38],M,80,2,,,,,,,C,,R,,,,R,,R,,,R,F,,A,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,R,R,,,,,,,,,,C,,,,,,R,,,,,,,,354,U1450,A,115,F,CC,PAL
354-U1450A-117F-CC-PAL-FORAM,0,11,555.0,555.11,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,R [A101],M [P38],M,65,2,,,,,,,R,,,,,,R,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,,,,C,R,,,,,,,354,U1450,A,117,F,CC,PAL
354-U1450A-118F-CC-PAL-FORAM,0,10,556.86,556.96,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,C [A101],M [P38],S,85,3,,,,,,,C,,R,,,,R,,,,,R,C,,C,,,,,C,,,,,,,,,,,,,,,,,,,,A,,,,,,R,,,R,,R,,,,,,,,,,,A,R,,,,,,,354,U1450,A,118,F,CC,PAL
354-U1450A-119F-CC-PAL-FORAM,0,10,561.25,561.35,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,119,F,CC,PAL
354-U1450A-120X-CC-PAL-FORAM,0,12,565.27,565.39,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,C [A101],M [P38],S,92,3,,,,,,,C,,,,,,R,,,,,R,C,,C,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,R,R,,,,,R,,,,,,A,,,,,,,,354,U1450,A,120,X,CC,PAL
354-U1450A-121X-CC-PAL-FORAM,0,10,570.03,570.13,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,C [A101],M [P38],S,90,3,,,,,,,F,,C,,,,R,,,,,R,F,,F,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,R,R,,,,,R,,,,,,A,,,,,,,,354,U1450,A,121,X,CC,PAL
354-U1450A-123X-CC-PAL-FORAM,0,5,590.18,590.23,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,R [A101],M [P38],L,80,1,,,Very tiny sample. Contains metal fragments.,,,,R,,R,,,,R,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,354,U1450,A,123,X,CC,PAL
354-U1450A-128F-CC-PAL,0,10,619.8,619.9,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,R [A101],M [P38],M,40,2,,,Moderate infilling -Dissolution resistant species dominate assemblage,,,,R,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,A,,,,,,,,354,U1450,A,128,F,CC,PAL
354-U1450A-130F-CC-PAL-FORAM,0,13,631.01,631.14,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,absent,,,,354,U1450,A,130,F,CC,PAL
354-U1450A-132X-CC-PAL-FORAM,0,10,638.62,638.72,,,,,PL3 [G12],"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",3.59,3.85,R [A101],M [P38],M,90,2,,,,,,,,,R,,,,R,,,,,,R,,,,R,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,,R,,,,,,,,,,,R,,,,present,,,,354,U1450,A,132,X,CC,PAL
