Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1464C-18R-1-A 25/25-NANNO,0,0,463.45,463.45,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,18,R,1,A,
356-U1464C-18R-2-PAL-NANNO,0,4,464.63,464.67,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,18,R,2,PAL,
356-U1464C-19R-1-A 33/33-NANNO,0,0,473.23,473.23,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,19,R,1,A,
356-U1464C-20R-2-PAL-NANNO,0,5,484.6,484.65,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1464,C,20,R,2,PAL,
356-U1464C-22R-5-PAL-NANNO,0,4,508.1,508.14,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,22,R,5,PAL,
356-U1464C-24R-CC-PAL-NANNO,0,5,523.47,523.52,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,24,R,CC,PAL,
356-U1464C-25R-5-A 53/53-NANNO,0,0,536.55,536.55,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,25,R,5,A,
356-U1464C-25R-5-W 92/92-NANNO,0,0,536.94,536.94,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,25,R,5,W,
356-U1464C-26R-1-PAL-NANNO,0,5,541.62,541.67,NN7,"NN7 - Discoaster kugleri (Gradstein et al., 2012)",G,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,26,R,1,PAL,
356-U1464C-26R-1-W 10/10-NANNO,0,0,540.9,540.9,,,G,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,26,R,1,W,
356-U1464C-27R-2-W 51/51-NANNO,0,0,552.5,552.5,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",G,F,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,R,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,27,R,2,W,
356-U1464C-27R-CC-PAL-NANNO,0,5,553.61,553.66,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,27,R,CC,PAL,
356-U1464C-28R-CC-PAL-NANNO,0,5,563.01,563.06,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,28,R,CC,PAL,
356-U1464C-29R-1-W 59/59-NANNO,0,0,570.49,570.49,,,G,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,29,R,1,W,
356-U1464C-30R-1-PAL-NANNO,0,5,579.86,579.91,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",G,R,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1464,C,30,R,1,PAL,
356-U1464C-32R-1-PAL-NANNO,0,5,600.05,600.1,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,32,R,1,PAL,
356-U1464C-33R-CC-PAL-NANNO,0,5,611.47,611.52,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,33,R,CC,PAL,
356-U1464C-37R-2-PAL-NANNO98,0,5,649.53,649.58,,,G,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,37,R,2,PAL,
356-U1464C-39R-PAL-NANNO,0,5,667.58,667.63,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,39,R,PAL,NANNO,
356-U1464C-41R-1-PAL-NANNO,0,5,686.91,686.96,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,41,R,1,PAL,
356-U1464C-43R-2-PAL-NANNO,0,5,707.52,707.57,,,G,R,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,43,R,2,PAL,
356-U1464C-45R-3-PAL-NANNO,0,4,728.1,728.14,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,45,R,3,PAL,
356-U1464C-47R-1-PAL-NANNO,0,3,745.35,745.38,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,47,R,1,PAL,
356-U1464C-49R-2-PAL-NANNO,0,5,766.56,766.61,,,G,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,49,R,2,PAL,
356-U1464C-51R-1-PAL-NANNO,0,5,783.98,784.03,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,51,R,1,PAL,
356-U1464C-53R-CC-PAL-NANNO,0,5,805.78,805.83,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,356,U1464,C,53,R,CC,PAL,
356-U1464C-54R-1-PAL-NANNO,0,5,813.21,813.26,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,54,R,1,PAL,
356-U1464C-56R-1-PAL-NANNO,0,5,832.71,832.76,,,M,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,56,R,1,PAL,
