Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age maximum [Ma],Datum age minimum [Ma],Datum age average [Ma],Datum occurrence,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1425B-22H-CC-PAL,0,5,155.99,156.04,"T Lipmanella redondoensis  (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Lipmanella redondoensis ,"Kamikuri et al., 2004",,,,,,5.06,,,,,346,U1425,B,22,H,CC,P
346-U1425B-24H-CC-PAL,0,5,174.99,175.04,"B Larcopyle pylomaticus  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Larcopyle pylomaticus,"Motoyama, 2013",,,,,,5.3,,,,,346,U1425,B,24,H,CC,P
346-U1425B-26H-CC-PAL,0,5,194.05,194.1,"T Lychnocanoma parallelipes  (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Lychnocanoma parallelipes,"Motoyama, 2013",,,,,,6.1,,,,,346,U1425,B,26,H,CC,P
346-U1425B-29H-CC-PAL,0,5,221.26,221.31,"RI Lithelius barbatus (Gradstein et al., 2012)",radiolarian,R,RI,Japan Sea / East Sea,RI Lithelius barbatus,"Motoyama, 2013",,,,,,7,,,,,346,U1425,B,29,H,CC,P
346-U1425B-30H-CC-PAL,0,5,230.94,230.99,"B Axoprunum acquilonium (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Axoprunum acquilonium,"Motoyama, 2013",,,,,,7,,,,,346,U1425,B,30,H,CC,P
346-U1425B-33H-CC-PAL,0,5,243.98,244.03,"B Lychnocanoma parallelipes  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Lychnocanoma parallelipes,"Motoyama, 2013",,,,,,7.4,,,,,346,U1425,B,33,H,CC,P
346-U1425B-34H-CC-PAL,0,6,253.4,253.46,"T Cycladophora nakasekoi  (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Cycladophora nakasekoi,"Motoyama, 2013",,,,,,7.4,,,,,346,U1425,B,34,H,CC,P
346-U1425B-48H-CC-PAL,0,5,322.69,322.74,"LC Lychnocanoma magnacornuta  (Gradstein et al., 2012)",radiolarian,R,LC,Japan Sea / East Sea,LC Lychnocanoma magnacornuta ,"Motoyama, 2013",,,,,,9,,,,,346,U1425,B,48,H,CC,P
346-U1425B-58X-CC-PAL,0,5,378.35,378.4,"B Cycladophora nakasekoi  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Cycladophora nakasekoi,"Motoyama, 2013",,,,,,10.1,,,,,346,U1425,B,58,X,CC,P
346-U1425B-60H-CC-PAL,0,5,402.45,402.5,"T Eucyrtidium inflatum (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Eucyrtidium inflatum,"Motoyama, 2013",,,,,,11.8,,,,,346,U1425,B,60,H,CC,P
