Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data
346-U1426A-3H-5-W 75/75-NANNO,0,0,18.75,18.75,M ,C ,,,,,,,,,R ,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-3H-CC-PAL,0,5,22.05,22.1,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-4H-3-W 75/75-NANNO,0,0,25.05,25.05,P ,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-4H-CC-PAL,0,5,31.6,31.65,G ,D ,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,C ,,C ,,,,,A ,,,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-5H-3-W 75/75-NANNO,0,0,34.25,34.25,G ,A ,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,D ,,,R ,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-5H-CC-PAL,0,6,40.24,40.3,G ,D ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F ,,,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-6H-2-W 90/90-NANNO,0,0,41.57,41.57,P ,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-6H-3-W 90/90-NANNO,0,0,42.98,42.98,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,R ,,A ,,,,,,,,,,,,,,,,,,R ,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-6H-4-W 45/45-NANNO,0,0,43.95,43.95,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-6H-CC-PAL,0,5,50.38,50.43,G ,D ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,C ,,,,,D ,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-7H-3-W 75/75-NANNO,0,0,53.31,53.31,M ,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-8H-4-W 42/42-NANNO,0,0,63.79,63.79,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-8H-CC-PAL,0,5,68.95,69,G ,D ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,D ,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-4-W 45/45-NANNO,0,0,72.4,72.4,M ,A ,,,,,,,,,,,R ,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,F ,,,,,C ,,,,,,,,,,,,,,,,,,F ,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-5-W 90/90-NANNO,0,0,73.86,73.86,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-6-W 63/63-NANNO,0,0,74.93,74.93,P ,A ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-7-W 102/102-NANNO,0,0,76.71,76.71,G ,C ,,,,,,,,,R ,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,A ,,,,,,,,,,,,,,,F ,,R ,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-8-W 3/4-NANNO,0,1,77.01,77.02,G ,C ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,A ,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-9H-CC-PAL,0,5,78.79,78.84,M ,A ,,,,,,,,,R ,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,C ,,,,,D ,,,,,,,,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-10H-4-W 100/100-NANNO,0,0,82.68,82.68,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-10H-5-W 51/51-NANNO,0,0,83.33,83.33,G ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,C ,A ,,,C ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-10H-6-W 101/101-NANNO,0,0,85.19,85.19,P ,F ,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,,,F ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-10H-7-W 81/81-NANNO,0,0,86.4,86.4,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,R ,R ,F ,,,C ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-10H-CC-PAL,0,5,88.84,88.89,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-11H-4-W 75/75-NANNO,0,0,92.42,92.42,M ,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,R ,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-11H-CC-PAL,0,5,98.72,98.77,M ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-12H-CC-PAL,0,5,107.32,107.37,M ,R ,,,,,,,,,,,F ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-13H-5-W 75/75-NANNO,0,0,113.06,113.06,P ,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,C ,,,,,,,,,,,,,,,,,R ,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-13H-6-W 75/75-NANNO,0,0,114.58,114.58,M ,A ,,,,,,,,,,,F ,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,R ,,A ,,,R ,,,,,,,,,,,,,,,,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,
346-U1426A-13H-7-W 75/75-NANNO,0,0,116.08,116.08,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-13H-CC-PAL,0,5,117.66,117.71,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,C ,R ,F ,,,,,,,,,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-14H-1-W 75/75-NANNO,0,0,117.25,117.25,G ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,R ,F ,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-14H-2-W 75/75-NANNO,0,0,118.46,118.46,G ,A ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,C ,,,,,C ,,,,,,,,,,,,,,,,,,F ,C ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-14H-3-W 75/75-NANNO,0,0,119.79,119.79,G ,A ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,C ,,,,,,,,,,,,,,,,,,R ,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-14H-CC-PAL,0,5,127.14,127.19,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F ,,C ,,,R ,,,,,,F ,,,,,,R ,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-15H-CC-PAL,0,5,136.79,136.84,G ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,R ,,C ,,,R ,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-16H-CC-PAL,0,5,145.37,145.42,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-17H-3-W 75/75-NANNO,0,0,148.53,148.53,M ,F ,,,,,,,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,C ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-17H-6-W 75/75-NANNO,0,0,153.03,153.03,M ,A ,,,,,,,,,,,F ,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,C ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-17H-CC-PAL,0,5,155.53,155.58,G ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
346-U1426A-18H-1-W 75/75-NANNO,0,0,155.25,155.25,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-18H-2-W 75/75-NANNO,0,0,156.75,156.75,P [P07],F [A22],,,,,,,,,,,F [A23],,,,,,,,,,,,,,,F [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,R [A23],,,R [A23],,F [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reworked specimens were observed,,,
346-U1426A-18H-3-W 36/36-NANNO,0,0,157.86,157.86,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-18H-5-W 75/75-NANNO,0,0,161.25,161.25,G [P07],C [A22],,,,,,,,,R [A23],,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-18H-CC-PAL,0,5,162.62,162.67,M [P07],F [A22],,,,,,,,,R [A23],,R [A23],,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,R [A23],,,,,,,,,,,,,R [A23],R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-19H-CC-PAL,0,6,172.43,172.49,P [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,F [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-20H-1-W 40/40-NANNO,0,0,172.6,172.6,P [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426A-20H-2-W 75/75-NANNO,0,0,173.67,173.67,M [P07],F [A22],,,,,,,,,,,R [A23],R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,R [A23],,,,,,,,,R [A23],,,,R [A23],R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
