Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1463C-21H-CC-PAL-NANNO,0,5,192.0,192.05,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C [A22],,,F,,,,,,,,,,P,,,,F,,,,,,,,,,P,,,,C,,,,,,,,,,,,,,,F,,,,,,V,A,,,,P,F,,,,C,,,,F,,,,P,,P,,,P,P,,,,,,,,,,356,U1463,C,21,H,CC,P
356-U1463C-22H-CC-PAL-NANNO,0,5,201.32,201.37,,,G [P33],F [A22],,,R,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,C,R,,,,,F,,,,R,,,,F,,,,,,,,,,P,,,R,,,,,,,356,U1463,C,22,H,CC,P
356-U1463C-24H-CC-PAL-NANNO,0,5,220.49,220.54,NN17 [G12],"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",M [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,C,A,,,,P,,,,,F,,,,F,,,,F,,,,,,R,,,,,,abundant small (lith?) fragments,,,,356,U1463,C,24,H,CC,P
356-U1463C-25H-CC-PAL-NANNO,0,5,229.97,230.02,,,G [P33],C [A22],,,R,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,A,C,,,,R,,,,,P,,,,F,,,,R,,P,,,R,R,,,,,,,,,,356,U1463,C,25,H,CC,P
356-U1463C-26H-CC-PAL-NANNO,0,5,238.84,238.89,,,G [P33],C [A22],,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,C,A,,,,R,,,R,,R,,,,F,,,,R,,,,,R,,,,,,,,,,,356,U1463,C,26,H,CC,P
356-U1463C-29H-CC-PAL-NANNO,0,5,265.58,265.63,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,R,,,,,,,,,,,,,,F,,,,,,,R,P,,,R,,,,,,,,,,,,,,,,,,C,,,,,,A,A,,,,,R,,R,,,,,,F,,,,R,,,,,P,R,,,,,,,,,,356,U1463,C,29,H,CC,P
356-U1463C-30H-6-PAL-NANNO,0,5,273.83,273.88,,,M [P33],D [A22],,,F,,,,,,,,,,R,,,,F,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,V,A,,R,,P,R,,R,,,,,,F,,,,R,,,,,,,,,,,,,,,,356,U1463,C,30,H,6,P
356-U1463C-31H-5-PAL-NANNO,0,5,280.67,280.72,,,G [P33],D [A22],,,R,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,C,,,,,,V,A,,C,,,,,,,,,,,F,,,,F,,F,,,F,,,R,,,,,,,,356,U1463,C,31,H,5,P
356-U1463C-32F-CC-PAL-NANNO,0,8,285.05,285.13,,,G [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,V,A,,C,,,,,,,,,,,F,,P,,,,,,,F,,,,,,,,,,,356,U1463,C,32,F,CC,P
356-U1463C-33F-2-PAL-NANNO,0,10,288.31,288.41,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,F,,,,R,,A,A,,C,,P,F,,R,,,,,,F,,,,R,,R,,,P,,,,F,,,,,,,356,U1463,C,33,F,2,P
356-U1463C-35F-4-PAL-NANNO,0,5,296.98,297.03,,,G [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,F,,,,F,,A,A,,A,,P,R,,R,,,,,,F,,,,R,,,,,R,R,,,F,,,,,,,356,U1463,C,35,F,4,P
356-U1463C-36F-4-PAL-NANNO,0,5,301.7,301.75,,,G [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,F,,,,F,,A,A,,A,,,,,,,,,,,F,,,,R,,P,,,R,,,,,,,,,,,356,U1463,C,36,F,4,P
356-U1463C-41F-3-PAL-NANNO,0,5,317.66,317.71,,,G [P33],D [A22],,,R,,,,,,,,,,P,,,,R,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,R,,,,C,,V,A,,A,,R,R,,R,,,,,,C,,,,R,,,,,R,,,,,,,,,,,356,U1463,C,41,F,3,P
356-U1463C-45F-2-PAL-NANNO,0,5,330.61,330.66,,,G [P33],A [A22],,,R,,,,,,,,,,,,,,R,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,R,,,,F,,A,A,,C,,,F,,R,,P,,,,C,,,P,R,,,,,R,P,,,F,,,,,,,356,U1463,C,45,F,2,P
356-U1463C-46F-3-PAL-NANNO,0,5,334.66,334.71,,,G [P33],D [A22],,,R,,,,,,,,,,,,,,F,,,,,,,P,R,,,R,,,,,,,,,,,,,,,,,,,,,,F,,V,C,,C,,,R,,R,,R,,,,C,,,P,R,,,,,R,,,,,,,,,,,356,U1463,C,46,F,3,P
356-U1463C-49F-3-PAL-NANNO,0,5,343.58,343.63,,,G [P33],D [A22],,,,,,,,,,,,,F,,,,F,,,,,,,F,P,,P,F,,,,,,,,,,,,,,,,,,,,,C,F,,V,C,,C,,,P,,,,,,,,F,,,,R,,,,,P,,,,,,,,,,,356,U1463,C,49,F,3,P
356-U1463C-52F-CC-PAL-NANNO,0,5,353.17,353.22,,,G [P33],D [A22],,,P,,,,,,,,,,P,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,P,,,C,C,C,V,A,,C,,R,R,,,,,,,,C,,,R,R,,,,,R,,,R,,,,,,,,356,U1463,C,52,F,CC,P
356-U1463C-56F-3-PAL-NANNO,0,5,369.72,369.77,,,G [P33],D [A22],,,,,,,,,,,,,,,,,F,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,C,R,,V,A,,A,,,R,,,,R,,,,F,,,,F,,,,,R,,,R,,,,,,,,356,U1463,C,56,F,3,P
356-U1463C-61F-CC-PAL-NANNO,0,5,392.44,392.49,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],A [A22],,,R,,,,,,,,,,,,,,,,,,,,P,,P,,,R,,,,,,,,,,,,,,,,,,P,,,F,F,,V,A,,A,,,,,,,F,,,,F,,,,,,,,,P,,,,,,P [A30],reworked R. bisecta present,,,,356,U1463,C,61,F,CC,P
