Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
356-U1462C-19R-CC-PAL-FORAM-150-2000,0,5,114.89,114.94,P [P39],F [A10],98,,,,,"Heavily abraded, most surficial features lost. Peloids and ostracods present.",30,,,,D [A109],,,,,F [A109],,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,F [A109],,,,,,,,,,P [A109],,,,,,,,,,,A [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812501,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812501,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812501, ",356,U1462,C,19,R,CC,PAL,FORAM-150-2000,,
356-U1462C-21R-CC-PAL-FORAM-150-2000,0,5,124.78,124.83,P [P39],F [A10],98,,IS,,,"Heavily abraded, most surficial features lost. Peloids present.",30,,,,D [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,F [A109],,,,,,,,,,P [A109],,,,,,,,,,,A [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812731,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812731,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812731, ",356,U1462,C,21,R,CC,PAL,FORAM-150-2000,,
356-U1462C-23R-2-PAL-FORAM-150-2000,0,6,136.3,136.36,P [P39],R [A10],100,,,,,"Almost barren of foraminifera, abundant ooids.",0,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812561,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812561,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812561, ",356,U1462,C,23,R,2,PAL,FORAM-150-2000,,
356-U1462C-27R-CC-PAL-FORAM-150-2000,0,5,153.8,153.85,P [P39],R [A10],99,,IS,,,Almost barren of foraminifera. High abrasion and fragmentation.,5,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812591,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812591,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812591, ",356,U1462,C,27,R,CC,PAL,FORAM-150-2000,,
356-U1462C-31R-CC-PAL-FORAM-150-2000,0,5,174.03,174.08,P [P39],R [A10],100,,,,,Very low abundance. High fragmentation. Ostracods present.,40,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812701, ",356,U1462,C,31,R,CC,PAL,FORAM-150-2000,,
356-U1462C-35R-CC-PAL-FORAM-150-2000,0,5,193.17,193.22,P [P39],F [A10],99,,,,,High abrasion and fragmentation. Glauconite present.,50,,,,F [A109],,,,,D [A109],,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812861,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812861,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812861, ",356,U1462,C,35,R,CC,PAL,FORAM-150-2000,,
356-U1462C-38R-CC-PAL-FORAM-150-2000,0,5,207.91,207.96,P [P39],F [A10],99,,IS,,,High encrustation and abundant quartz. Glauconite present.,15,,,,R [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,R [A109],,,,,,,,,,,F [A109],A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30813151,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30813151,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30813151, ",356,U1462,C,38,R,CC,PAL,FORAM-150-2000,,
356-U1462C-42R-CC-PAL-FORAM-150-2000,0,5,227.38,227.43,P [P39],F [A10],95,,,,,High encrustation and abundant quartz. Glauconite present.,70,,,,R [A109],,,,,A [A109],,P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30813391,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30813391,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30813391, ",356,U1462,C,42,R,CC,PAL,FORAM-150-2000,,
356-U1462C-45R-CC-PAL-FORAM-150-2000,0,5,242.54,242.59,P [P39],F [A10],95,,IS,,,High encrustation and abundant quartz. Glauconite present.,,,,,P [A109],,,,,A [A109],,A [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30814161,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30814161,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30814161, ",356,U1462,C,45,R,CC,PAL,FORAM-150-2000,,
356-U1462C-48R-CC-PAL-FORAM-150-2000,0,2,256.7,256.72,P [P39],,95,,,,,Heavy encrustation and fragmentation. Glauconite present.,,,,,P [A109],,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,D [A109],,,,,,,,,,A [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30814711,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30814711,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30814711, ",356,U1462,C,48,R,CC,PAL,FORAM-150-2000,,
356-U1462C-51R-CC-PAL-FORAM-150-2000,0,5,271.3,271.35,P [P39],,82,,,,,Heavy encrustation and fragmentation. Ostracods present.,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,R [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,A [A109],,,,,,,,P [A109],,,R [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30815211,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30815211,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30815211, ",356,U1462,C,51,R,CC,PAL,FORAM-150-2000,,
356-U1462C-55R-CC-PAL-FORAM-150-2000,0,5,290.59,290.64,P [P39],,91,,,,,Heavy encrustation and fragmentation.,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,F [A109],,,,,,,,P [A109],,,P [A109],P [A109],,,,,,,,,,,,,P [A109],,,,,P [A109],P [A109],,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30816691,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30816691,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30816691, ",356,U1462,C,55,R,CC,PAL,FORAM-150-2000,,
356-U1462C-59R-CC-PAL-FORAM-150-2000,0,5,310.09,310.14,P [P39],,40,,,,,Heavy encrustation and fragmentation.,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,R [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,R [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30817631,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30817631,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30817631, ",356,U1462,C,59,R,CC,PAL,FORAM-150-2000,,
356-U1462C-62R-CC-PAL-FORAM-150-2000,0,5,328.5,328.55,P [P39],,31,,,,,Heavy encrustation and fragmentation.,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,A [A109],,,,,,,A [A109],,,,,,,,,F [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,F [A109],,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30819271,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30819271,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30819271, ",356,U1462,C,62,R,CC,PAL,FORAM-150-2000,,
356-U1462C-66R-CC-PAL-FORAM-150-2000,0,5,353.37,353.42,P [P39],F [A10],29,,,,,Ostracods present.,0,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,A [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,D [A109],,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,F [A109],,,F [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30836481,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30836481,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30836481, ",356,U1462,C,66,R,CC,PAL,FORAM-150-2000,,
356-U1462C-69R-CC-PAL-FORAM-150-2000,0,5,369.76,369.81,P [P39],F [A10],22,,,,,Ostracods present.,0,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,A [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,A [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],R [A109],,,D [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30837621,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30837621,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30837621, ",356,U1462,C,69,R,CC,PAL,FORAM-150-2000,,
356-U1462C-73R-CC-PAL-FORAM-150-2000,0,5,387.56,387.61,P [P39],F [A10],26,,,,,Ostracods present.,0,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,A [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,R [A109],,,D [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,F [A109],,R [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30840311,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30840311,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30840311, ",356,U1462,C,73,R,CC,PAL,FORAM-150-2000,,
356-U1462C-77R-CC-PAL-FORAM-150-2000,0,5,407.46,407.51,P [P39],F [A10],21,,,,,Heavily encrusted.,0,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,D [A109],,,,,,,,,P [A109],,,,,,,,,R [A109],,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30841211,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30841211,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30841211, ",356,U1462,C,77,R,CC,PAL,FORAM-150-2000,,
356-U1462C-81R-CC-PAL-FORAM-150-2000,0,5,427.24,427.29,P [P39],F [A10],25,,,,,Heavily encrusted.. Ostracods present.,0,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,F [A109],,,,,P [A109],,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,R [A109],,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30845041,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30845041,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30845041, ",356,U1462,C,81,R,CC,PAL,FORAM-150-2000,,
