Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1448A-11H-CC-PAL-FORAMP,0,5,97.72,97.77,,,,,,,,,,1.3,,G,D,,,,,,,,,R,,,R,,,,F,F,,,C,,F,,,,,F,,,A,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,R,,,A,R,C,,,C,,,,F,,,F,,,,,,,,353,U1448,A,11,H,CC,PAL,
353-U1448A-12H-CC-PAL-FORAMP,0,5,107.19,107.24,,,,,,,,,,1.58,,G,D,,,,,,,,,R,,,F,,,,F,F,,,C,,F,,,,,F,,,A,C,,,C,,,,,,,,,,,,,,,,,,,,R,,R,,F,,,,,,,,,R,A,F,C,,,F,,,,F,,,F,,,,,,,,353,U1448,A,12,H,CC,PAL,
353-U1448A-13H-7-PAL-FORAMP,0,5,115.61,115.66,,,,,,,,,,1.88,,G,D,,,,,,,,,R,,,F,,,,F,R,,,C,,F,,C,,,F,,,A,A,,,C,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,F,A,F,C,,,F,,,,F,,,F,,,,,,,,353,U1448,A,13,H,7,PAL,
353-U1448A-14H-CC-PAL-FORAMP,0,5,126.43,126.48,,,,,,,,,,1.88,,G,D,,,,,,,,,,,,R,,,,,R,,,F,,R,,R,,,R,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,R,,,R,,,,F,,,R,,,,,,,,353,U1448,A,14,H,CC,PAL,
353-U1448A-15H-CC-PAL-FORAMP,0,5,135.58,135.63,,,,,,,,,,1.88,,G,D,,,,,,,,,,,,F,R,,,,R,,,F,,R,,R,,,R,,,C,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,F,C,F,,,R,,,,R,,,R,,,,,,,,353,U1448,A,15,H,CC,PAL,
353-U1448A-16H-CC-PAL-FORAMP,0,5,145.36,145.41,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,R,,,,,,,,F,,,R,,,,R,,,A,,,,R,,,,,,,,,,,,,R,,,,,,,,,R,,R,,R,,,,,,,F,R,C,F,,,R,,,,F,,,F,,,,,,,,353,U1448,A,16,H,CC,PAL,
353-U1448A-17H-CC-PAL-FORAMP,0,5,154.92,154.97,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,F,,,,,R,,,F,,,R,R,,,,,,C,R,,,F,,,R,,,,,,,,,,,,,,,,,R,,R,,R,,R,,,,,,,R,,F,F,,,R,,,,F,,,,,,,,,,,353,U1448,A,17,H,CC,PAL,
353-U1448A-18H-CC-PAL-FORAMP,0,5,164.34,164.39,,,,,,,,,,2.39,,G,D,,,,,,,,,R,,,R,,,,R,,,,R,,,,R,,,,,,A,R,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,F,R,,,R,,,,R,,,R,,,,,,,,353,U1448,A,18,H,CC,PAL,
353-U1448A-19H-CC-PAL-FORAMP,0,5,173.62,173.67,,,,,,,,,,2.39,,G,D,,,,,,,,,R,,,R,,,,R,,,,R,,,R,R,,,,,,A,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,,R,,,,,,,,R,F,F,,,R,,,,R,,,R,,,,,,,,353,U1448,A,19,H,CC,PAL,
353-U1448A-20H-CC-PAL-FORAMP,0,5,183.06,183.11,,,,,,,,,,2.39,,G,D,,,,,,,,,,,,R,,,,R,R,,,R,,R,C,R,,,R,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,R,,,,R,,,R,,,,,,,,353,U1448,A,20,H,CC,PAL,
353-U1448A-21H-CC-PAL-FORAMP,0,5,191.87,191.92,,,,,,,,,,2.39,,G,D,,,,,,,,,,,,F,,,,,,,,R,,,F,R,,,R,,,C,R,,,F,,,,,,,,,,,R,,R,,,,R,,,,,,,,,R,,R,,,,,,R,F,C,,,R,,,,,,,R,,,,,,,,353,U1448,A,21,H,CC,PAL,
353-U1448A-22H-CC-PAL-FORAMP,0,5,195.87,195.92,,,,,,,,,,2.39,,G,D,,,,,,,,,,,,F,,,,,R,,,F,,,F,,,,R,,,C,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,F,,R,F,,,R,,,,,,,R,,,,,,,,353,U1448,A,22,H,CC,PAL,
353-U1448A-23H-CC-PAL-FORAMP,0,5,204.27,204.32,,,,,,,,,,2.39,3.33,G,D,,,,,,,,,,,,F,,,,R,,,,F,,,F,R,,,,,,C,R,,,F,,,,,,,,,,,R,,,R,,,,,,,,R,,R,,R,,R,,,,F,R,,F,F,,R,R,,,,R,,,R,,,,,,,,353,U1448,A,23,H,CC,PAL,
353-U1448A-24F-CC-PAL-FORAMP,0,5,209.2,209.25,,,,,,,,,,3.47,3.33,G,D,,,,,,,,,,F,,C,,,,,,,,F,,R,F,R,,,R,,,F,R,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,F,,,,,,,C,,,R,R,,,,,,,F,,,,,,,,353,U1448,A,24,F,CC,PAL,
353-U1448A-25F-CC-PAL-FORAMP,0,5,214.06,214.11,,,,,,,,,,3.47,3.35,G,D,,,,,,,,,R,C,,R,,,,R,,,,F,,R,F,,,,,,,A,R,,,R,,,,,,,,,,,F,,R,,,,,,,R,,R,,,,,,R,,,,,,,F,R,,R,R,,,,,,,R,,,,,,,,353,U1448,A,25,F,CC,PAL,
353-U1448A-26F-CC-PAL-FORAMP,0,5,218.81,218.86,,,,,,,,,,3.58,,G,D,,,,,,,,,R,C,,,,,,R,,,,,,R,F,,,,,,,A,R,,,F,,,,,,,,,,,R,,,,,,R,,,,,,,,,R,,R,,,,,,R,F,F,,,F,,,,,,,F,,R,,,,,,353,U1448,A,26,F,CC,PAL,
353-U1448A-27F-CC-PAL-FORAMP,0,5,223.61,223.66,,,,,,,,,,3.58,,G,D,,,,,,,,,,C,,R,,,,,,,,R,,,F,,,,R,,,C,F,,,F,,,,,,,,,,,R,,R,,,,,,,,,,,R,,R,,,,,,R,F,,,F,,,R,,,,,,,F,,R,,,,,,353,U1448,A,27,F,CC,PAL,
353-U1448A-28F-CC-PAL-FORAMP,0,5,228.36,228.41,,,,,,,,,,3.85,,G,D,,,,,,,,,,A,,F,,,,R,R,,,F,,F,C,,,,C,,,A,A,,,C,,,,,,,,,,,,R,F,,,,,,,F,R,,,F,,,,,,,,F,R,C,R,F,,,F,,,,,,,F,,R,,,,,,353,U1448,A,28,F,CC,PAL,
353-U1448A-29F-CC-PAL-FORAMP,0,5,233.22,233.27,,,,,,,,,,3.85,,G,D,,,,,,,,,F,A,,R,,,,R,R,,,R,,C,A,,,,C,,,C,A,,,C,,,R,,,,,,,,,,C,,,,F,,,,,,,F,,,,,,,,F,,A,R,C,,,R,,,,,,,C,,C,,,,,,353,U1448,A,29,F,CC,PAL,
353-U1448A-30F-CC-PAL-FORAMP,0,5,238.07,238.12,,,,,,,,,,3.85,5.57,G,D,,,,,,,,,R,C,,,,,,,,,,,,R,C,,,,C,,,C,A,,,C,,R,,,,,,,,,,R,F,,,,C,,,R,,,,R,,R,,,,,,F,R,C,,F,,,F,,,,,F,,F,,F,,,,,,353,U1448,A,30,F,CC,PAL,
353-U1448A-31F-CC-PAL-FORAMP,0,5,242.82,242.87,,,,,,,,,,3.85,5.57,G,D,,,,,,,,,,F,R,,,,,R,,,,F,,,A,,,,A,,,,A,,,C,,R,R,,,R,,,,,R,F,F,,,,C,,,F,,,,F,,,,,,,,F,F,A,F,C,,,F,,,,,R,,R,,R,,,,,,353,U1448,A,31,F,CC,PAL,
353-U1448A-32F-CC-PAL-FORAMP,0,5,247.63,247.68,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,A,,,,,,F,,,,,,R,A,,,,C,,,,A,,,A,,,,,,R,,,,,F,,F,,,,F,,,R,,,,F,,R,,,,,,F,,A,,C,,,F,,,,,F,,,C,C,,,,,,353,U1448,A,32,F,CC,PAL,
353-U1448A-33F-CC-PAL-FORAMP,0,5,252.42,252.47,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,A,,R,,,,R,,,,R,,R,A,,,,A,,,,A,,,C,,,,,,F,,,,,F,F,F,,,,F,,,R,,,,F,,R,,,,,,F,,C,,F,,,F,,,,,,,,,F,,,,,,353,U1448,A,33,F,CC,PAL,
353-U1448A-34F-CC-PAL-FORAMP,0,5,257.16,257.21,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,A,,R,,,,R,,,,R,,,A,,,,A,,,,C,,,C,,,,,,,,,,,F,F,F,,,,F,,,R,,,,R,,R,,,,,,F,,C,,,,,F,,,,,,,,C,F,,,,,,353,U1448,A,34,F,CC,PAL,
353-U1448A-35F-CC-PAL-FORAMP,0,5,261.98,262.03,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,C,,F,,,,R,,,,,,,C,,,,C,,,,F,,,C,,,,,,F,,,,,R,,,,,,,,,R,,,,,,R,,,,R,,R,R,,C,F,,R,R,,,,,,,,R,F,,,,,,353,U1448,A,35,F,CC,PAL,
353-U1448A-36F-CC-PAL-FORAMP,0,5,266.74,266.79,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,C,,F,,,,,,,,,,,F,,,,C,,,,R,,,F,,R,,,,R,,,,,F,R,R,,F,,,,,,,,,R,,,,,,R,,R,,,F,R,,,R,,,,,,,,F,R,,,,,,353,U1448,A,36,F,CC,PAL,
353-U1448A-37F-CC-PAL-FORAMP,0,4,271.45,271.49,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,C,,F,,,,,,,,F,,F,F,,,,F,,,,R,,,R,,R,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,R,,,,,,353,U1448,A,37,F,CC,PAL,
353-U1448A-38F-CC-PAL-FORAMP,0,5,276.3,276.35,,,,,,,,,,,5.57,G,D,,,,,,,,,,C,,R,,,,,,,,,,R,F,,,,C,,,,R,,,F,,F,,,,,,,,,R,,R,,R,,,,,,,,,R,,,,,,,,R,,,F,C,,R,R,,,,,,,,F,F,,,,,,353,U1448,A,38,F,CC,PAL,
353-U1448A-39F-CC-PAL-FORAMP,0,5,281.12,281.17,,,,,,,,,,,5.57,G,D,,,,,,,,,R,C,,R,,,,,,,,,,,F,,,,,,,,R,,,F,,,,,,,,,,,R,,,,R,,,,,,,,,R,,R,,,,,,R,R,,F,F,,,R,,,,,,,,,R,,,,,,353,U1448,A,39,F,CC,PAL,
353-U1448A-40F-CC-PAL-FORAMP,0,5,285.97,286.02,,,,,,,,,,,5.57,G,D,,,,,,,,,R,C,,F,,,,,,,,,,,C,,,,F,,,,,,,C,,R,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,R,,,R,,C,F,,,R,,,,,,,,R,R,,,,,,353,U1448,A,40,F,CC,PAL,
353-U1448A-41F-CC-PAL-FORAMP,0,5,290.67,290.72,,,,,,,,,,,5.57,G,D,,,,,,,,,R,C,,F,,,,R,,,,R,,R,F,,,,C,,,,R,,,F,,,,,,,,,,,R,R,,,,,,,,,,,,R,,R,,,,R,,,R,,C,F,,,R,,,,,R,,,R,R,,,,,,353,U1448,A,41,F,CC,PAL,
353-U1448A-42F-CC-PAL-FORAMP,0,4,295.53,295.57,,,,,,,,,,,5.57,G,D,,,,,,,,,R,F,,F,,,,,,,,,,R,F,,,,C,,,,R,,,C,,R,,,,,,,,,R,,,,,,R,,,R,,,,R,,,,R,,R,,R,,,F,C,,,R,,,,,R,,,R,R,,,,,,353,U1448,A,42,F,CC,PAL,
353-U1448A-43F-CC-PAL-FORAMP,0,5,300.38,300.43,,,,,,,,,,,5.57,G,D,,,,,,,,,,F,,,,,,,,,,,,R,F,,,,C,,,,R,,,C,,,,,,,,,,,R,R,,,,,R,,,R,,,,R,,R,,,,,,,,,F,F,,,R,,,,,R,,,R,R,,,,,,353,U1448,A,43,F,CC,PAL,
353-U1448A-44F-CC-PAL-FORAMP,0,5,305.35,305.4,,,,,,,,,,,5.57,G,D,,,,,,,,,R,F,,R,,,,,,,,,,R,C,,,,,,,,F,,,C,,,,,,,,,,,R,,R,,,,R,,,,,,,R,,R,,,,F,,R,R,,F,F,,,R,,,,,,,,F,F,,,,,,353,U1448,A,44,F,CC,PAL,
353-U1448A-45F-CC-PAL-FORAMP,0,5,310.03,310.08,,,,,,,,,,,5.57,G,D,,,,,,,,,,F,,F,,,,,,,,,,R,F,,,,C,,,,R,,,C,,R,,,,,,,,,R,R,,,R,,R,,,,,,,R,,,,,,F,,R,F,,F,R,,,F,,,,,,,,F,F,,,,,,353,U1448,A,45,F,CC,PAL,
353-U1448A-46F-CC-PAL-FORAMP,0,5,314.89,314.94,,,,,,,,,,,5.57,G,D,,,,,,,,,,F,,,,,,,,,,,,R,F,,,,C,,,,R,,,A,,F,,,,,,,,,R,,,,,,R,,,R,,,,R,,,,F,,R,,C,,,F,F,,,R,,,,,R,,,F,F,,,,,,353,U1448,A,46,F,CC,PAL,
353-U1448A-47F-CC-PAL-FORAMP,0,5,319.64,319.69,,,,,,,,,,,5.57,G,D,,,,,,,,,R,C,,,,,,,,,,R,,F,A,,,,C,,,,A,,,C,,F,,,,,,,,,F,,F,,,,F,,,F,,,,F,,R,,R,R,,,F,R,C,,C,,,R,,,,,C,,,,R,,,,,,353,U1448,A,47,F,CC,PAL,
353-U1448A-48F-CC-PAL-FORAMP,0,5,324.55,324.6,,,,,,,,,,,5.57,G,D,,,,,,,,,,A,R,,,,,,,,,,,R,A,,,,C,,,,F,,,F,,R,,,,,,,,,,,F,,,,,,,F,,,,R,,R,,,R,,,C,,F,,,,,R,,,,,C,,,F,R,,,,,,353,U1448,A,48,F,CC,PAL,
353-U1448A-49F-CC-PAL-FORAMP,0,5,328.51,328.56,,,,,,,,,,5.57,6.08,G,D,,,,,,,,,R,A,,,,,,R,,,,,,R,A,,,,A,,,,C,,,C,,R,,,,,,,,,R,,F,,,,R,,,,,,,,,,,R,,,,C,,C,,C,,,C,,,,,R,,,F,F,,,,,,353,U1448,A,49,F,CC,PAL,
353-U1448A-50F-CC-PAL-FORAMP,0,5,334.22,334.27,,,,,,,,,,5.57,6.08,G,D,,,,,,,,,R,F,,,,,,R,,,,R,,,D,,,,C,,,,C,,,F,,R,,,,,,,,,R,R,F,,,,F,,,R,,,,,,R,,,R,,,C,F,C,,F,,,F,,,,,F,,,F,F,,,,,,353,U1448,A,50,F,CC,PAL,
353-U1448A-51F-CC-PAL-FORAMP,0,5,338.55,338.6,,,,,,,,,,5.57,6.08,G,D,,,,,,,,,R,C,R,,,,,,,,,,,R,C,,,,C,,,,C,,,C,,F,,,,,,,,,F,R,F,,,,R,,,R,,,,,,R,,F,F,R,,C,R,C,R,C,,,F,,,,,,,,C,F,,,,,,353,U1448,A,51,F,CC,PAL,
353-U1448A-52F-CC-PAL-FORAMP,0,5,343.55,343.6,,,,,,,,,,5.57,6.08,G,A,,,,,,,,,,C,R,,,,,,,,,,,,C,,,,,,,,,,,C,,F,,,,,,,,,F,R,F,,,,,,,R,,,,,,R,,,,R,,C,F,C,,F,,R,F,,,,,,,,C,F,,,,,,353,U1448,A,52,F,CC,PAL,
353-U1448A-53X-CC-PAL-FORAMP,0,5,353.28,353.33,,,,,,,,,,,6.08,G,D,,,,,,,,,,,,,,,,,,,,R,,R,A,,,,C,,,,C,,,A,,F,,,,,,,,,R,,R,,,,,,,C,,,,,,,,,R,,,C,,C,,C,,,F,,,,,,,,C,,,,,,,353,U1448,A,53,X,CC,PAL,
353-U1448A-54X-CC-PAL-FORAMP,0,5,362.93,362.98,,,,,,,,,,,6.08,G,D,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,C,,,C,,,,,,,,,,,,F,F,,,,F,,,F,,,,,,R,,,,,,C,R,C,,F,,,F,,,,,R,,,C,F,,,,,,353,U1448,A,54,X,CC,PAL,
353-U1448A-55X-CC-PAL-FORAMP,0,5,372.59,372.64,,,,,,,,,,5.92,8.58,G,C,,,,,,,,,,F,R,R,,,,,,,,R,,,C,,,,,,,,C,,,C,R,R,,,,,,,,,,,R,,,,R,,,,,,,,,F,,,,,,C,,F,,C,,,F,,,,,,,,F,F,,,,,,353,U1448,A,55,X,CC,PAL,
353-U1448A-56X-CC-PAL-FORAMP,0,5,382.19,382.24,,,,,,,,,,13.8,,G,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1448,A,56,X,CC,PAL,
353-U1448A-57X-CC-PAL-FORAMP,0,5,391.95,392.0,,,,,,,,,,14.53,16.38,G,F,,,,,,,,,,,F,,R,,,,,,,,,,,,A,,,,,,,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1448,A,57,X,CC,PAL,
353-U1448A-58X-CC-PAL-FORAMP,0,5,401.76,401.81,,,,,,,,,,14.66,16.38,G,F,,,,,,,,,,,F,F,F,,,,,,,,,,,,C,,,,,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1448,A,58,X,CC,PAL,
353-U1448A-59X-CC-PAL-FORAMP,0,5,411.36,411.41,,,,,,,,,,14.78,16.27,G,F,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1448,A,59,X,CC,PAL,
353-U1448A-60X-CC-PAL-FORAMP,0,5,420.55,420.6,,,,,,,,,,14.78,16.27,G,C,,,,,,,,,,F,R,C,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1448,A,60,X,CC,PAL,
