Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens ,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data
371-U1508C-11R-3-W 70/70-NANNO,0,0,468.35,468.35,NP19-20,M,A,B I.recurvus,,,,,,,,,,R,,,,,,,,,,,,2,,,,,2,,R,3,C,,,,,,,1,C,F,,,R,,,,,,,,,,,,2,,,,,1,,,,R,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,F,,,,,,,,,2,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-11R-CC-PAL-NANNO,0,10,472.2,472.3,NP18?,M/P,A,,,,,,,,,,,R,,,,,,,,,,,1cf,2,,,,,1,,R,,C,,,,,,,2,C,F,,,R,,,,,,,,,,,,R,,R,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,,,1,1,,,,2,1,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-12R-CC-PAL-NANNO,0,10,479.52,479.62,NP18,M,A,,,,,,,,,,,F,,,,,,,,,,1,R,2,,,,,2,,F,1,C,,,,,,,2,F,R,,,2,,,,,,,,,,,,,,R,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,2,,,,,,,,,2,2,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-13R-1-W 70/70-NANNO,0,0,484.9,484.9,NP18,M,A,"B C. oamaruensis, T C. grandis",,,,,,,,,,R,,,,,,,,,,1,2,4,,,,,,,R,1,C,,,,,,,1,C,R,,,1,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,F,,,,,1,,,1,1,,,,,,,,C,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-13R-2-W 60/60-NANNO,0,0,486.27,486.27,NP17,M,A,,,,,,,,,,,F,,,,,,,,,1,2,,3,,,,,,,R,,C,,,,,,,R,C,2,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,F,,,,,,,,2,2,,,,,,,,C,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-13R-CC-PAL-NANNO,0,10,491.6,491.7,NP17,M,A,,,,,,,,,,,F,,,,,,,,,,1,,3,,,,,2,,R,,C,,,,,,,F,F,2,,,2,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-14R-CC-PAL-NANNO,0,10,503.96,504.06,NP17,M,A,,,,,,,,,,,R,,,,,,,,,,2,,R,,,,,2,,R,1,C,,,,,,,2,C,R,,,4,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,F,2,,R,1,,,,1,,1,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-15R-CC-PAL-NANNO,0,10,503.6,503.7,NP17,M,A,,,,,,,,,,,F,,,,,,,R,,1,3,,R,,,1,,4,,F,3,C,,,,,,,,C,R,,,R,,,,,,,,,,,,,,1,,,,,,,R,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,R,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,1,,,,,2,,1,,1,,2,1,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-16R-CC-PAL-NANNO,0,10,513.26,513.36,NP17,M,A,,,,,,,,,,,F,,,,,,,,,,3,,R,,,,,1,,F,2,C,,,,,,,R,F,R,,,R,,,,,,,,,,,,2,,1,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,,,,1,1,,,,2,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-17R-CC-PAL-NANNO,0,10,523.42,523.52,NP17,M/P,A,T S. spiniger B S. obtusus,,,,,,,,,,F,,,,,,,1,,2,R,,R,,1,,,,1,C,,C,,,,,,,,R,1,,,R,,,,,,,,,,,,1,,1,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,2,,6,3,,,,1,1,,,,1,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-18R-1-W 20/20-NANNO,0,0,532.3,532.3,NP17,M,A,B D. bisectus,,,,,,,,,,R,,,,,,,,,,2,,R,,,,,1,,C,VR,C,,,,,,,,R/F,1,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,F,,,,1,3,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-18R-CC-PAL-NANNO,0,10,532.6,532.7,NP16,M,A,,,,,,,,,,,R,,,,,,,,,,R,,R,,,,,,,C,VR,C,,,,,,,,R,-,,,VR,,,,,,,,,,,,1,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,F,,,,2,R,,,1,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-19R-1-W 20/20-NANNO,0,0,536.8,536.8,NP16,M/P,A,,,,,,,,,,,R,,,,,,,,,,2,,3,,,,,2,,C,1,C,,,,,,,3,2,,,,3,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,R,,,1,,2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-19R-CC-PAL-NANNO,0,10,537.02,537.12,NP16,M,A,T S. furcatolithoides B,,,,,,,,,,R,2,,,,,,,,,2,,VR,,,,,R,,C,,C,,,,,,,,-,-,,,F,,,,,,,,,,,,1,,,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,F,,,,1,R,,,1,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-20R-CC-PAL-NANNO,0,10,550.63,550.73,NP16,M,A,,,,,,,,,,,R,1,,,,,,,,,R,,VR,,,,,R,,F,VR,C,,,,,,,,,,,,F,,,,,,,,,,,,2,,,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,R,,F,,,,1,F,,VR,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-21R-CC-PAL-NANNO,0,10,561.12,561.22,NP16,P,A,,,,,,,,,,,R,1,,,,,,,,,R,,R,,,,,R,,F,VR,C,,,,,,,,1,,,,F,,,,,,,,,,,,2,,,,,,,,,1cf,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,R,,,,,,,,,1,,,,,,VR,F,,,,,,,,,,,,R,,F,,,,1,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-22R-CC-PAL-NANNO,0,10,567.57,567.67,NP16,M,A,B C. reticulatum,,,,,,,,,,R,,,,,,,,,,R,,R,,,,,VR,,F,R,C,,,,,,,,,,,,F,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,R,,,,,,,,,,,,,,,5,F,,,,,,,,,,,,F,,F,,,,1,F,,VR,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-23R-2-W 75/75-NANNO,0,0,572.42,572.42,NP16,M,A,,,,,,,,,,,R,1,,,,,,,,,R,,R,,,,,VR,,F,R,C,,,,,,,R,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,-,F,,,,,,,,,,,,R,,F,,,,1,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-23R-CC-PAL-NANNO,0,10,579.56,579.66,NP16,M,A,,,,,,,,,,,R,2,,,,,,,,,R,,F,,,,,VR,,F,R,C,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,-,R,,,,,,,,,,,,3,,F,,,,1,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-24R-4-W 70/70-NANNO,0,0,584.87,584.87,NP16,M/P,A,,,,,,,,,,,R,,,,,,,,,,R,,F,,,,,,,F,R,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,R,,,1,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-24R-CC-PAL-NANNO,0,10,589.15,589.25,NP16/15c?,M,A,,,,,,,,,,,R,1,,,,,,,,,R,,F,,,,,,,R,VR,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,2cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,VR,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,F,,,,1,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-25R-CC-PAL-NANNO,0,10,597.96,598.06,NP16/15c?,M,A,T N. cristata,,,,,,,,,,F,1,,,,,,,,,R,,F,,,,,VR,,F,,C,,,,,,,R,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,F,,,,,R,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-26R-CC-PAL-NANNO,0,10,606.76,606.86,NP16/15c?,M,A,B S. furcatolithoides B,,,,,,,,,,R,,,,,,,,,cf,1,,1,,,,,VR,,C,,C,,,,,,,R,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,VR,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,2,,F,,,,1,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-27R-CC-PAL-NANNO,0,10,614.82,614.92,NP15c,P,A,,,,,,,,,,,R,1,,,,,,,,,R,,R,,,,,,,F,,C,,,,,,,R,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,R,,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,1,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-28R-4-W 75/75-NANNO,0,0,623.39,623.39,NP15c,P,A,T C. gigas,,,,,,,,,,R,,,,,,,,,,R,,2,,,,,2,,F,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,R,,,,,3,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-28R-CC-PAL-NANNO,0,10,628.09,628.19,NP15b,M/P,A,,,,,,,,,,,R,,,,,,,,,2,,,3,,,,,R,,F,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,1,,,,,,,,,,,,,,,,R,,,,,,,2,,,,R,6,,R,,,,,1,,3,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
