Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1502A-16R-CC-PAL(0-5)-FORAM,0,5,509.6,509.65,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,16,R,CC,PAL(0-5),FORAM
368-U1502A-17R-CC-PAL(0-5)-FORAM,0,5,519.6,519.65,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,17,R,CC,PAL(0-5),FORAM
368-U1502A-18R-CC-PAL(15-20)-FORAM,0,5,534.61,534.66,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,18,R,CC,PAL(15-20),FORAM
368-U1502A-21R-CC-PAL(0-1)-FORAM,0,1,557.3,557.31,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,21,R,CC,PAL(0-1),FORAM
368-U1502A-24R-CC-PAL(17-22)-FORAM,0,5,588.9,588.95,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,24,R,CC,PAL(17-22),FORAM
368-U1502A-25R-5-W 35/37-PAL,0,2,601.83,601.85,,,,,,,,,,,,,,M,A,90,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,25,R,5,W,35/37-PAL
368-U1502A-25R-CC-PAL(7-12)-FORAM,0,5,602.45,602.5,,,,,,,,,,,,,,P,C,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,25,R,CC,PAL(7-12),FORAM
368-U1502A-26R-CC-PAL(0-5)-FORAM,0,5,606.26,606.31,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,26,R,CC,PAL(0-5),FORAM
368-U1502A-27R-CC-PAL(0-1)-FORAM,0,1,614.6,614.61,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,27,R,CC,PAL(0-1),FORAM
368-U1502A-28R-CC-PAL(16-21)-FORAM,0,5,627.13,627.18,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,28,R,CC,PAL(16-21),FORAM
368-U1502A-29R-CC-PAL(26-31)-FORAM,0,5,643.41,643.46,,,,,,,,,,,,,,M,A,70,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,29,R,CC,PAL(26-31),FORAM
368-U1502A-30R-CC-PAL(16-21)-FORAM,0,5,653.22,653.27,"B Globoturborotalita nepenthes (Gradstein et al., 2012)",B,,11.63,M10,"M10 - Globigerinella praesiphonifera Partial-range Zone (Gradstein et al., 2012)",,,11.63,,,11.79,,P,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,30,R,CC,PAL(16-21),FORAM
368-U1502A-31R-CC-PAL(15-20)-FORAM,0,5,662.7,662.75,,,,,,,,,,,,,,P,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1502,A,31,R,CC,PAL(15-20),FORAM
368-U1502A-32R-CC-PAL(11-16)-FORAM,0,5,671.82,671.87,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,32,R,CC,PAL(11-16),FORAM
368-U1502A-33R-CC-PAL(19-24)-FORAM,0,5,679.03,679.08,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,33,R,CC,PAL(19-24),FORAM
368-U1502A-34R-CC-PAL(18-23)-FORAM,0,5,688.87,688.92,,,,,,,,,,,,,,P,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,34,R,CC,PAL(18-23),FORAM
368-U1502A-35R-CC-PAL(0-5)-FORAM,0,5,698.8,698.85,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,35,R,CC,PAL(0-5),FORAM
368-U1502A-36R-CC-PAL(0-5)-FORAM,0,5,710.41,710.46,"T Catapsydrax dissimilis (Gradstein et al., 2012)",T,,17.54,M4a,"M4a - Dentoglobigerina venezuelana Partial-range Subzone (Gradstein et al., 2012)",,,16.69,,,17.54,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,36,R,CC,PAL(0-5),FORAM
368-U1502A-37R-CC-PAL(0-5)-FORAM,0,5,719.57,719.62,,,,,,,,,,,,,,P,A,90,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,37,R,CC,PAL(0-5),FORAM
368-U1502A-38R-CC-PAL(0-5)-FORAM,0,5,728.27,728.32,"T Paragloborotalia kugleri (Gradstein et al., 2012)",T,,21.12,M2,"M2 - Globoquadrina binaiensis Partial-range Zone (Gradstein et al., 2012)",,,19.3,,,21.12,,P,A,90,,,,,,,D,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,38,R,CC,PAL(0-5),FORAM
368-U1502A-39R-CC-PAL(14-19)-FORAM,0,5,734.82,734.87,,,,,,,,,,,,,,M,A,90,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,39,R,CC,PAL(14-19),FORAM
368-U1502A-40R-5-W 74/75-NANNO-FORAM,0,2,745.96,745.98,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,40,R,5,W,74/75-NANNO-FORAM
368-U1502A-40R-CC-PAL(23-28)-FORAM,0,5,747.48,747.53,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,40,R,CC,PAL(23-28),FORAM
