Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1501C-11H-CC-PAL(39-44),0,5,104.86,104.91,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,R [A88],,P [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,P [A88],,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,11,H,CC,P
368-U1501C-12H-CC-PAL(28-33),0,5,113.92,113.97,Fohsella fohsi,T,,11.79,M10 [G12],"M10 - Globigerinella praesiphonifera Partial-range Zone (Gradstein et al., 2012)",,,11.63,,,11.79,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,12,H,CC,P
368-U1501C-13H-CC-PAL(21-26),0,5,123.78,123.83,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,P [A88],,,P [A88],P [A88],,,,,,,P [A88],,P [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,13,H,CC,P
368-U1501C-14H-CC-PAL(21-26),0,5,131.48,131.53,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,P [A88],,,,R [A88],,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,R [A88],,,,,,,,,,F [A88],,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,14,H,CC,P
368-U1501C-15H-CC-PAL(20-25),0,5,142.14,142.19,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,A [A88],,P [A88],,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,R [A88],,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,15,H,CC,P
368-U1501C-16H-CC-PAL(26-31),0,5,151.75,151.8,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A88],,,,R [A88],,,,,,,R [A88],,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,16,H,CC,P
368-U1501C-17H-CC-PAL(0-5),0,5,156.7,156.75,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,D [A88],,P [A88],,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,R [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,17,H,CC,P
368-U1501C-18F-CC-PAL,0,5,161.67,161.72,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,R [A88],,D [A88],,P [A88],,,P [A88],,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,18,F,CC,P
368-U1501C-19F-CC-PAL(25-30),0,5,166.25,166.3,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,F [A88],,D [A88],,P [A88],,,A [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,19,F,CC,P
368-U1501C-20F-CC-PAL(23-28),0,5,169.92,169.97,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,D [A88],,P [A88],,,A [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,20,F,CC,P
368-U1501C-21F-CC-PAL(23-28),0,5,175.92,175.97,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,D [A88],,P [A88],,,A [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,21,F,CC,P
368-U1501C-22F-CC-PAL(23-28),0,5,180.55,180.6,Praeorbulina sicana,B,,16.38,M5a [G12],"M5a - Praeorbulina sicana Lowest-occurrence Subzone (Gradstein et al., 2012)",,,16.27,,,16.38,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A88],,,,F [A88],,D [A88],,R [A88],,,P [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,22,F,CC,P
368-U1501C-23F-CC-PAL(27-32),0,5,184.4,184.45,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,A [A88],,,,F [A88],,D [A88],,R [A88],,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,23,F,CC,P
368-U1501C-24F-CC-PAL(10-15),0,5,189.42,189.47,Catapsydrax dissimilis,T,,17.54,M4a [G12],"M4a - Dentoglobigerina venezuelana Partial-range Subzone (Gradstein et al., 2012)",,,16.69,,,17.54,,G [P32],A [A87],90,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,F [A88],,,,F [A88],,F [A88],,R [A88],,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,24,F,CC,P
368-U1501C-25F-CC-PAL(0-5),0,5,193.3,193.35,,,,,,,,,,,,,,G [P32],R [A87],5,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,F [A88],,,,,,,F [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,25,F,CC,P
368-U1501C-26F-CC-PAL(25-30),0,5,198.33,198.38,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,F [A88],,,,A [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,26,F,CC,P
368-U1501C-27F-CC-PAL(29-34),0,5,204.03,204.08,Globoquadrina binaiensis,T,,19.09,M3 [G12],"M3 - Globigerinatella sp./Catapsydrax dissimilis Concurrent-range Zone (Gradstein et al., 2012)",,,17.54,,,19.3,,G [P32],A [A87],90,,,,,,,F [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,R [A88],,F [A88],,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,27,F,CC,P
368-U1501C-28F-CC-PAL(20-25),0,5,208.65,208.7,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,F [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,P [A88],P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,28,F,CC,P
368-U1501C-29F-CC-PAL(17-22),0,5,212.67,212.72,Paragloborotalia kugleri,T,,21.12,M2 [G12],"M2 - Globoquadrina binaiensis Partial-range Zone (Gradstein et al., 2012)",,,19.3,,,21.12,,G [P32],A [A87],90,,,,,,,F [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,P [A88],P [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,29,F,CC,P
368-U1501C-30F-CC-PAL(22-27),0,5,217.54,217.59,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,R [A88],,,,P [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,,P [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,30,F,CC,P
368-U1501C-31F-CC-PAL(19-24),0,5,221.53,221.58,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,R [A88],,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,31,F,CC,P
368-U1501C-32F-CC-PAL(24-29),0,5,226.42,226.47,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,R [A88],,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,32,F,CC,P
368-U1501C-33F-CC-PAL(30-35),0,5,231.78,231.83,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,F [A88],,,,,,F [A88],,,,P [A88],,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,33,F,CC,P
368-U1501C-34F-CC-PAL(26-31),0,5,235.67,235.72,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,,,,,,,F [A88],,,,,P [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,34,F,CC,P
