Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1462C-27R-CC-PAL-FORAM-150-2000,0,5,153.8,153.85,,,,,,,,,,B [A101],,,,,,,,,99% crusted bits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,27,R,CC,P
356-U1462C-31R-CC-PAL-FORAM-150-2000,0,5,174.03,174.08,,,,,,,,,,B [A101],,,,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,31,R,CC,P
356-U1462C-35R-CC-PAL-FORAM-150-2000,0,5,193.17,193.22,,,,,,,,,,B [A101],,,,,,,,,"1 PF, Mollusk, Gastropod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,35,R,CC,P
356-U1462C-38R-CC-PAL-FORAM-150-2000,0,5,207.91,207.96,,,,,,,,,,B [A101],,,,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,38,R,CC,P
356-U1462C-42R-CC-PAL-FORAM-150-2000,0,5,227.38,227.43,,,,,,,,,,B [A101],,,,,,,,,"1 PF, Ostracod (P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,42,R,CC,P
356-U1462C-45R-CC-PAL-FORAM-150-2000,0,5,242.54,242.59,,,,,,,,,,VR [101],P [P39],,5,,,,,,"2 PF, Pteropod (P); BF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,45,R,CC,P
356-U1462C-48R-CC-PAL-FORAM-150-2000,0,2,256.7,256.72,,,,,,,,,,VR [101],P [P39],,,,,,,,few unidentifiable PF; Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,48,R,CC,P
356-U1462C-51R-CC-PAL-FORAM-150-2000,0,5,271.3,271.35,,,,,,,,,,VR [101],P [P39],S [F02],5,3,,,,,"2 PF, Ostracod (R), few cemented forams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,51,R,CC,P
356-U1462C-55R-CC-PAL-FORAM-150-2000,0,5,290.59,290.64,,,,,,,,,,R [A101],P [P39],S [F02],20,3,,,,,"Ostracod (R), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,55,R,CC,P
356-U1462C-59R-CC-PAL-FORAM-150-2000,0,5,310.09,310.14,,,,,,,,,,R [A101],P [P39],S [F02],20,3,,,,,"Ostracod (R), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,59,R,CC,P
356-U1462C-62R-CC-PAL-FORAM-150-2000,0,5,328.5,328.55,,,,,,,,,,R [A101],P [P39],S [F02],50,3,,,,,"Ostracod (R), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,62,R,CC,P
356-U1462C-66R-CC-PAL-FORAM-150-2000,0,5,353.37,353.42,,,,,,,,,,C [A101],M [P39],M [F02],80,2,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,F [A109],P [A109],P [A109],P [A109],R [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,R [A109],R [A109],,,,,,,,,,,,,R [A109],,,,,R [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,66,R,CC,P
356-U1462C-69R-CC-PAL-FORAM-150-2000,0,5,369.76,369.81,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,F [A101],P [P39],M [F02],70,2,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,R [A109],P [A109],P [A109],,R [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],R [A109],P [A109],,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,69,R,CC,P
356-U1462C-73R-CC-PAL-FORAM-150-2000,0,5,387.56,387.61,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,This already occurs in the previous CC,1.98,PL6 [G12],"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",This already occurs in the previous CC,1.88,2.39,F [A101],P [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],R [A109],P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,73,R,CC,P
356-U1462C-77R-CC-PAL-FORAM-150-2000,0,5,407.46,407.51,,,,,,,,,,F [A101],M [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],P [A109],P [A109],P [A109],,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,P [A109],,,,,P [A109],,,,,,,P [A109],P [A109],,,,R [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,77,R,CC,P
356-U1462C-81R-CC-PAL-FORAM-150-2000,0,5,427.24,427.29,,,,,,,,,,F [A101],P [P39],,70,,,present [A79],,,Ostracod (P): glauconitized and pyritized PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,P [A109],,,P [A109],,,,,P [A109],P [A109],,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,81,R,CC,P
356-U1462C-85R-CC-PAL-FORAM-150-2000,0,5,447.72,447.77,"B Globorotalia tosaensis (Gradstein et al., 2012)",B Globorotalia tosaensis,,3.3512800000000005,PL5 (Indo-Pacific) [G12],"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.16,3.47,R [A101],P [P39],,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],P [A109],,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,85,R,CC,P
356-U1462C-89R-CC-PAL-FORAM-150-2000,0,10,467.41,467.51,,,,,,,,,,F [A101],P [P39],S [F02],70,3,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,89,R,CC,P
356-U1462C-93R-CC-PAL-FORAM-150-2000,0,5,487.46,487.51,,,,,,,,,,F [A101],P [P39],S [F02],70,3,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,93,R,CC,P
356-U1462C-93R-CC-PAL-FORAM-150-2000,0,5,487.46,487.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,356,U1462,C,93,R,CC,P
356-U1462C-97R-CC-PAL-FORAM-150-2000,0,5,506.82,506.87,,,,,,,,,,C [A101],M [P39],M [F02],80,2,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,,,,,,P [A109],,P [A109],,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,P [A109],,,,,P [A109],,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,97,R,CC,P
356-U1462C-101R-CC-PAL-FORAM-150-2000,0,5,527.45,527.5,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,F [A101],P [P39],S [F02],70,3,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1462,C,101,R,CC,P
356-U1462C-105R-CC-PAL-FORAM-150-2000,0,5,546.56,546.61,,,,,,,,,,F [A101],P [P39],S [F02],80,3,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,105,R,CC,P
356-U1462C-109R-CC-PAL-FORAM-150-2000,0,5,565.6,565.65,,,T G. limbata but this is probably too late,,,,T G. limbata but this is probably too late,,,F [A101],M [P39],,90,,,,,,Ostracod (P),,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,,,,P [A109],,,P [A109],R [A109],,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,109,R,CC,P
356-U1462C-113R-CC-PAL-FORAM-150-2000,0,5,584.7,584.75,,,,,,,,,,F [A101],P [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,113,R,CC,P
356-U1462C-117R-CC-PAL-FORAM-150-2000,0,6,605.66,605.72,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,,3.85,PL2 [G12],"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,3.85,4.37,F [A101],P [P39],,70,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,P [A109],,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,117,R,CC,P
