Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1454B-22F-CC-PAL-FORAM,0,4,114.73,114.77,,,,,,,,,VR [101],G [P38],N,100,0,,,only 9 specimens,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,22,F,CC,PAL
354-U1454B-23F-CC-PAL-FORAM,0,5,119.67,119.72,,,,,,,,,C [A101],M [P38],M,90,2,,,,R,,,,,,,R,,,R,R,,,,,R,R,C,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,354,U1454,B,23,F,CC,PAL
354-U1454B-24F-CC-PAL-FORAM,0,6,124.0,124.06,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,24,F,CC,PAL
354-U1454B-25F-CC-PAL-FORAM,0,5,126.67,126.72,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,25,F,CC,PAL
354-U1454B-26F-CC-PAL-FORAM,0,10,132.9,133.0,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,26,F,CC,PAL
354-U1454B-27F-CC-PAL-FORAM,0,5,138.11,138.16,,,,,,,,,R [A101],G [P38],L,100,1,,,,,,,,,R,,R,,,R,,,,,F,,A,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,354,U1454,B,27,F,CC,PAL
354-U1454B-28F-CC-PAL-FORAM,0,5,142.98,143.03,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R [A101],G [P38],L,,1,,,,,,,,,,,R,,,,,,,,F,,F,R,,,,,,,,,,,,,,,,C,,,,,,F,,C,,,,,,,,,R,,R,,,,,C,,,R,,,,,,,,,,,354,U1454,B,28,F,CC,PAL
354-U1454B-29F-CC-PAL-FORAM,0,5,147.8,147.85,,,,,,,,,C [A101],G [P38],M,100,2,,,,,,,,,,,R,,R,,R,,,R,R,,A,C,R,,,,,,,,,,,,,,,F,,,,,,,R,C,C,,,,,,,,A,,R,,,,,A,,,R,,,,,,,,,,,354,U1454,B,29,F,CC,PAL
354-U1454B-30F-CC-PAL,0,10,152.58,152.68,,,,,,,,,C [A101],G [P38],M,100,2,,,,,,,,,,,R,,R,,R,,,R,C,,C,C,,,,,,,,,,,,,,,,R,,,,,,,,C,F,,,,,,,,A,,,,,,,,,,R,,,,,,,,,,,354,U1454,B,30,F,CC,PAL
354-U1454B-31F-CC-PAL,0,10,157.1,157.2,,,,,,,,,C [A101],G [P38],M,98,2,,,very tiny forams,,,,,,,,,,R,R,,,,,F,,A,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,F,,,,,,,C,,,R,,,,,,,,,,,354,U1454,B,31,F,CC,PAL
354-U1454B-32F-CC-PAL,0,5,160.78,160.83,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,32,F,CC,PAL
