Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1520D-21F-CC-PAL-FORAM,0,10,180.14,180.24,G,,,,,,,X,,,,,,,,,X,,,,,,,,375,U1520,D,21,F,CC,P
375-U1520D-23F-CC-PAL-FORAM,0,10,189.58,189.68,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,23,F,CC,P
375-U1520D-25F-CC-PAL-FORAM,0,10,224.98,225.08,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,25,F,CC,P
375-U1520D-28F-1-PAL(144-154)-FORAM,0,10,235.54,235.64,G,,,,,,,,,X,,,,,X,,,X,,,,,,,375,U1520,D,28,F,1,P
375-U1520D-30F-CC-PAL-FORAM,0,10,248.43,248.53,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,30,F,CC,P
375-U1520D-33X-CC-PAL-FORAM,0,10,270.32,270.42,G,,,,,,,,,,,,,,X,,,X,,,,,,,375,U1520,D,33,X,CC,P
375-U1520D-35X-CC-PAL-FORAM,0,10,376.22,376.32,G,,,,,,,X,,,,,,,,X,X,X,,,,,,,375,U1520,D,35,X,CC,P
375-U1520D-38X-CC-PAL-FORAM,0,10,399.29,399.39,G,,,,,,,X,,,,,,,,,,X,,,,,,,375,U1520,D,38,X,CC,P
375-U1520D-40X-CC-PAL-FORAM,0,10,415.54,415.64,G,,,,,,X,X,,,,,,,,X,,X,,,,,,,375,U1520,D,40,X,CC,P
375-U1520D-41X-CC-PAL-FORAM,0,10,422.59,422.69,G,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,41,X,CC,P
375-U1520D-42X-CC-PAL-FORAM,0,10,429.81,429.91,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,42,X,CC,P
375-U1520D-44X-CC-PAL-FORAM,0,10,446.84,446.94,G,,,,,,X,X,,,,,,,,,,,,,,,,,375,U1520,D,44,X,CC,P
375-U1520D-45X-CC-PAL-FORAM,0,10,453.53,453.63,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,45,X,CC,P
375-U1520D-46X-CC-PAL-FORAM,0,10,464.95,465.05,g,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,46,X,CC,P
375-U1520D-47X-CC-PAL(18-28)-FORAM,0,10,477.23,477.33,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,47,X,CC,P
375-U1520D-49X-CC-PAL-FORAM,0,10,494.8,494.9,G-M,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,49,X,CC,P
375-U1520D-51X-CC-PAL-FORAM,0,5,511.84,511.89,G,,,,,,,X,,,,,,,,X,,,,,,,,,375,U1520,D,51,X,CC,P
375-U1520D-52X-CC-PAL-FORAM,0,10,525.49,525.59,G,,,,,,X,X,,,,,,,,X,,X,,,,,,,375,U1520,D,52,X,CC,P
375-U1520D-53X-CC-PAL-FORAM,0,10,532.17,532.27,G,,,,,,,X,,,,,,,,X,X,,,,,,,,375,U1520,D,53,X,CC,P
375-U1520D-54X-CC-PAL-FORAM,0,10,537.11,537.21,G,,,X,,,X,,,,,,,,,,,,,,,,,,375,U1520,D,54,X,CC,P
375-U1520D-55X-CC-PAL-FORAM,0,10,543.45,543.55,G,,,X,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,55,X,CC,P
375-U1520D-56X-CC-PAL-FORAM,0,10,548.88,548.98,G-M,,,,,,X,X,,,,,,,,X,X,,,,,,,,375,U1520,D,56,X,CC,P
375-U1520D-58X-CC-PAL-FORAM,0,5,569.75,569.8,G-M,,,,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,58,X,CC,P
375-U1520D-59X-CC-PAL-FORAM,0,3,577.32,577.35,G,,,,,,X,,,,,,,,,X,,,,,,,,,375,U1520,D,59,X,CC,P
375-U1520D-60X-CC-PAL-FORAM,0,10,587.74,587.84,M,,,X,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,60,X,CC,P
375-U1520D-63X-CC-PAL-FORAM,0,11,609.71,609.82,M-P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,63,X,CC,P
375-U1520D-64X-CC-PAL-FORAM,0,10,619.44,619.54,G-M,,,,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,64,X,CC,P
375-U1520D-65X-CC-PAL-FORAM,0,5,622.95,623.0,M,,,,,,,,,,,,,,,X,,,X,,,,,,375,U1520,D,65,X,CC,P
375-U1520D-66X-CC-PAL-FORAM,0,5,631.48,631.53,M,,,C,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,66,X,CC,P
375-U1520D-67X-CC-PAL-FORAM,0,5,635.92,635.97,M,,,X,,,,,,,,,,,,X,,,,,,,,,375,U1520,D,67,X,CC,P
