Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp. ,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa ,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
371-U1507A-14H-CC-PAL-OSTRA,0,10,130.09,130.19,7.0,4,,1,,,,,,,,,,,3,,,,,2,,,,,,,371,U1507,A,14,H,CC,PAL,,,
371-U1507A-15H-CC-PAL-OSTRA,0,10,139.53,139.63,3.6,4,,,,,,,,,,,,,3,,,,,1,,,,,,,371,U1507,A,15,H,CC,PAL,,,
371-U1507A-16H-CC-PAL-OSTRA,0,10,149.06,149.16,0.4,4,,,,,,,,,,,,,2,,,,,,,,,,,,371,U1507,A,16,H,CC,PAL,,,
371-U1507A-17H-CC-PAL-OSTRA,0,10,158.6,158.7,3.7,4,,,,,1,,,,,,,,1,,,,,1,,,,,,,371,U1507,A,17,H,CC,PAL,,,
371-U1507A-18H-CC-PAL-OSTRA,0,10,168.16,168.26,4.6,4,,,,,,,,,,,,,2,,,,,2,,,,,,,371,U1507,A,18,H,CC,PAL,,,
371-U1507A-19H-CC-PAL-OSTRA,0,10,177.65,177.75,5.2,4,,,,,1,,,1,,,,,4,,,,,1,,,,,,,371,U1507,A,19,H,CC,PAL,,,
371-U1507A-20H-CC-PAL-OSTRA,0,10,187.03,187.13,7.0,4,,,,,,,,,,,,,3,,,,,2,,,,,,,371,U1507,A,20,H,CC,PAL,,,
371-U1507A-21H-CC-PAL-OSTRA,0,10,196.28,196.38,0.6,4,,,,,,,,,1,,,,1,,,,,,,,,,,,371,U1507,A,21,H,CC,PAL,,,
371-U1507A-22H-CC-PAL-OSTRA,0,10,205.54,205.64,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,22,H,CC,PAL,,,
371-U1507A-23H-CC-PAL-OSTRA,0,10,215.5,215.6,1.6,4,,,,,1,,,,,,,,2,,,,,1,,,,,,,371,U1507,A,23,H,CC,PAL,,,
371-U1507A-24H-CC-PAL-OSTRA,0,10,224.73,224.83,3.6,4,,,,,,,,,,,,,3,,,,,1,,,,,,,371,U1507,A,24,H,CC,PAL,,,
371-U1507A-25H-CC-PAL-OSTRA,0,10,234.22,234.32,2.0,4,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,25,H,CC,PAL,,,
371-U1507A-26H-CC-PAL-OSTRA,0,10,244.16,244.26,3.4,4,,,,,1,,,,,,,,1,,,,,2,,,,,,,371,U1507,A,26,H,CC,PAL,,,
371-U1507A-27X-CC-PAL-OSTRA,0,10,249.59,249.69,1.2,4,,,,,2,,,,,,,,1,,,,,,,,,,,,371,U1507,A,27,X,CC,PAL,,,
371-U1507A-28X-CC-PAL-OSTRA,0,10,258.39,258.49,3.0,4,,,,,,,,,,,,,1,,,,,,,,,,,,371,U1507,A,28,X,CC,PAL,,,
371-U1507A-29X-CC-PAL-OSTRA,0,10,263.61,263.71,0.5,5,,,,,,,,,,,,,1,,,,,,,,,,,,371,U1507,A,29,X,CC,PAL,,,
371-U1507A-30X-CC-PAL-OSTRA,0,10,279.59,279.69,0.6,5,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,30,X,CC,PAL,,,
371-U1507A-31X-CC-PAL-OSTRA,0,3,284.34,284.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,31,X,CC,PAL,,,
371-U1507A-32X-CC-PAL-OSTRA,0,10,296.17,296.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,32,X,CC,PAL,,,
371-U1507A-35X-CC-PAL-OSTRA,0,10,327.57,327.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,35,X,CC,PAL,,,
371-U1507A-40X-CC-PAL-OSTRA,0,10,373.4,373.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,40,X,CC,PAL,,,
371-U1507A-45X-CC-PAL-OSTRA,0,10,412.36,412.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,45,X,CC,PAL,,,
